’’	''	ἀεί	a)ei/	d--------
Δάμων	*da/mwn	δαμάω	dama/w	v3piia---
Δάμων	*da/mwn	δαμάω	dama/w	v1siia---
Δάμων	*da/mwn	δῆμος	dh=mos	n-p---mg-
Δάμωνα	*da/mwna	Δάμων	*da/mwn	n-s---ma-
Δάμωνος	*da/mwnos	Δάμων	*da/mwn	n-s---mg-
Δήλου	*dh/lou	Δῆλος	*dh=los	n-s---fg-
Δήλου	*dh/lou	βούλομαι	bou/lomai	v2spme---
Δήλου	*dh/lou	δῆλος	dh=los	a-s---mg-
Δήλου	*dh/lou	δῆλος	dh=los	a-s---ng-
Δήλου	*dh/lou	δῆλος	dh=los	n-s---mg-
Δήλου	*dh/lou	δῆλος	dh=los	n-s---fg-
Δήλου	*dh/lou	δῆλος	dh=los	n-s---ng-
Δήλου	*dh/lou	δηλόω	dhlo/w	v2spma---
Δήλου	*dh/lou	δηλόω	dhlo/w	v3siia---
Δήμοις	*dh/mois	δῆμος	dh=mos	n-p---md-
Δία	*di/a	Δίη	*di/h	n-s---fn-
Δία	*di/a	Δίη	*di/h	n-s---fv-
Δία	*di/a	Δίον	*di/on	n-p---nn-
Δία	*di/a	Δίον	*di/on	n-p---nv-
Δία	*di/a	Δίον	*di/on	n-p---na-
Δία	*di/a	Ζεύς	*zeu/s	n-s---ma-
Δία	*di/a	δῖος	di=os	a-d---fn-
Δία	*di/a	δῖος	di=os	a-d---fv-
Δία	*di/a	δῖος	di=os	a-d---fa-
Δία	*di/a	δῖος	di=os	a-s---fn-
Δία	*di/a	δῖος	di=os	a-s---fv-
Δίπυλον	*di/pulon	δίπυλος	di/pulos	n-s---ma-
Δίπυλον	*di/pulon	δίπυλος	di/pulos	n-s---fa-
Δίπυλον	*di/pulon	δίπυλος	di/pulos	n-s---nn-
Δίπυλον	*di/pulon	δίπυλος	di/pulos	n-s---nv-
Δίπυλον	*di/pulon	δίπυλος	di/pulos	n-s---na-
Δῃάνειρα	*dh|a/neira	Δηιάνειρα	*dhia/neira	n-s---fn-
Δῃάνειρα	*dh|a/neira	Δηιάνειρα	*dhia/neira	n-s---fv-
Εἰς	*ei)s	εἰς	ei)s	r--------
Εὐβοεῖς	*eu)boei=s	Εὐβοεύς	*eu)boeu/s	n-p---ma-
Εὐβοεῖς	*eu)boei=s	Εὐβοεύς	*eu)boeu/s	n-p---mn-
Εὐβοεῖς	*eu)boei=s	Εὐβοεύς	*eu)boeu/s	n-p---mv-
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	n-p---fa-
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	n-s---fg-
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	n-p---fa-
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	n-s---fg-
Εὐθύς	*eu)qu/s	εὐθύσ1	eu)qu/s1	a-s---mn-
Εὐθύς	*eu)qu/s	εὐθύσ2	eu)qu/s2	d--------
Εὐρυπτολέμου	*eu)ruptole/mou	Εὐρυπτόλεμος	*eu)rupto/lemos	n-s---mg-
Εὐρώπης	*eu)rw/phs	Εὐρώπη	*eu)rw/ph	n-s---fg-
Εὐρώπης	*eu)rw/phs	Εὐρώπης	*eu)rw/phs	n-s---mn-
Εὐάγγελος	*eu)a/ggelos	Εὐάγγελος	*eu)a/ggelos	n-s---mn-
Εὐάγγελος	*eu)a/ggelos	εὐάγγελος	eu)a/ggelos	n-s---mn-
Εὐάγγελος	*eu)a/ggelos	εὐάγγελος	eu)a/ggelos	n-s---fn-
Εὔβοιαν	*eu)/boian	Εὔβοια	*eu)/boia	n-s---fa-
Εὔπολις	*eu)/polis	Εὔπολις	*eu)/polis	n-s---fn-
Εὔπολις	*eu)/polis	εὔπολις	eu)/polis	n-s---fn-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	n-s---mn-
Ζεῦ	*zeu=	Ζεύς	*zeu/s	n-s---mv-
Ζεῦ	*zeu=	ζέω	ze/w	v2spme---
Ζεῦ	*zeu=	ζέω	ze/w	v2siie---
Ζεῦξιν	*zeu=cin	Ζεῦξις	*zeu=cis	n-s---fa-
Ζεῦξιν	*zeu=cin	ζεῦξις	zeu=cis	n-s---fa-
Ζήνων	*zh/nwn	Ζήνων	*zh/nwn	n-s---mn-
Ζήνων	*zh/nwn	Ζήνων	*zh/nwn	n-s---mv-
Ζήνων	*zh/nwn	ζῆνος	zh=nos	a-p---fg-
Ζήνων	*zh/nwn	ζῆνος	zh=nos	a-p---mg-
Ζήνων	*zh/nwn	ζῆνος	zh=nos	a-p---ng-
Ζήνωνος	*zh/nwnos	Ζήνων	*zh/nwn	n-s---mg-
Θαυμαστός	*qaumasto/s	θαυμαστός	qaumasto/s	a-s---mn-
Θεμιστοκλῆς	*qemistoklh=s	Θεμιστοκλῆς	*qemistoklh=s	n-s---mn-
Θεμιστοκλῆς	*qemistoklh=s	Θεμιστοκλῆς	*qemistoklh=s	n-s---mv-
Θεσσαλούς	*qessalou/s	Θεσσαλός	*qessalo/s	a-p---ma-
Θεσσαλούς	*qessalou/s	Θεσσαλός	*qessalo/s	n-p---ma-
Θεσσαλός	*qessalo/s	Θεσσαλός	*qessalo/s	a-s---mn-
Θεσσαλός	*qessalo/s	Θεσσαλός	*qessalo/s	n-s---mn-
Θεόφραστος	*qeo/frastos	Θεόφραστος	*qeo/frastos	n-s---mn-
Θεόφραστος	*qeo/frastos	θεόφραστος	qeo/frastos	n-s---mn-
Θεόφραστος	*qeo/frastos	θεόφραστος	qeo/frastos	n-s---fn-
Θουκυδίδαις	*qoukudi/dais	Θουκυδίδης	*qoukudi/dhs	n-p---md-
Θουκυδίδην	*qoukudi/dhn	Θουκυδίδης	*qoukudi/dhs	n-s---ma-
Θουκυδίδης	*qoukudi/dhs	Θουκυδίδης	*qoukudi/dhs	n-s---mn-
Θουκυδίδου	*qoukudi/dou	Θουκυδίδης	*qoukudi/dhs	n-s---mg-
Θουρίους	*qouri/ous	Θούριοι	*qou/rioi	n-p---fa-
Θουρίους	*qouri/ous	Θούριος	*qou/rios	a-p---ma-
Θουρίους	*qouri/ous	θούριος	qou/rios	a-p---ma-
Θριασίας	*qriasi/as	Θριάσιος	*qria/sios	a-p---fa-
Θριασίας	*qriasi/as	Θριάσιος	*qria/sios	a-s---fg-
Θρᾳκῶν	*qra|kw=n	Θρᾷξ	*qra=|c	n-p---mg-
Θρᾳκῶν	*qra|kw=n	Θρᾳκία	*qra|ki/a	n-p---fg-
Θρᾴκην	*qra/|khn	Θρᾳκία	*qra|ki/a	n-s---fa-
Θρᾴκῃ	*qra/|kh|	Θρᾳκία	*qra|ki/a	n-s---fd-
Θρᾴτταις	*qra/|ttais	θρᾷττα	qra=|tta	n-p---fd-
Θάσιος	*qa/sios	Θάσιος	*qa/sios	a-s---mn-
Καλλικράτης	*kallikra/ths	Καλλικράτης	*kallikra/ths	n-p---ma-
Καλλικράτης	*kallikra/ths	Καλλικράτης	*kallikra/ths	n-p---mn-
Καλλικράτης	*kallikra/ths	Καλλικράτης	*kallikra/ths	n-p---mv-
Καλλικράτης	*kallikra/ths	Καλλικράτης	*kallikra/ths	n-s---mn-
Καλλίαν	*kalli/an	Καλλίας	*kalli/as	n-s---ma-
Καλλίαν	*kalli/an	καλλία	kalli/a	n-s---fa-
Καλλίαν	*kalli/an	καλλίας	kalli/as	n-s---ma-
Καλλίαν	*kalli/an	καλλίας	kalli/as	n-s---ma-
Καρχηδών	*karxhdw/n	Καρχηδών	*karxhdw/n	n-s---fn-
Καρχηδών	*karxhdw/n	Καρχηδών	*karxhdw/n	n-s---fv-
Καταπυγοσύνη	*katapugosu/nh	καταπυγοσύνη	katapugosu/nh	n-s---fn-
Καταπυγοσύνη	*katapugosu/nh	καταπυγοσύνη	katapugosu/nh	n-s---fv-
Καίτοι	*kai/toi	καίτοι	kai/toi	g--------
Καῖσαρ	*kai=sar	Καῖσαρ	*kai=sar	n-s---mn-
Κερκυραίοις	*kerkurai/ois	Κερυκυραῖος	*kerukurai=os	a-p---md-
Κερκυραίοις	*kerkurai/ois	Κερυκυραῖος	*kerukurai=os	a-p---nd-
Κεφαληγερέταν	*kefalhgere/tan	κεφαληγερέτης	kefalhgere/ths	n-s---ma-
Κεφαληγερέταν	*kefalhgere/tan	κεφαληγερέτης	kefalhgere/ths	n-s---ma-
Κλαζομένιος	*klazome/nios	Κλαζομένιος	*klazome/nios	a-s---mn-
Κλεανδρίδου	*kleandri/dou	Κλεανδρίδας	*kleandri/das	n-s---mg-
Κλεανδρίδῃ	*kleandri/dh|	Κλεανδρίδας	*kleandri/das	n-s---md-
Κλεισθένους	*kleisqe/nous	Κλεισθένης	*kleisqe/nhs	n-s---mg-
Κλέων	*kle/wn	Κλέων	*kle/wn	n-s---mn-
Κλέων	*kle/wn	Κλέων	*kle/wn	n-s---mv-
Κλέων	*kle/wn	κλέω	kle/w	v-sppamn-
Κλέωνι	*kle/wni	Κλέων	*kle/wn	n-s---md-
Κορινθίοις	*korinqi/ois	Κορίνθιος	*kori/nqios	a-p---md-
Κορινθίοις	*korinqi/ois	Κορίνθιος	*kori/nqios	a-p---nd-
Κορινθίων	*korinqi/wn	Κορίνθιος	*kori/nqios	a-p---fg-
Κορινθίων	*korinqi/wn	Κορίνθιος	*kori/nqios	a-p---mg-
Κορινθίων	*korinqi/wn	Κορίνθιος	*kori/nqios	a-p---ng-
Κορώνειαν	*korw/neian	Κορώνεια	*korw/neia	n-s---fa-
Κρατῖνος	*krati=nos	Κρατῖνος	*krati=nos	n-s---mn-
Κριτόλαος	*krito/laos	Κριτόλαος	*krito/laos	n-s---mn-
Κρόνος	*kro/nos	Κρόνος	*kro/nos	n-s---mn-
Κρόνος	*kro/nos	κρόνος	kro/nos	n-s---mn-
Κέρκυραν	*ke/rkuran	Κέρκυρα	*ke/rkura	n-s---fa-
Κίμων	*ki/mwn	Κίμων	*ki/mwn	n-s---mn-
Κίμων	*ki/mwn	Κίμων	*ki/mwn	n-s---mv-
Κίμωνα	*ki/mwna	Κίμων	*ki/mwn	n-s---ma-
Κίμωνι	*ki/mwni	Κίμων	*ki/mwn	n-s---md-
Κίμωνος	*ki/mwnos	Κίμων	*ki/mwn	n-s---mg-
Κίμωσι	*ki/mwsi	Κίμων	*ki/mwn	n-p---md-
Κόροιβος	*ko/roibos	Κόροιβος	*ko/roibos	n-s---mn-
Κόροιβος	*ko/roibos	κόροιβος	ko/roibos	n-s---mn-
Κύπρον	*ku/pron	Κύπρος	*ku/pros	n-s---fa-
Κύπρον	*ku/pron	κύπρος	ku/pros	n-s---fa-
Κύπρῳ	*ku/prw|	Κύπρος	*ku/pros	n-s---fd-
Κύπρῳ	*ku/prw|	κύπρος	ku/pros	n-s---fd-
Κύρου	*ku/rou	Κύρης	*ku/rhs	n-s---mg-
Κύρου	*ku/rou	Κῦρος	*ku=ros	n-s---mg-
Κύρου	*ku/rou	κυρέω	kure/w	v2spme---
Κύρου	*ku/rou	κυρέω	kure/w	v2siie---
Κύρου	*ku/rou	κυρόω	kuro/w	v2spma---
Κύρου	*ku/rou	κυρόω	kuro/w	v3siia---
Κῦρον	*ku=ron	Κῦρος	*ku=ros	n-s---ma-
Κῦρον	*ku=ron	κυρέω	kure/w	v-sppamv-
Κῦρον	*ku=ron	κυρέω	kure/w	v-sppann-
Κῦρον	*ku=ron	κυρέω	kure/w	v-sppanv-
Κῦρον	*ku=ron	κυρέω	kure/w	v-sppana-
Κῦρον	*ku=ron	κυρέω	kure/w	v3piia---
Κῦρον	*ku=ron	κυρέω	kure/w	v1siia---
Λακεδαιμονίοις	*lakedaimoni/ois	Λακεδαιμόνιος	*lakedaimo/nios	a-p---md-
Λακεδαιμονίοις	*lakedaimoni/ois	Λακεδαιμόνιος	*lakedaimo/nios	a-p---nd-
Λακεδαιμονίου	*lakedaimoni/ou	Λακεδαιμόνιος	*lakedaimo/nios	a-s---mg-
Λακεδαιμονίου	*lakedaimoni/ou	Λακεδαιμόνιος	*lakedaimo/nios	a-s---ng-
Λακεδαιμονίους	*lakedaimoni/ous	Λακεδαιμόνιος	*lakedaimo/nios	a-p---ma-
Λακεδαιμονίων	*lakedaimoni/wn	Λακεδαιμόνιος	*lakedaimo/nios	a-p---fg-
Λακεδαιμονίων	*lakedaimoni/wn	Λακεδαιμόνιος	*lakedaimo/nios	a-p---mg-
Λακεδαιμονίων	*lakedaimoni/wn	Λακεδαιμόνιος	*lakedaimo/nios	a-p---ng-
Λακεδαιμόνιοι	*lakedaimo/nioi	Λακεδαιμόνιος	*lakedaimo/nios	a-p---mn-
Λακεδαιμόνιοι	*lakedaimo/nioi	Λακεδαιμόνιος	*lakedaimo/nios	a-p---mv-
Λακεδαιμόνιον	*lakedaimo/nion	Λακεδαιμόνιος	*lakedaimo/nios	a-s---ma-
Λακεδαιμόνιον	*lakedaimo/nion	Λακεδαιμόνιος	*lakedaimo/nios	a-s---nn-
Λακεδαιμόνιον	*lakedaimo/nion	Λακεδαιμόνιος	*lakedaimo/nios	a-s---nv-
Λακεδαιμόνιον	*lakedaimo/nion	Λακεδαιμόνιος	*lakedaimo/nios	a-s---na-
Λακεδαιμόνιος	*lakedaimo/nios	Λακεδαιμόνιος	*lakedaimo/nios	a-s---mn-
Λακεδαίμονι	*lakedai/moni	Λακεδαίμων	*lakedai/mwn	n-s---fd-
Λακεδαίμονος	*lakedai/monos	Λακεδαίμων	*lakedai/mwn	n-s---fg-
Λακρατείδην	*lakratei/dhn	Λακρατείδης	*lakratei/dhs	n-s---ma-
Λακωνισμοῦ	*lakwnismou=	Λακωνισμός	*lakwnismo/s	n-s---mg-
Λακωνισμοῦ	*lakwnismou=	λακωνισμός	lakwnismo/s	n-s---mg-
Λακωνισμόν	*lakwnismo/n	Λακωνισμός	*lakwnismo/s	n-s---ma-
Λακωνισμόν	*lakwnismo/n	λακωνισμός	lakwnismo/s	n-s---ma-
Λαμάχου	*lama/xou	Λάμαχος	*la/maxos	n-s---mg-
Λαμάχου	*lama/xou	Λάμαχος	*la/maxos	n-s---fg-
Λαμάχου	*lama/xou	Λάμαχος	*la/maxos	n-s---ng-
Λοκρῶν	*lokrw=n	Λοκρός	*lokro/s	a-p---fg-
Λοκρῶν	*lokrw=n	Λοκρός	*lokro/s	a-p---mg-
Λοκρῶν	*lokrw=n	Λοκρός	*lokro/s	a-p---ng-
Λοκρῶν	*lokrw=n	Λοκροί	*lokroi/	n-p---mg-
Λυσικλέα	*lusikle/a	Λυσικλής	*lusiklh/s	n-s---ma-
Λυσικλέα	*lusikle/a	Λυσικλῆς	*lusiklh=s	n-s---ma-
Λυσικλέα	*lusikle/a	Λυσικλῆς	*lusiklh=s	n-s---ma-
Λυσάνδρου	*lusa/ndrou	Λύσανδρος	*lu/sandros	n-s---mg-
Λάμπωνα	*la/mpwna	Λάμπων	*la/mpwn	n-s---ma-
Λέγουσι	*le/gousi	λέγω1	le/gw1	v-pppamd-
Λέγουσι	*le/gousi	λέγω1	le/gw1	v-pppand-
Λέγουσι	*le/gousi	λέγω1	le/gw1	v3ppia---
Λέγουσι	*le/gousi	λέγω2	le/gw2	v-pppamd-
Λέγουσι	*le/gousi	λέγω2	le/gw2	v-pppand-
Λέγουσι	*le/gousi	λέγω2	le/gw2	v3ppia---
Λέγουσι	*le/gousi	λέγω3	le/gw3	v-pppamd-
Λέγουσι	*le/gousi	λέγω3	le/gw3	v-pppand-
Λέγουσι	*le/gousi	λέγω3	le/gw3	v3ppia---
Λέσβου	*le/sbou	Λέσβος	*le/sbos	n-s---fg-
Λέσβου	*le/sbou	Λέσβος	*le/sbos	n-s---fg-
Λῆμνον	*lh=mnon	Λῆμνος	*lh=mnos	n-s---fa-
Μαλιέα	*malie/a	Μαλιεύς	*malieu/s	n-s---ma-
Μαξίμου	*maci/mou	Μάξιμος	*ma/cimos	n-s---mg-
Μεγαρεῖς	*megarei=s	Μεγαρεύς	*megareu/s	n-p---ma-
Μεγαρεῖς	*megarei=s	Μεγαρεύς	*megareu/s	n-p---mn-
Μεγαρεῖς	*megarei=s	Μεγαρεύς	*megareu/s	n-p---mv-
Μεγαρικήν	*megarikh/n	Μεγαρικός	*megariko/s	a-s---fa-
Μεγαρικόν	*megariko/n	Μεγαρικός	*megariko/s	a-s---ma-
Μεγαρικόν	*megariko/n	Μεγαρικός	*megariko/s	a-s---nn-
Μεγαρικόν	*megariko/n	Μεγαρικός	*megariko/s	a-s---nv-
Μεγαρικόν	*megariko/n	Μεγαρικός	*megariko/s	a-s---na-
Μεγαρικῆς	*megarikh=s	Μεγαρικός	*megariko/s	a-s---fg-
Μεγαρέων	*megare/wn	Μεγαρεύς	*megareu/s	n-p---mg-
Μεγαρέων	*megare/wn	Μεγαρεύς	*megareu/s	n-p---mg-
Μεγαρῆς	*megarh=s	Μεγαρεύς	*megareu/s	n-p---mn-
Μεγαρῆς	*megarh=s	Μεγαρεύς	*megareu/s	n-p---mn-
Μεγαρῆς	*megarh=s	Μεγαρεύς	*megareu/s	n-p---mv-
Μελησίου	*melhsi/ou	Μελησίας	*melhsi/as	n-s---mg-
Μελίσσου	*meli/ssou	Μέλισσος	*me/lissos	n-s---mg-
Μελίσσου	*meli/ssou	μελίσσω	meli/ssw	v2spme---
Μελίσσου	*meli/ssou	μελίσσω	meli/ssw	v2siie---
Μενεξένῳ	*menece/nw|	Μενέξενος	*mene/cenos	n-s---md-
Μενίππου	*meni/ppou	Μένιππος	*me/nippos	n-s---mg-
Μεταγένης	*metage/nhs	Μεταγένης	*metage/nhs	n-s---mn-
Μετά	*meta/	μετά	meta/	r--------
Μιλησία	*milhsi/a	Μιλήσιος	*milh/sios	a-d---fn-
Μιλησία	*milhsi/a	Μιλήσιος	*milh/sios	a-d---fv-
Μιλησία	*milhsi/a	Μιλήσιος	*milh/sios	a-d---fa-
Μιλησία	*milhsi/a	Μιλήσιος	*milh/sios	a-s---fn-
Μιλησία	*milhsi/a	Μιλήσιος	*milh/sios	a-s---fv-
Μιλησίους	*milhsi/ous	Μιλήσιος	*milh/sios	a-p---ma-
Μιλησίων	*milhsi/wn	Μιλήσιος	*milh/sios	a-p---fg-
Μιλησίων	*milhsi/wn	Μιλήσιος	*milh/sios	a-p---mg-
Μιλησίων	*milhsi/wn	Μιλήσιος	*milh/sios	a-p---ng-
Μνησικλέους	*mnhsikle/ous	Μνησικλῆς	*mnhsiklh=s	n-s---mg-
Μούσαις	*mou/sais	Μοῦσα	*mou=sa	n-p---fd-
Μούσαις	*mou/sais	Μοῦσαι	*mou=sai	n-p---fd-
Μούσαις	*mou/sais	Μοῦσαι	*mou=sai	n-p---fd-
Μυκάλῃ	*muka/lh|	Μυκάλη	*muka/lh	n-s---fd-
Μυρωνίδαις	*murwni/dais	Μυρωνίδης	*murwni/dhs	n-p---md-
Μυρωνίδην	*murwni/dhn	Μυρωνίδης	*murwni/dhs	n-s---ma-
Μάξιμος	*ma/cimos	Μάξιμος	*ma/cimos	n-s---mn-
Μέλισσος	*me/lissos	Μέλισσος	*me/lissos	n-s---mn-
Μένωνι	*me/nwni	Μένων	*me/nwn	n-s---md-
Μένωνά	*me/nwna/	Μένων	*me/nwn	n-s---ma-
Μήδοις	*mh/dois	Μῆδος	*mh=dos	n-p---md-
Μήδοις	*mh/dois	Μῆδος	*mh=dos	n-p---md-
Μίλτω	*mi/ltw	Μίλτας	*mi/ltas	n-s---mg-
Μίλτω	*mi/ltw	μίλτος	mi/ltos	n-d---fn-
Μίλτω	*mi/ltw	μίλτος	mi/ltos	n-d---fv-
Μίλτω	*mi/ltw	μίλτος	mi/ltos	n-d---fa-
Μίλτω	*mi/ltw	μίλτος	mi/ltos	n-s---fg-
Μίλτω	*mi/ltw	μιλτόω	milto/w	v2spma---
Μίλτω	*mi/ltw	μιλτόω	milto/w	v3siia---
Νεμέσει	*neme/sei	Νέμεσις	*ne/mesis	n-d---fn-
Νεμέσει	*neme/sei	Νέμεσις	*ne/mesis	n-d---fv-
Νεμέσει	*neme/sei	Νέμεσις	*ne/mesis	n-d---fa-
Νεμέσει	*neme/sei	Νέμεσις	*ne/mesis	n-s---fd-
Νεμέσει	*neme/sei	Νέμεσις	*ne/mesis	n-s---fd-
Νεμέσει	*neme/sei	νέμεσις	ne/mesis	n-d---fn-
Νεμέσει	*neme/sei	νέμεσις	ne/mesis	n-d---fv-
Νεμέσει	*neme/sei	νέμεσις	ne/mesis	n-d---fa-
Νεμέσει	*neme/sei	νέμεσις	ne/mesis	n-s---fd-
Νεμέσει	*neme/sei	νέμεσις	ne/mesis	n-s---fd-
Νεμέσει	*neme/sei	νεμεσάω	nemesa/w	v2spma---
Νεμέσει	*neme/sei	νεμεσάω	nemesa/w	v3siia---
Νεμέᾳ	*neme/a|	Νέμειος	*ne/meios	a-s---fd-
Νεμέᾳ	*neme/a|	Νεμέα	*neme/a	n-p---fn-
Νεμέᾳ	*neme/a|	Νεμέα	*neme/a	n-p---fv-
Νεμέᾳ	*neme/a|	Νεμέα	*neme/a	n-s---fd-
Νεμέᾳ	*neme/a|	νέμω	ne/mw	v2sfim---
Νοῦν	*nou=n	νέω	ne/w	v-sppamv-
Νοῦν	*nou=n	νέω	ne/w	v-sppann-
Νοῦν	*nou=n	νέω	ne/w	v-sppanv-
Νοῦν	*nou=n	νέω	ne/w	v-sppana-
Νοῦν	*nou=n	νέω	ne/w	v3piia---
Νοῦν	*nou=n	νέω	ne/w	v1siia---
Νοῦν	*nou=n	νέω1	ne/w1	v-sppamv-
Νοῦν	*nou=n	νέω1	ne/w1	v-sppann-
Νοῦν	*nou=n	νέω1	ne/w1	v-sppanv-
Νοῦν	*nou=n	νέω1	ne/w1	v-sppana-
Νοῦν	*nou=n	νέω1	ne/w1	v3piia---
Νοῦν	*nou=n	νέω1	ne/w1	v1siia---
Νοῦν	*nou=n	νέω2	ne/w2	v-sppamv-
Νοῦν	*nou=n	νέω2	ne/w2	v-sppann-
Νοῦν	*nou=n	νέω2	ne/w2	v-sppanv-
Νοῦν	*nou=n	νέω2	ne/w2	v-sppana-
Νοῦν	*nou=n	νέω2	ne/w2	v3piia---
Νοῦν	*nou=n	νέω2	ne/w2	v1siia---
Νοῦν	*nou=n	νέω3	ne/w3	v-sppamv-
Νοῦν	*nou=n	νέω3	ne/w3	v-sppann-
Νοῦν	*nou=n	νέω3	ne/w3	v-sppanv-
Νοῦν	*nou=n	νέω3	ne/w3	v-sppana-
Νοῦν	*nou=n	νέω3	ne/w3	v3piia---
Νοῦν	*nou=n	νέω3	ne/w3	v1siia---
Νοῦν	*nou=n	νόος	no/os	n-s---ma-
Νάξον	*na/con	Νάξος	*na/cos	n-s---fa-
Νάξον	*na/con	νάσσω	na/ssw	v2sama---
Νάξον	*na/con	νάσσω	na/ssw	v-sfpamv-
Νάξον	*na/con	νάσσω	na/ssw	v-sfpann-
Νάξον	*na/con	νάσσω	na/ssw	v-sfpanv-
Νάξον	*na/con	νάσσω	na/ssw	v-sfpana-
Νάξον	*na/con	ναξος	nacos	a-s---ma-
Νάξον	*na/con	ναξος	nacos	a-s---nn-
Νάξον	*na/con	ναξος	nacos	a-s---nv-
Νάξον	*na/con	ναξος	nacos	a-s---na-
Ξανθίππου	*canqi/ppou	Ξάνθιππος	*ca/nqippos	n-s---mg-
Ξενοκλῆς	*cenoklh=s	Ξενοκλῆς	*cenoklh=s	n-s---mn-
Ξάνθιππον	*ca/nqippon	Ξάνθιππος	*ca/nqippos	n-s---ma-
Ξάνθιππος	*ca/nqippos	Ξάνθιππος	*ca/nqippos	n-s---mn-
Ξένους	*ce/nous	ξένοσ1	ce/nos1	n-p---ma-
Ξένους	*ce/nous	ξένοσ2	ce/nos2	a-p---ma-
Ξένους	*ce/nous	ξένοσ2	ce/nos2	n-p---ma-
Ξένους	*ce/nous	ξένοσ2	ce/nos2	n-p---fa-
Ξένους	*ce/nous	ξενόω	ceno/w	v2siia---
Οἰνιάδας	*oi)nia/das	Οἰνιάδαι	*oi)nia/dai	n-p---fa-
Οἰνιάδας	*oi)nia/das	Οἰνιάδη	*oi)nia/dh	n-p---fa-
Οἰταίους	*oi)tai/ous	Οἰταῖος	*oi)tai=os	a-p---ma-
Οἰταίους	*oi)tai/ous	οἰταῖος	oi)tai=os	a-p---ma-
