Αἰσχύνης	*ai)sxu/nhs	αἰσχύνη	ai)sxu/nh	urn:cite2:hmt:lsj.chicago_md:n2739	n-s---fg-
Διογενές	*diogene/s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-s---fv-
Διογενές	*diogene/s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-s---nn-
Διογενές	*diogene/s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-s---nv-
Διογενές	*diogene/s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-s---na-
Διογενές	*diogene/s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-s---mv-
Διογενές	*diogene/s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-s---fv-
Διογενές	*diogene/s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-s---nn-
Διογενές	*diogene/s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-s---nv-
Διογενές	*diogene/s	διογενής	diogenh/s	urn:cite2:hmt:lsj.chicago_md:n27119	n-s---na-
Διός	*dio/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mg-
Δίκη	*di/kh	Δίκη	*di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-s---fn-
Δίκη	*di/kh	Δίκη	*di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-s---fv-
Δίκη	*di/kh	δίκη	di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-s---fn-
Δίκη	*di/kh	δίκη	di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-s---fv-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mn-
Ζεῦ	*zeu=	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mv-
Ζεῦ	*zeu=	ζέω	ze/w	urn:cite2:hmt:lsj.chicago_md:n46204	v2spme---
Ζεῦ	*zeu=	ζέω	ze/w	urn:cite2:hmt:lsj.chicago_md:n46204	v2siie---
Ζηνί	*zhni/	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---md-
Ζῆνά	*zh=na/	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---ma-
Ζῆνά	*zh=na/	ζῆνος	zh=nos	urn:cite2:hmt:lsj.chicago_md:n46242	a-p---nn-
Ζῆνά	*zh=na/	ζῆνος	zh=nos	urn:cite2:hmt:lsj.chicago_md:n46242	a-p---nv-
Ζῆνά	*zh=na/	ζῆνος	zh=nos	urn:cite2:hmt:lsj.chicago_md:n46242	a-p---na-
Θυιάς	*quia/s	Θυιάς	*quia/s	urn:cite2:hmt:lsj.chicago_md:n49310	n-s---fn-
Θυιάς	*quia/s	θυιάς	quia/s	urn:cite2:hmt:lsj.chicago_md:n49310	n-s---fn-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	urn:cite2:hmt:lsj.chicago_md:n51637	n-p---nn-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	urn:cite2:hmt:lsj.chicago_md:n51637	n-p---nv-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	urn:cite2:hmt:lsj.chicago_md:n51637	n-p---na-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	urn:cite2:hmt:lsj.chicago_md:n51637	n-d---mn-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	urn:cite2:hmt:lsj.chicago_md:n51637	n-d---mv-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	urn:cite2:hmt:lsj.chicago_md:n51637	n-d---ma-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	urn:cite2:hmt:lsj.chicago_md:n51637	n-d---fn-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	urn:cite2:hmt:lsj.chicago_md:n51637	n-d---fv-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	urn:cite2:hmt:lsj.chicago_md:n51637	n-d---fa-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	urn:cite2:hmt:lsj.chicago_md:n51637	n-d---nn-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	urn:cite2:hmt:lsj.chicago_md:n51637	n-d---nv-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	urn:cite2:hmt:lsj.chicago_md:n51637	n-d---na-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	urn:cite2:hmt:lsj.chicago_md:n51637	n-s---ma-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	urn:cite2:hmt:lsj.chicago_md:n51637	n-s---fa-
Κρέοντος	*kre/ontos	Κρέων	*kre/wn	urn:cite2:hmt:lsj.chicago_md:n59858	n-s---mg-
Κρέοντος	*kre/ontos	Κρέων	*kre/wn	urn:cite2:hmt:lsj.chicago_md:n59859	n-s---mg-
Κρέοντος	*kre/ontos	κρέων	kre/wn	urn:cite2:hmt:lsj.chicago_md:n59858	n-s---mg-
Κρέοντος	*kre/ontos	κρείων	krei/wn	urn:cite2:hmt:lsj.chicago_md:n59796	n-s---mg-
Κωκυτοῦ	*kwkutou=	Κωκυτός	*kwkuto/s	urn:cite2:hmt:lsj.chicago_md:n61223	n-s---mg-
Κωκυτοῦ	*kwkutou=	Κωκυτός	*kwkuto/s	urn:cite2:hmt:lsj.chicago_md:n61223	n-s---mg-
Κάδμου	*ka/dmou	Κάδμος	*ka/dmos	urn:cite2:hmt:lsj.chicago_md:n51638	n-s---mg-
Κάδμου	*ka/dmou	Κάδμος	*ka/dmos	urn:cite2:hmt:lsj.chicago_md:n51639	n-s---mg-
Κύπρις	*ku/pris	Κύπρις	*ku/pris	urn:cite2:hmt:lsj.chicago_md:n61013	n-s---fn-
Κῆρες	*kh=res	Κήρ	*kh/r	urn:cite2:hmt:lsj.chicago_md:n57167	n-p---fn-
Κῆρες	*kh=res	Κήρ	*kh/r	urn:cite2:hmt:lsj.chicago_md:n57167	n-p---fn-
Κῆρες	*kh=res	Κήρ	*kh/r	urn:cite2:hmt:lsj.chicago_md:n57168	n-p---fn-
Κῆρες	*kh=res	Κήρ	*kh/r	urn:cite2:hmt:lsj.chicago_md:n57167	n-p---fv-
Κῆρες	*kh=res	Κήρ	*kh/r	urn:cite2:hmt:lsj.chicago_md:n57167	n-p---fv-
Κῆρες	*kh=res	Κήρ	*kh/r	urn:cite2:hmt:lsj.chicago_md:n57168	n-p---fv-
Κῆρες	*kh=res	κήρ	kh/r	urn:cite2:hmt:lsj.chicago_md:n57167	n-p---fn-
Κῆρες	*kh=res	κήρ	kh/r	urn:cite2:hmt:lsj.chicago_md:n57167	n-p---fn-
Κῆρες	*kh=res	κήρ	kh/r	urn:cite2:hmt:lsj.chicago_md:n57167	n-p---fv-
Κῆρες	*kh=res	κήρ	kh/r	urn:cite2:hmt:lsj.chicago_md:n57167	n-p---fv-
Λαΐου	*lai+/ou	Λάϊος	*la/i+os	urn:cite2:hmt:lsj.chicago_md:n61676	n-s---mg-
Λαΐου	*lai+/ou	Λάϊος	*la/i+os	urn:cite2:hmt:lsj.chicago_md:n61677	n-s---mg-
Λαΐου	*lai+/ou	Λαΐος	*lai/+os	urn:cite2:hmt:lsj.chicago_md:n61676	n-s---mg-
Λαΐου	*lai+/ou	Λαΐος	*lai/+os	urn:cite2:hmt:lsj.chicago_md:n61677	n-s---mg-
Λαΐου	*lai+/ou	λήιον	lh/ion	urn:cite2:hmt:lsj.chicago_md:n62862	n-s---ng-
Λαΐου	*lai+/ou	λήιον	lh/ion	urn:cite2:hmt:lsj.chicago_md:n62863	n-s---ng-
Λοξίου	*loci/ou	Λοξίας	*loci/as	urn:cite2:hmt:lsj.chicago_md:n63862	n-s---mg-
Λάιος	*la/ios	Λάϊος	*la/i+os	urn:cite2:hmt:lsj.chicago_md:n61676	n-s---mn-
Λάιος	*la/ios	Λάϊος	*la/i+os	urn:cite2:hmt:lsj.chicago_md:n61677	n-s---mn-
Λάιος	*la/ios	Λαΐος	*lai/+os	urn:cite2:hmt:lsj.chicago_md:n61676	n-s---mn-
Λάιος	*la/ios	Λαΐος	*lai/+os	urn:cite2:hmt:lsj.chicago_md:n61677	n-s---mn-
Λύκειος	*lu/keios	Λύκειος	*lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-s---mn-
Λύκειος	*lu/keios	Λύκειος	*lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-s---fn-
Λύκειος	*lu/keios	λύκειος	lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-s---mn-
Λύκειος	*lu/keios	λύκειος	lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-s---fn-
Λύκει’	*lu/kei'	Λύκειον	*lu/keion	urn:cite2:hmt:lsj.chicago_md:n64077	n-p---nn-
Λύκει’	*lu/kei'	Λύκειον	*lu/keion	urn:cite2:hmt:lsj.chicago_md:n64078	n-p---nn-
Λύκει’	*lu/kei'	Λύκειον	*lu/keion	urn:cite2:hmt:lsj.chicago_md:n64077	n-p---nv-
Λύκει’	*lu/kei'	Λύκειον	*lu/keion	urn:cite2:hmt:lsj.chicago_md:n64078	n-p---nv-
Λύκει’	*lu/kei'	Λύκειον	*lu/keion	urn:cite2:hmt:lsj.chicago_md:n64077	n-p---na-
Λύκει’	*lu/kei'	Λύκειον	*lu/keion	urn:cite2:hmt:lsj.chicago_md:n64078	n-p---na-
Λύκει’	*lu/kei'	Λύκειος	*lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-p---nn-
Λύκει’	*lu/kei'	Λύκειος	*lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-p---nv-
Λύκει’	*lu/kei'	Λύκειος	*lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-p---na-
Λύκει’	*lu/kei'	Λύκειος	*lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-s---mv-
Λύκει’	*lu/kei'	Λύκειος	*lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-s---fv-
Λύκει’	*lu/kei'	λύκειον	lu/keion	urn:cite2:hmt:lsj.chicago_md:n64078	n-p---nn-
Λύκει’	*lu/kei'	λύκειον	lu/keion	urn:cite2:hmt:lsj.chicago_md:n64078	n-p---nv-
Λύκει’	*lu/kei'	λύκειον	lu/keion	urn:cite2:hmt:lsj.chicago_md:n64078	n-p---na-
Λύκει’	*lu/kei'	λύκειος	lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-p---nn-
Λύκει’	*lu/kei'	λύκειος	lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-p---nv-
Λύκει’	*lu/kei'	λύκειος	lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-p---na-
Λύκει’	*lu/kei'	λύκειος	lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-s---mv-
Λύκει’	*lu/kei'	λύκειος	lu/keios	urn:cite2:hmt:lsj.chicago_md:n64079	n-s---fv-
Λύκει’	*lu/kei'	λυκεία	lukei/a	urn:cite2:hmt:lsj.chicago_md:n64076	n-p---fn-
Λύκει’	*lu/kei'	λυκεία	lukei/a	urn:cite2:hmt:lsj.chicago_md:n64076	n-p---fv-
Μεγαρεύς	*megareu/s	Μεγαρεύς	*megareu/s	urn:cite2:hmt:lsj.chicago_md:n65542	n-s---mn-
Μελάνιππος	*mela/nippos	Μελάνιππος	*mela/nippos	urn:cite2:hmt:lsj.chicago_md:n65870	n-s---mn-
Μελάνιππος	*mela/nippos	μελάνιππος	mela/nippos	urn:cite2:hmt:lsj.chicago_md:n65870	n-s---mn-
Μελάνιππος	*mela/nippos	μελάνιππος	mela/nippos	urn:cite2:hmt:lsj.chicago_md:n65870	n-s---fn-
Μοῖρα	*moi=ra	Μοῖρα	*moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-s---fn-
Μοῖρα	*moi=ra	Μοῖρα	*moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-s---fv-
Μοῖρα	*moi=ra	μοῖρα	moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-s---fn-
Μοῖρα	*moi=ra	μοῖρα	moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-s---fv-
Νηίστῃσι	*nhi/sth|si	νήιστος	nh/istos	urn:cite2:hmt:lsj.chicago_md:n70640	a-p---fd-
Οἰδιπόδα	*oi)dipo/da	Οἰδίπους	*oi)di/pous	urn:cite2:hmt:lsj.chicago_md:n72214	n-s---mg-
Οἰδιπόδα	*oi)dipo/da	Οἰδίπους	*oi)di/pous	urn:cite2:hmt:lsj.chicago_md:n72214	n-d---mn-
Οἰδιπόδα	*oi)dipo/da	Οἰδίπους	*oi)di/pous	urn:cite2:hmt:lsj.chicago_md:n72214	n-d---mv-
Οἰδιπόδα	*oi)dipo/da	Οἰδίπους	*oi)di/pous	urn:cite2:hmt:lsj.chicago_md:n72214	n-d---ma-
Οἰδιπόδα	*oi)dipo/da	Οἰδίπους	*oi)di/pous	urn:cite2:hmt:lsj.chicago_md:n72214	n-s---mv-
Οἰδιπόδα	*oi)dipo/da	Οἰδίπους	*oi)di/pous	urn:cite2:hmt:lsj.chicago_md:n72214	n-s---mn-
Οἰδιπόδαν	*oi)dipo/dan	Οἰδίπους	*oi)di/pous	urn:cite2:hmt:lsj.chicago_md:n72214	n-s---ma-
Οἰδιπόδαν	*oi)dipo/dan	Οἰδίπους	*oi)di/pous	urn:cite2:hmt:lsj.chicago_md:n72214	n-s---ma-
Οἰδίπου	*oi)di/pou	Οἰδίπους	*oi)di/pous	urn:cite2:hmt:lsj.chicago_md:n72214	n-s---nn-
Οἰδίπου	*oi)di/pou	Οἰδίπους	*oi)di/pous	urn:cite2:hmt:lsj.chicago_md:n72214	n-s---nv-
Οἰδίπου	*oi)di/pou	Οἰδίπους	*oi)di/pous	urn:cite2:hmt:lsj.chicago_md:n72214	n-s---na-
Οἰδίπουν	*oi)di/poun	Οἰδίπους	*oi)di/pous	urn:cite2:hmt:lsj.chicago_md:n72214	n-s---ma-
Οἰδίπουν	*oi)di/poun	Οἰδίπους	*oi)di/pous	urn:cite2:hmt:lsj.chicago_md:n72214	n-s---fa-
Οἴνοπος	*oi)/nopos	Οἴνοψ	*oi)/noy	urn:cite2:hmt:lsj.chicago_md:n72586	n-s---mg-
Οἴνοπος	*oi)/nopos	οἶνοψ	oi)=noy	urn:cite2:hmt:lsj.chicago_md:n72586	n-s---mg-
Παλλάς	*palla/s	Παλλάς	*palla/s	urn:cite2:hmt:lsj.chicago_md:n77017	n-s---fn-
Παλλάς	*palla/s	Παλλάς	*palla/s	urn:cite2:hmt:lsj.chicago_md:n77018	n-s---fn-
Πολυνείκει	*polunei/kei	Πολυνείκης	*polunei/khs	urn:cite2:hmt:lsj.chicago_md:n85106	n-d---mn-
Πολυνείκει	*polunei/kei	Πολυνείκης	*polunei/khs	urn:cite2:hmt:lsj.chicago_md:n85106	n-d---mv-
Πολυνείκει	*polunei/kei	Πολυνείκης	*polunei/khs	urn:cite2:hmt:lsj.chicago_md:n85106	n-d---ma-
Πολυνείκει	*polunei/kei	Πολυνείκης	*polunei/khs	urn:cite2:hmt:lsj.chicago_md:n85106	n-s---md-
Πολυνείκει	*polunei/kei	Πολυνείκης	*polunei/khs	urn:cite2:hmt:lsj.chicago_md:n85106	n-s---md-
Πολυνείκη	*polunei/kh	Πολυνείκης	*polunei/khs	urn:cite2:hmt:lsj.chicago_md:n85106	n-d---mn-
Πολυνείκη	*polunei/kh	Πολυνείκης	*polunei/khs	urn:cite2:hmt:lsj.chicago_md:n85106	n-d---mv-
Πολυνείκη	*polunei/kh	Πολυνείκης	*polunei/khs	urn:cite2:hmt:lsj.chicago_md:n85106	n-d---ma-
Πολυνείκη	*polunei/kh	Πολυνείκης	*polunei/khs	urn:cite2:hmt:lsj.chicago_md:n85106	n-s---ma-
Πολυνείκους	*polunei/kous	Πολυνείκης	*polunei/khs	urn:cite2:hmt:lsj.chicago_md:n85106	n-s---mg-
Ποσειδάων	*poseida/wn	Ποσειδῶν	*poseidw=n	urn:cite2:hmt:lsj.chicago_md:n85893	n-s---mn-
Ποσειδάων	*poseida/wn	Ποσειδῶν	*poseidw=n	urn:cite2:hmt:lsj.chicago_md:n85893	n-s---mv-
Προιτίσιν	*proiti/sin	Προιτίδες	*proiti/des	urn:cite2:hmt:lsj.chicago_md:n87591	n-p---fd-
Προιτίσιν	*proiti/sin	προιτίδες	proiti/des	urn:cite2:hmt:lsj.chicago_md:n87591	n-p---fd-
Πυθικοῖς	*puqikoi=s	Πυθικός	*puqiko/s	urn:cite2:hmt:lsj.chicago_md:n91368	a-p---md-
Πυθικοῖς	*puqikoi=s	Πυθικός	*puqiko/s	urn:cite2:hmt:lsj.chicago_md:n91368	a-p---nd-
Σκυθᾶν	*skuqa=n	Σκύθης	*sku/qhs	urn:cite2:hmt:lsj.chicago_md:n95258	n-p---mg-
Σκύθῃ	*sku/qh|	Σκύθης	*sku/qhs	urn:cite2:hmt:lsj.chicago_md:n95258	n-s---md-
Σφίγγ’	*sfi/gg'	Σφίγξ	*sfi/gc	urn:cite2:hmt:lsj.chicago_md:n101704	n-s---fa-
Σφίγγ’	*sfi/gg'	Σφίγξ	*sfi/gc	urn:cite2:hmt:lsj.chicago_md:n101704	n-s---fa-
Σφίγγ’	*sfi/gg'	Σφίγξ	*sfi/gc	urn:cite2:hmt:lsj.chicago_md:n101704	n-d---fn-
Σφίγγ’	*sfi/gg'	Σφίγξ	*sfi/gc	urn:cite2:hmt:lsj.chicago_md:n101704	n-d---fv-
Σφίγγ’	*sfi/gg'	Σφίγξ	*sfi/gc	urn:cite2:hmt:lsj.chicago_md:n101704	n-d---fa-
Σφίγγ’	*sfi/gg'	Σφίγξ	*sfi/gc	urn:cite2:hmt:lsj.chicago_md:n101704	n-d---fn-
Σφίγγ’	*sfi/gg'	Σφίγξ	*sfi/gc	urn:cite2:hmt:lsj.chicago_md:n101704	n-d---fv-
Σφίγγ’	*sfi/gg'	Σφίγξ	*sfi/gc	urn:cite2:hmt:lsj.chicago_md:n101704	n-d---fa-
Σφίγγ’	*sfi/gg'	σφίγγω	sfi/ggw	urn:cite2:hmt:lsj.chicago_md:n101698	v2spma---
Σφίγγ’	*sfi/gg'	σφίγγω	sfi/ggw	urn:cite2:hmt:lsj.chicago_md:n101698	v3siia---
Τηθύος	*thqu/os	Τηθύς	*thqu/s	urn:cite2:hmt:lsj.chicago_md:n103776	n-s---fg-
Τυδεύς	*tudeu/s	Τυδεύς	*tudeu/s	urn:cite2:hmt:lsj.chicago_md:n105831	n-s---mn-
Τυδεῖ	*tudei=	Τυδεύς	*tudeu/s	urn:cite2:hmt:lsj.chicago_md:n105831	n-s---md-
Τυδέως	*tude/ws	Τυδεύς	*tudeu/s	urn:cite2:hmt:lsj.chicago_md:n105831	n-s---mg-
Τυδέως	*tude/ws	Τυδεύς	*tudeu/s	urn:cite2:hmt:lsj.chicago_md:n105831	n-s---mg-
Τυδέως	*tude/ws	Τυδεύς	*tudeu/s	urn:cite2:hmt:lsj.chicago_md:n105831	n-s---mn-
Τυφῶ	*tufw=	Τυφωεύς	*tufweu/s	urn:cite2:hmt:lsj.chicago_md:n106083	n-s---md-
Τυφῶ	*tufw=	τύφω	tu/fw	urn:cite2:hmt:lsj.chicago_md:n106081	v1sasp---
Τυφῶ	*tufw=	τύπτω	tu/ptw	urn:cite2:hmt:lsj.chicago_md:n105945	v1sasp---
Τυφῶ	*tufw=	τυφόω	tufo/w	urn:cite2:hmt:lsj.chicago_md:n106080	v1spsa---
Τυφῶ	*tufw=	τυφόω	tufo/w	urn:cite2:hmt:lsj.chicago_md:n106080	v1spia---
Τυφῶ	*tufw=	τυφώς	tufw/s	urn:cite2:hmt:lsj.chicago_md:n106088	n-s---md-
Τυφῶν’	*tufw=n'	Τυφῶν	*tufw=n	urn:cite2:hmt:lsj.chicago_md:n106084	n-s---ma-
Τυφῶν’	*tufw=n'	Τυφῶν	*tufw=n	urn:cite2:hmt:lsj.chicago_md:n106084	n-s---md-
Φοίβῳ	*foi/bw|	Φοῖβος	*foi=bos	urn:cite2:hmt:lsj.chicago_md:n111928	n-s---md-
Φοίβῳ	*foi/bw|	φοῖβος	foi=bos	urn:cite2:hmt:lsj.chicago_md:n111928	a-s---md-
Φοίβῳ	*foi/bw|	φοῖβος	foi=bos	urn:cite2:hmt:lsj.chicago_md:n111928	a-s---nd-
Φόβον	*fo/bon	Φόβος	*fo/bos	urn:cite2:hmt:lsj.chicago_md:n111908	n-s---ma-
Φόβον	*fo/bon	φόβος	fo/bos	urn:cite2:hmt:lsj.chicago_md:n111908	n-s---ma-
Φόβος	*fo/bos	Φόβος	*fo/bos	urn:cite2:hmt:lsj.chicago_md:n111908	n-s---mn-
Φόβος	*fo/bos	φόβος	fo/bos	urn:cite2:hmt:lsj.chicago_md:n111908	n-s---mn-
Χάλυβος	*xa/lubos	Χάλυβος	*xa/lubos	urn:cite2:hmt:lsj.chicago_md:n113218	n-s---mn-
Χάλυβος	*xa/lubos	Χάλυβος	*xa/lubos	urn:cite2:hmt:lsj.chicago_md:n113218	n-s---fn-
Χάλυβος	*xa/lubos	Χάλυψ	*xa/luy	urn:cite2:hmt:lsj.chicago_md:n113219	n-s---mg-
Χάλυβος	*xa/lubos	χάλυβος	xa/lubos	urn:cite2:hmt:lsj.chicago_md:n113218	n-s---mn-
αἰ	ai)	εἰ	ei)	urn:cite2:hmt:lsj.chicago_md:n30817	c--------
αἰαῖ	ai)ai=	αἰαῖ	ai)ai=	urn:cite2:hmt:lsj.chicago_md:n2105	x--------
αἰθερία	ai)qeri/a	αἰθέριος	ai)qe/rios	urn:cite2:hmt:lsj.chicago_md:n2309	a-d---fn-
αἰθερία	ai)qeri/a	αἰθέριος	ai)qe/rios	urn:cite2:hmt:lsj.chicago_md:n2309	a-d---fv-
αἰθερία	ai)qeri/a	αἰθέριος	ai)qe/rios	urn:cite2:hmt:lsj.chicago_md:n2309	a-d---fa-
