Αἰτωλίς	*ai)twli/s	none-found	n-s---fn-
Λίχας	*li/xhs	none-found	n-p---ma-
Λίχας	*li/xhs	none-found	n-s---mn-
Νεμέας	*ne/meios	none-found	a-p---fa-
Νεμέας	*ne/meios	none-found	a-s---fg-
Νέσσος	*ne/ssos	none-found	n-s---mn-
Νέσσου	*ne/ssos	none-found	n-s---mg-
Νύμφας	*nu/mfai	none-found	n-p---fa-
Νύμφας	*nu/mfai	none-found	n-s---fg-
Νύμφας	*nu/mfhs	none-found	n-s---mn-
Οἰνιαδᾶν	*oi)nia/dai	none-found	n-p---fg-
Οἰνιαδᾶν	*oi)nia/dh	none-found	n-p---fg-
Οἰνέως	*oi)neu/s	none-found	n-s---mg-
Οἰνέως	*oi)neu/s	none-found	n-s---mg-
Οἰνέως	*oi)neu/s	none-found	n-s---mn-
Οἰταῖον	*oi)tai=os	none-found	a-s---ma-
Οἰταῖον	*oi)tai=os	none-found	a-s---nn-
Οἰταῖον	*oi)tai=os	none-found	a-s---nv-
Οἰταῖον	*oi)tai=os	none-found	a-s---na-
Οἰταῖον	oi)tai=os	none-found	a-s---ma-
Οἰταῖον	oi)tai=os	none-found	a-s---nn-
Οἰταῖον	oi)tai=os	none-found	a-s---nv-
Οἰταῖον	oi)tai=os	none-found	a-s---na-
Πλευρῶνι	*pleurw/n	none-found	n-s---fd-
Τιρυνθίαν	*tiru/nqios	none-found	a-s---fa-
Τραχινίων	*traxi/nios	none-found	a-p---fg-
Τραχινίων	*traxi/nios	none-found	a-p---mg-
Τραχινίων	*traxi/nios	none-found	a-p---ng-
Τίρυνθι	*ti/runs	none-found	n-s---fd-
Χείρωνα	*xei/rwnes	none-found	n-s---ma-
αἰκίζει	ai)ki/zomai	none-found	v2spie---
αὐθαίμων	au)/qaimos	none-found	n-p---mg-
αὐθαίμων	au)/qaimos	none-found	n-p---fg-
αὐθαίμων	au)/qaimos	none-found	n-p---ng-
βαρβάρου	barbaro/w	none-found	v2spma---
βαρβάρου	barbaro/w	none-found	v3siia---
γραῖα	grai=os	none-found	a-p---nn-
γραῖα	grai=os	none-found	a-p---nv-
γραῖα	grai=os	none-found	a-p---na-
διερραίνοντο	diarrai/nomai	none-found	v3piie---
δοκῶ	doko/n	none-found	n-s---ng-
δούλαις	dou/lh	none-found	n-p---fd-
δούλη	dou/lh	none-found	n-s---fn-
δούλη	dou/lh	none-found	n-s---fv-
δούλην	dou/lh	none-found	n-s---fa-
δωμάτων	dwmato/w	none-found	v3piia---
δωμάτων	dwmato/w	none-found	v1siia---
δέλτου	delto/w	none-found	v2spma---
δέλτου	delto/w	none-found	v3siia---
δῆθεν	dh=qen	none-found	d--------
εἰσιδοῦσ’	ei)s-i)de/w	none-found	v-sppafn-
εἰσιδοῦσ’	ei)s-i)de/w	none-found	v-sppafv-
εἰσιδοῦσ’	ei)s-i)de/w	none-found	v-pppamd-
εἰσιδοῦσ’	ei)s-i)de/w	none-found	v-pppand-
εἰσιδοῦσ’	ei)s-i)de/w	none-found	v3ppia---
εἰσιδοῦσ’	ei)s-i)de/w	none-found	v-pppafn-
εἰσιδοῦσ’	ei)s-i)de/w	none-found	v-pppafv-
εὐοῖ	eu)oi=	none-found	x--------
θανεῖν	qnh/skw	none-found	v--ana---
θανούμενος	qnh/skw	none-found	v-sfpmmn-
θανοῦσα	qnh/skw	none-found	v-sapafn-
θανοῦσα	qnh/skw	none-found	v-sapafv-
θανοῦσι	qnh/skw	none-found	v-papamd-
θανοῦσι	qnh/skw	none-found	v-papand-
θανόντα	qnh/skw	none-found	v-papann-
θανόντα	qnh/skw	none-found	v-papanv-
θανόντα	qnh/skw	none-found	v-papana-
θανόντα	qnh/skw	none-found	v-sapama-
θανόντι	qnh/skw	none-found	v-sapamd-
θανόντι	qnh/skw	none-found	v-sapand-
θανόντος	qnh/skw	none-found	v-sapamg-
θανόντος	qnh/skw	none-found	v-sapang-
θανών	qnh/skw	none-found	v-sapamn-
θνῄσκων	qnh/skw	none-found	v-sppamn-
θάνοιμι	qnh/skw	none-found	v1saoa---
θάνω	qnh/skw	none-found	v1sasa---
θάνῃ	qnh/skw	none-found	v2sase---
θάνῃ	qnh/skw	none-found	v3sasa---
θῇς	qa/zw	none-found	v2sfia---
καθέζετ’	kata/-e(/zomai	none-found	v3saim---
καθέζετ’	kata/-e(/zomai	none-found	v3siie---
καθέζετ’	kata/-e(/zomai	none-found	v3spie---
καθέζετ’	kata/-kaqe/zomai	none-found	v3spim---
καθέζετ’	kata/-kaqe/zomai	none-found	v3siim---
κακῆς	kaka/zw	none-found	v2sfia---
κακῇ	kaka/zw	none-found	v2sfim---
κακῇ	kaka/zw	none-found	v3sfia---
κακῶν	kaka/zw	none-found	v-sfpamv-
κακῶν	kaka/zw	none-found	v-sfpann-
κακῶν	kaka/zw	none-found	v-sfpanv-
κακῶν	kaka/zw	none-found	v-sfpana-
κακῶν	kaka/zw	none-found	v-sfpamn-
κατθανεῖν	kataqnh/skw	none-found	v--ana---
καίτοι	kai/toi	none-found	g--------
μορφῇ	morfa/w	none-found	v2spse---
μορφῇ	morfa/w	none-found	v2spie---
μορφῇ	morfa/w	none-found	v3spsa---
μορφῇ	morfa/w	none-found	v3spia---
μορφῇ	morfa/w	none-found	v2spse---
μορφῇ	morfa/w	none-found	v2spie---
μορφῇ	morfa/w	none-found	v3spsa---
μούσας	*mou=sai	none-found	n-p---fa-
μούσας	*mou=sai	none-found	n-s---fg-
μάλιστα	ma/lista	none-found	d--------
μάλιστά	ma/lista	none-found	d--------
μάλιστ’	ma/lista	none-found	d--------
νώτοισι	nw=tos	none-found	n-p---md-
ξυνήθης	su/n-h)qe/w	none-found	v2siia---
ξυνήθης	su/n-h)qe/w	none-found	v2siia---
οἰστρηθείς	oi)stre/w	none-found	v-sappmn-
οἰστρηθείς	oi)stre/w	none-found	v-sappmv-
οἴκτιρόν	oi)ktei/rw	none-found	v2sama---
οἴκτιρόν	oi)ktei/rw	none-found	v3piia---
οἴκτιρόν	oi)ktei/rw	none-found	v1siia---
οὔθ’	ou)/ti	none-found	d--------
οὔτ’	ou)/ti	none-found	d--------
παρεισδέδεγμαι	para/-ei)sde/xomai	none-found	v1srie---
παρίστασαι	parista/w	none-found	v2samm---
πεπονημένος	pone/omai	none-found	v-srpemn-
ποτοῦ	poto/n	none-found	n-s---ng-
προστετακώς	pro/s-tei/nw	none-found	v-srpamn-
προστετακώς	pro/s-tei/nw	none-found	v-srpamv-
προύφηνεν	pro/-u(fai/nw	none-found	v3saia---
προύφηνεν	pro/-u(fai/nw	none-found	v3saia---
πάγκλαυτος	pa/gklautos	none-found	n-s---mn-
πάγκλαυτος	pa/gklautos	none-found	n-s---fn-
πάτραν	pa/trh	none-found	n-s---fa-
σεσωσμένα	sw/zw	none-found	v-prpenn-
σεσωσμένα	sw/zw	none-found	v-prpenv-
σεσωσμένα	sw/zw	none-found	v-prpena-
σεσωσμένα	sw/zw	none-found	v-drpefn-
σεσωσμένα	sw/zw	none-found	v-drpefv-
σεσωσμένα	sw/zw	none-found	v-drpefa-
σεσωσμένα	sw/zw	none-found	v-srpefn-
σεσωσμένα	sw/zw	none-found	v-srpefv-
σεσωσμένην	sw/zw	none-found	v-srpefa-
σεσώσμεθα	sw/zw	none-found	v1prie---
σεσώσμεθα	sw/zw	none-found	v1plie---
σκεδάσαι	skeda/w	none-found	v-sppafd-
σκεδάσαι	skeda/w	none-found	v3saoa---
σοῦ	se/w	none-found	v2spme---
σοῦ	se/w	none-found	v2siie---
στρατῷ	strata/w%	none-found	v3spoa---
συνθανεῖν	sunqnh/skw	none-found	v--ana---
σωθέντ’	sw/zw	none-found	v-pappnn-
σωθέντ’	sw/zw	none-found	v-pappnv-
σωθέντ’	sw/zw	none-found	v-pappna-
σωθέντ’	sw/zw	none-found	v-sappma-
σωθέντ’	sw/zw	none-found	v-sappmd-
σωθέντ’	sw/zw	none-found	v-sappnd-
σωθέντ’	sw/zw	none-found	v-dappmn-
σωθέντ’	sw/zw	none-found	v-dappmv-
σωθέντ’	sw/zw	none-found	v-dappma-
σωθέντ’	sw/zw	none-found	v-dappnn-
σωθέντ’	sw/zw	none-found	v-dappnv-
σωθέντ’	sw/zw	none-found	v-dappna-
σώσαντος	sw/zw	none-found	v-sapamg-
σώσαντος	sw/zw	none-found	v-sapang-
σῴζειν	sw/zw	none-found	v--pna---
σῶμ’	se/w	none-found	v1spsa---
σῶμ’	se/w	none-found	v1spse---
σῶν	se/w	none-found	v-sppamn-
ταύτῃ	tau/th|	none-found	d--------
τεθνηκότ’	qnh/skw	none-found	v-prpann-
τεθνηκότ’	qnh/skw	none-found	v-prpanv-
τεθνηκότ’	qnh/skw	none-found	v-prpana-
τεθνηκότ’	qnh/skw	none-found	v-srpama-
τεθνηκότ’	qnh/skw	none-found	v-srpamd-
τεθνηκότ’	qnh/skw	none-found	v-srpand-
τεθνηκότ’	qnh/skw	none-found	v-drpamn-
τεθνηκότ’	qnh/skw	none-found	v-drpamv-
τεθνηκότ’	qnh/skw	none-found	v-drpama-
τεθνηκότ’	qnh/skw	none-found	v-drpann-
τεθνηκότ’	qnh/skw	none-found	v-drpanv-
τεθνηκότ’	qnh/skw	none-found	v-drpana-
τοὔργον	e)/rgnumi	none-found	v-sppamv-
τοὔργον	e)/rgnumi	none-found	v-sppann-
τοὔργον	e)/rgnumi	none-found	v-sppanv-
τοὔργον	e)/rgnumi	none-found	v-sppana-
τριῶν	tria/cw	none-found	v-sfpamv-
τριῶν	tria/cw	none-found	v-sfpann-
τριῶν	tria/cw	none-found	v-sfpanv-
τριῶν	tria/cw	none-found	v-sfpana-
τριῶν	tria/cw	none-found	v-sfpamn-
τάχιστα	ta/xistos	none-found	a-p---nn-
τάχιστα	ta/xistos	none-found	a-p---nv-
τάχιστα	ta/xistos	none-found	a-p---na-
τέθνηκεν	qnh/skw	none-found	v3sria---
τέθνηκεν	qnh/skw	none-found	v3plia---
τῇδε	th=|de	none-found	d--------
τῇδ’	th=|de	none-found	d--------
φθίνει	fqine/w	none-found	v2spma---
φθίνει	fqine/w	none-found	v3siia---
φύσαντες	fu/sas	none-found	v-papamn-
φύσαντες	fu/sas	none-found	v-papamv-
φύσαντος	fu/sas	none-found	v-sapamg-
φύσαντος	fu/sas	none-found	v-sapang-
χειροποιεῖται	xeiropoie/w	none-found	v3spie---
ἀντειρήσεται	a)nte/romai	none-found	v3sfim---
ἀφίκοιτ’	a)fi/zw	none-found	v2proa---
ἄκοιτιν	a)/koitis	none-found	n-s---fa-
ἄκοιτις	a)/koitis	none-found	n-s---fn-
ἄλγιστον	a)/lgistos	none-found	a-s---ma-
ἄλγιστον	a)/lgistos	none-found	a-s---nn-
ἄλγιστον	a)/lgistos	none-found	a-s---nv-
ἄλγιστον	a)/lgistos	none-found	a-s---na-
ἄλλου	a)/llou	none-found	d--------
ἄμμιγά	a)/mmiga	none-found	d--------
Ἀλκμήνας	*)alkmh/nh	none-found	n-s---fg-
Ἀλκμήνην	*)alkmh/nh	none-found	n-s---fa-
Ἀλκμήνης	*)alkmh/nh	none-found	n-s---fg-
ἐκθνῄσκων	e)kqnh/skw	none-found	v-sppamn-
ἐλαφαβόλον	e)lafabo/los	none-found	n-s---ma-
ἐλαφαβόλον	e)lafabo/los	none-found	n-s---fa-
ἐλαφαβόλον	e)lafabo/los	none-found	n-s---nn-
ἐλαφαβόλον	e)lafabo/los	none-found	n-s---nv-
ἐλαφαβόλον	e)lafabo/los	none-found	n-s---na-
ἐπενθοροῦσ’	e)penqorou=sa	none-found	v-sapafn-
ἐπενθοροῦσ’	e)penqorou=sa	none-found	v-sapafv-
ἐπενθοροῦσ’	e)penqorou=si	none-found	v-papamd-
ἐπενθοροῦσ’	e)penqorou=si	none-found	v-papand-
ἐπενθοροῦσ’	e)penqorou=sai	none-found	v-papafn-
ἐπενθοροῦσ’	e)penqorou=sai	none-found	v-papafv-
ἐργαστέον	e)rgaste/os	none-found	n-s---ma-
ἐργαστέον	e)rgaste/os	none-found	n-s---fa-
ἐργαστέον	e)rgaste/os	none-found	n-s---nn-
ἐργαστέον	e)rgaste/os	none-found	n-s---nv-
ἐργαστέον	e)rgaste/os	none-found	n-s---na-
ἐσῳζόμην	sw/zw	none-found	v1siie---
ἔθνῃσχ’	qnh/skw	none-found	v3siia---
ἔξω	e)/ssomai	none-found	v2saie---
ἔργον	e)/rgnumi	none-found	v-sppamv-
ἔργον	e)/rgnumi	none-found	v-sppann-
ἔργον	e)/rgnumi	none-found	v-sppanv-
ἔργον	e)/rgnumi	none-found	v-sppana-
ἔργου	e)/rgnumi	none-found	v2siie---
ἔργων	e)/rgnumi	none-found	v-sppamn-
ἔσωθεν	e)/swqen	none-found	d--------
ἔσωθεν	sw/zw	none-found	v3paip---
Ἐρυμάνθιόν	*)eruma/nqios	none-found	a-s---ma-
Ἐρυμάνθιόν	*)eruma/nqios	none-found	a-s---nn-
Ἐρυμάνθιόν	*)eruma/nqios	none-found	a-s---nv-
Ἐρυμάνθιόν	*)eruma/nqios	none-found	a-s---na-
ἡδοναῖς	h(dona/	none-found	n-p---fd-
ἡδονήν	h(dona/	none-found	n-s---fa-
ἡδονῇ	h(dona/	none-found	n-s---fd-
Ἡρακλείας	*(hra/kleia	none-found	n-p---fa-
Ἡρακλείας	*(hra/kleia	none-found	n-s---fg-
Ἡρακλέους	*(hrakle/os	none-found	n-p---ma-
ἰδεῖν	i)de/w	none-found	v--pna---
ἰδοίμην	i)de/w	none-found	v1spoe---
ἰδοῦσα	i)de/w	none-found	v-sppafn-
ἰδοῦσα	i)de/w	none-found	v-sppafv-
ἱερῶν	i(erai/	none-found	n-p---fg-
ἴσχ’	i)/ske	none-found	v3saia---
Ἰφίτου	*)/ifitos	none-found	n-s---mg-
Ἰόλη	*)io/leus	none-found	n-s---ma-
Ἰόλη	*)io/lh	none-found	n-s---fn-
Ἰόλη	*)io/lh	none-found	n-s---fv-
Ἰόλην	*)io/lh	none-found	n-s---fa-
Ἴφιτος	*)/ifitos	none-found	n-s---mn-
ὀλεθρία	o)leqri/a	none-found	n-d---fn-
ὀλεθρία	o)leqri/a	none-found	n-d---fv-
ὀλεθρία	o)leqri/a	none-found	n-d---fa-
ὀλεθρία	o)leqri/a	none-found	n-s---fn-
ὀλεθρία	o)leqri/a	none-found	n-s---fv-
ὀλεθρίαισι	o)leqri/a	none-found	n-p---fd-
ὀνήσει	o)ne/omai	none-found	v2sfie---
Ὀμφάλῃ	*)omfa/lh	none-found	n-s---fd-
ᾠνωμένος	oi)no/omai	none-found	v-srpemn-
ᾤκτιρα	oi)ktei/rw	none-found	v1saia---
ῥεῖ	r(e/omai	none-found	v2spie---
ῥοφεῖ	r(ofa/w	none-found	v2spie---
ῥοφεῖ	r(ofa/w	none-found	v3spia---
