Αἰτωλίς	*ai)twli/s	Αἰτωλίς	*ai)twli/s	n-s---fn-
Εὐβοΐδα	*eu)boi+/da	Εὐβοίδας	*eu)boi/das	n-s---mg-
Εὐβοΐδα	*eu)boi+/da	Εὐβοικός	*eu)boiko/s	n-s---fa-
Εὐρυσθεύς	*eu)rusqeu/s	Εὐρυσθεύς	*eu)rusqeu/s	n-s---mn-
Εὐρύτου	*eu)ru/tou	Εὔρυτος	*eu)/rutos	n-s---mg-
Εὐρύτου	*eu)ru/tou	εὔρυτος	eu)/rutos	n-s---mg-
Εὐρύτου	*eu)ru/tou	εὔρυτος	eu)/rutos	n-s---fg-
Εὐρύτου	*eu)ru/tou	εὔρυτος	eu)/rutos	n-s---ng-
Εὔηνον	*eu)/hnon	Εὔηνος	*eu)/hnos	n-s---ma-
Εὔρυτον	*eu)/ruton	Εὔρυτος	*eu)/rutos	n-s---ma-
Εὔρυτον	*eu)/ruton	εὔρυτος	eu)/rutos	n-s---ma-
Εὔρυτον	*eu)/ruton	εὔρυτος	eu)/rutos	n-s---fa-
Εὔρυτον	*eu)/ruton	εὔρυτος	eu)/rutos	n-s---nn-
Εὔρυτον	*eu)/ruton	εὔρυτος	eu)/rutos	n-s---nv-
Εὔρυτον	*eu)/ruton	εὔρυτος	eu)/rutos	n-s---na-
Εὔρυτόν	*eu)/ruto/n	Εὔρυτος	*eu)/rutos	n-s---ma-
Εὔρυτόν	*eu)/ruto/n	εὔρυτος	eu)/rutos	n-s---ma-
Εὔρυτόν	*eu)/ruto/n	εὔρυτος	eu)/rutos	n-s---fa-
Εὔρυτόν	*eu)/ruto/n	εὔρυτος	eu)/rutos	n-s---nn-
Εὔρυτόν	*eu)/ruto/n	εὔρυτος	eu)/rutos	n-s---nv-
Εὔρυτόν	*eu)/ruto/n	εὔρυτος	eu)/rutos	n-s---na-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	n-s---mn-
Ζεῦ	*zeu=	Ζεύς	*zeu/s	n-s---mv-
Ζεῦ	*zeu=	ζέω	ze/w	v2spme---
Ζεῦ	*zeu=	ζέω	ze/w	v2siie---
Ζηνί	*zhni/	Ζεύς	*zeu/s	n-s---md-
Ζηνός	*zhno/s	Ζεύς	*zeu/s	n-s---mg-
Ζῆν’	*zh=n'	Ζεύς	*zeu/s	n-s---ma-
Ζῆν’	*zh=n'	ζῆνος	zh=nos	a-p---nn-
Ζῆν’	*zh=n'	ζῆνος	zh=nos	a-p---nv-
Ζῆν’	*zh=n'	ζῆνος	zh=nos	a-p---na-
Ζῆν’	*zh=n'	ζῆνος	zh=nos	a-s---mv-
Ζῆν’	*zh=n'	ζῆνος	zh=nos	a-p---fn-
Ζῆν’	*zh=n'	ζῆνος	zh=nos	a-p---fv-
Θήβας	*qh/bas	Θήβη	*qh/bh	n-s---fg-
Θήβας	*qh/bas	Θῆβαι	*qh=bai	n-p---fa-
Θήβης	*qh/bhs	Θήβη	*qh/bh	n-s---fg-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-p---nn-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-p---nv-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-p---na-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-d---mn-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-d---mv-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-d---ma-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-d---fn-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-d---fv-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-d---fa-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-d---nn-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-d---nv-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-d---na-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-s---ma-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-s---fa-
Κενταύρου	*kentau/rou	Κένταυρος	*ke/ntauros	n-s---mg-
Κηναίῳ	*khnai/w|	Κήναιον	*kh/naion	n-s---nd-
Κηναίῳ	*khnai/w|	Κηναῖος	*khnai=os	n-s---md-
Κρονίδαν	*kroni/dan	Κρονίδης	*kroni/dhs	n-s---ma-
Κρονίδαν	*kroni/dan	Κρονίδης	*kroni/dhs	n-s---ma-
Κρονίδας	*kroni/das	Κρονίδης	*kroni/dhs	n-p---ma-
Κρονίδας	*kroni/das	Κρονίδης	*kroni/dhs	n-s---mn-
Κρήσιον	*krh/sion	Κρής	*krh/s	a-s---ma-
Κρήσιον	*krh/sion	Κρής	*krh/s	a-s---nn-
Κρήσιον	*krh/sion	Κρής	*krh/s	a-s---nv-
Κρήσιον	*krh/sion	Κρής	*krh/s	a-s---na-
Κρήσιον	*krh/sion	Κρήσιος	*krh/sios	a-s---ma-
Κρήσιον	*krh/sion	Κρήσιος	*krh/sios	a-s---nn-
Κρήσιον	*krh/sion	Κρήσιος	*krh/sios	a-s---nv-
Κρήσιον	*krh/sion	Κρήσιος	*krh/sios	a-s---na-
Κένταυρος	*ke/ntauros	Κένταυρος	*ke/ntauros	n-s---mn-
Κήναιόν	*kh/naio/n	Κήναιον	*kh/naion	n-s---nn-
Κήναιόν	*kh/naio/n	Κήναιον	*kh/naion	n-s---nv-
Κήναιόν	*kh/naio/n	Κήναιον	*kh/naion	n-s---na-
Κήναιόν	*kh/naio/n	Κηναῖος	*khnai=os	n-s---ma-
Κύπρις	*ku/pris	Κύπρις	*ku/pris	n-s---fn-
Λερναίαν	*lernai/an	Λερναῖος	*lernai=os	a-s---fa-
Λερναίας	*lernai/as	Λερναῖος	*lernai=os	a-p---fa-
Λερναίας	*lernai/as	Λερναῖος	*lernai=os	a-s---fg-
Λοκρῶν	*lokrw=n	Λοκρός	*lokro/s	a-p---fg-
Λοκρῶν	*lokrw=n	Λοκρός	*lokro/s	a-p---mg-
Λοκρῶν	*lokrw=n	Λοκρός	*lokro/s	a-p---ng-
Λοκρῶν	*lokrw=n	Λοκροί	*lokroi/	n-p---mg-
Λυδοῖς	*ludoi=s	Λυδός	*ludo/s	n-p---md-
Λυδοῖς	*ludoi=s	Λυδός	*ludo/s	a-p---md-
Λυδοῖς	*ludoi=s	Λυδός	*ludo/s	a-p---nd-
Λυδία	*ludi/a	Λύδιος	*lu/dios	a-d---fn-
Λυδία	*ludi/a	Λύδιος	*lu/dios	a-d---fv-
Λυδία	*ludi/a	Λύδιος	*lu/dios	a-d---fa-
Λυδία	*ludi/a	Λύδιος	*lu/dios	a-s---fn-
Λυδία	*ludi/a	Λύδιος	*lu/dios	a-s---fv-
Λυδία	*ludi/a	Λυδία	*ludi/a	n-d---fn-
Λυδία	*ludi/a	Λυδία	*ludi/a	n-d---fv-
Λυδία	*ludi/a	Λυδία	*ludi/a	n-d---fa-
Λυδία	*ludi/a	Λυδία	*ludi/a	n-s---fn-
Λυδία	*ludi/a	Λυδία	*ludi/a	n-s---fv-
Λυδία	*ludi/a	Λυδίας	*ludi/as	n-d---mn-
Λυδία	*ludi/a	Λυδίας	*ludi/as	n-d---mv-
Λυδία	*ludi/a	Λυδίας	*ludi/as	n-d---ma-
Λυδία	*ludi/a	Λυδίας	*ludi/as	n-s---mv-
Λυδία	*ludi/a	Λυδίας	*ludi/as	n-s---mg-
Λυδῇ	*ludh=|	Λυδός	*ludo/s	a-s---fd-
Λίχα	*li/xa	Λίχας	*li/xas	n-s---mv-
Λίχα	*li/xa	Λίχης	*li/xhs	n-d---mn-
Λίχα	*li/xa	Λίχης	*li/xhs	n-d---mv-
Λίχα	*li/xa	Λίχης	*li/xhs	n-d---ma-
Λίχα	*li/xa	Λίχης	*li/xhs	n-s---mv-
Λίχα	*li/xa	Λίχης	*li/xhs	n-s---mg-
Λίχα	*li/xa	Λίχης	*li/xhs	n-s---mn-
Λίχαν	*li/xan	Λίχας	*li/xas	n-s---mv-
Λίχαν	*li/xan	Λίχης	*li/xhs	n-s---ma-
Λίχαν	*li/xan	Λίχης	*li/xhs	n-s---ma-
Λίχας	*li/xas	Λίχας	*li/xas	n-s---mn-
Λίχας	*li/xas	Λίχης	*li/xhs	n-p---ma-
Λίχας	*li/xas	Λίχης	*li/xhs	n-s---mn-
Μηλιεύς	*mhlieu/s	Μηλιεύς	*mhlieu/s	n-s---mn-
Μηλίδα	*mhli/da	Μηλίς	*mhli/s	n-s---fa-
Μηλίδα	*mhli/da	Μηλιεύς	*mhlieu/s	n-s---fa-
Μηλίδα	*mhli/da	μηλίς	mhli/s	n-s---fa-
Νεμέας	*neme/as	Νέμειος	*ne/meios	a-p---fa-
Νεμέας	*neme/as	Νέμειος	*ne/meios	a-s---fg-
Νεμέας	*neme/as	Νεμέα	*neme/a	n-p---fa-
Νεμέας	*neme/as	Νεμέα	*neme/a	n-s---fg-
Νέσσος	*ne/ssos	Νέσσος	*ne/ssos	n-s---mn-
Νέσσου	*ne/ssou	Νέσσος	*ne/ssos	n-s---mg-
Νύμφας	*nu/mfas	Νύμφαι	*nu/mfai	n-p---fa-
Νύμφας	*nu/mfas	Νύμφαι	*nu/mfai	n-s---fg-
Νύμφας	*nu/mfas	Νύμφης	*nu/mfhs	n-s---mn-
Νύμφας	*nu/mfas	νύμφη	nu/mfh	n-p---fa-
Νύμφας	*nu/mfas	νύμφη	nu/mfh	n-s---fg-
Οἰνιαδᾶν	*oi)niada=n	Οἰνιάδαι	*oi)nia/dai	n-p---fg-
Οἰνιαδᾶν	*oi)niada=n	Οἰνιάδη	*oi)nia/dh	n-p---fg-
Οἰνέως	*oi)ne/ws	Οἰνεύς	*oi)neu/s	n-s---mg-
Οἰνέως	*oi)ne/ws	Οἰνεύς	*oi)neu/s	n-s---mg-
Οἰνέως	*oi)ne/ws	Οἰνεύς	*oi)neu/s	n-s---mn-
Οἰταῖον	*oi)tai=on	Οἰταῖος	*oi)tai=os	a-s---ma-
Οἰταῖον	*oi)tai=on	Οἰταῖος	*oi)tai=os	a-s---nn-
Οἰταῖον	*oi)tai=on	Οἰταῖος	*oi)tai=os	a-s---nv-
Οἰταῖον	*oi)tai=on	Οἰταῖος	*oi)tai=os	a-s---na-
Οἰταῖον	*oi)tai=on	οἰταῖος	oi)tai=os	a-s---ma-
Οἰταῖον	*oi)tai=on	οἰταῖος	oi)tai=os	a-s---nn-
Οἰταῖον	*oi)tai=on	οἰταῖος	oi)tai=os	a-s---nv-
Οἰταῖον	*oi)tai=on	οἰταῖος	oi)tai=os	a-s---na-
Οἰχαλία	*oi)xali/a	Οἰχαλία	*oi)xali/a	n-d---fn-
Οἰχαλία	*oi)xali/a	Οἰχαλία	*oi)xali/a	n-d---fv-
Οἰχαλία	*oi)xali/a	Οἰχαλία	*oi)xali/a	n-d---fa-
Οἰχαλία	*oi)xali/a	Οἰχαλία	*oi)xali/a	n-s---fn-
Οἰχαλία	*oi)xali/a	Οἰχαλία	*oi)xali/a	n-s---fv-
Οἰχαλίαν	*oi)xali/an	Οἰχαλία	*oi)xali/a	n-s---fa-
Οἰχαλίας	*oi)xali/as	Οἰχαλία	*oi)xali/a	n-p---fa-
Οἰχαλίας	*oi)xali/as	Οἰχαλία	*oi)xali/a	n-s---fg-
Οἴτας	*oi)/tas	Οἴτη	*oi)/th	n-p---fa-
Οἴτας	*oi)/tas	Οἴτη	*oi)/th	n-s---fg-
Οἴτης	*oi)/ths	Οἴτη	*oi)/th	n-s---fg-
Παιάν	*paia/n	Παιάν	*paia/n	n-s---mn-
Παιάν	*paia/n	Παιάν	*paia/n	n-s---mv-
Παιάν	*paia/n	Παιάν	*paia/n	n-s---mn-
Παιάν	*paia/n	Παιάν	*paia/n	n-s---mv-
Πελειάδων	*peleia/dwn	πελειάς	peleia/s	n-p---fg-
Πλευρῶνι	*pleurw=ni	Πλευρών	*pleurw/n	n-s---fd-
Ποσειδάωνα	*poseida/wna	Ποσειδῶν	*poseidw=n	n-s---ma-
Πυλάτιδες	*pula/tides	Πυλᾶτις	*pula=tis	n-p---fn-
Πυλάτιδες	*pula/tides	Πυλᾶτις	*pula=tis	n-p---fv-
Πυλάτιδες	*pula/tides	πυλᾶτις	pula=tis	n-p---fn-
Πυλάτιδες	*pula/tides	πυλᾶτις	pula=tis	n-p---fv-
Σελλῶν	*sellw=n	Σελλοί	*selloi/	n-p---mg-
Σελλῶν	*sellw=n	σέλλα	se/lla	n-p---fg-
Τιρυνθίαν	*tirunqi/an	Τιρύνθιος	*tiru/nqios	a-s---fa-
Τραχινίων	*traxini/wn	Τραχίνιος	*traxi/nios	a-p---fg-
Τραχινίων	*traxini/wn	Τραχίνιος	*traxi/nios	a-p---mg-
Τραχινίων	*traxini/wn	Τραχίνιος	*traxi/nios	a-p---ng-
Τραχινίων	*traxini/wn	Τραχίς	*traxi/s	a-p---fg-
Τραχινίων	*traxini/wn	Τραχίς	*traxi/s	a-p---mg-
Τραχινίων	*traxini/wn	Τραχίς	*traxi/s	a-p---ng-
Τραχινίων	*traxini/wn	Τραχίς	*traxi/s	n-p---mg-
Τραχινίων	*traxini/wn	Τραχίς	*traxi/s	n-p---fg-
Τραχινίων	*traxini/wn	Τραχίς	*traxi/s	n-p---ng-
Τραχῖνι	*traxi=ni	Τραχίς	*traxi/s	n-s---fd-
Τίρυνθι	*ti/runqi	Τίρυνς	*ti/runs	n-s---fd-
Χείρωνα	*xei/rwna	Χείρων	*xei/rwn	n-s---ma-
Χείρωνα	*xei/rwna	Χείρωνες	*xei/rwnes	n-s---ma-
αἰαῖ	ai)ai=	αἰαῖ	ai)ai=	x--------
αἰδοῖα	ai)doi=a	αἰδοῖον	ai)doi=on	n-p---nn-
αἰδοῖα	ai)doi=a	αἰδοῖον	ai)doi=on	n-p---nv-
αἰδοῖα	ai)doi=a	αἰδοῖον	ai)doi=on	n-p---na-
αἰδοῖα	ai)doi=a	αἰδοῖος	ai)doi=os	a-p---nn-
αἰδοῖα	ai)doi=a	αἰδοῖος	ai)doi=os	a-p---nv-
αἰδοῖα	ai)doi=a	αἰδοῖος	ai)doi=os	a-p---na-
αἰεί	ai)ei/	ἀεί	a)ei/	d--------
αἰκίζει	ai)ki/zei	αἰκίζομαι	ai)ki/zomai	v2spie---
αἰκίζει	ai)ki/zei	αἰκίζω	ai)ki/zw	v2spie---
αἰκίζει	ai)ki/zei	αἰκίζω	ai)ki/zw	v3spia---
αἰπεινᾶς	ai)peina=s	αἰπεινός	ai)peino/s	a-s---fg-
αἰσχροῦ	ai)sxrou=	αἰσχρός	ai)sxro/s	a-s---mg-
αἰσχροῦ	ai)sxrou=	αἰσχρός	ai)sxro/s	a-s---ng-
αἰσχροῦ	ai)sxrou=	αἰσχρός	ai)sxro/s	n-s---mg-
αἰσχροῦ	ai)sxrou=	αἰσχρός	ai)sxro/s	n-s---fg-
αἰσχροῦ	ai)sxrou=	αἰσχρός	ai)sxro/s	n-s---ng-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-p---nn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-p---nv-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-p---na-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-d---fn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-d---fv-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-d---fa-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-s---fn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-s---fv-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	n-p---nn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	n-p---nv-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	n-p---na-
αἰσχύνην	ai)sxu/nhn	αἰσχύνη	ai)sxu/nh	n-s---fa-
αἰσχύνην	ai)sxu/nhn	αἰσχύνω	ai)sxu/nw	v--pna---
αἰσχύνῃ	ai)sxu/nh|	αἰσχύνη	ai)sxu/nh	n-s---fd-
αἰσχύνῃ	ai)sxu/nh|	αἰσχύνω	ai)sxu/nw	v2sasm---
αἰσχύνῃ	ai)sxu/nh|	αἰσχύνω	ai)sxu/nw	v3sasa---
αἰσχύνῃ	ai)sxu/nh|	αἰσχύνω	ai)sxu/nw	v2spse---
αἰσχύνῃ	ai)sxu/nh|	αἰσχύνω	ai)sxu/nw	v2spie---
αἰσχύνῃ	ai)sxu/nh|	αἰσχύνω	ai)sxu/nw	v3spsa---
αἰτήσομαι	ai)th/somai	αἰτέω	ai)te/w	v1sasm---
αἰτήσομαι	ai)th/somai	αἰτέω	ai)te/w	v1sfim---
αἰτίαν	ai)ti/an	αἴτιος	ai)/tios	a-s---fa-
αἰτίαν	ai)ti/an	αἰτία	ai)ti/a	n-s---fa-
αἰτίᾳ	ai)ti/a|	αἴτιος	ai)/tios	a-s---fd-
αἰτίᾳ	ai)ti/a|	αἰτία	ai)ti/a	n-p---fn-
αἰτίᾳ	ai)ti/a|	αἰτία	ai)ti/a	n-p---fv-
αἰτίᾳ	ai)ti/a|	αἰτία	ai)ti/a	n-s---fd-
αἰτῶ	ai)tw=	αἰτέω	ai)te/w	v1spsa---
αἰτῶ	ai)tw=	αἰτέω	ai)te/w	v1spia---
αἰχμαλώτοις	ai)xmalw/tois	αἰχμάλωτος	ai)xma/lwtos	n-p---md-
αἰχμαλώτοις	ai)xmalw/tois	αἰχμάλωτος	ai)xma/lwtos	n-p---fd-
αἰχμαλώτοις	ai)xmalw/tois	αἰχμάλωτος	ai)xma/lwtos	n-p---nd-
αἰχμάλωτον	ai)xma/lwton	αἰχμάλωτος	ai)xma/lwtos	n-s---ma-
αἰχμάλωτον	ai)xma/lwton	αἰχμάλωτος	ai)xma/lwtos	n-s---fa-
αἰχμάλωτον	ai)xma/lwton	αἰχμάλωτος	ai)xma/lwtos	n-s---nn-
αἰχμάλωτον	ai)xma/lwton	αἰχμάλωτος	ai)xma/lwtos	n-s---nv-
αἰχμάλωτον	ai)xma/lwton	αἰχμάλωτος	ai)xma/lwtos	n-s---na-
αἰχμάσαι	ai)xma/sai	αἰχμάζω	ai)xma/zw	v-sfpafd-
αἰχμάσαι	ai)xma/sai	αἰχμάζω	ai)xma/zw	v--ana---
αἰχμάσαι	ai)xma/sai	αἰχμάζω	ai)xma/zw	v3saoa---
αἰχμᾷ	ai)xma=|	αἰχμάζω	ai)xma/zw	v2sfim---
αἰχμᾷ	ai)xma=|	αἰχμάζω	ai)xma/zw	v3sfia---
αἰχμᾷ	ai)xma=|	αἰχμή	ai)xmh/	n-s---fd-
αἰέν	ai)e/n	ἀεί	a)ei/	d--------
αἰόλα	ai)o/la	αἰόλος	ai)o/los	a-p---nn-
αἰόλα	ai)o/la	αἰόλος	ai)o/los	a-p---nv-
αἰόλα	ai)o/la	αἰόλος	ai)o/los	a-p---na-
αἰόλα	ai)o/la	αἰόλος	ai)o/los	a-d---fn-
αἰόλα	ai)o/la	αἰόλος	ai)o/los	a-d---fv-
αἰόλα	ai)o/la	αἰόλος	ai)o/los	a-d---fa-
αἰόλα	ai)o/la	αἰόλος	ai)o/los	a-s---fn-
αἰόλα	ai)o/la	αἰόλος	ai)o/los	a-s---fv-
αἰόλος	ai)o/los	αἰόλος	ai)o/los	a-s---mn-
αἰών	ai)w/n	αἰών	ai)w/n	n-s---mn-
αἰών	ai)w/n	αἰών	ai)w/n	n-s---mv-
αἰῶν’	ai)w=n'	αἰών	ai)w/n	n-s---ma-
αἰῶν’	ai)w=n'	αἰών	ai)w/n	n-s---md-
αἰῶν’	ai)w=n'	αἰών	ai)w/n	n-d---mn-
αἰῶν’	ai)w=n'	αἰών	ai)w/n	n-d---mv-
αἰῶν’	ai)w=n'	αἰών	ai)w/n	n-d---ma-
αἱματηρά	ai(mathra/	αἱματηρός	ai(mathro/s	a-p---nn-
αἱματηρά	ai(mathra/	αἱματηρός	ai(mathro/s	a-p---nv-
αἱματηρά	ai(mathra/	αἱματηρός	ai(mathro/s	a-p---na-
αἱματηρά	ai(mathra/	αἱματηρός	ai(mathro/s	a-d---fn-
αἱματηρά	ai(mathra/	αἱματηρός	ai(mathro/s	a-d---fv-
αἱματηρά	ai(mathra/	αἱματηρός	ai(mathro/s	a-d---fa-
αἱματηρά	ai(mathra/	αἱματηρός	ai(mathro/s	a-s---fn-
αἱματηρά	ai(mathra/	αἱματηρός	ai(mathro/s	a-s---fv-
αἱματηρά	ai(mathra/	αἱματηρός	ai(mathro/s	n-p---nn-
αἱματηρά	ai(mathra/	αἱματηρός	ai(mathro/s	n-p---nv-
αἱματηρά	ai(mathra/	αἱματηρός	ai(mathro/s	n-p---na-
αἴρεσθε	ai)/resqe	αἴρω	ai)/rw	v2ppme---
αἴρεσθε	ai)/resqe	αἴρω	ai)/rw	v2ppie---
αἴρεσθε	ai)/resqe	αἴρω	ai)/rw	v2piie---
αἴρετ’	ai)/ret'	αἴρω	ai)/rw	v2ppma---
αἴρετ’	ai)/ret'	αἴρω	ai)/rw	v2ppia---
αἴρετ’	ai)/ret'	αἴρω	ai)/rw	v3spie---
αἴρετ’	ai)/ret'	αἴρω	ai)/rw	v3siie---
αἴρετ’	ai)/ret'	αἴρω	ai)/rw	v2piia---
αἴτιον	ai)/tion	αἴτιος	ai)/tios	a-s---ma-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	a-s---nn-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	a-s---nv-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	a-s---na-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	n-s---ma-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	n-s---fa-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	n-s---nn-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	n-s---nv-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	n-s---na-
αἴτιον	ai)/tion	αἰτέω	ai)te/w	v3piia---
αἴτιον	ai)/tion	αἰτέω	ai)te/w	v1siia---
αἵ	ai(/	ὁ	o(	l-p---fn-
αἵ	ai(/	ὁ	o(	l-p---fv-
αἵ	ai(/	ὅς	o(/s	p-p---fn-
αἵματος	ai(/matos	αἷμα	ai(=ma	n-s---ng-
αἵματός	ai(/mato/s	αἷμα	ai(=ma	n-s---ng-
αἶσαν	ai)=san	Αἶσα	*ai)=sa	n-s---fa-
αἷμα	ai(=ma	αἷμα	ai(=ma	n-s---nn-
αἷμα	ai(=ma	αἷμα	ai(=ma	n-s---nv-
αἷμα	ai(=ma	αἷμα	ai(=ma	n-s---na-
αἷμά	ai(=ma/	αἷμα	ai(=ma	n-s---nn-
αἷμά	ai(=ma/	αἷμα	ai(=ma	n-s---nv-
αἷμά	ai(=ma/	αἷμα	ai(=ma	n-s---na-
αὐδηθείς	au)dhqei/s	αὐδάομαι	au)da/omai	v-sapemn-
αὐδηθείς	au)dhqei/s	αὐδάομαι	au)da/omai	v-sapemv-
αὐδηθείς	au)dhqei/s	αὐδάω	au)da/w	v-sappmn-
αὐδηθείς	au)dhqei/s	αὐδάω	au)da/w	v-sappmv-
αὐδῆσαί	au)dh=sai/	αὐδάω	au)da/w	v--ana---
αὐθαίμων	au)qai/mwn	αὔθαιμος	au)/qaimos	n-p---mg-
αὐθαίμων	au)qai/mwn	αὔθαιμος	au)/qaimos	n-p---fg-
αὐθαίμων	au)qai/mwn	αὔθαιμος	au)/qaimos	n-p---ng-
αὐθαίμων	au)qai/mwn	αὐθαίμων	au)qai/mwn	n-p---mg-
αὐθαίμων	au)qai/mwn	αὐθαίμων	au)qai/mwn	n-p---fg-
αὐθαίμων	au)qai/mwn	αὐθαίμων	au)qai/mwn	n-p---ng-
αὐθαίμων	au)qai/mwn	αὐθαίμων	au)qai/mwn	n-s---mn-
αὐθαίμων	au)qai/mwn	αὐθαίμων	au)qai/mwn	n-s---fn-
αὐλαῖς	au)lai=s	αὐλή	au)lh/	n-p---fd-
αὐλόν	au)lo/n	αὐλός	au)lo/s	n-s---ma-
αὐλός	au)lo/s	αὐλός	au)lo/s	n-s---mn-
αὐλῆς	au)lh=s	αὐλέω	au)le/w	v2spia---
αὐλῆς	au)lh=s	αὐλή	au)lh/	n-s---fg-
αὐλῶνος	au)lw=nos	αὐλών	au)lw/n	n-s---mg-
αὐτοί	au)toi/	αὐτός	au)to/s	n-p---mn-
αὐτοί	au)toi/	αὐτός	au)to/s	n-p---mv-
αὐτοῖς	au)toi=s	αὐτός	au)to/s	n-p---nd-
αὐτοῖς	au)toi=s	αὐτός	au)to/s	n-p---md-
αὐτοῦ	au)tou=	αὐτός	au)to/s	n-s---ng-
αὐτοῦ	au)tou=	αὐτός	au)to/s	n-s---mg-
αὐτοῦ	au)tou=	αὐτοῦ	au)tou=	d--------
αὐτά	au)ta/	αὐτός	au)to/s	n-p---nn-
αὐτά	au)ta/	αὐτός	au)to/s	n-p---nv-
αὐτά	au)ta/	αὐτός	au)to/s	n-p---na-
