Αἰσχύλῳ	*ai)sxu/lw|	Αἰσχύλος	*ai)sxu/los	n-s---md-
κἀπιδώσειν	ka)pidw/sein	ἐπιδίδωμι	e)pidi/dwmi	v--fna---
κἀπιθυμοῖεν	ka)piqumoi=en	ἐπιθυμέω	e)piqume/w	v3ppoa---
κἀπιθυμοῖεν	ka)piqumoi=en	ἐπιθυμέω	e)piqume/w	v3ppoa---
κἀπιτέτριφεν	ka)pite/trifen	ἐπιτρίβω	e)pitri/bw	v3sria---
κἀπιχειρήσουσ’	ka)pixeirh/sous'	ἐπιχειρέω	e)pixeire/w	v-sfpafn-
κἀπιχειρήσουσ’	ka)pixeirh/sous'	ἐπιχειρέω	e)pixeire/w	v-sfpafv-
κἀπιχειρήσουσ’	ka)pixeirh/sous'	ἐπιχειρέω	e)pixeire/w	v3pasa---
κἀπιχειρήσουσ’	ka)pixeirh/sous'	ἐπιχειρέω	e)pixeire/w	v-pfpamd-
κἀπιχειρήσουσ’	ka)pixeirh/sous'	ἐπιχειρέω	e)pixeire/w	v-pfpand-
κἀπιχειρήσουσ’	ka)pixeirh/sous'	ἐπιχειρέω	e)pixeire/w	v3pfia---
κἀπιχειρήσουσ’	ka)pixeirh/sous'	ἐπιχειρέω	e)pixeire/w	v-pfpafn-
κἀπιχειρήσουσ’	ka)pixeirh/sous'	ἐπιχειρέω	e)pixeire/w	v-pfpafv-
κἀποδείρασ’	ka)podei/ras'	ἀποδέρω	a)pode/rw	v-sapafn-
κἀποδείρασ’	ka)podei/ras'	ἀποδέρω	a)pode/rw	v-sapafv-
κἀποδείρασ’	ka)podei/ras'	ἀποδέρω	a)pode/rw	v-papamd-
κἀποδείρασ’	ka)podei/ras'	ἀποδέρω	a)pode/rw	v-papand-
κἀποδείρασ’	ka)podei/ras'	ἀποδέρω	a)pode/rw	v-papafn-
κἀποδείρασ’	ka)podei/ras'	ἀποδέρω	a)pode/rw	v-papafv-
κἀποπυτίζει	ka)poputi/zei	ἀποπυτίζω	a)poputi/zw	v2spie---
κἀποπυτίζει	ka)poputi/zei	ἀποπυτίζω	a)poputi/zw	v3spia---
κἀποσείσασθαι	ka)posei/sasqai	ἀποσείω	a)posei/w	v--anm---
κἀρεθίζῃ	ka)reqi/zh|	ἐρεθίζω	e)reqi/zw	v2spse---
κἀρεθίζῃ	ka)reqi/zh|	ἐρεθίζω	e)reqi/zw	v2spie---
κἀρεθίζῃ	ka)reqi/zh|	ἐρεθίζω	e)reqi/zw	v3spsa---
κἀστίν	ka)sti/n	εἰμί	ei)mi/	v3spia---
κἀχθές	ka)xqe/s	ἐχθές	e)xqe/s	d--------
κἄγωγ’	ka)/gwg'	ἐγώ	e)gw/	p-s---mn-
κἄγωγ’	ka)/gwg'	ἐγώ	e)gw/	p-s---mv-
κἄγωγ’	ka)/gwg'	ἐγώ	e)gw/	p-s---fn-
κἄγωγ’	ka)/gwg'	ἐγώ	e)gw/	p-s---fv-
κἄθηλον	ka)/qhlon	ἄθηλος	a)/qhlos	n-s---ma-
κἄθηλον	ka)/qhlon	ἄθηλος	a)/qhlos	n-s---fa-
κἄθηλον	ka)/qhlon	ἄθηλος	a)/qhlos	n-s---nn-
κἄθηλον	ka)/qhlon	ἄθηλος	a)/qhlos	n-s---nv-
κἄθηλον	ka)/qhlon	ἄθηλος	a)/qhlos	n-s---na-
κἄλλως	ka)/llws	ἄλλος	a)/llos	n-p---ma-
κἄλλως	ka)/llws	ἄλλως	a)/llws	d--------
κἄμ’	ka)/m'	ἁμόσ1	a(mo/s1	a-p---nn-
κἄμ’	ka)/m'	ἁμόσ1	a(mo/s1	a-p---nv-
κἄμ’	ka)/m'	ἁμόσ1	a(mo/s1	a-p---na-
κἄμ’	ka)/m'	ἁμόσ1	a(mo/s1	a-d---fn-
κἄμ’	ka)/m'	ἁμόσ1	a(mo/s1	a-d---fv-
κἄμ’	ka)/m'	ἁμόσ1	a(mo/s1	a-d---fa-
κἄμ’	ka)/m'	ἁμόσ1	a(mo/s1	a-s---fn-
κἄμ’	ka)/m'	ἁμόσ1	a(mo/s1	a-s---fv-
κἄμ’	ka)/m'	ἁμόσ1	a(mo/s1	a-s---mv-
κἄμ’	ka)/m'	ἁμόσ1	a(mo/s1	a-p---fn-
κἄμ’	ka)/m'	ἁμόσ1	a(mo/s1	a-p---fv-
κἄμ’	ka)/m'	ἄμη	a)/mh	n-p---fn-
κἄμ’	ka)/m'	ἄμη	a)/mh	n-p---fv-
κἄμ’	ka)/m'	ἄμη	a)/mh	n-s---fd-
κἄμ’	ka)/m'	ἄμπ	a)/mp	n-s---nn-
κἄμ’	ka)/m'	ἄμπ	a)/mp	n-s---nv-
κἄμ’	ka)/m'	ἄμπ	a)/mp	n-s---na-
κἄμ’	ka)/m'	ἀμίς	a)mi/s	n-s---fv-
κἄμ’	ka)/m'	ἐγώ	e)gw/	p-s---ma-
κἄμ’	ka)/m'	ἐγώ	e)gw/	p-s---fa-
κἄμ’	ka)/m'	ἐμός	e)mo/s	a-p---nn-
κἄμ’	ka)/m'	ἐμός	e)mo/s	a-p---nv-
κἄμ’	ka)/m'	ἐμός	e)mo/s	a-p---na-
κἄμ’	ka)/m'	ἐμός	e)mo/s	a-d---fn-
κἄμ’	ka)/m'	ἐμός	e)mo/s	a-d---fv-
κἄμ’	ka)/m'	ἐμός	e)mo/s	a-d---fa-
κἄμ’	ka)/m'	ἐμός	e)mo/s	a-s---fn-
κἄμ’	ka)/m'	ἐμός	e)mo/s	a-s---fv-
κἄμ’	ka)/m'	ἐμός	e)mo/s	a-s---mv-
κἄμ’	ka)/m'	ἐμός	e)mo/s	a-p---fn-
κἄμ’	ka)/m'	ἐμός	e)mo/s	a-p---fv-
κἄμ’	ka)/m'	ἡμός	h(mo/s	a-p---nn-
κἄμ’	ka)/m'	ἡμός	h(mo/s	a-p---nv-
κἄμ’	ka)/m'	ἡμός	h(mo/s	a-p---na-
κἄμ’	ka)/m'	ἡμός	h(mo/s	a-d---fn-
κἄμ’	ka)/m'	ἡμός	h(mo/s	a-d---fv-
κἄμ’	ka)/m'	ἡμός	h(mo/s	a-d---fa-
κἄμ’	ka)/m'	ἡμός	h(mo/s	a-s---fn-
κἄμ’	ka)/m'	ἡμός	h(mo/s	a-s---fv-
κἄμ’	ka)/m'	ἡμός	h(mo/s	a-s---mv-
κἄμ’	ka)/m'	ἡμός	h(mo/s	a-p---fn-
κἄμ’	ka)/m'	ἡμός	h(mo/s	a-p---fv-
κἄν	ka)/n	κἀν	ka)n	c--------
κἄπειτα	ka)/peita	ἔπειτα	e)/peita	d--------
κἄποχον	ka)/poxon	ἄποχος	a)/poxos	n-s---ma-
κἄποχον	ka)/poxon	ἄποχος	a)/poxos	n-s---fa-
κἄποχον	ka)/poxon	ἄποχος	a)/poxos	n-s---nn-
κἄποχον	ka)/poxon	ἄποχος	a)/poxos	n-s---nv-
κἄποχον	ka)/poxon	ἄποχος	a)/poxos	n-s---na-
κἄποχον	ka)/poxon	ἔποχον	e)/poxon	n-s---nn-
κἄποχον	ka)/poxon	ἔποχον	e)/poxon	n-s---nv-
κἄποχον	ka)/poxon	ἔποχον	e)/poxon	n-s---na-
κἄποχον	ka)/poxon	ἔποχος	e)/poxos	n-s---ma-
κἄποχον	ka)/poxon	ἔποχος	e)/poxos	n-s---fa-
κἄποχον	ka)/poxon	ἔποχος	e)/poxos	n-s---nn-
κἄποχον	ka)/poxon	ἔποχος	e)/poxos	n-s---nv-
κἄποχον	ka)/poxon	ἔποχος	e)/poxos	n-s---na-
κἄσθ’	ka)/sq'	ἀστή	a)sth/	n-d---fn-
κἄσθ’	ka)/sq'	ἀστή	a)sth/	n-d---fv-
κἄσθ’	ka)/sq'	ἀστή	a)sth/	n-d---fa-
κἄσθ’	ka)/sq'	ἀστή	a)sth/	n-s---fn-
κἄσθ’	ka)/sq'	ἀστή	a)sth/	n-s---fv-
κἄσθ’	ka)/sq'	ἀστή	a)sth/	n-p---fn-
κἄσθ’	ka)/sq'	ἀστή	a)sth/	n-p---fv-
κἄσθ’	ka)/sq'	ἀστός	a)sto/s	n-s---mv-
κἄσθ’	ka)/sq'	ἔσθω	e)/sqw	v2spma---
κἄσθ’	ka)/sq'	ἔστε	e)/ste	c--------
κἄσθ’	ka)/sq'	εἰμί	ei)mi/	v3spia---
κἄσθ’	ka)/sq'	εἰμί	ei)mi/	v2ppia---
κἄσθ’	ka)/sq'	εἰμί	ei)mi/	v2ppma---
κἄσθ’	ka)/sq'	εἰμί	ei)mi/	v3sfim---
κἄστιν	ka)/stin	εἰμί	ei)mi/	v3spia---
κἄστ’	ka)/st'	ἀστή	a)sth/	n-d---fn-
κἄστ’	ka)/st'	ἀστή	a)sth/	n-d---fv-
κἄστ’	ka)/st'	ἀστή	a)sth/	n-d---fa-
κἄστ’	ka)/st'	ἀστή	a)sth/	n-s---fn-
κἄστ’	ka)/st'	ἀστή	a)sth/	n-s---fv-
κἄστ’	ka)/st'	ἀστή	a)sth/	n-p---fn-
κἄστ’	ka)/st'	ἀστή	a)sth/	n-p---fv-
κἄστ’	ka)/st'	ἀστός	a)sto/s	n-s---mv-
κἄστ’	ka)/st'	ἔστε	e)/ste	c--------
κἄστ’	ka)/st'	εἰμί	ei)mi/	v3spia---
κἄστ’	ka)/st'	εἰμί	ei)mi/	v2ppia---
κἄστ’	ka)/st'	εἰμί	ei)mi/	v2ppma---
κἄστ’	ka)/st'	εἰμί	ei)mi/	v3sfim---
κἄχομεν	ka)/xomen	ἔχω	e)/xw	v1ppia---
κἠλευθέρωσαν	kh)leuqe/rwsan	ἐλευθερόω	e)leuqero/w	v3paia---
κὠπίσω	kw)pi/sw	ὀπίσω	o)pi/sw	d--------
κὠπίσω	kw)pi/sw	ὀπίζω	o)pi/zw	v1sasa---
κὠπίσω	kw)pi/sw	ὀπίζω	o)pi/zw	v1sfia---
κὠπίσω	kw)pi/sw	ὀπίζω	o)pi/zw	v2saim---
κά	ka/	ἄν1	a)/n1	g--------
κάθησθε	ka/qhsqe	κάθημαι	ka/qhmai	v2prim---
κάθησθε	ka/qhsqe	καθίημι	kaqi/hmi	v2pasm---
κάθηται	ka/qhtai	καθίημι	kaqi/hmi	v3sasm---
κάκιστε	ka/kiste	κακός	kako/s	a-s---mv-
κάλει	ka/lei	καλέω	kale/w	v2spma---
κάλει	ka/lei	καλέω	kale/w	v3siia---
κάλεσον	ka/leson	καλέω	kale/w	v2sama---
κάλλιον	ka/llion	κάλλιον	ka/llion	d--------
κάλλιον	ka/llion	καλός	kalo/s	a-s---mv-
κάλλιον	ka/llion	καλός	kalo/s	a-s---fv-
κάλλιον	ka/llion	καλός	kalo/s	a-s---nn-
κάλλιον	ka/llion	καλός	kalo/s	a-s---nv-
κάλλιον	ka/llion	καλός	kalo/s	a-s---na-
κάλλιστα	ka/llista	κάλλιστα	ka/llista	d--------
κάλλιστα	ka/llista	καλός	kalo/s	a-p---nn-
κάλλιστα	ka/llista	καλός	kalo/s	a-p---nv-
κάλλιστα	ka/llista	καλός	kalo/s	a-p---na-
κάλλος	ka/llos	κάλλος	ka/llos	n-s---nn-
κάλλος	ka/llos	κάλλος	ka/llos	n-s---nv-
κάλλος	ka/llos	κάλλος	ka/llos	n-s---na-
κάλπιδας	ka/lpidas	κάλπις	ka/lpis	n-p---fa-
κάλπιν	ka/lpin	κάλπις	ka/lpis	n-s---fa-
κάλυμμα	ka/lumma	κάλυμμα	ka/lumma	n-s---nn-
κάλυμμα	ka/lumma	κάλυμμα	ka/lumma	n-s---nv-
κάλυμμα	ka/lumma	κάλυμμα	ka/lumma	n-s---na-
κάμοιμ’	ka/moim'	κάμνω	ka/mnw	v1saoa---
κάνθαρός	ka/nqaro/s	κάνθαρος	ka/nqaros	n-s---mn-
κάομαι	ka/omai	καίω	kai/w	v1spie---
κάπηλος	ka/phlos	κάπηλος	ka/phlos	n-s---mn-
κάπρου	ka/prou	κάπρος	ka/pros	n-s---mg-
κάπρως	ka/prws	κάπρος	ka/pros	n-p---ma-
κάρφος	ka/rfos	κάρφος	ka/rfos	n-s---nn-
κάρφος	ka/rfos	κάρφος	ka/rfos	n-s---nv-
κάρφος	ka/rfos	κάρφος	ka/rfos	n-s---na-
κάταγμα	ka/tagma	κάταγμα	ka/tagma	n-s---nn-
κάταγμα	ka/tagma	κάταγμα	ka/tagma	n-s---nv-
κάταγμα	ka/tagma	κάταγμα	ka/tagma	n-s---na-
κάτω	ka/tw	κάτος	ka/tos	n-d---mn-
κάτω	ka/tw	κάτος	ka/tos	n-d---mv-
κάτω	ka/tw	κάτος	ka/tos	n-d---ma-
κάτω	ka/tw	κάτος	ka/tos	n-d---fn-
κάτω	ka/tw	κάτος	ka/tos	n-d---fv-
κάτω	ka/tw	κάτος	ka/tos	n-d---fa-
κάτω	ka/tw	κάτος	ka/tos	n-d---nn-
κάτω	ka/tw	κάτος	ka/tos	n-d---nv-
κάτω	ka/tw	κάτος	ka/tos	n-d---na-
κάτω	ka/tw	κάτος	ka/tos	n-s---mg-
κάτω	ka/tw	κάτος	ka/tos	n-s---fg-
κάτω	ka/tw	κάτος	ka/tos	n-s---ng-
κάτω	ka/tw	κάτω	ka/tw	d--------
κάτω	ka/tw	κατόω	kato/w	v2spma---
κάτω	ka/tw	κατόω	kato/w	v3siia---
κέχηνας	ke/xhnas	χάσκω	xa/skw	v2sria---
κίσταις	ki/stais	κίστη	ki/sth	n-p---fd-
κόλπον	ko/lpon	κόλπος	ko/lpos	n-s---ma-
κόλπων	ko/lpwn	κόλπος	ko/lpos	n-p---mg-
κόλπων	ko/lpwn	κολπόω	kolpo/w	v3piia---
κόλπων	ko/lpwn	κολπόω	kolpo/w	v1siia---
κόμαι	ko/mai	κόμη	ko/mh	n-p---fn-
κόμαι	ko/mai	κόμη	ko/mh	n-p---fv-
κόμαι	ko/mai	κόμη	ko/mh	n-s---fd-
