Γαιηόχου	*gaiho/xou	Γαιήοχος	*gaih/oxos	n-s---mg-
Μοῦσα	*mou=sa	Μοῦσαι	*mou=sai	n-s---fn-
Μοῦσα	*mou=sa	Μοῦσαι	*mou=sai	n-s---fv-
Μοῦσα	*mou=sa	Μοῦσαι	*mou=sai	n-s---fn-
Μοῦσα	*mou=sa	Μοῦσαι	*mou=sai	n-s---fv-
Οὐλύμποιο	*ou)lu/mpoio	Ὄλυμπος	*)/olumpos	n-s---mg-
Παρνησοῖο	*parnhsoi=o	Παρνασός	*parnaso/s	n-s---mg-
Πιερίηθεν	*pieri/hqen	Πιερίηθεν	*pieri/hqen	d--------
Πιερίης	*pieri/hs	Πιερία	*pieri/a	n-s---fg-
Πυθῶνα	*puqw=na	Πυθών	*puqw/n	n-s---fa-
Πάλλαντος	*pa/llantos	Πάλλας	*pa/llas	n-s---mg-
Πύλον	*pu/lon	Πύλος	*pu/los	n-s---ma-
Πύλον	*pu/lon	Πύλος	*pu/los	n-s---fa-
Πύλον	*pu/lon	πύλος	pu/los	n-s---ma-
Πύλονδ’	*pu/lond'	Πυλόνδε	*pulo/nde	d--------
Σελήνη	*selh/nh	Σελήνη	*selh/nh	n-s---fn-
Σελήνη	*selh/nh	Σελήνη	*selh/nh	n-s---fv-
Σελήνη	*selh/nh	σελήνη	selh/nh	n-s---fn-
Σελήνη	*selh/nh	σελήνη	selh/nh	n-s---fv-
Σελήνης	*selh/nhs	Σελήνη	*selh/nh	n-s---fg-
Σελήνης	*selh/nhs	σελήνη	selh/nh	n-s---fg-
Στυγός	*stugo/s	Στύξ	*stu/c	n-s---fg-
Τάρταρον	*ta/rtaron	Τάρταρος	*ta/rtaros	n-s---fa-
Τόν	*to/n	ὁ	o(	l-s---ma-
Φοίβου	*foi/bou	Φοῖβος	*foi=bos	n-s---mg-
Φοίβου	*foi/bou	φοῖβος	foi=bos	a-s---mg-
Φοίβου	*foi/bou	φοῖβος	foi=bos	a-s---ng-
Φοῖβος	*foi=bos	Φοῖβος	*foi=bos	n-s---mn-
Φοῖβος	*foi=bos	φοῖβος	foi=bos	a-s---mn-
αἰγιόχοιο	ai)gio/xoio	αἰγίοχος	ai)gi/oxos	n-s---mg-
αἰγιόχοιο	ai)gio/xoio	αἰγίοχος	ai)gi/oxos	n-s---fg-
αἰγιόχοιο	ai)gio/xoio	αἰγίοχος	ai)gi/oxos	n-s---ng-
αἰδοίη	ai)doi/h	αἰδοῖος	ai)doi=os	a-s---fn-
αἰδοίη	ai)doi/h	αἰδοῖος	ai)doi=os	a-s---fv-
αἰδέομαι	ai)de/omai	αἰδέομαι	ai)de/omai	v1spie---
αἰειγενετάων	ai)eigeneta/wn	ἀειγενέτης	a)eigene/ths	n-p---mg-
αἰειγενετάων	ai)eigeneta/wn	αἰειγενέτης	ai)eigene/ths	n-p---mg-
αἰετόν	ai)eto/n	ἀετός	a)eto/s	n-s---ma-
αἰετός	ai)eto/s	ἀετός	a)eto/s	n-s---mn-
αἰνά	ai)na/	αἰνός	ai)no/s	a-p---nn-
αἰνά	ai)na/	αἰνός	ai)no/s	a-p---nv-
αἰνά	ai)na/	αἰνός	ai)no/s	a-p---na-
αἰνά	ai)na/	αἰνός	ai)no/s	a-d---fn-
αἰνά	ai)na/	αἰνός	ai)no/s	a-d---fv-
αἰνά	ai)na/	αἰνός	ai)no/s	a-d---fa-
αἰνά	ai)na/	αἰνός	ai)no/s	a-s---fn-
αἰνά	ai)na/	αἰνός	ai)no/s	a-s---fv-
αἰνόμορον	ai)no/moron	αἰνόμορος	ai)no/moros	n-s---ma-
αἰνόμορον	ai)no/moron	αἰνόμορος	ai)no/moros	n-s---fa-
αἰνόμορον	ai)no/moron	αἰνόμορος	ai)no/moros	n-s---nn-
αἰνόμορον	ai)no/moron	αἰνόμορος	ai)no/moros	n-s---nv-
αἰνόμορον	ai)no/moron	αἰνόμορος	ai)no/moros	n-s---na-
αἰνότερ’	ai)no/ter'	αἰνός	ai)no/s	a-p---nn-
αἰνότερ’	ai)no/ter'	αἰνός	ai)no/s	a-p---nv-
αἰνότερ’	ai)no/ter'	αἰνός	ai)no/s	a-p---na-
αἰνότερ’	ai)no/ter'	αἰνός	ai)no/s	a-s---mv-
αἰνότερ’	ai)no/ter'	αἰνός	ai)no/s	a-p---fn-
αἰνότερ’	ai)no/ter'	αἰνός	ai)no/s	a-p---fv-
αἰπύν	ai)pu/n	αἰπύς	ai)pu/s	a-s---ma-
αἰέν	ai)e/n	ἀεί	a)ei/	d--------
αἰόλον	ai)o/lon	αἰόλος	ai)o/los	a-s---ma-
αἰόλον	ai)o/lon	αἰόλος	ai)o/los	a-s---nn-
αἰόλον	ai)o/lon	αἰόλος	ai)o/los	a-s---nv-
αἰόλον	ai)o/lon	αἰόλος	ai)o/los	a-s---na-
αἰῶνας	ai)w=nas	αἰών	ai)w/n	n-p---ma-
αἰῶν’	ai)w=n'	αἰών	ai)w/n	n-s---ma-
αἰῶν’	ai)w=n'	αἰών	ai)w/n	n-s---md-
αἰῶν’	ai)w=n'	αἰών	ai)w/n	n-d---mn-
αἰῶν’	ai)w=n'	αἰών	ai)w/n	n-d---mv-
αἰῶν’	ai)w=n'	αἰών	ai)w/n	n-d---ma-
αἱ	ai(	ὁ	o(	l-p---fn-
αἱ	ai(	ὁ	o(	l-p---fv-
αἱμυλομήτην	ai(mulomh/thn	αἱμυλομήτης	ai(mulomh/ths	n-s---ma-
αἱμυλίοισι	ai(muli/oisi	αἱμύλιος	ai(mu/lios	n-p---md-
αἱμυλίοισι	ai(muli/oisi	αἱμύλιος	ai(mu/lios	n-p---fd-
αἱμυλίοισι	ai(muli/oisi	αἱμύλιος	ai(mu/lios	n-p---nd-
αἱμυλίοισι	ai(muli/oisi	αἱμύλος	ai(mu/los	n-p---md-
αἱμυλίοισι	ai(muli/oisi	αἱμύλος	ai(mu/los	n-p---fd-
αἱμυλίοισι	ai(muli/oisi	αἱμύλος	ai(mu/los	n-p---nd-
αἴ	ai)/	αἴ	ai)/	x--------
αἴ	ai)/	εἰ	ei)	c--------
αἴθωνα	ai)/qwna	αἴθων	ai)/qwn	n-p---nn-
αἴθωνα	ai)/qwna	αἴθων	ai)/qwn	n-p---nv-
αἴθωνα	ai)/qwna	αἴθων	ai)/qwn	n-p---na-
αἴθωνα	ai)/qwna	αἴθων	ai)/qwn	n-s---ma-
αἴθωνα	ai)/qwna	αἴθων	ai)/qwn	n-s---fa-
αἴνυτο	ai)/nuto	αἴνυμαι	ai)/numai	v3siim---
αἴσυλα	ai)/sula	αἴσυλος	ai)/sulos	n-p---nn-
αἴσυλα	ai)/sula	αἴσυλος	ai)/sulos	n-p---nv-
αἴσυλα	ai)/sula	αἴσυλος	ai)/sulos	n-p---na-
αἴτιος	ai)/tios	αἴτιος	ai)/tios	a-s---mn-
αἴτιος	ai)/tios	αἴτιος	ai)/tios	n-s---mn-
αἴτιος	ai)/tios	αἴτιος	ai)/tios	n-s---fn-
αἴτιός	ai)/tio/s	αἴτιος	ai)/tios	a-s---mn-
αἴτιός	ai)/tio/s	αἴτιος	ai)/tios	n-s---mn-
αἴτιός	ai)/tio/s	αἴτιος	ai)/tios	n-s---fn-
αἵ	ai(/	ὁ	o(	l-p---fn-
αἵ	ai(/	ὁ	o(	l-p---fv-
αἵ	ai(/	ὅς	o(/s	p-p---fn-
αἵτινες	ai(/tines	ὅστις	o(/stis	p-p---fn-
αἶψα	ai)=ya	αἶψα	ai)=ya	d--------
αἶψ’	ai)=y'	αἶψα	ai)=ya	d--------
αἷμα	ai(=ma	αἷμα	ai(=ma	n-s---nn-
αἷμα	ai(=ma	αἷμα	ai(=ma	n-s---nv-
αἷμα	ai(=ma	αἷμα	ai(=ma	n-s---na-
αὐγάς	au)ga/s	αὐγή	au)gh/	n-p---fa-
αὐλείῃσι	au)lei/h|si	αὔλειος	au)/leios	a-p---fd-
αὐλείῃσι	au)lei/h|si	αὐλεία	au)lei/a	n-p---fd-
αὐλῆς	au)lh=s	αὐλέω	au)le/w	v2spia---
αὐλῆς	au)lh=s	αὐλή	au)lh/	n-s---fg-
αὐλῶν	au)lw=n	αὐλέω	au)le/w	v-sppamn-
αὐλῶν	au)lw=n	αὐλή	au)lh/	n-p---fg-
αὐλῶν	au)lw=n	αὐλός	au)lo/s	n-p---mg-
αὐλῶνας	au)lw=nas	αὐλών	au)lw/n	n-p---ma-
αὐτοσχεδίης	au)tosxedi/hs	αὐτοσχέδιος	au)tosxe/dios	a-s---fg-
αὐτοτροπήσας	au)totroph/sas	αὐτοτροπήσας	au)totroph/sas	v-sapamn-
αὐτοτροπήσας	au)totroph/sas	αὐτοτροπήσας	au)totroph/sas	v-sapamv-
αὐτοί	au)toi/	αὐτός	au)to/s	n-p---mn-
αὐτοί	au)toi/	αὐτός	au)to/s	n-p---mv-
αὐτοῖσιν	au)toi=sin	αὐτός	au)to/s	n-p---nd-
αὐτοῖσιν	au)toi=sin	αὐτός	au)to/s	n-p---md-
αὐτοῖσίν	au)toi=si/n	αὐτός	au)to/s	n-p---nd-
αὐτοῖσίν	au)toi=si/n	αὐτός	au)to/s	n-p---md-
αὐτοῦ	au)tou=	αὐτός	au)to/s	n-s---ng-
αὐτοῦ	au)tou=	αὐτός	au)to/s	n-s---mg-
αὐτοῦ	au)tou=	αὐτοῦ	au)tou=	d--------
αὐτάγρετόν	au)ta/greto/n	αὐτάγρετος	au)ta/gretos	n-s---ma-
αὐτάγρετόν	au)ta/greto/n	αὐτάγρετος	au)ta/gretos	n-s---fa-
αὐτάγρετόν	au)ta/greto/n	αὐτάγρετος	au)ta/gretos	n-s---nn-
αὐτάγρετόν	au)ta/greto/n	αὐτάγρετος	au)ta/gretos	n-s---nv-
αὐτάγρετόν	au)ta/greto/n	αὐτάγρετος	au)ta/gretos	n-s---na-
αὐτάρ	au)ta/r	ἀτάρ	a)ta/r	g--------
αὐτήν	au)th/n	αὐτός	au)to/s	n-s---fa-
αὐτίκα	au)ti/ka	αὐτίκα	au)ti/ka	d--------
αὐτόθεν	au)to/qen	αὐτόθεν	au)to/qen	d--------
αὐτόν	au)to/n	αὐτός	au)to/s	n-s---ma-
αὐτός	au)to/s	αὐτός	au)to/s	n-s---mn-
αὐτῷ	au)tw=|	αὐτός	au)to/s	n-s---nd-
αὐτῷ	au)tw=|	αὐτός	au)to/s	n-s---md-
αὔλιον	au)/lion	αὔλιον	au)/lion	n-s---nn-
αὔλιον	au)/lion	αὔλιον	au)/lion	n-s---nv-
αὔλιον	au)/lion	αὔλιον	au)/lion	n-s---na-
αὔλιον	au)/lion	αὔλιος	au)/lios	a-s---ma-
αὔλιον	au)/lion	αὔλιος	au)/lios	a-s---nn-
αὔλιον	au)/lion	αὔλιος	au)/lios	a-s---nv-
αὔλιον	au)/lion	αὔλιος	au)/lios	a-s---na-
αὔλιον	au)/lion	αὐλέω	au)le/w	v3piia---
αὔλιον	au)/lion	αὐλέω	au)le/w	v1siia---
αὔλιον	au)/lion	αὐλέω	au)le/w	v3piia---
αὔλιον	au)/lion	αὐλέω	au)le/w	v1siia---
αὔρῃ	au)/rh|	αὔρα	au)/ra	n-s---fd-
αὔτως	au)/tws	αὔτως	au)/tws	d--------
αὖθ’	au)=q'	αὖθι	au)=qi	d--------
αὖθ’	au)=q'	αὖτε	au)=te	d--------
αὖλιν	au)=lin	αὖλις	au)=lis	n-s---fa-
αὖτε	au)=te	αὖτε	au)=te	d--------
αὖτις	au)=tis	αὖθις	au)=qis	d--------
αὖτ’	au)=t'	αὖτε	au)=te	d--------
βαθυδίνην	baqudi/nhn	βαθυδίνης	baqudi/nhs	n-s---ma-
βαθυρρόου	baqurro/ou	βαθύρροος	baqu/rroos	n-s---mg-
βαθυρρόου	baqurro/ou	βαθύρροος	baqu/rroos	n-s---fg-
βαθυρρόου	baqurro/ou	βαθύρροος	baqu/rroos	n-s---ng-
βαθύσκιον	baqu/skion	βαθύσκιος	baqu/skios	n-s---ma-
βαθύσκιον	baqu/skion	βαθύσκιος	baqu/skios	n-s---fa-
βαθύσκιον	baqu/skion	βαθύσκιος	baqu/skios	n-s---nn-
βαθύσκιον	baqu/skion	βαθύσκιος	baqu/skios	n-s---nv-
βαθύσκιον	baqu/skion	βαθύσκιος	baqu/skios	n-s---na-
βαλεῖν	balei=n	βάλλω	ba/llw	v--ana---
βαλεῖν	balei=n	βάλλω	ba/llw	v--fna---
βατοδρόπε	batodro/pe	βατοδρόπος	batodro/pos	n-s---mv-
βατοδρόπε	batodro/pe	βατοδρόπος	batodro/pos	n-s---fv-
βαίνοι	bai/noi	βαίνω	bai/nw	v3spoa---
βαίνουσα	bai/nousa	βαίνω	bai/nw	v-sppafn-
βαίνουσα	bai/nousa	βαίνω	bai/nw	v-sppafv-
βιβᾷ	biba=|	βιβάω	biba/w	v2spse---
βιβᾷ	biba=|	βιβάω	biba/w	v2spie---
βιβᾷ	biba=|	βιβάω	biba/w	v3spsa---
βιβᾷ	biba=|	βιβάω	biba/w	v3spia---
βιβᾷ	biba=|	βιβάζω	biba/zw	v2sfim---
βιβᾷ	biba=|	βιβάζω	biba/zw	v3sfia---
βλαβερόν	blabero/n	βλαβερός	blabero/s	a-s---ma-
βλαβερόν	blabero/n	βλαβερός	blabero/s	a-s---nn-
βλαβερόν	blabero/n	βλαβερός	blabero/s	a-s---nv-
βλαβερόν	blabero/n	βλαβερός	blabero/s	a-s---na-
βλεφάρων	blefa/rwn	βλέφαρον	ble/faron	n-p---ng-
βοείας	boei/as	βόειος	bo/eios	a-p---fa-
βοείας	boei/as	βόειος	bo/eios	a-s---fg-
βοείας	boei/as	βοείη	boei/h	n-p---fa-
βοείας	boei/as	βοείη	boei/h	n-s---fg-
βοσκομένη	boskome/nh	βόσκω	bo/skw	v-sfpmfn-
βοσκομένη	boskome/nh	βόσκω	bo/skw	v-sfpmfv-
βοσκομένη	boskome/nh	βόσκω	bo/skw	v-sppefn-
βοσκομένη	boskome/nh	βόσκω	bo/skw	v-sppefv-
βοσκόμεναι	bosko/menai	βόσκω	bo/skw	v-pfpmfn-
βοσκόμεναι	bosko/menai	βόσκω	bo/skw	v-pfpmfv-
βοσκόμεναι	bosko/menai	βόσκω	bo/skw	v-pppefn-
βοσκόμεναι	bosko/menai	βόσκω	bo/skw	v-pppefv-
βοτάνης	bota/nhs	βοτάνη	bota/nh	n-s---fg-
βουκολέων	boukole/wn	βουκολέω	boukole/w	v-sppamn-
βουκολίας	boukoli/as	βουκολία	boukoli/a	n-p---fa-
βουκολίας	boukoli/as	βουκολία	boukoli/a	n-s---fg-
βουκολίοισι	boukoli/oisi	βουκόλιον	bouko/lion	n-p---nd-
βουκολίοισι	boukoli/oisi	βουκολέω	boukole/w	v-pppamd-
βουκολίοισι	boukoli/oisi	βουκολέω	boukole/w	v-pppand-
βουλήν	boulh/n	βουλή	boulh/	n-s---fa-
βουλῇ	boulh=|	βουλεύς	bouleu/s	n-s---md-
βουλῇ	boulh=|	βουλή	boulh/	n-s---fd-
βουλῇσι	boulh=|si	βουλή	boulh/	n-p---fd-
βουσί	bousi/	βοῦς	bou=s	n-p---md-
βουσί	bousi/	βοῦς	bou=s	n-p---fd-
βουσίν	bousi/n	βοῦς	bou=s	n-p---md-
βουσίν	bousi/n	βοῦς	bou=s	n-p---fd-
βουφόνε	boufo/ne	βουφόνος	boufo/nos	n-s---mv-
βουφόνε	boufo/ne	βουφόνος	boufo/nos	n-s---fv-
βοός	boo/s	βοῦς	bou=s	n-s---mg-
βοός	boo/s	βοῦς	bou=s	n-s---fg-
βοῦς	bou=s	βοῦς	bou=s	n-p---ma-
βοῦς	bou=s	βοῦς	bou=s	n-p---fa-
βοῦς	bou=s	βοῦς	bou=s	n-p---mn-
βοῦς	bou=s	βοῦς	bou=s	n-p---mv-
βοῦς	bou=s	βοῦς	bou=s	n-p---fn-
βοῦς	bou=s	βοῦς	bou=s	n-p---fv-
βοῦς	bou=s	βοῦς	bou=s	n-s---mn-
βοῦς	bou=s	βοῦς	bou=s	n-s---mv-
βοῦς	bou=s	βοῦς	bou=s	n-s---fn-
βοῦς	bou=s	βοῦς	bou=s	n-s---fv-
βοῶν	bow=n	βόα	bo/a	n-p---fg-
βοῶν	bow=n	βόειος	bo/eios	a-p---fg-
βοῶν	bow=n	βόειος	bo/eios	a-p---mg-
βοῶν	bow=n	βόειος	bo/eios	a-p---ng-
βοῶν	bow=n	βοάω	boa/w	v-sppamv-
βοῶν	bow=n	βοάω	boa/w	v-sppann-
βοῶν	bow=n	βοάω	boa/w	v-sppanv-
βοῶν	bow=n	βοάω	boa/w	v-sppana-
βοῶν	bow=n	βοάω	boa/w	v-sppamn-
βοῶν	bow=n	βοάω	boa/w	v-sppamn-
βοῶν	bow=n	βοή	boh/	n-p---fg-
βοῶν	bow=n	βοόω	boo/w	v-sppamv-
βοῶν	bow=n	βοόω	boo/w	v-sppann-
βοῶν	bow=n	βοόω	boo/w	v-sppanv-
βοῶν	bow=n	βοόω	boo/w	v-sppana-
βοῶν	bow=n	βοόω	boo/w	v-sppamn-
βοῶν	bow=n	βοόω	boo/w	v--pna---
βοῶν	bow=n	βοῦς	bou=s	n-p---mg-
βοῶν	bow=n	βοῦς	bou=s	n-p---fg-
βροτόν	broto/n	βροτός	broto/s	n-s---ma-
βροτός	broto/s	βροτός	broto/s	n-s---mn-
βρόμος	bro/mos	βρόμος	bro/mos	n-s---mn-
βάδιζε	ba/dize	βαδίζω	badi/zw	v2spma---
βάδιζε	ba/dize	βαδίζω	badi/zw	v3siia---
βάλε	ba/le	βάλλω	ba/llw	v2sama---
βάλε	ba/le	βάλλω	ba/llw	v3saia---
βέλτερον	be/lteron	βέλτερος	be/lteros	a-s---ma-
βέλτερον	be/lteron	βέλτερος	be/lteros	a-s---nn-
βέλτερον	be/lteron	βέλτερος	be/lteros	a-s---nv-
βέλτερον	be/lteron	βέλτερος	be/lteros	a-s---na-
βήματα	bh/mata	βῆμα	bh=ma	n-p---nn-
βήματα	bh/mata	βῆμα	bh=ma	n-p---nv-
βήματα	bh/mata	βῆμα	bh=ma	n-p---na-
βήματ’	bh/mat'	βῆμα	bh=ma	n-p---nn-
βήματ’	bh/mat'	βῆμα	bh=ma	n-p---nv-
βήματ’	bh/mat'	βῆμα	bh=ma	n-p---na-
βήματ’	bh/mat'	βῆμα	bh=ma	n-s---nd-
βήματ’	bh/mat'	βῆμα	bh=ma	n-d---nn-
βήματ’	bh/mat'	βῆμα	bh=ma	n-d---nv-
βήματ’	bh/mat'	βῆμα	bh=ma	n-d---na-
βήσσῃς	bh/ssh|s	βήσσω	bh/ssw	v2spsa---
βήσσῃς	bh/ssh|s	βῆσσα	bh=ssa	n-p---fd-
βίη	bi/h	βία	bi/a	n-s---fn-
βίη	bi/h	βία	bi/a	n-s---fv-
βίη	bi/h	βιάω	bia/w	v2spma---
βίη	bi/h	βιάω	bia/w	v2spma---
βίη	bi/h	βιάω	bia/w	v3siia---
βόας	bo/as	βόα	bo/a	n-p---fa-
βόας	bo/as	βόα	bo/a	n-s---fg-
βόας	bo/as	βοάω	boa/w	v2siia---
βόας	bo/as	βοῦς	bou=s	n-p---ma-
βόας	bo/as	βοῦς	bou=s	n-p---fa-
βόε	bo/e	βοῦς	bou=s	n-d---mn-
βόε	bo/e	βοῦς	bou=s	n-d---mv-
βόε	bo/e	βοῦς	bou=s	n-d---ma-
βόε	bo/e	βοῦς	bou=s	n-d---fn-
βόε	bo/e	βοῦς	bou=s	n-d---fv-
βόε	bo/e	βοῦς	bou=s	n-d---fa-
βόες	bo/es	βοῦς	bou=s	n-p---mn-
βόες	bo/es	βοῦς	bou=s	n-p---mv-
βόες	bo/es	βοῦς	bou=s	n-p---fn-
βόες	bo/es	βοῦς	bou=s	n-p---fv-
βόεσσιν	bo/essin	βοῦς	bou=s	n-p---md-
βόεσσιν	bo/essin	βοῦς	bou=s	n-p---fd-
βόθρῳ	bo/qrw|	βόθρος	bo/qros	n-s---md-
βόσκετο	bo/sketo	βόσκω	bo/skw	v3siie---
βόσκονται	bo/skontai	βόσκω	bo/skw	v3pfim---
βόσκονται	bo/skontai	βόσκω	bo/skw	v3ppie---
γαστρός	gastro/s	γαστήρ	gasth/r	n-s---fg-
γαίῃ	gai/h|	γαῖα	gai=a	n-s---fd-
γαίῃ	gai/h|	γαῖα	gai=a	n-s---fd-
γαῖαν	gai=an	γαῖα	gai=a	n-s---fa-
γε	ge	γε	ge	g--------
γεγαυῖαι	gegaui=ai	γίγνομαι	gi/gnomai	v-prpafn-
γεγαυῖαι	gegaui=ai	γίγνομαι	gi/gnomai	v-prpafv-
γεγαῶτα	gegaw=ta	γίγνομαι	gi/gnomai	v-prpann-
γεγαῶτα	gegaw=ta	γίγνομαι	gi/gnomai	v-prpanv-
γεγαῶτα	gegaw=ta	γίγνομαι	gi/gnomai	v-prpana-
γεγαῶτα	gegaw=ta	γίγνομαι	gi/gnomai	v-srpama-
γεγονώς	gegonw/s	γίγνομαι	gi/gnomai	v-srpamn-
γεγονώς	gegonw/s	γίγνομαι	gi/gnomai	v-srpamv-
γεγάασιν	gega/asin	γίγνομαι	gi/gnomai	v3pria---
γελάσας	gela/sas	γελάω	gela/w	v-pppafa-
γελάσας	gela/sas	γελάω	gela/w	v-sppafg-
γελάσας	gela/sas	γελάω	gela/w	v-pfpafa-
γελάσας	gela/sas	γελάω	gela/w	v-sfpafg-
γελάσας	gela/sas	γελάω	gela/w	v-sapamn-
γελάσας	gela/sas	γελάω	gela/w	v-sapamv-
γενετῆς	geneth=s	γενετή	geneth/	n-s---fg-
γενεήν	geneh/n	γενεά	genea/	n-s---fa-
γενόμην	geno/mhn	γίγνομαι	gi/gnomai	v1saim---
γεραιέ	geraie/	γεραιός	geraio/s	a-s---mv-
γεράσμια	gera/smia	γεράσμιος	gera/smios	n-p---nn-
γεράσμια	gera/smia	γεράσμιος	gera/smios	n-p---nv-
γεράσμια	gera/smia	γεράσμιος	gera/smios	n-p---na-
γηθήσας	ghqh/sas	γηθέω	ghqe/w	v-sapamn-
γηθήσας	ghqh/sas	γηθέω	ghqe/w	v-sapamv-
γηρύετ’	ghru/et'	γηρύω	ghru/w	v2ppma---
γηρύετ’	ghru/et'	γηρύω	ghru/w	v2ppia---
γηρύετ’	ghru/et'	γηρύω	ghru/w	v3spie---
γηρύετ’	ghru/et'	γηρύω	ghru/w	v3siie---
γηρύετ’	ghru/et'	γηρύω	ghru/w	v2piia---
γλαφυρήν	glafurh/n	γλαφυρός	glafuro/s	a-s---fa-
γλυκεροῖο	glukeroi=o	γλυκερός	glukero/s	a-s---mg-
γλυκεροῖο	glukeroi=o	γλυκερός	glukero/s	a-s---ng-
γλυκεροῖο	glukeroi=o	γλυκύς	gluku/s	a-s---mg-
