Αἰγεΐδη	*ai)gei+/dh	Αἰγεΐδης	*ai)gei/+dhs	n-s---mv-
Γοργολόφα	*gorgolo/fa	Γοργολόφας	*gorgolo/fas	n-s---fn-
Γοργολόφα	*gorgolo/fa	Γοργολόφας	*gorgolo/fas	n-s---fv-
Γοργολόφα	*gorgolo/fa	Γοργολόφας	*gorgolo/fas	n-d---mn-
Γοργολόφα	*gorgolo/fa	Γοργολόφας	*gorgolo/fas	n-d---mv-
Γοργολόφα	*gorgolo/fa	Γοργολόφας	*gorgolo/fas	n-d---ma-
Γοργολόφα	*gorgolo/fa	Γοργολόφας	*gorgolo/fas	n-s---mv-
Γοργολόφα	*gorgolo/fa	Γοργολόφας	*gorgolo/fas	n-s---mg-
Γοργολόφα	*gorgolo/fa	Γοργολόφας	*gorgolo/fas	n-s---mn-
Γρύττον	*gru/tton	Γρύττος	*gru/ttos	n-s---ma-
Γρύττον	*gru/tton	γρύζω	gru/zw	v2sama---
Δημακίδιον	*dhmaki/dion	δημακίδιον	dhmaki/dion	n-s---nn-
Δημακίδιον	*dhmaki/dion	δημακίδιον	dhmaki/dion	n-s---nv-
Δημακίδιον	*dhmaki/dion	δημακίδιον	dhmaki/dion	n-s---na-
Δημίδιον	*dhmi/dion	δημίδιον	dhmi/dion	n-s---nn-
Δημίδιον	*dhmi/dion	δημίδιον	dhmi/dion	n-s---nv-
Δημίδιον	*dhmi/dion	δημίδιον	dhmi/dion	n-s---na-
Διονύσῳ	*dionu/sw|	Διόνυσος	*dio/nusos	n-s---md-
Διονύσῳ	*dionu/sw|	Διονύσος	*dionu/sos	n-s---md-
Διοπείθους	*diopei/qous	Διοπείθης	*diopei/qhs	n-s---mg-
Διός	*dio/s	Ζεύς	*zeu/s	n-s---mg-
Δωριστί	*dwristi/	Δωριστί	*dwristi/	d--------
Δωριστί	*dwristi/	Δωριστί	*dwristi/	d--------
Δωροδοκιστί	*dwrodokisti/	δωροδοκιστί	dwrodokisti/	d--------
Δωροῖ	*dwroi=	Δωρώ	*dwrw/	n-s---fd-
Δωροῖ	*dwroi=	δωρέω	dwre/w	v3spoa---
Δήμητρα	*dh/mhtra	Δημήτηρ	*dhmh/thr	n-s---fa-
Δήμητρα	*dh/mhtra	Δημήτηρ	*dhmh/thr	n-s---fn-
Δήμητρα	*dh/mhtra	Δημήτηρ	*dhmh/thr	n-s---fv-
Δήμητρά	*dh/mhtra/	Δημήτηρ	*dhmh/thr	n-s---fa-
Δήμητρά	*dh/mhtra/	Δημήτηρ	*dhmh/thr	n-s---fn-
Δήμητρά	*dh/mhtra/	Δημήτηρ	*dhmh/thr	n-s---fv-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-s---fa-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-s---fn-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-s---fv-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-s---fd-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-p---fn-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-p---fv-
Δήμου	*dh/mou	Δῆμος	*dh=mos	n-s---mg-
Δήμου	*dh/mou	δῆμος	dh=mos	n-s---mg-
Δία	*di/a	Δίη	*di/h	n-s---fn-
Δία	*di/a	Δίη	*di/h	n-s---fv-
Δία	*di/a	Δίον	*di/on	n-p---nn-
Δία	*di/a	Δίον	*di/on	n-p---nv-
Δία	*di/a	Δίον	*di/on	n-p---na-
Δία	*di/a	Ζεύς	*zeu/s	n-s---ma-
Δία	*di/a	δῖος	di=os	a-d---fn-
Δία	*di/a	δῖος	di=os	a-d---fv-
Δία	*di/a	δῖος	di=os	a-d---fa-
Δία	*di/a	δῖος	di=os	a-s---fn-
Δία	*di/a	δῖος	di=os	a-s---fv-
Δῆμε	*dh=me	Δῆμος	*dh=mos	n-s---mv-
Δῆμε	*dh=me	δῆμος	dh=mos	n-s---mv-
Δῆμον	*dh=mon	Δῆμος	*dh=mos	n-s---ma-
Δῆμον	*dh=mon	δῆμος	dh=mos	n-s---ma-
Δῆμος	*dh=mos	Δῆμος	*dh=mos	n-s---mn-
Δῆμος	*dh=mos	δῆμος	dh=mos	n-s---mn-
Δῆμέ	*dh=me/	Δῆμος	*dh=mos	n-s---mv-
Δῆμέ	*dh=me/	δῆμος	dh=mos	n-s---mv-
Δῆμ’	*dh=m'	Δῆμος	*dh=mos	n-s---mv-
Δῆμ’	*dh=m'	δῆμα	dh=ma	n-s---nn-
Δῆμ’	*dh=m'	δῆμα	dh=ma	n-s---nv-
Δῆμ’	*dh=m'	δῆμα	dh=ma	n-s---na-
Δῆμ’	*dh=m'	δῆμος	dh=mos	n-s---mv-
Εὐκράτης	*eu)kra/ths	Εὐκράτης	*eu)kra/ths	n-p---ma-
Εὐκράτης	*eu)kra/ths	Εὐκράτης	*eu)kra/ths	n-p---mn-
Εὐκράτης	*eu)kra/ths	Εὐκράτης	*eu)kra/ths	n-p---mv-
Εὐκράτης	*eu)kra/ths	Εὐκράτης	*eu)kra/ths	n-s---mn-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	n-s---mn-
Ζεῦ	*zeu=	Ζεύς	*zeu/s	n-s---mv-
Ζεῦ	*zeu=	ζέω	ze/w	v2spme---
Ζεῦ	*zeu=	ζέω	ze/w	v2siie---
Θεμιστοκλεῖ	*qemistoklei=	Θεμιστοκλῆς	*qemistoklh=s	n-s---md-
Θεμιστοκλέους	*qemistokle/ous	Θεμιστοκλῆς	*qemistoklh=s	n-s---mg-
Θεμιστοκλῆς	*qemistoklh=s	Θεμιστοκλῆς	*qemistoklh=s	n-s---mn-
Θεμιστοκλῆς	*qemistoklh=s	Θεμιστοκλῆς	*qemistoklh=s	n-s---mv-
Θησεῖον	*qhsei=on	Θησεῖον	*qhsei=on	n-s---nn-
Θησεῖον	*qhsei=on	Θησεῖον	*qhsei=on	n-s---nv-
Θησεῖον	*qhsei=on	Θησεῖον	*qhsei=on	n-s---na-
Θησεῖον	*qhsei=on	Θησεῖος	*qhsei=os	a-s---ma-
Θησεῖον	*qhsei=on	Θησεῖος	*qhsei=os	a-s---nn-
Θησεῖον	*qhsei=on	Θησεῖος	*qhsei=os	a-s---nv-
Θησεῖον	*qhsei=on	Θησεῖος	*qhsei=os	a-s---na-
Θησεῖον	*qhsei=on	θησεῖον	qhsei=on	n-s---nn-
Θησεῖον	*qhsei=on	θησεῖον	qhsei=on	n-s---nv-
Θησεῖον	*qhsei=on	θησεῖον	qhsei=on	n-s---na-
Θούμαντιν	*qou/mantin	Θούμαντις	*qou/mantis	n-s---fa-
Θέωρος	*qe/wros	Θέωρος	*qe/wros	n-s---mn-
Καρχηδόνα	*karxhdo/na	Καρχηδών	*karxhdw/n	n-s---fa-
Καρίαν	*kari/an	Κάριος	*ka/rios	a-s---fa-
Κεκροπίδη	*kekropi/dh	Κέκροψ	*ke/kroy	n-s---mv-
Κεραμεικόν	*kerameiko/n	Κεραμεικός	*kerameiko/s	n-s---ma-
Κεραμεικόν	*kerameiko/n	κεραμεικός	kerameiko/s	a-s---ma-
Κεραμεικόν	*kerameiko/n	κεραμεικός	kerameiko/s	a-s---nn-
Κεραμεικόν	*kerameiko/n	κεραμεικός	kerameiko/s	a-s---nv-
Κεραμεικόν	*kerameiko/n	κεραμεικός	kerameiko/s	a-s---na-
Κεχηναίων	*kexhnai/wn	Κεχηναῖοι	*kexhnai=oi	a-p---fg-
Κεχηναίων	*kexhnai/wn	Κεχηναῖοι	*kexhnai=oi	a-p---mg-
Κεχηναίων	*kexhnai/wn	Κεχηναῖοι	*kexhnai=oi	a-p---ng-
Κλεαίνετον	*kleai/neton	Κλεαίνετος	*kleai/netos	n-s---ma-
Κλεισθένης	*kleisqe/nhs	Κλεισθένης	*kleisqe/nhs	n-p---ma-
Κλεισθένης	*kleisqe/nhs	Κλεισθένης	*kleisqe/nhs	n-p---mn-
Κλεισθένης	*kleisqe/nhs	Κλεισθένης	*kleisqe/nhs	n-p---mv-
Κλεισθένης	*kleisqe/nhs	Κλεισθένης	*kleisqe/nhs	n-s---mn-
Κλεωνύμου	*klewnu/mou	Κλεώνυμος	*klew/numos	n-s---mg-
Κλεωνύμου	*klewnu/mou	Κλεωνύμης	*klewnu/mhs	n-s---mg-
Κλεώνυμος	*klew/numos	Κλεώνυμος	*klew/numos	n-s---mn-
Κλωπιδῶν	*klwpidw=n	Κλωπίδης	*klwpi/dhs	n-p---mg-
Κλωπιδῶν	*klwpidw=n	κλωπίδαι	klwpi/dai	n-p---mg-
Κλέων	*kle/wn	Κλέων	*kle/wn	n-s---mn-
Κλέων	*kle/wn	Κλέων	*kle/wn	n-s---mv-
Κλέων	*kle/wn	κλέω	kle/w	v-sppamn-
Κοαλέμῳ	*koale/mw|	κοάλεμος	koa/lemos	n-s---md-
Κοννᾶς	*konna=s	Κοννᾶς	*konna=s	n-p---ma-
Κοννᾶς	*konna=s	Κοννᾶς	*konna=s	n-s---mn-
Κορίνθιον	*kori/nqion	Κορίνθιος	*kori/nqios	a-s---ma-
Κορίνθιον	*kori/nqion	Κορίνθιος	*kori/nqios	a-s---nn-
Κορίνθιον	*kori/nqion	Κορίνθιος	*kori/nqios	a-s---nv-
Κορίνθιον	*kori/nqion	Κορίνθιος	*kori/nqios	a-s---na-
Κρατίνου	*krati/nou	Κράτινος	*kra/tinos	n-s---mg-
Κρατίνου	*krati/nou	Κρατῖνος	*krati=nos	n-s---mg-
Κράτης	*kra/ths	Κράτης	*kra/ths	n-s---mn-
Κράτης	*kra/ths	Κράτης	*kra/ths	n-s----n-
Κράτης	*kra/ths	κρατέω	krate/w	v2siia---
Κρόνου	*kro/nou	Κρόνος	*kro/nos	n-s---mg-
Κρόνου	*kro/nou	κρόνος	kro/nos	n-s---mg-
Κυκλοβόρου	*kuklobo/rou	Κυκλοβόρος	*kuklobo/ros	n-s---mg-
Κυλλήνην	*kullh/nhn	Κυλλήνη	*kullh/nh	n-s---fa-
Κέρβερον	*ke/rberon	Κέρβερος	*ke/rberos	n-s---ma-
Κέρβερον	*ke/rberon	κέρβερος	ke/rberos	n-s---ma-
Κόβαλοι	*ko/baloi	κόβαλος	ko/balos	n-p---mn-
Κόβαλοι	*ko/baloi	κόβαλος	ko/balos	n-p---mv-
Κόπρειος	*ko/preios	κόπρειος	ko/preios	a-s---mn-
Κόρινθον	*ko/rinqon	Κόρινθος	*ko/rinqos	n-s---fa-
Κύνναν	*ku/nnan	Κύννα	*ku/nna	n-s---fa-
Λακεδαιμονίοις	*lakedaimoni/ois	Λακεδαιμόνιος	*lakedaimo/nios	a-p---md-
Λακεδαιμονίοις	*lakedaimoni/ois	Λακεδαιμόνιος	*lakedaimo/nios	a-p---nd-
Λακεδαιμονίων	*lakedaimoni/wn	Λακεδαιμόνιος	*lakedaimo/nios	a-p---fg-
Λακεδαιμονίων	*lakedaimoni/wn	Λακεδαιμόνιος	*lakedaimo/nios	a-p---mg-
Λακεδαιμονίων	*lakedaimoni/wn	Λακεδαιμόνιος	*lakedaimo/nios	a-p---ng-
Λακεδαίμονος	*lakedai/monos	Λακεδαίμων	*lakedai/mwn	n-s---fg-
Λακωνικήν	*lakwnikh/n	Λακωνικός	*lakwniko/s	a-s---fa-
Λακωνικήν	*lakwnikh/n	Λακωνικός	*lakwniko/s	a-s---fa-
Λητοΐδης	*lhtoi+/dhs	Λητοίδης	*lhtoi/dhs	n-s---mn-
Λοξίας	*loci/as	Λοξίας	*loci/as	n-p---ma-
Λοξίας	*loci/as	Λοξίας	*loci/as	n-s---mn-
Λυσικλέα	*lusikle/a	Λυσικλής	*lusiklh/s	n-s---ma-
Λυσικλέα	*lusikle/a	Λυσικλῆς	*lusiklh=s	n-s---ma-
Λυσικλέα	*lusikle/a	Λυσικλῆς	*lusiklh=s	n-s---ma-
Λυσίστρατον	*lusi/straton	Λυσίστρατος	*lusi/stratos	n-s---ma-
Λάκωνας	*la/kwnas	Λάκων	*la/kwn	n-p---ma-
Λύκιε	*lu/kie	Λύκιος	*lu/kios	a-s---mv-
Μαραθῶνι	*maraqw=ni	Μαραθών	*maraqw/n	n-s---md-
Μηδικῆς	*mhdikh=s	Μηδικός	*mhdiko/s	a-s---fg-
Μηδικῆς	*mhdikh=s	Μηδικός	*mhdiko/s	a-s---fg-
Μιλησίους	*milhsi/ous	Μιλήσιος	*milh/sios	a-p---ma-
Μιλησίων	*milhsi/wn	Μιλήσιος	*milh/sios	a-p---fg-
Μιλησίων	*milhsi/wn	Μιλήσιος	*milh/sios	a-p---mg-
Μιλησίων	*milhsi/wn	Μιλήσιος	*milh/sios	a-p---ng-
Μιλτιάδῃ	*miltia/dh|	Μιλτιάδης	*miltia/dhs	n-s---md-
Μορσίμου	*morsi/mou	Μόρσιμος	*mo/rsimos	n-s---mg-
Μορσίμου	*morsi/mou	μόρσιμος	mo/rsimos	n-s---mg-
Μορσίμου	*morsi/mou	μόρσιμος	mo/rsimos	n-s---fg-
Μορσίμου	*morsi/mou	μόρσιμος	mo/rsimos	n-s---ng-
Μούσης	*mou/shs	Μοῦσα	*mou=sa	n-s---fg-
Μούσης	*mou/shs	Μοῦσαι	*mou=sai	n-s---fg-
Μούσης	*mou/shs	Μοῦσαι	*mou=sai	n-s---fg-
Μυτιλήνης	*mutilh/nhs	Μυτιλήνη	*mutilh/nh	n-s---fg-
Μάγνης	*ma/gnhs	Μάγνης	*ma/gnhs	n-s---mn-
Μήδοις	*mh/dois	Μῆδος	*mh=dos	n-p---md-
Μήδοις	*mh/dois	Μῆδος	*mh=dos	n-p---md-
Μήδοισι	*mh/doisi	Μῆδος	*mh=dos	n-p---md-
Μήδοισι	*mh/doisi	Μῆδος	*mh=dos	n-p---md-
Μόθων	*mo/qwn	Μόθων	*mo/qwn	n-s---mn-
Μόθων	*mo/qwn	Μόθων	*mo/qwn	n-s---mv-
Μόθων	*mo/qwn	μόθος	mo/qos	n-p---mg-
Μόθων	*mo/qwn	μόθων	mo/qwn	n-s---mn-
Μόθων	*mo/qwn	μόθων	mo/qwn	n-s---mv-
Ναυφάντης	*naufa/nths	Ναυφάντη	*naufa/nth	n-s---fg-
Ναύσωνος	*nau/swnos	Ναύσων	*nau/swn	n-s---mg-
Νικίαν	*niki/an	Νικίας	*niki/as	n-s---ma-
Νικόβουλος	*niko/boulos	νικόβουλος	niko/boulos	n-s---mn-
Νικόβουλος	*niko/boulos	νικόβουλος	niko/boulos	n-s---fn-
Νίκην	*ni/khn	Νίκη	*ni/kh	n-s---fa-
Νίκην	*ni/khn	νίκη	ni/kh	n-s---fa-
Νίκην	*ni/khn	νῖκος	ni=kos	n-s---na-
Νίκην	*ni/khn	νικάω	nika/w	v3piia---
Νίκην	*ni/khn	νικάω	nika/w	v1siia---
Οὐλύμπου	*ou)lu/mpou	Ὄλυμπος	*)/olumpos	n-s---mg-
Παλλάς	*palla/s	Παλλάς	*palla/s	n-s---fn-
Παναίτι’	*panai/ti'	Παναίτιος	*panai/tios	n-s---mv-
Παναίτι’	*panai/ti'	παναίτιος	panai/tios	n-p---nn-
Παναίτι’	*panai/ti'	παναίτιος	panai/tios	n-p---nv-
Παναίτι’	*panai/ti'	παναίτιος	panai/tios	n-p---na-
Παναίτι’	*panai/ti'	παναίτιος	panai/tios	n-s---mv-
Παναίτι’	*panai/ti'	παναίτιος	panai/tios	n-s---fv-
Παφλαγόνα	*paflago/na	Παφλαγών	*paflagw/n	n-s---ma-
Παφλαγόνος	*paflago/nos	Παφλαγών	*paflagw/n	n-s---mg-
Παφλαγόνων	*paflago/nwn	Παφλαγών	*paflagw/n	n-p---mg-
Παφλαγόν’	*paflago/n'	Παφλαγών	*paflagw/n	n-s---ma-
Παφλαγόν’	*paflago/n'	Παφλαγών	*paflagw/n	n-s---md-
Παφλαγόν’	*paflago/n'	Παφλαγών	*paflagw/n	n-d---mn-
Παφλαγόν’	*paflago/n'	Παφλαγών	*paflagw/n	n-d---mv-
Παφλαγόν’	*paflago/n'	Παφλαγών	*paflagw/n	n-d---ma-
Παφλαγών	*paflagw/n	Παφλαγών	*paflagw/n	n-s---mn-
Παφλαγών	*paflagw/n	Παφλαγών	*paflagw/n	n-s---mv-
Πειραιεύς	*peiraieu/s	Πειραιεύς	*peiraieu/s	n-s---mn-
Πειραιᾶ	*peiraia=	Πειραιεύς	*peiraieu/s	n-s---ma-
Πελοποννησίων	*peloponnhsi/wn	Πελοποννήσιοι	*peloponnh/sioi	n-p---mg-
Πελοποννησίων	*peloponnhsi/wn	Πελοποννήσιος	*peloponnh/sios	a-p---fg-
Πελοποννησίων	*peloponnhsi/wn	Πελοποννήσιος	*peloponnh/sios	a-p---mg-
Πελοποννησίων	*peloponnhsi/wn	Πελοποννήσιος	*peloponnh/sios	a-p---ng-
Περγασῆσιν	*pergash=sin	Περγασῆσι	*pergash=si	d--------
Περικλέης	*perikle/hs	Περικλῆς	*periklh=s	n-s---mn-
Πολυμνήστεια	*polumnh/steia	Πολυμνήστεια	*polumnh/steia	n-p---nn-
Πολυμνήστεια	*polumnh/steia	Πολυμνήστεια	*polumnh/steia	n-p---nv-
Πολυμνήστεια	*polumnh/steia	Πολυμνήστεια	*polumnh/steia	n-p---na-
Ποσειδῶ	*poseidw=	Ποσειδῶν	*poseidw=n	n-s---ma-
Ποτειδαίας	*poteidai/as	Ποτείδαια	*potei/daia	n-p---fa-
Ποτειδαίας	*poteidai/as	Ποτείδαια	*potei/daia	n-s---fg-
Ποτειδαίας	*poteidai/as	Ποτείδαιος	*potei/daios	a-p---fa-
Ποτειδαίας	*poteidai/as	Ποτείδαιος	*potei/daios	a-s---fg-
Ποτειδαίας	*poteidai/as	Ποτειδαία	*poteidai/a	n-p---fa-
Ποτειδαίας	*poteidai/as	Ποτειδαία	*poteidai/a	n-s---fg-
Πραμνίου	*pramni/ou	Πράμνειος	*pra/mneios	n-s---mg-
Πυθικόν	*puqiko/n	Πυθικός	*puqiko/s	a-s---ma-
Πυθικόν	*puqiko/n	Πυθικός	*puqiko/s	a-s---nn-
Πυθικόν	*puqiko/n	Πυθικός	*puqiko/s	a-s---nv-
Πυθικόν	*puqiko/n	Πυθικός	*puqiko/s	a-s---na-
Πυθικός	*puqiko/s	Πυθικός	*puqiko/s	a-s---mn-
Πυθῶνι	*puqw=ni	Πυθών	*puqw/n	n-s---fd-
Πυλαιμάχος	*pulaima/xos	πυλαιμάχος	pulaima/xos	n-s---mn-
Πυλαιμάχος	*pulaima/xos	πυλαιμάχος	pulaima/xos	n-s---fn-
Πυρράνδρου	*purra/ndrou	Πύρρανδρος	*pu/rrandros	n-s---mg-
Πόσειδον	*po/seidon	Ποσειδῶν	*poseidw=n	n-s---mv-
Πύλοιο	*pu/loio	Πύλος	*pu/los	n-s---mg-
Πύλοιο	*pu/loio	Πύλος	*pu/los	n-s---fg-
Πύλοιο	*pu/loio	πύλος	pu/los	n-s---mg-
Πύλον	*pu/lon	Πύλος	*pu/los	n-s---ma-
Πύλον	*pu/lon	Πύλος	*pu/los	n-s---fa-
Πύλον	*pu/lon	πύλος	pu/los	n-s---ma-
Πύλος	*pu/los	Πύλος	*pu/los	n-s---mn-
Πύλος	*pu/los	Πύλος	*pu/los	n-s---fn-
Πύλος	*pu/los	πύλος	pu/los	n-s---mn-
Πύλου	*pu/lou	Πύλης	*pu/lhs	n-s---mg-
Πύλου	*pu/lou	Πύλος	*pu/los	n-s---mg-
Πύλου	*pu/lou	Πύλος	*pu/los	n-s---fg-
Πύλου	*pu/lou	πύλος	pu/los	n-s---mg-
Πύλου	*pu/lou	πυλόω	pulo/w	v2spma---
Πύλου	*pu/lou	πυλόω	pulo/w	v3siia---
Πύλῳ	*pu/lw|	Πύλος	*pu/los	n-s---md-
Πύλῳ	*pu/lw|	Πύλος	*pu/los	n-s---fd-
Πύλῳ	*pu/lw|	πύλος	pu/los	n-s---md-
Σαλαβακχώ	*salabakxw/	Σαλαβακχώ	*salabakxw/	n-s---fn-
Σαλαμῖνι	*salami=ni	Σαλαμίς	*salami/s	n-s---fd-
Σκίταλοι	*ski/taloi	Σκίταλοι	*ski/taloi	n-p---mn-
Σκίταλοι	*ski/taloi	Σκίταλοι	*ski/taloi	n-p---mv-
Σμικύθην	*smiku/qhn	Σμικύθη	*smiku/qh	n-s---fa-
Σουνιάρατε	*sounia/rate	Σουνιάρατος	*sounia/ratos	n-s---mv-
Σουνιάρατε	*sounia/rate	Σουνιάρατος	*sounia/ratos	n-s---fv-
Σπονδαί	*spondai/	σπονδή	spondh/	n-p---fn-
Σπονδαί	*spondai/	σπονδή	spondh/	n-p---fv-
Στράτων	*stra/twn	Στράτος	*stra/tos	n-p---mg-
Στράτων	*stra/twn	Στράτων	*stra/twn	n-s---mn-
Στράτων	*stra/twn	Στράτων	*stra/twn	n-s---mv-
Στράτων	*stra/twn	στρατάω#	strata/w%2	v3piia---
Στράτων	*stra/twn	στρατάω#	strata/w%2	v1siia---
Σίμων	*si/mwn	Σίμων	*si/mwn	n-s---mn-
Σίμων	*si/mwn	Σίμων	*si/mwn	n-s---mv-
Σίμων	*si/mwn	Σῖμος	*si=mos	n-p---mg-
Σίμων	*si/mwn	σιμόω	simo/w	v3piia---
Σίμων	*si/mwn	σιμόω	simo/w	v1siia---
Τριτογενής	*tritogenh/s	Τριτογένεια-πλ	*tritoge/neia-pl	n-s---mn-
Τριτογενής	*tritogenh/s	Τριτογένεια-πλ	*tritoge/neia-pl	n-s---fn-
Φανός	*fano/s	Φανός	*fano/s	n-s---mn-
Φανός	*fano/s	φανόσ1	fano/s1	a-s---mn-
Φανός	*fano/s	φανόσ2	fano/s2	n-s---mn-
Φαρμίωνί	*farmi/wni/	Φαρμίων	*farmi/wn	n-s---md-
Φαίαξ	*fai/ac	Φαίαξ	*fai/ac	n-s---mn-
Φαίαξ	*fai/ac	Φαίαξ	*fai/ac	n-s---mv-
Φιλόστρατος	*filo/stratos	Φιλόστρατος	*filo/stratos	n-s---mn-
Φοβεσιστράτη	*fobesistra/th	φοβεσιστράτη	fobesistra/th	n-s---fn-
Φοβεσιστράτη	*fobesistra/th	φοβεσιστράτη	fobesistra/th	n-s---fv-
Φοῖβος	*foi=bos	Φοῖβος	*foi=bos	n-s---mn-
Φοῖβος	*foi=bos	φοῖβος	foi=bos	a-s---mn-
Φοῖβ’	*foi=b'	Φοίβη	*foi/bh	n-p---fn-
Φοῖβ’	*foi=b'	Φοίβη	*foi/bh	n-p---fv-
Φοῖβ’	*foi=b'	Φοῖβος	*foi=bos	n-s---mv-
Φοῖβ’	*foi=b'	φοίβη	foi/bh	n-p---fn-
Φοῖβ’	*foi=b'	φοίβη	foi/bh	n-p---fv-
Φοῖβ’	*foi=b'	φοῖβος	foi=bos	a-p---nn-
Φοῖβ’	*foi=b'	φοῖβος	foi=bos	a-p---nv-
Φοῖβ’	*foi=b'	φοῖβος	foi=bos	a-p---na-
Φοῖβ’	*foi=b'	φοῖβος	foi=bos	a-s---mv-
Φοῖβ’	*foi=b'	φοῖβος	foi=bos	a-p---fn-
Φοῖβ’	*foi=b'	φοῖβος	foi=bos	a-p---fv-
Φένακες	*fe/nakes	φέναξ	fe/nac	n-p---mn-
Φένακες	*fe/nakes	φέναξ	fe/nac	n-p---mv-
Χαλκιδικόν	*xalkidiko/n	Χαλκιδικός	*xalkidiko/s	a-s---ma-
Χαλκιδικόν	*xalkidiko/n	Χαλκιδικός	*xalkidiko/s	a-s---nn-
Χαλκιδικόν	*xalkidiko/n	Χαλκιδικός	*xalkidiko/s	a-s---nv-
Χαλκιδικόν	*xalkidiko/n	Χαλκιδικός	*xalkidiko/s	a-s---na-
Χαλκιδικόν	*xalkidiko/n	χαλκιδικός	xalkidiko/s	a-s---ma-
Χαλκιδικόν	*xalkidiko/n	χαλκιδικός	xalkidiko/s	a-s---nn-
Χαλκιδικόν	*xalkidiko/n	χαλκιδικός	xalkidiko/s	a-s---nv-
Χαλκιδικόν	*xalkidiko/n	χαλκιδικός	xalkidiko/s	a-s---na-
Χαλκιδέας	*xalkide/as	Χαλκιδεύς	*xalkideu/s	n-p---ma-
Χερρονήσου	*xerronh/sou	Χερσόνησος	*xerso/nhsos	n-s---fg-
Χερρονήσου	*xerronh/sou	χερρόνησος	xerro/nhsos	n-s---fg-
Χερρονήσου	*xerronh/sou	χερσόνησος	xerso/nhsos	n-s---fg-
Χάοσιν	*xa/osin	Χάος	*xa/os	n-p----d-
Χάρυβδιν	*xa/rubdin	Χάρυβδις	*xa/rubdis	n-s---fa-
Χάρυβδιν	*xa/rubdin	χάρυβδις	xa/rubdis	n-s---fa-
αἰβοῖ	ai)boi=	αἰβοῖ	ai)boi=	x--------
αἰετός	ai)eto/s	ἀετός	a)eto/s	n-s---mn-
αἰκάλλει	ai)ka/llei	αἰκάλλω	ai)ka/llw	v2spie---
αἰκάλλει	ai)ka/llei	αἰκάλλω	ai)ka/llw	v3spia---
αἰσχραῖς	ai)sxrai=s	αἰσχρός	ai)sxro/s	a-p---fd-
αἰσχροῦ	ai)sxrou=	αἰσχρός	ai)sxro/s	a-s---mg-
αἰσχροῦ	ai)sxrou=	αἰσχρός	ai)sxro/s	a-s---ng-
αἰσχροῦ	ai)sxrou=	αἰσχρός	ai)sxro/s	n-s---mg-
αἰσχροῦ	ai)sxrou=	αἰσχρός	ai)sxro/s	n-s---fg-
αἰσχροῦ	ai)sxrou=	αἰσχρός	ai)sxro/s	n-s---ng-
αἰσχύνομαί	ai)sxu/nomai/	αἰσχύνω	ai)sxu/nw	v1sasm---
