Αἰγαίαις	*ai)gai/ais	Αἰγαῖος	*ai)gai=os	urn:cite2:hmt:lsj.chicago_md:n2118	a-p---fd-
Δίοισιν	*di/oisin	δέω1	de/w	urn:cite2:hmt:lsj.chicago_md:n24294	v-pppamd-
Δίοισιν	*di/oisin	δέω1	de/w	urn:cite2:hmt:lsj.chicago_md:n24292	v-pppand-
Δίοισιν	*di/oisin	δέω1	de/w	urn:cite2:hmt:lsj.chicago_md:n24293	v-pppand-
Δίοισιν	*di/oisin	δέω1	de/w	urn:cite2:hmt:lsj.chicago_md:n24294	v-pppand-
Δίοισιν	*di/oisin	δίω	di/w	urn:cite2:hmt:lsj.chicago_md:n27742	v-pppamd-
Δίοισιν	*di/oisin	δίω	di/w	urn:cite2:hmt:lsj.chicago_md:n27742	v-pppand-
Δίοισιν	*di/oisin	δίω	di/w	urn:cite2:hmt:lsj.chicago_md:n27742	v3ppia---
Δίοισιν	*di/oisin	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27293	a-p---md-
Δίοισιν	*di/oisin	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27294	a-p---md-
Δίοισιν	*di/oisin	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27293	a-p---nd-
Δίοισιν	*di/oisin	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27294	a-p---nd-
Δίοισιν	*di/oisin	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27293	n-p---md-
Δίοισιν	*di/oisin	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27294	n-p---md-
Δίοισιν	*di/oisin	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27293	n-p---fd-
Δίοισιν	*di/oisin	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27294	n-p---fd-
Δίοισιν	*di/oisin	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27293	n-p---nd-
Δίοισιν	*di/oisin	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27294	n-p---nd-
Εὐρώτα	*eu)rw/ta	Εὐρώτας	*eu)rw/tas	urn:cite2:hmt:lsj.chicago_md:n45082	n-d---mn-
Εὐρώτα	*eu)rw/ta	Εὐρώτας	*eu)rw/tas	urn:cite2:hmt:lsj.chicago_md:n45082	n-d---mv-
Εὐρώτα	*eu)rw/ta	Εὐρώτας	*eu)rw/tas	urn:cite2:hmt:lsj.chicago_md:n45082	n-d---ma-
Εὐρώτα	*eu)rw/ta	Εὐρώτας	*eu)rw/tas	urn:cite2:hmt:lsj.chicago_md:n45082	n-s---mg-
Εὐρώταν	*eu)rw/tan	Εὐρώτας	*eu)rw/tas	urn:cite2:hmt:lsj.chicago_md:n45082	n-s---ma-
Εὔβοιαν	*eu)/boian	Εὔβοια	*eu)/boia	urn:cite2:hmt:lsj.chicago_md:n43509	n-s---fa-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mn-
Ζεῦ	*zeu=	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mv-
Ζεῦ	*zeu=	ζέω	ze/w	urn:cite2:hmt:lsj.chicago_md:n46204	v2spme---
Ζεῦ	*zeu=	ζέω	ze/w	urn:cite2:hmt:lsj.chicago_md:n46204	v2siie---
Ζηνί	*zhni/	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---md-
Ζηνός	*zhno/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mg-
Θέτιν	*qe/tin	Θέτις	*qe/tis	urn:cite2:hmt:lsj.chicago_md:n48561	n-s---fa-
Κρήτην	*krh/thn	Κρήτη	*krh/th	urn:cite2:hmt:lsj.chicago_md:n59918	n-s---fa-
Κρήτην	*krh/thn	Κρήτη	*krh/th	urn:cite2:hmt:lsj.chicago_md:n59919	n-s---fa-
Κρήτην	*krh/thn	κρήτη	krh/th	urn:cite2:hmt:lsj.chicago_md:n59918	n-s---fa-
Κρήτην	*krh/thn	κρήτη	krh/th	urn:cite2:hmt:lsj.chicago_md:n59919	n-s---fa-
Κάλχας	*ka/lxas	Κάλχας	*ka/lxas	urn:cite2:hmt:lsj.chicago_md:n52900	n-s---mn-
Κάλχας	*ka/lxas	κάλχη	ka/lxh	urn:cite2:hmt:lsj.chicago_md:n52901	n-p---fa-
Κάλχας	*ka/lxas	κάλχη	ka/lxh	urn:cite2:hmt:lsj.chicago_md:n52901	n-s---fg-
Κύπρι	*ku/pri	Κύπρις	*ku/pris	urn:cite2:hmt:lsj.chicago_md:n61013	n-s---fv-
Κύπριδος	*ku/pridos	Κύπρις	*ku/pris	urn:cite2:hmt:lsj.chicago_md:n61013	n-s---fg-
Κύπριν	*ku/prin	Κύπρις	*ku/pris	urn:cite2:hmt:lsj.chicago_md:n61013	n-s---fa-
Κύπρις	*ku/pris	Κύπρις	*ku/pris	urn:cite2:hmt:lsj.chicago_md:n61013	n-s---fn-
Κύπρον	*ku/pron	Κύπρος	*ku/pros	urn:cite2:hmt:lsj.chicago_md:n61016	n-s---fa-
Κύπρον	*ku/pron	Κύπρος	*ku/pros	urn:cite2:hmt:lsj.chicago_md:n61017	n-s---fa-
Κύπρον	*ku/pron	κύπρος	ku/pros	urn:cite2:hmt:lsj.chicago_md:n61016	n-s---fa-
Κύπρον	*ku/pron	κύπρος	ku/pros	urn:cite2:hmt:lsj.chicago_md:n61017	n-s---fa-
Λακαίνᾳ	*lakai/na|	Λάκαινα	*la/kaina	urn:cite2:hmt:lsj.chicago_md:n61697	n-s---fd-
Λακεδαίμονος	*lakedai/monos	Λακεδαίμων	*lakedai/mwn	urn:cite2:hmt:lsj.chicago_md:n61708	n-s---fg-
Λευκιππίδας	*leukippi/das	Λευκιππίδες	*leukippi/des	urn:cite2:hmt:lsj.chicago_md:n62652	n-p---fa-
Λιβύας	*libu/as	Λιβύη	*libu/h	urn:cite2:hmt:lsj.chicago_md:n63063	n-p---fa-
Λιβύας	*libu/as	Λιβύη	*libu/h	urn:cite2:hmt:lsj.chicago_md:n63063	n-s---fg-
Λιβύης	*libu/hs	Λιβύη	*libu/h	urn:cite2:hmt:lsj.chicago_md:n63063	n-s---fg-
Λήδα	*lh/da	λῆδος	lh=dos	urn:cite2:hmt:lsj.chicago_md:n62831	n-p---nn-
Λήδα	*lh/da	λῆδος	lh=dos	urn:cite2:hmt:lsj.chicago_md:n62831	n-p---nv-
Λήδα	*lh/da	λῆδος	lh=dos	urn:cite2:hmt:lsj.chicago_md:n62831	n-p---na-
Λίβυν	*li/bun	Λίβυς	*li/bus	urn:cite2:hmt:lsj.chicago_md:n63067	n-s---ma-
Μαιάδος	*maia/dos	Μαιάς	*maia/s	urn:cite2:hmt:lsj.chicago_md:n64534	n-s---fg-
Μαιάδος	*maia/dos	μαιάς	maia/s	urn:cite2:hmt:lsj.chicago_md:n64534	n-s---fg-
Μενέλαε	*mene/lae	Μενέλαος	*mene/laos	urn:cite2:hmt:lsj.chicago_md:n66270	n-s---mv-
Μενέλαε	*mene/lae	Μενέλαος	*mene/laos	urn:cite2:hmt:lsj.chicago_md:n66270	n-s---mv-
Μενέλαν	*mene/lan	Μενέλαος	*mene/laos	urn:cite2:hmt:lsj.chicago_md:n66270	n-s---ma-
Μενέλαον	*mene/laon	Μενέλαος	*mene/laos	urn:cite2:hmt:lsj.chicago_md:n66270	n-s---ma-
Μενέλαον	*mene/laon	Μενέλαος	*mene/laos	urn:cite2:hmt:lsj.chicago_md:n66270	n-s---ma-
Μενέλαος	*mene/laos	Μενέλαος	*mene/laos	urn:cite2:hmt:lsj.chicago_md:n66270	n-s---mn-
Μενέλαος	*mene/laos	Μενέλαος	*mene/laos	urn:cite2:hmt:lsj.chicago_md:n66270	n-s---mn-
Μενέλεω	*mene/lew	Μενέλαος	*mene/laos	urn:cite2:hmt:lsj.chicago_md:n66270	n-s---mg-
Μενέλεων	*mene/lewn	Μενέλαος	*mene/laos	urn:cite2:hmt:lsj.chicago_md:n66270	n-s---ma-
Μενέλεως	*mene/lews	Μενέλαος	*mene/laos	urn:cite2:hmt:lsj.chicago_md:n66270	n-p---ma-
Μενέλεως	*mene/lews	Μενέλαος	*mene/laos	urn:cite2:hmt:lsj.chicago_md:n66270	n-s---mn-
Μενέλεώ	*mene/lew/	Μενέλαος	*mene/laos	urn:cite2:hmt:lsj.chicago_md:n66270	n-s---mg-
Μενέλεῳ	*mene/lew|	Μενέλαος	*mene/laos	urn:cite2:hmt:lsj.chicago_md:n66270	n-p---mn-
Μενέλεῳ	*mene/lew|	Μενέλαος	*mene/laos	urn:cite2:hmt:lsj.chicago_md:n66270	n-s---md-
Μενέλεῴ	*mene/lew/|	Μενέλαος	*mene/laos	urn:cite2:hmt:lsj.chicago_md:n66270	n-p---mn-
Μενέλεῴ	*mene/lew/|	Μενέλαος	*mene/laos	urn:cite2:hmt:lsj.chicago_md:n66270	n-s---md-
Μοῦσαί	*mou=sai/	Μοῦσα	*mou=sa	urn:cite2:hmt:lsj.chicago_md:n68876	n-p---fn-
Μοῦσαί	*mou=sai/	Μοῦσα	*mou=sa	urn:cite2:hmt:lsj.chicago_md:n68876	n-p---fv-
Μέροπος	*me/ropos	Μέροψ	*me/roy	urn:cite2:hmt:lsj.chicago_md:n66343	n-s---mg-
Μέροπος	*me/ropos	μέροψ	me/roy	urn:cite2:hmt:lsj.chicago_md:n66343	n-s---mg-
Ναυπλίας	*naupli/as	Ναύπλιος	*nau/plios	urn:cite2:hmt:lsj.chicago_md:n69855	a-p---fa-
Ναυπλίας	*naupli/as	Ναύπλιος	*nau/plios	urn:cite2:hmt:lsj.chicago_md:n69855	a-s---fg-
Ναυπλίας	*naupli/as	Ναυπλία	*naupli/a	urn:cite2:hmt:lsj.chicago_md:n69854	n-p---fa-
Ναυπλίας	*naupli/as	Ναυπλία	*naupli/a	urn:cite2:hmt:lsj.chicago_md:n69854	n-s---fg-
Ναυπλίου	*naupli/ou	Ναύπλιος	*nau/plios	urn:cite2:hmt:lsj.chicago_md:n69855	a-s---mg-
Ναυπλίου	*naupli/ou	Ναύπλιος	*nau/plios	urn:cite2:hmt:lsj.chicago_md:n69855	a-s---ng-
Ναυπλίου	*naupli/ou	ναύπλιος	nau/plios	urn:cite2:hmt:lsj.chicago_md:n69855	n-s---mg-
Ναΐς	*nai+/s	Ναίς	*nai/s	urn:cite2:hmt:lsj.chicago_md:n69668	n-s---fn-
Ναΐς	*nai+/s	Ναίς	*nai/s	urn:cite2:hmt:lsj.chicago_md:n69668	n-s---fn-
Νείλου	*nei/lou	Νεῖλος	*nei=los	urn:cite2:hmt:lsj.chicago_md:n70050	n-s---mg-
Νείλῳ	*nei/lw|	Νεῖλος	*nei=los	urn:cite2:hmt:lsj.chicago_md:n70050	n-s---md-
Νηλέως	*nhle/ws	Νηλεύς	*nhleu/s	urn:cite2:hmt:lsj.chicago_md:n70658	n-s---fg-
Νηλέως	*nhle/ws	Νηλεύς	*nhleu/s	urn:cite2:hmt:lsj.chicago_md:n70658	n-s---fg-
Νηλέως	*nhle/ws	Νηλεύς	*nhleu/s	urn:cite2:hmt:lsj.chicago_md:n70658	n-s---fn-
Νηλέως	*nhle/ws	νηλής	nhlh/s	urn:cite2:hmt:lsj.chicago_md:n70660	x--------
Νηρέως	*nhre/ws	Νηρεύς	*nhreu/s	urn:cite2:hmt:lsj.chicago_md:n70729	n-s---mg-
Νηρέως	*nhre/ws	Νηρεύς	*nhreu/s	urn:cite2:hmt:lsj.chicago_md:n70729	n-s---mg-
Νηρέως	*nhre/ws	Νηρεύς	*nhreu/s	urn:cite2:hmt:lsj.chicago_md:n70729	n-s---mn-
Νηρῇδος	*nhrh=|dos	Νηρηίς	*nhrhi/s	urn:cite2:hmt:lsj.chicago_md:n70731	n-s---fg-
Νηρῇδος	*nhrh=|dos	Νηρηίς	*nhrhi/s	urn:cite2:hmt:lsj.chicago_md:n70731	n-s---fg-
Νυμφᾶν	*numfa=n	νύμφη	nu/mfh	urn:cite2:hmt:lsj.chicago_md:n71282	n-p---fg-
Νύμφα	*nu/mfa	νύμφη	nu/mfh	urn:cite2:hmt:lsj.chicago_md:n71282	n-d---fn-
Νύμφα	*nu/mfa	νύμφη	nu/mfh	urn:cite2:hmt:lsj.chicago_md:n71282	n-d---fv-
Νύμφα	*nu/mfa	νύμφη	nu/mfh	urn:cite2:hmt:lsj.chicago_md:n71282	n-d---fa-
Νύμφα	*nu/mfa	νύμφη	nu/mfh	urn:cite2:hmt:lsj.chicago_md:n71282	n-s---fn-
Νύμφα	*nu/mfa	νύμφη	nu/mfh	urn:cite2:hmt:lsj.chicago_md:n71282	n-s---fv-
Παλλάδος	*palla/dos	Παλλάς	*palla/s	urn:cite2:hmt:lsj.chicago_md:n77017	n-s---fg-
Παλλάδος	*palla/dos	Παλλάς	*palla/s	urn:cite2:hmt:lsj.chicago_md:n77018	n-s---fg-
Πανός	*pano/s	Πάν	*pa/n	urn:cite2:hmt:lsj.chicago_md:n77168	n-s---mg-
Πανός	*pano/s	Πάν	*pa/n	urn:cite2:hmt:lsj.chicago_md:n77169	n-s---mg-
Πανός	*pano/s	Πᾶν	*pa=n	urn:cite2:hmt:lsj.chicago_md:n77168	n-s---mg-
Πανός	*pano/s	Πᾶν	*pa=n	urn:cite2:hmt:lsj.chicago_md:n77169	n-s---mg-
Πανός	*pano/s	πανός	pano/s	urn:cite2:hmt:lsj.chicago_md:n77514	n-s---mn-
Πανός	*pano/s	πανός	pano/s	urn:cite2:hmt:lsj.chicago_md:n77515	n-s---mn-
Περσείων	*persei/wn	περισείομαι	perisei/omai	urn:cite2:hmt:lsj.chicago_md:n82081	v-sfpamn-
Περσείων	*persei/wn	περισείομαι	perisei/omai	urn:cite2:hmt:lsj.chicago_md:n82081	v-sppamn-
Περσέως	*perse/ws	Περσεύς	*perseu/s	urn:cite2:hmt:lsj.chicago_md:n82661	n-s---mg-
Περσέως	*perse/ws	Περσεύς	*perseu/s	urn:cite2:hmt:lsj.chicago_md:n82661	n-s---mg-
Περσέως	*perse/ws	Περσεύς	*perseu/s	urn:cite2:hmt:lsj.chicago_md:n82661	n-s---mn-
Πηλέως	*phle/ws	Πηλεύς	*phleu/s	urn:cite2:hmt:lsj.chicago_md:n82928	n-s---mg-
Πηλέως	*phle/ws	Πηλεύς	*phleu/s	urn:cite2:hmt:lsj.chicago_md:n82928	n-s---mg-
Πηλέως	*phle/ws	Πηλεύς	*phleu/s	urn:cite2:hmt:lsj.chicago_md:n82928	n-s---mn-
Πλειάδας	*pleia/das	Πλειάδες	*pleia/des	urn:cite2:hmt:lsj.chicago_md:n83637	n-p---ma-
Πλειάδας	*pleia/das	Πλειάδες	*pleia/des	urn:cite2:hmt:lsj.chicago_md:n83637	n-p---fa-
Πριάμου	*pria/mou	Πρίαμος	*pri/amos	urn:cite2:hmt:lsj.chicago_md:n86354	n-s---mg-
Πρωτεύς	*prwteu/s	Πρωτεύς	*prwteu/s	urn:cite2:hmt:lsj.chicago_md:n90932	n-s---mn-
Πρωτεύς	*prwteu/s	πρωτεύς	prwteu/s	urn:cite2:hmt:lsj.chicago_md:n90932	n-s---mn-
Πρωτεῦ	*prwteu=	Πρωτεύς	*prwteu/s	urn:cite2:hmt:lsj.chicago_md:n90932	n-s---mv-
Πρωτεῦ	*prwteu=	πρωτεύς	prwteu/s	urn:cite2:hmt:lsj.chicago_md:n90932	n-s---mv-
Πρωτέως	*prwte/ws	Πρωτεύς	*prwteu/s	urn:cite2:hmt:lsj.chicago_md:n90932	n-s---mg-
Πρωτέως	*prwte/ws	Πρωτεύς	*prwteu/s	urn:cite2:hmt:lsj.chicago_md:n90932	n-s---mg-
Πρωτέως	*prwte/ws	Πρωτεύς	*prwteu/s	urn:cite2:hmt:lsj.chicago_md:n90932	n-s---mn-
Πρωτέως	*prwte/ws	πρωτεύς	prwteu/s	urn:cite2:hmt:lsj.chicago_md:n90932	n-s---mg-
Πρωτέως	*prwte/ws	πρωτεύς	prwteu/s	urn:cite2:hmt:lsj.chicago_md:n90932	n-s---mg-
Πρωτέως	*prwte/ws	πρωτεύς	prwteu/s	urn:cite2:hmt:lsj.chicago_md:n90932	n-s---mn-
Πρίαμε	*pri/ame	Πρίαμος	*pri/amos	urn:cite2:hmt:lsj.chicago_md:n86354	n-s---mv-
Πάριν	*pa/rin	πάρειμι2	pa/reimi	urn:cite2:hmt:lsj.chicago_md:n79223	v3piia---
Πάριν	*pa/rin	πάρειμι2	pa/reimi	urn:cite2:hmt:lsj.chicago_md:n79224	v3piia---
Πέλοψ	*pe/loy	Πέλοψ	*pe/loy	urn:cite2:hmt:lsj.chicago_md:n80508	n-s---mn-
Πέλοψ	*pe/loy	Πέλοψ	*pe/loy	urn:cite2:hmt:lsj.chicago_md:n80508	n-s---mv-
Πόντου	*po/ntou	Πόντος	*po/ntos	urn:cite2:hmt:lsj.chicago_md:n85696	n-s---mg-
Πόντου	*po/ntou	πόντος	po/ntos	urn:cite2:hmt:lsj.chicago_md:n85696	n-s---mg-
Πόντου	*po/ntou	ποντίζω	ponti/zw	urn:cite2:hmt:lsj.chicago_md:n85671	v2spma---
Πόντου	*po/ntou	ποντίζω	ponti/zw	urn:cite2:hmt:lsj.chicago_md:n85671	v3siia---
Πόντου	*po/ntou	ποντόω	ponto/w	urn:cite2:hmt:lsj.chicago_md:n85700	v2spma---
Πόντου	*po/ntou	ποντόω	ponto/w	urn:cite2:hmt:lsj.chicago_md:n85700	v3siia---
Πόσειδον	*po/seidon	Ποσειδῶν	*poseidw=n	urn:cite2:hmt:lsj.chicago_md:n85893	n-s---mv-
