Αἰγίσθου	*ai)gi/sqou	Αἴγισθος	*ai)/gisqos	n-s---mg-
αἰσχύνειν	ai)sxu/nein	αἰσχύνω	ai)sxu/nw	v--pna---
αἰσχύνην	ai)sxu/nhn	αἰσχύνη	ai)sxu/nh	n-s---fa-
αἰσχύνην	ai)sxu/nhn	αἰσχύνω	ai)sxu/nw	v--pna---
αἰσχύνης	ai)sxu/nhs	αἰσχύνη	ai)sxu/nh	n-s---fg-
αἰσχύνομαι	ai)sxu/nomai	αἰσχύνω	ai)sxu/nw	v1sasm---
αἰσχύνομαι	ai)sxu/nomai	αἰσχύνω	ai)sxu/nw	v1spie---
αἰσχῦναι	ai)sxu=nai	αἰσχύνη	ai)sxu/nh	n-p---fn-
αἰσχῦναι	ai)sxu=nai	αἰσχύνη	ai)sxu/nh	n-p---fv-
αἰσχῦναι	ai)sxu=nai	αἰσχύνω	ai)sxu/nw	v--ana---
αἰτοῦ	ai)tou=	αἰτέω	ai)te/w	v2spme---
αἰτοῦ	ai)tou=	αἰτέω	ai)te/w	v2siie---
αἰτία	ai)ti/a	αἴτιος	ai)/tios	a-d---fn-
αἰτία	ai)ti/a	αἴτιος	ai)/tios	a-d---fv-
αἰτία	ai)ti/a	αἴτιος	ai)/tios	a-d---fa-
αἰτία	ai)ti/a	αἴτιος	ai)/tios	a-s---fn-
αἰτία	ai)ti/a	αἴτιος	ai)/tios	a-s---fv-
αἰτία	ai)ti/a	αἰτία	ai)ti/a	n-d---fn-
αἰτία	ai)ti/a	αἰτία	ai)ti/a	n-d---fv-
αἰτία	ai)ti/a	αἰτία	ai)ti/a	n-d---fa-
αἰτία	ai)ti/a	αἰτία	ai)ti/a	n-s---fn-
αἰτία	ai)ti/a	αἰτία	ai)ti/a	n-s---fv-
αἰτῶ	ai)tw=	αἰτέω	ai)te/w	v1spsa---
αἰτῶ	ai)tw=	αἰτέω	ai)te/w	v1spia---
αἰωρούμενον	ai)wrou/menon	αἰωρέω	ai)wre/w	v-sppema-
αἰωρούμενον	ai)wrou/menon	αἰωρέω	ai)wre/w	v-sppenn-
αἰωρούμενον	ai)wrou/menon	αἰωρέω	ai)wre/w	v-sppenv-
αἰωρούμενον	ai)wrou/menon	αἰωρέω	ai)wre/w	v-sppena-
αἰέν	ai)e/n	ἀεί	a)ei/	d--------
αἰῶνα	ai)w=na	αἰών	ai)w/n	n-s---ma-
αἰῶνι	ai)w=ni	αἰών	ai)w/n	n-s---md-
αἰῶνος	ai)w=nos	αἰών	ai)w/n	n-s---mg-
αἱμασσομένων	ai(massome/nwn	αἱμάσσω	ai(ma/ssw	v-pppefg-
αἱμασσομένων	ai(massome/nwn	αἱμάσσω	ai(ma/ssw	v-pppemg-
αἱμασσομένων	ai(massome/nwn	αἱμάσσω	ai(ma/ssw	v-pppeng-
αἱματηρόν	ai(mathro/n	αἱματηρός	ai(mathro/s	a-s---ma-
αἱματηρόν	ai(mathro/n	αἱματηρός	ai(mathro/s	a-s---nn-
αἱματηρόν	ai(mathro/n	αἱματηρός	ai(mathro/s	a-s---nv-
αἱματηρόν	ai(mathro/n	αἱματηρός	ai(mathro/s	a-s---na-
αἱματηρόν	ai(mathro/n	αἱματηρός	ai(mathro/s	n-s---ma-
αἱματηρόν	ai(mathro/n	αἱματηρός	ai(mathro/s	n-s---fa-
αἱματηρόν	ai(mathro/n	αἱματηρός	ai(mathro/s	n-s---nn-
αἱματηρόν	ai(mathro/n	αἱματηρός	ai(mathro/s	n-s---nv-
αἱματηρόν	ai(mathro/n	αἱματηρός	ai(mathro/s	n-s---na-
αἴσχιστα	ai)/sxista	αἰσχρός	ai)sxro/s	a-p---nn-
αἴσχιστα	ai)/sxista	αἰσχρός	ai)sxro/s	a-p---nv-
αἴσχιστα	ai)/sxista	αἰσχρός	ai)sxro/s	a-p---na-
αἵ	ai(/	ὁ	o(	l-p---fn-
αἵ	ai(/	ὁ	o(	l-p---fv-
αἵ	ai(/	ὅς	o(/s	p-p---fn-
αἵματος	ai(/matos	αἷμα	ai(=ma	n-s---ng-
αἶαν	ai)=an	αἶα	ai)=a	n-s---fa-
αἷμα	ai(=ma	αἷμα	ai(=ma	n-s---nn-
αἷμα	ai(=ma	αἷμα	ai(=ma	n-s---nv-
αἷμα	ai(=ma	αἷμα	ai(=ma	n-s---na-
αἷμ’	ai(=m'	αἷμα	ai(=ma	n-s---nn-
αἷμ’	ai(=m'	αἷμα	ai(=ma	n-s---nv-
αἷμ’	ai(=m'	αἷμα	ai(=ma	n-s---na-
αὐανῶ	au)anw=	αὐαίνω	au)ai/nw	v1sfia---
αὐδά	au)da/	αὐδή	au)dh/	n-d---fn-
αὐδά	au)da/	αὐδή	au)dh/	n-d---fv-
αὐδά	au)da/	αὐδή	au)dh/	n-d---fa-
αὐδά	au)da/	αὐδή	au)dh/	n-s---fn-
αὐδά	au)da/	αὐδή	au)dh/	n-s---fv-
αὐδάν	au)da/n	αὐδή	au)dh/	n-s---fa-
αὐδᾶν	au)da=n	αὐδάω	au)da/w	v-sppamv-
αὐδᾶν	au)da=n	αὐδάω	au)da/w	v-sppann-
αὐδᾶν	au)da=n	αὐδάω	au)da/w	v-sppanv-
αὐδᾶν	au)da=n	αὐδάω	au)da/w	v-sppana-
αὐδᾶν	au)da=n	αὐδάω	au)da/w	v-sppamn-
αὐδᾶν	au)da=n	αὐδάω	au)da/w	v--pna---
αὐδᾶν	au)da=n	αὐδάω	au)da/w	v--pna---
αὐδᾶν	au)da=n	αὐδάζομαι	au)da/zomai	v-sfpamv-
αὐδᾶν	au)da=n	αὐδάζομαι	au)da/zomai	v-sfpann-
αὐδᾶν	au)da=n	αὐδάζομαι	au)da/zomai	v-sfpanv-
αὐδᾶν	au)da=n	αὐδάζομαι	au)da/zomai	v-sfpana-
αὐδᾶν	au)da=n	αὐδάζομαι	au)da/zomai	v-sfpamn-
αὐδᾶν	au)da=n	αὐδάζομαι	au)da/zomai	v--fna---
αὐδᾶν	au)da=n	αὐδή	au)dh/	n-p---fg-
αὐδῶ	au)dw=	αὐδάομαι	au)da/omai	v2siie---
αὐδῶ	au)dw=	αὐδάομαι	au)da/omai	v2spme---
αὐδῶ	au)dw=	αὐδάομαι	au)da/omai	v2siie---
αὐδῶ	au)dw=	αὐδάω	au)da/w	v2siie---
αὐδῶ	au)dw=	αὐδάω	au)da/w	v2spme---
αὐδῶ	au)dw=	αὐδάω	au)da/w	v1spsa---
αὐδῶ	au)dw=	αὐδάω	au)da/w	v1spia---
αὐδῶ	au)dw=	αὐδάω	au)da/w	v1spsa---
αὐδῶ	au)dw=	αὐδάω	au)da/w	v1spia---
αὐδῶ	au)dw=	αὐδάω	au)da/w	v2siie---
αὐδῶ	au)dw=	αὐδάζομαι	au)da/zomai	v1sfia---
αὐτοέντην	au)toe/nthn	αὐτοέντης	au)toe/nths	n-s---ma-
αὐτούς	au)tou/s	αὐτός	au)to/s	n-p---ma-
αὐτοῖν	au)toi=n	αὐτός	au)to/s	n-d---ng-
αὐτοῖν	au)toi=n	αὐτός	au)to/s	n-d---nd-
αὐτοῖν	au)toi=n	αὐτός	au)to/s	n-d---mg-
αὐτοῖν	au)toi=n	αὐτός	au)to/s	n-d---md-
αὐτοῖς	au)toi=s	αὐτός	au)to/s	n-p---nd-
αὐτοῖς	au)toi=s	αὐτός	au)to/s	n-p---md-
αὐτοῖσι	au)toi=si	αὐτός	au)to/s	n-p---nd-
αὐτοῖσι	au)toi=si	αὐτός	au)to/s	n-p---md-
αὐτοῖσιν	au)toi=sin	αὐτός	au)to/s	n-p---nd-
αὐτοῖσιν	au)toi=sin	αὐτός	au)to/s	n-p---md-
αὐτοῖσί	au)toi=si/	αὐτός	au)to/s	n-p---nd-
αὐτοῖσί	au)toi=si/	αὐτός	au)to/s	n-p---md-
αὐτοῦ	au)tou=	αὐτός	au)to/s	n-s---ng-
αὐτοῦ	au)tou=	αὐτός	au)to/s	n-s---mg-
αὐτοῦ	au)tou=	αὐτοῦ	au)tou=	d--------
αὐτή	au)th/	αὐτός	au)to/s	n-s---fn-
αὐτή	au)th/	αὐτός	au)to/s	n-s---fv-
αὐτήν	au)th/n	αὐτός	au)to/s	n-s---fa-
αὐτίκα	au)ti/ka	αὐτίκα	au)ti/ka	d--------
αὐτό	au)to/	αὐτός	au)to/s	n-s---nn-
αὐτό	au)to/	αὐτός	au)to/s	n-s---nv-
αὐτό	au)to/	αὐτός	au)to/s	n-s---na-
αὐτόν	au)to/n	αὐτός	au)to/s	n-s---ma-
αὐτός	au)to/s	αὐτός	au)to/s	n-s---mn-
αὐτόχειρα	au)to/xeira	αὐτόχειρ	au)to/xeir	n-s---ma-
αὐτόχειρα	au)to/xeira	αὐτόχειρ	au)to/xeir	n-s---fa-
αὐτόχειρα	au)to/xeira	αὐτόχειρος	au)to/xeiros	n-p---nn-
αὐτόχειρα	au)to/xeira	αὐτόχειρος	au)to/xeiros	n-p---nv-
αὐτόχειρα	au)to/xeira	αὐτόχειρος	au)to/xeiros	n-p---na-
αὐτόχειρί	au)to/xeiri/	αὐτόχειρ	au)to/xeir	n-s---md-
αὐτόχειρί	au)to/xeiri/	αὐτόχειρ	au)to/xeir	n-s---fd-
αὐτῆς	au)th=s	αὐτός	au)to/s	n-s---fg-
αὐτῇ	au)th=|	αὐτός	au)to/s	n-s---fd-
αὐτῶν	au)tw=n	αὐτός	au)to/s	n-p---ng-
αὐτῶν	au)tw=n	αὐτός	au)to/s	n-p---fg-
αὐτῶν	au)tw=n	αὐτός	au)to/s	n-p---mg-
αὐτῷ	au)tw=|	αὐτός	au)to/s	n-s---nd-
αὐτῷ	au)tw=|	αὐτός	au)to/s	n-s---md-
αὑτοῦ	au(tou=	ἑαυτοῦ	e(autou=	n-s---ng-
αὑτοῦ	au(tou=	ἑαυτοῦ	e(autou=	n-s---mg-
αὑτήν	au(th/n	ἑαυτοῦ	e(autou=	n-s---fa-
αὑτός	au(to/s	αὐτός	au)to/s	n-s---mn-
αὑτῆς	au(th=s	ἑαυτοῦ	e(autou=	n-s---fg-
αὑτῷ	au(tw=|	ἑαυτοῦ	e(autou=	n-s---nd-
αὑτῷ	au(tw=|	ἑαυτοῦ	e(autou=	n-s---md-
αὕτη	au(/th	οὗτος	ou(=tos	n-s---fn-
αὕτη	au(/th	οὗτος	ou(=tos	n-s---fv-
αὖ	au)=	αὗ	au(=	x--------
αὖ	au)=	αὖ	au)=	d--------
αὖθις	au)=qis	αὖθις	au)=qis	d--------
βαδιστέον	badiste/on	βαδιστέον	badiste/on	n-s---ma-
βαδιστέον	badiste/on	βαδιστέον	badiste/on	n-s---nn-
βαδιστέον	badiste/on	βαδιστέον	badiste/on	n-s---nv-
βαδιστέον	badiste/on	βαδιστέον	badiste/on	n-s---na-
βαδιστέον	badiste/on	βαδιστέος	badiste/os	n-s---ma-
βαδιστέον	badiste/on	βαδιστέος	badiste/os	n-s---fa-
βαδιστέον	badiste/on	βαδιστέος	badiste/os	n-s---nn-
