Αἰακιδᾶν	*ai)akida=n	Αἰακίδης	*ai)aki/dhs	n-p---mg-
συντυχόν	suntuxo/n	συντυγχάνω	suntugxa/nw	v-sapanv-
συντυχόν	suntuxo/n	συντυγχάνω	suntugxa/nw	v-sapana-
συνέδρου	sune/drou	σύνεδρος	su/nedros	n-s---mg-
συνέδρου	sune/drou	σύνεδρος	su/nedros	n-s---fg-
συνέδρου	sune/drou	σύνεδρος	su/nedros	n-s---ng-
σφαγεύς	sfageu/s	σφαγεύς	sfageu/s	n-s---mn-
σφαγῆς	sfagh=s	σφαγεύς	sfageu/s	n-p---mn-
σφαγῆς	sfagh=s	σφαγεύς	sfageu/s	n-p---mn-
σφαγῆς	sfagh=s	σφαγεύς	sfageu/s	n-p---mv-
σφαγῆς	sfagh=s	σφαγή	sfagh/	n-s---fg-
σφαλερόν	sfalero/n	σφαλερός	sfalero/s	a-s---ma-
σφαλερόν	sfalero/n	σφαλερός	sfalero/s	a-s---nn-
σφαλερόν	sfalero/n	σφαλερός	sfalero/s	a-s---nv-
σφαλερόν	sfalero/n	σφαλερός	sfalero/s	a-s---na-
σφας	sfas	σφεῖς	sfei=s	n-p---ma-
σφας	sfas	σφεῖς	sfei=s	n-p---fa-
σφιν	sfin	σφεῖς	sfei=s	n-p---md-
σφιν	sfin	σφεῖς	sfei=s	n-p---fd-
σφάγι’	sfa/gi'	σφάγιον	sfa/gion	n-p---nn-
σφάγι’	sfa/gi'	σφάγιον	sfa/gion	n-p---nv-
σφάγι’	sfa/gi'	σφάγιον	sfa/gion	n-p---na-
σφάγι’	sfa/gi'	σφάγιος	sfa/gios	a-p---nn-
σφάγι’	sfa/gi'	σφάγιος	sfa/gios	a-p---nv-
σφάγι’	sfa/gi'	σφάγιος	sfa/gios	a-p---na-
σφάγι’	sfa/gi'	σφάγιος	sfa/gios	a-s---mv-
σφάγι’	sfa/gi'	σφάγιος	sfa/gios	a-p---fn-
σφάγι’	sfa/gi'	σφάγιος	sfa/gios	a-p---fv-
σφάζ’	sfa/z'	σφάζω	sfa/zw	v2spma---
σφάζ’	sfa/z'	σφάζω	sfa/zw	v3siia---
σφόδρα	sfo/dra	σφόδρα	sfo/dra	d--------
σφῷν	sfw=|n	σφεῖς	sfei=s	n-p---mg-
σφῷν	sfw=|n	σφεῖς	sfei=s	n-p---fg-
σφῷν	sfw=|n	σύ	su/	p-d----g-
σφῷν	sfw=|n	σύ	su/	p-d----d-
σφῷν	sfw=|n	σύ	su/	p-d----g-
σφῷν	sfw=|n	σύ	su/	p-d----d-
σφ’	sf'	ἕπομαι	e(/pomai	v2sama---
σφ’	sf'	ἕπομαι	e(/pomai	v3saia---
σφ’	sf'	σφεῖς	sfei=s	n-p---md-
σφ’	sf'	σφεῖς	sfei=s	n-p---fd-
σφ’	sf'	σφεῖς	sfei=s	n-p---ma-
σφ’	sf'	σφεῖς	sfei=s	n-p---fa-
σφ’	sf'	σφός	sfo/s	a-s---mv-
σχολή	sxolh/	σχολή	sxolh/	n-s---fn-
σχολή	sxolh/	σχολή	sxolh/	n-s---fv-
σχολᾷ	sxola=|	σχολάζω	sxola/zw	v2sfim---
σχολᾷ	sxola=|	σχολάζω	sxola/zw	v3sfia---
σχολᾷ	sxola=|	σχολή	sxolh/	n-s---fd-
σχέτλια	sxe/tlia	σχέτλιος	sxe/tlios	a-p---nn-
σχέτλια	sxe/tlia	σχέτλιος	sxe/tlios	a-p---nv-
σχέτλια	sxe/tlia	σχέτλιος	sxe/tlios	a-p---na-
σχήσει	sxh/sei	ἔχω	e)/xw	v2sfim---
σχήσει	sxh/sei	ἔχω	e)/xw	v3sfia---
σχήσει	sxh/sei	σχάω	sxa/w	v3sasa---
σχήσει	sxh/sei	σχάω	sxa/w	v2sfim---
σχήσει	sxh/sei	σχάω	sxa/w	v3sfia---
σωτηρίαν	swthri/an	σωτηρία	swthri/a	n-s---fa-
σωτήριοι	swth/rioi	σωτήριος	swth/rios	n-p---mn-
σωτήριοι	swth/rioi	σωτήριος	swth/rios	n-p---mv-
σωτήριοι	swth/rioi	σωτήριος	swth/rios	n-p---fn-
σωτήριοι	swth/rioi	σωτήριος	swth/rios	n-p---fv-
σωφρονεῖν	swfronei=n	σωφρονέω	swfrone/w	v--pna---
σωφρονήσεις	swfronh/seis	σωφρονέω	swfrone/w	v2sasa---
σωφρονήσεις	swfronh/seis	σωφρονέω	swfrone/w	v2sfia---
σωφρόνως	swfro/nws	σώφρων	sw/frwn	x--------
σά	sa/	σός	so/s	a-p---nn-
σά	sa/	σός	so/s	a-p---nv-
σά	sa/	σός	so/s	a-p---na-
σά	sa/	σός	so/s	a-d---fn-
σά	sa/	σός	so/s	a-d---fv-
σά	sa/	σός	so/s	a-d---fa-
σά	sa/	σός	so/s	a-s---fn-
σά	sa/	σός	so/s	a-s---fv-
σάκος	sa/kos	σάκκος	sa/kkos	n-s---mn-
σάκος	sa/kos	σάκος	sa/kos	n-s---nn-
σάκος	sa/kos	σάκος	sa/kos	n-s---nv-
σάκος	sa/kos	σάκος	sa/kos	n-s---na-
σάλπιγγος	sa/lpiggos	σάλπιγξ	sa/lpigc	n-s---fg-
σέ	se/	σός	so/s	a-s---mv-
σέ	se/	σύ	su/	p-s----a-
σέ	se/	σύ	su/	p-s----a-
σέβειν	se/bein	σέβω	se/bw	v--pna---
σέβων	se/bwn	σέβω	se/bw	v-sppamn-
σέλας	se/las	σέλας	se/las	n-s---ng-
σέλας	se/las	σέλας	se/las	n-s---nn-
σέλας	se/las	σέλας	se/las	n-s---nv-
σέλας	se/las	σέλας	se/las	n-s---na-
σέλας	se/las	σελάω	sela/w	v2siia---
σέμν’	se/mn'	σεμνόν	semno/n	n-p---nn-
σέμν’	se/mn'	σεμνόν	semno/n	n-p---nv-
σέμν’	se/mn'	σεμνόν	semno/n	n-p---na-
σέμν’	se/mn'	σεμνός	semno/s	a-p---nn-
σέμν’	se/mn'	σεμνός	semno/s	a-p---nv-
σέμν’	se/mn'	σεμνός	semno/s	a-p---na-
σέμν’	se/mn'	σεμνός	semno/s	a-d---fn-
σέμν’	se/mn'	σεμνός	semno/s	a-d---fv-
σέμν’	se/mn'	σεμνός	semno/s	a-d---fa-
σέμν’	se/mn'	σεμνός	semno/s	a-s---fn-
σέμν’	se/mn'	σεμνός	semno/s	a-s---fv-
σέμν’	se/mn'	σεμνός	semno/s	a-s---mv-
σέμν’	se/mn'	σεμνός	semno/s	a-p---fn-
σέμν’	se/mn'	σεμνός	semno/s	a-p---fv-
σήν	sh/n	σής	sh/s	n-s---ma-
σήν	sh/n	σός	so/s	a-s---fa-
σίγα	si/ga	σῖγος	si=gos	n-p---nn-
σίγα	si/ga	σῖγος	si=gos	n-p---nv-
σίγα	si/ga	σῖγος	si=gos	n-p---na-
σίγα	si/ga	σιγάω	siga/w	v2spma---
σίγα	si/ga	σιγάω	siga/w	v3siia---
σίγησον	si/ghson	σιγάω	siga/w	v2sama---
σίδηρος	si/dhros	σίδηρος	si/dhros	n-s---mn-
σόν	so/n	σός	so/s	a-s---ma-
σόν	so/n	σός	so/s	a-s---nn-
σόν	so/n	σός	so/s	a-s---nv-
σόν	so/n	σός	so/s	a-s---na-
σός	so/s	σός	so/s	a-s---mn-
σύ	su/	σύ	su/	p-s----n-
σύγκαμνε	su/gkamne	συγκάμνω	sugka/mnw	v2spma---
σύγκαμνε	su/gkamne	συγκάμνω	sugka/mnw	v3siia---
σύμμαχον	su/mmaxon	σύμμαχος	su/mmaxos	n-s---ma-
σύμμαχον	su/mmaxon	σύμμαχος	su/mmaxos	n-s---fa-
σύμμαχον	su/mmaxon	σύμμαχος	su/mmaxos	n-s---nn-
σύμμαχον	su/mmaxon	σύμμαχος	su/mmaxos	n-s---nv-
σύμμαχον	su/mmaxon	σύμμαχος	su/mmaxos	n-s---na-
σύμμικτά	su/mmikta/	σύμμικτος	su/mmiktos	n-p---nn-
σύμμικτά	su/mmikta/	σύμμικτος	su/mmiktos	n-p---nv-
σύμμικτά	su/mmikta/	σύμμικτος	su/mmiktos	n-p---na-
σύν	su/n	σύν	su/n	r--------
σύντροφον	su/ntrofon	σύντροφος	su/ntrofos	n-s---ma-
σύντροφον	su/ntrofon	σύντροφος	su/ntrofos	n-s---fa-
σύντροφον	su/ntrofon	σύντροφος	su/ntrofos	n-s---nn-
σύντροφον	su/ntrofon	σύντροφος	su/ntrofos	n-s---nv-
σύντροφον	su/ntrofon	σύντροφος	su/ntrofos	n-s---na-
σύντροφος	su/ntrofos	σύντροφος	su/ntrofos	n-s---mn-
σύντροφος	su/ntrofos	σύντροφος	su/ntrofos	n-s---fn-
σύριγγες	su/rigges	σῦριγξ	su=rigc	n-p---fn-
σύριγγες	su/rigges	σῦριγξ	su=rigc	n-p---fv-
σώματα	sw/mata	σῶμα	sw=ma	n-p---nn-
σώματα	sw/mata	σῶμα	sw=ma	n-p---nv-
σώματα	sw/mata	σῶμα	sw=ma	n-p---na-
σώφρονας	sw/fronas	σώφρων	sw/frwn	n-p---ma-
σώφρονας	sw/fronas	σώφρων	sw/frwn	n-p---fa-
σῆς	sh=s	σέω	se/w	v2spia---
σῆς	sh=s	σέω	se/w	v2siia---
σῆς	sh=s	σής	sh/s	n-p---ma-
σῆς	sh=s	σής	sh/s	n-p---mn-
σῆς	sh=s	σής	sh/s	n-p---mv-
σῆς	sh=s	σός	so/s	a-s---fg-
σῇ	sh=|	σέω	se/w	v2spse---
σῇ	sh=|	σέω	se/w	v2spie---
σῇ	sh=|	σέω	se/w	v3spsa---
σῇ	sh=|	σός	so/s	a-s---fd-
σῖγ’	si=g'	σῖγα	si=ga	d--------
σῳζόντων	sw|zo/ntwn	σώζω	sw/zw	v-pppamg-
σῳζόντων	sw|zo/ntwn	σώζω	sw/zw	v-pppang-
σῳζόντων	sw|zo/ntwn	σώζω	sw/zw	v3ppma---
σῴζειν	sw/|zein	σώζω	sw/zw	v--pna---
σῴζομαι	sw/|zomai	σώζω	sw/zw	v1spie---
σῶμα	sw=ma	σῶμα	sw=ma	n-s---nn-
σῶμα	sw=ma	σῶμα	sw=ma	n-s---nv-
σῶμα	sw=ma	σῶμα	sw=ma	n-s---na-
σῶν	sw=n	σέω	se/w	v-sppamn-
σῶν	sw=n	σής	sh/s	n-p---mg-
σῶν	sw=n	σός	so/s	a-p---fg-
σῶν	sw=n	σός	so/s	a-p---mg-
σῶν	sw=n	σός	so/s	a-p---ng-
σῶν	sw=n	σῶς	sw=s	n-s---ma-
σῶν	sw=n	σῶς	sw=s	n-s---fa-
σῷ	sw=|	σός	so/s	a-s---md-
σῷ	sw=|	σός	so/s	a-s---nd-
ταλαίφρων	talai/frwn	ταλαίφρων	talai/frwn	n-s---mn-
ταλαίφρων	talai/frwn	ταλαίφρων	talai/frwn	n-s---mv-
ταλαίφρων	talai/frwn	ταλαίφρων	talai/frwn	n-s---fn-
ταλαίφρων	talai/frwn	ταλαίφρων	talai/frwn	n-s---fv-
τανύποδας	tanu/podas	τανύπους	tanu/pous	n-p---ma-
τανύποδας	tanu/podas	τανύπους	tanu/pous	n-p---fa-
τανῦν	tanu=n	τανῦν	tanu=n	d--------
ταρβήσει	tarbh/sei	ταρβέω	tarbe/w	v3sasa---
ταρβήσει	tarbh/sei	ταρβέω	tarbe/w	v2sfim---
ταρβήσει	tarbh/sei	ταρβέω	tarbe/w	v3sfia---
ταρβῶ	tarbw=	ταρβέω	tarbe/w	v1spsa---
ταρβῶ	tarbw=	ταρβέω	tarbe/w	v1spia---
ταφάς	tafa/s	ταφή	tafh/	n-p---fa-
ταφῆς	tafh=s	ταφεύς	tafeu/s	n-p---mn-
ταφῆς	tafh=s	ταφεύς	tafeu/s	n-p---mn-
ταφῆς	tafh=s	ταφεύς	tafeu/s	n-p---mv-
ταφῆς	tafh=s	ταφή	tafh/	n-s---fg-
ταχεῖ	taxei=	ταχύς	taxu/s	a-s---md-
ταχεῖ	taxei=	ταχύς	taxu/s	a-s---nd-
ταχεῖαι	taxei=ai	ταχύς	taxu/s	a-p---fn-
ταχεῖαι	taxei=ai	ταχύς	taxu/s	a-p---fv-
ταχεῖά	taxei=a/	ταχύς	taxu/s	a-s---fn-
ταχεῖά	taxei=a/	ταχύς	taxu/s	a-s---fv-
ταχθέν	taxqe/n	τάσσω	ta/ssw	v-sappnn-
ταχθέν	taxqe/n	τάσσω	ta/ssw	v-sappnv-
ταχθέν	taxqe/n	τάσσω	ta/ssw	v-sappna-
ταχύνας	taxu/nas	ταχύνω	taxu/nw	v-sapamn-
ταχύνας	taxu/nas	ταχύνω	taxu/nw	v-sapamv-
ταχύνατε	taxu/nate	ταχύνω	taxu/nw	v2pama---
ταχύνατε	taxu/nate	ταχύνω	taxu/nw	v2paia---
ταὐτά	tau)ta/	ταὐτός	tau)to/s	a-p---nn-
ταὐτά	tau)ta/	ταὐτός	tau)to/s	a-p---nv-
ταὐτά	tau)ta/	ταὐτός	tau)to/s	a-p---na-
ταὐτά	tau)ta/	ταὐτός	tau)to/s	a-d---fn-
ταὐτά	tau)ta/	ταὐτός	tau)to/s	a-d---fv-
ταὐτά	tau)ta/	ταὐτός	tau)to/s	a-d---fa-
ταὐτά	tau)ta/	ταὐτός	tau)to/s	a-s---fn-
ταὐτά	tau)ta/	ταὐτός	tau)to/s	a-s---fv-
ταύρους	tau/rous	ταῦρος	tau=ros	n-p---ma-
ταύτην	tau/thn	οὗτος	ou(=tos	n-s---fa-
ταύτῃ	tau/th|	οὗτος	ou(=tos	n-s---fd-
ταύτῃ	tau/th|	ταύτῃ	tau/th|	d--------
ταῖσδε	tai=sde	ὅδε	o(/de	n-p---fd-
ταῦθ’	tau=q'	οὗτος	ou(=tos	n-p---nn-
ταῦθ’	tau=q'	οὗτος	ou(=tos	n-p---nv-
ταῦθ’	tau=q'	οὗτος	ou(=tos	n-p---na-
ταῦρος	tau=ros	ταῦρος	tau=ros	n-s---mn-
ταῦτα	tau=ta	οὗτος	ou(=tos	n-p---nn-
ταῦτα	tau=ta	οὗτος	ou(=tos	n-p---nv-
ταῦτα	tau=ta	οὗτος	ou(=tos	n-p---na-
ταῦτά	tau=ta/	οὗτος	ou(=tos	n-p---nn-
ταῦτά	tau=ta/	οὗτος	ou(=tos	n-p---nv-
ταῦτά	tau=ta/	οὗτος	ou(=tos	n-p---na-
τε	te	τε	te	g--------
τεγγόμενος	teggo/menos	τέγγω	te/ggw	v-sppemn-
τεγγόμενος	teggo/menos	τέγγω	te/ggw	v-sppmmn-
τεθηγμένη	teqhgme/nh	θήγω	qh/gw	v-srpefn-
τεθηγμένη	teqhgme/nh	θήγω	qh/gw	v-srpefv-
τεθνηκέναι	teqnhke/nai	θνήσκω	qnh/skw	v--rna---
τεθνηκότας	teqnhko/tas	θνήσκω	qnh/skw	v-prpama-
τεθνηκότος	teqnhko/tos	θνήσκω	qnh/skw	v-srpamg-
τεθνηκότος	teqnhko/tos	θνήσκω	qnh/skw	v-srpang-
τεθνᾶσιν	teqna=sin	θνήσκω	qnh/skw	v3pria---
τεθάψεται	teqa/yetai	θάπτω	qa/ptw	v3stie---
τελεσφόρος	telesfo/ros	τελεσφόρος	telesfo/ros	n-s---mn-
τελεσφόρος	telesfo/ros	τελεσφόρος	telesfo/ros	n-s---fn-
τελευτήσας	teleuth/sas	τελευτάω	teleuta/w	v-sapamn-
τελευτήσας	teleuth/sas	τελευτάω	teleuta/w	v-sapamv-
τελεῖν	telei=n	τέλλω	te/llw	v--fna---
τελεῖν	telei=n	τελέω	tele/w	v--fna---
τελεῖν	telei=n	τελέω	tele/w	v--pna---
τελεῖσθαι	telei=sqai	τέλλω	te/llw	v--fnm---
τελεῖσθαι	telei=sqai	τελέω	tele/w	v--fnm---
τελεῖσθαι	telei=sqai	τελέω	tele/w	v--pne---
τερπνόν	terpno/n	τερπνός	terpno/s	a-s---ma-
τερπνόν	terpno/n	τερπνός	terpno/s	a-s---nn-
τερπνόν	terpno/n	τερπνός	terpno/s	a-s---nv-
τερπνόν	terpno/n	τερπνός	terpno/s	a-s---na-
τερπνός	terpno/s	τερπνός	terpno/s	a-s---mn-
τεχνωμένου	texnwme/nou	τεχνάομαι	texna/omai	v-sppemg-
τεχνωμένου	texnwme/nou	τεχνάομαι	texna/omai	v-sppeng-
τεχνωμένου	texnwme/nou	τεχνάζω	texna/zw	v-sfpmmg-
τεχνωμένου	texnwme/nou	τεχνάζω	texna/zw	v-sfpmng-
τεχνωμένου	texnwme/nou	τεχνόω	texno/w	v-sppemg-
τεχνωμένου	texnwme/nou	τεχνόω	texno/w	v-sppeng-
τεύξεται	teu/cetai	τεύχω	teu/xw	v3sasm---
τεύξεται	teu/cetai	τεύχω	teu/xw	v3sfim---
τεύξεται	teu/cetai	τυγχάνω	tugxa/nw	v3sfim---
τεύχη	teu/xh	τεῦχος	teu=xos	n-p---nn-
τεύχη	teu/xh	τεῦχος	teu=xos	n-p---nv-
τεύχη	teu/xh	τεῦχος	teu=xos	n-p---na-
τεύχη	teu/xh	τεῦχος	teu=xos	n-d---nn-
τεύχη	teu/xh	τεῦχος	teu=xos	n-d---nv-
τεύχη	teu/xh	τεῦχος	teu=xos	n-d---na-
τεῖνε	tei=ne	τείνω	tei/nw	v2spma---
τεῖνε	tei=ne	τείνω	tei/nw	v3saia---
τεῖνε	tei=ne	τείνω	tei/nw	v3siia---
τηλωπός	thlwpo/s	τηλωπός	thlwpo/s	n-s---mn-
τηλωπός	thlwpo/s	τηλωπός	thlwpo/s	n-s---fn-
τηλόθεν	thlo/qen	τηλόθεν	thlo/qen	d--------
τι	ti	τις	tis	p-s---nn-
τι	ti	τις	tis	p-s---nv-
τι	ti	τις	tis	p-s---na-
τιμαῖς	timai=s	τιμή	timh/	n-p---fd-
τιμάς	tima/s	τιμή	timh/	n-p---fa-
τιμᾶτε	tima=te	τιμάω	tima/w	v2ppma---
τιμᾶτε	tima=te	τιμάω	tima/w	v2ppsa---
τιμᾶτε	tima=te	τιμάω	tima/w	v2ppia---
τιμᾶτε	tima=te	τιμάω	tima/w	v2piia---
τινα	tina	τις	tis	p-s---ma-
τινα	tina	τις	tis	p-s---fa-
τινα	tina	τις	tis	p-p---nn-
τινα	tina	τις	tis	p-p---nv-
τινα	tina	τις	tis	p-p---na-
τινι	tini	τις	tis	p-s----d-
τινος	tinos	τις	tis	p-s----g-
τινά	tina/	τις	tis	p-s---ma-
τινά	tina/	τις	tis	p-s---fa-
τινά	tina/	τις	tis	p-p---nn-
τινά	tina/	τις	tis	p-p---nv-
τινά	tina/	τις	tis	p-p---na-
τινές	tine/s	τις	tis	p-p---mn-
τινές	tine/s	τις	tis	p-p---mv-
τινές	tine/s	τις	tis	p-p---fn-
τινές	tine/s	τις	tis	p-p---fv-
τινί	tini/	τις	tis	p-s----d-
τινός	tino/s	τις	tis	p-s----g-
τις	tis	τις	tis	p-s---mn-
τις	tis	τις	tis	p-s---fn-
τλαίη	tlai/h	τλάω	tla/w	v3saoa---
τλαίη	tlai/h	τλάω	tla/w	v3spoa---
τλητόν	tlhto/n	τλητός	tlhto/s	a-s---ma-
τλητόν	tlhto/n	τλητός	tlhto/s	a-s---nn-
τλητόν	tlhto/n	τλητός	tlhto/s	a-s---nv-
τλητόν	tlhto/n	τλητός	tlhto/s	a-s---na-
τλάμων	tla/mwn	τλήμων	tlh/mwn	n-s---mn-
τλάμων	tla/mwn	τλήμων	tlh/mwn	n-s---mv-
τλάμων	tla/mwn	τλήμων	tlh/mwn	n-s---fn-
τλάμων	tla/mwn	τλήμων	tlh/mwn	n-s---fv-
τλήμων	tlh/mwn	τλήμων	tlh/mwn	n-s---mn-
τλήμων	tlh/mwn	τλήμων	tlh/mwn	n-s---fn-
τλήσεταί	tlh/setai/	τλάω	tla/w	v3sfim---
τλᾶμον	tla=mon	τλήμων	tlh/mwn	n-s---mv-
τλᾶμον	tla=mon	τλήμων	tlh/mwn	n-s---fv-
τλῆναι	tlh=nai	τλάω	tla/w	v--ana---
τλῇς	tlh=|s	τλάω	tla/w	v2sasa---
τλῇς	tlh=|s	τλάω	tla/w	v2spsa---
τλῇς	tlh=|s	τλάω	tla/w	v2spia---
τοι	toi	σύ	su/	p-s----d-
τοι	toi	τοι	toi	g--------
τοιαύτην	toiau/thn	τοιοῦτος	toiou=tos	n-s---fa-
τοιαῦθ’	toiau=q'	τοιοῦτος	toiou=tos	n-p---nn-
τοιαῦθ’	toiau=q'	τοιοῦτος	toiou=tos	n-p---nv-
τοιαῦθ’	toiau=q'	τοιοῦτος	toiou=tos	n-p---na-
τοιαῦθ’	toiau=q'	τοιοῦτος	toiou=tos	n-p---fn-
τοιαῦθ’	toiau=q'	τοιοῦτος	toiou=tos	n-p---fv-
τοιαῦτα	toiau=ta	τοιοῦτος	toiou=tos	n-p---nn-
τοιαῦτα	toiau=ta	τοιοῦτος	toiou=tos	n-p---nv-
τοιαῦτα	toiau=ta	τοιοῦτος	toiou=tos	n-p---na-
τοιαῦτά	toiau=ta/	τοιοῦτος	toiou=tos	n-p---nn-
τοιαῦτά	toiau=ta/	τοιοῦτος	toiou=tos	n-p---nv-
τοιαῦτά	toiau=ta/	τοιοῦτος	toiou=tos	n-p---na-
τοιαῦτ’	toiau=t'	τοιοῦτος	toiou=tos	n-p---nn-
τοιαῦτ’	toiau=t'	τοιοῦτος	toiou=tos	n-p---nv-
τοιαῦτ’	toiau=t'	τοιοῦτος	toiou=tos	n-p---na-
τοιαῦτ’	toiau=t'	τοιοῦτος	toiou=tos	n-p---fn-
τοιαῦτ’	toiau=t'	τοιοῦτος	toiou=tos	n-p---fv-
τοιγαροῦν	toigarou=n	τοιγάρ	toiga/r	g--------
τοιγάρ	toiga/r	τοιγάρ	toiga/r	g--------
τοιοίδε	toioi/de	τοιόσδε	toio/sde	n-p---mn-
τοιούσδε	toiou/sde	τοιόσδε	toio/sde	n-p---ma-
τοιούσδ’	toiou/sd'	τοιόσδε	toio/sde	n-p---ma-
τοιούτοις	toiou/tois	τοιοῦτος	toiou=tos	n-p---md-
τοιούτοις	toiou/tois	τοιοῦτος	toiou=tos	n-p---nd-
τοιούτων	toiou/twn	τοιοῦτος	toiou=tos	n-p---mg-
τοιούτων	toiou/twn	τοιοῦτος	toiou=tos	n-p---ng-
τοιοῖσδε	toioi=sde	τοιόσδε	toio/sde	n-p---md-
τοιοῖσδε	toioi=sde	τοιόσδε	toio/sde	n-p---nd-
τοιοῖσδέ	toioi=sde/	τοιόσδε	toio/sde	n-p---md-
τοιοῖσδέ	toioi=sde/	τοιόσδε	toio/sde	n-p---nd-
τοιοῖσδ’	toioi=sd'	τοιόσδε	toio/sde	n-p---md-
τοιοῖσδ’	toioi=sd'	τοιόσδε	toio/sde	n-p---nd-
τοιοῦδ’	toiou=d'	τοιόσδε	toio/sde	n-s---mg-
τοιοῦδ’	toiou=d'	τοιόσδε	toio/sde	n-s---ng-
τοιοῦτον	toiou=ton	τοιοῦτος	toiou=tos	n-s---ma-
τοιοῦτος	toiou=tos	τοιοῦτος	toiou=tos	n-s---mn-
τοιάδ’	toia/d'	τοιόσδε	toio/sde	n-p---na-
τοιάδ’	toia/d'	τοιόσδε	toio/sde	n-p---nn-
τοιάδ’	toia/d'	τοιόσδε	toio/sde	n-d---fa-
τοιάδ’	toia/d'	τοιόσδε	toio/sde	n-d---fn-
τοιάδ’	toia/d'	τοιόσδε	toio/sde	n-d---fv-
τοιάδ’	toia/d'	τοιόσδε	toio/sde	n-s---fn-
τοιάνδ’	toia/nd'	τοιόσδε	toio/sde	n-s---fa-
τοιόνδε	toio/nde	τοιόσδε	toio/sde	n-s---ma-
τοιόνδε	toio/nde	τοιόσδε	toio/sde	n-s---na-
τοιόνδε	toio/nde	τοιόσδε	toio/sde	n-s---nn-
τοιόνδ’	toio/nd'	τοιόσδε	toio/sde	n-s---ma-
τοιόνδ’	toio/nd'	τοιόσδε	toio/sde	n-s---na-
τοιόνδ’	toio/nd'	τοιόσδε	toio/sde	n-s---nn-
τοιᾷδε	toia=|de	τοιόσδε	toio/sde	n-s---fd-
τοιῷδ’	toiw=|d'	τοιόσδε	toio/sde	n-s---md-
τοιῷδ’	toiw=|d'	τοιόσδε	toio/sde	n-s---nd-
τολμᾷ	tolma=|	τολμάω	tolma/w	v2spse---
τολμᾷ	tolma=|	τολμάω	tolma/w	v2spie---
τολμᾷ	tolma=|	τολμάω	tolma/w	v3spsa---
τολμᾷ	tolma=|	τολμάω	tolma/w	v3spia---
τομώτατος	tomw/tatos	τομός	tomo/s	a-s---mns
τομῶντι	tomw=nti	τομάω	toma/w	v-sppamd-
τομῶντι	tomw=nti	τομάω	toma/w	v-sppand-
τομῶντι	tomw=nti	τομάω	toma/w	v3ppia---
τομῶντι	tomw=nti	τομάω	toma/w	v3ppsa---
τοξότης	toco/ths	τοξότης	toco/ths	n-s---mn-
τοσαῦθ’	tosau=q'	τοσοῦτος	tosou=tos	n-p---nn-
τοσαῦθ’	tosau=q'	τοσοῦτος	tosou=tos	n-p---nv-
τοσαῦθ’	tosau=q'	τοσοῦτος	tosou=tos	n-p---na-
τοσαῦθ’	tosau=q'	τοσοῦτος	tosou=tos	n-p---fn-
τοσαῦθ’	tosau=q'	τοσοῦτος	tosou=tos	n-p---fv-
τοσαῦτά	tosau=ta/	τοσοῦτος	tosou=tos	n-p---nn-
τοσαῦτά	tosau=ta/	τοσοῦτος	tosou=tos	n-p---nv-
τοσαῦτά	tosau=ta/	τοσοῦτος	tosou=tos	n-p---na-
τοσοῦτον	tosou=ton	τοσοῦτος	tosou=tos	n-s---ma-
τοσοῦτόν	tosou=to/n	τοσοῦτος	tosou=tos	n-s---ma-
τοσόνδε	toso/nde	τοσόσδε	toso/sde	n-s---ma-
τοσόνδε	toso/nde	τοσόσδε	toso/sde	n-s---na-
τοσόνδε	toso/nde	τοσόσδε	toso/sde	n-s---nn-
τοσόνδ’	toso/nd'	τοσόσδε	toso/sde	n-s---ma-
τοσόνδ’	toso/nd'	τοσόσδε	toso/sde	n-s---na-
τοσόνδ’	toso/nd'	τοσόσδε	toso/sde	n-s---nn-
του	tou	τις	tis	p-s----g-
τοὐμοῦ	tou)mou=	ἐγώ	e)gw/	p-s---mg-
τοὐμοῦ	tou)mou=	ἐγώ	e)gw/	p-s---fg-
τοὐμοῦ	tou)mou=	ἐμέω	e)me/w	v2spme---
τοὐμοῦ	tou)mou=	ἐμός	e)mo/s	a-s---mg-
τοὐμοῦ	tou)mou=	ἐμός	e)mo/s	a-s---ng-
τοὐμφανές	tou)mfane/s	ἐμφανής	e)mfanh/s	n-s---mv-
τοὐμφανές	tou)mfane/s	ἐμφανής	e)mfanh/s	n-s---fv-
τοὐμφανές	tou)mfane/s	ἐμφανής	e)mfanh/s	n-s---nn-
τοὐμφανές	tou)mfane/s	ἐμφανής	e)mfanh/s	n-s---nv-
τοὐμφανές	tou)mfane/s	ἐμφανής	e)mfanh/s	n-s---na-
τοὐμόν	tou)mo/n	ἐμός	e)mo/s	a-s---ma-
τοὐμόν	tou)mo/n	ἐμός	e)mo/s	a-s---nn-
τοὐμόν	tou)mo/n	ἐμός	e)mo/s	a-s---nv-
τοὐμόν	tou)mo/n	ἐμός	e)mo/s	a-s---na-
τοὐξειργασμένον	tou)ceirgasme/non	ἐξεργάζομαι	e)cerga/zomai	v-srpema-
τοὐξειργασμένον	tou)ceirgasme/non	ἐξεργάζομαι	e)cerga/zomai	v-srpenn-
τοὐξειργασμένον	tou)ceirgasme/non	ἐξεργάζομαι	e)cerga/zomai	v-srpenv-
τοὐξειργασμένον	tou)ceirgasme/non	ἐξεργάζομαι	e)cerga/zomai	v-srpena-
τοὐπίτριπτον	tou)pi/tripton	ἐπίτριπτος	e)pi/triptos	n-s---ma-
