Αἰξωνέα	*ai)cwne/a	Αἰξωνεύς	*ai)cwneu/s	n-s---ma-
Εὐριπίδης	*eu)ripi/dhs	εὐριπίδης	eu)ripi/dhs	n-s---mn-
Εὐριπίδου	*eu)ripi/dou	Εὐριπίδης	*eu)ripi/dhs	n-s---mg-
Εὐριπίδου	*eu)ripi/dou	εὐριπίδης	eu)ripi/dhs	n-s---mg-
Εὐρυκλέους	*eu)rukle/ous	Εὐρυκλέης	*eu)rukle/hs	n-s---mg-
Εὐρυκλέους	*eu)rukle/ous	Εὐρυκλῆς	*eu)ruklh=s	n-s---mg-
Εὐφημίου	*eu)fhmi/ou	Εὐφήμιος	*eu)fh/mios	n-s---mg-
Εὐχαρίδου	*eu)xari/dou	Εὐχαρίδης	*eu)xari/dhs	n-s---mg-
Εὔαθλος	*eu)/aqlos	Εὔαθλος	*eu)/aqlos	n-s---mn-
Εὔαθλος	*eu)/aqlos	εὔαθλος	eu)/aqlos	n-s---mn-
Εὔαθλος	*eu)/aqlos	εὔαθλος	eu)/aqlos	n-s---fn-
Εὔβοιαν	*eu)/boian	Εὔβοια	*eu)/boia	n-s---fa-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	n-s---mn-
Ζεῦ	*zeu=	Ζεύς	*zeu/s	n-s---mv-
Ζεῦ	*zeu=	ζέω	ze/w	v2spme---
Ζεῦ	*zeu=	ζέω	ze/w	v2siie---
Θεογένης	*qeoge/nhs	Θεογένης	*qeoge/nhs	n-p---ma-
Θεογένης	*qeoge/nhs	Θεογένης	*qeoge/nhs	n-p---mn-
Θεογένης	*qeoge/nhs	Θεογένης	*qeoge/nhs	n-p---mv-
Θεογένης	*qeoge/nhs	Θεογένης	*qeoge/nhs	n-s---mn-
Θετταλῶν	*qettalw=n	Θεσσαλός	*qessalo/s	n-p---mg-
Θεώρου	*qew/rou	Θέωρος	*qe/wros	n-s---mg-
Θουκυδίδης	*qoukudi/dhs	Θουκυδίδης	*qoukudi/dhs	n-s---mn-
Θουφράστου	*qoufra/stou	Θούφραστος	*qou/frastos	n-s---mg-
Θούφραστον	*qou/fraston	Θούφραστος	*qou/frastos	n-s---ma-
Θούφραστος	*qou/frastos	Θούφραστος	*qou/frastos	n-s---mn-
Θρᾴκης	*qra/|khs	Θρᾳκία	*qra|ki/a	n-s---fg-
Θρᾷττα	*qra=|tta	Θρᾷσσα-πλ	*qra=|ssa-pl	n-s---fn-
Θρᾷττα	*qra=|tta	Θρᾷσσα-πλ	*qra=|ssa-pl	n-s---fv-
Θυμαιτίδα	*qumaiti/da	Θυμαιτίς	*qumaiti/s	n-s---fa-
Θέσπις	*qe/spis	Θέσπις	*qe/spis	n-s---mn-
Θέσπις	*qe/spis	θέσπις	qe/spis	n-p---fa-
Θέσπις	*qe/spis	θέσπις	qe/spis	n-s---fn-
Θέωλος	*qe/wlos	Θέωλος	*qe/wlos	n-s---mn-
Θέωρος	*qe/wros	Θέωρος	*qe/wros	n-s---mn-
Καπνίου	*kapni/ou	Κάπνιος	*ka/pnios	n-s---mg-
Καπνίου	*kapni/ou	κάπνιος	ka/pnios	n-s---fg-
Καπνίου	*kapni/ou	καπνίας	kapni/as	n-s---mg-
Καρδοπίων	*kardopi/wn	Καρδοπίων	*kardopi/wn	n-s---mn-
Καρδοπίων	*kardopi/wn	Καρδοπίων	*kardopi/wn	n-s---mv-
Καρκινίτης	*karkini/ths	Καρκινίτης	*karkini/ths	n-s---mn-
Καρκίνου	*karki/nou	Καρκίνος	*karki/nos	n-s---mg-
Καρκίνου	*karki/nou	Καρκῖνος	*karki=nos	n-s---mg-
Καρκίνου	*karki/nou	καρκίνος	karki/nos	n-s---mg-
Καρκίνου	*karki/nou	καρκίνος	karki/nos	n-s---ng-
Καρκίνου	*karki/nou	καρκινόω	karkino/w	v2spma---
Καρκίνου	*karki/nou	καρκινόω	karkino/w	v3siia---
Καρκίν’	*karki/n'	Κάρκινα	*ka/rkina	n-s---fd-
Καρκίν’	*karki/n'	Καρκίνος	*karki/nos	n-s---mv-
Καρκίν’	*karki/n'	καρκίνος	karki/nos	n-p---nn-
Καρκίν’	*karki/n'	καρκίνος	karki/nos	n-p---nv-
Καρκίν’	*karki/n'	καρκίνος	karki/nos	n-p---na-
Καρκίν’	*karki/n'	καρκίνος	karki/nos	n-s---mv-
Κλεισθένει	*kleisqe/nei	Κλεισθένης	*kleisqe/nhs	n-d---mn-
Κλεισθένει	*kleisqe/nei	Κλεισθένης	*kleisqe/nhs	n-d---mv-
Κλεισθένει	*kleisqe/nei	Κλεισθένης	*kleisqe/nhs	n-d---ma-
Κλεισθένει	*kleisqe/nei	Κλεισθένης	*kleisqe/nhs	n-s---md-
Κλεισθένει	*kleisqe/nei	Κλεισθένης	*kleisqe/nhs	n-s---md-
Κλειταγόρᾳ	*kleitago/ra|	Κλειταγόρη	*kleitago/rh	n-s---fd-
Κλεώνυμον	*klew/numon	Κλεώνυμος	*klew/numos	n-s---ma-
Κλεώνυμος	*klew/numos	Κλεώνυμος	*klew/numos	n-s---mn-
Κλέων	*kle/wn	Κλέων	*kle/wn	n-s---mn-
Κλέων	*kle/wn	Κλέων	*kle/wn	n-s---mv-
Κλέων	*kle/wn	κλέω	kle/w	v-sppamn-
Κλέωνα	*kle/wna	Κλέων	*kle/wn	n-s---ma-
Κλέωνα	*kle/wna	Κλεώνης	*klew/nhs	n-s---mv-
Κλέωνα	*kle/wna	Κλεώνης	*klew/nhs	n-s---mn-
Κλέωνι	*kle/wni	Κλέων	*kle/wn	n-s---md-
Κλέωνος	*kle/wnos	Κλέων	*kle/wn	n-s---mg-
Κολακώνυμος	*kolakw/numos	Κολακώνυμος	*kolakw/numos	n-s---mn-
Κρωβύλων	*krwbu/lwn	κρώβυλος	krw/bulos	n-p---mg-
Κρωβύλων	*krwbu/lwn	κρωβύλος	krwbu/los	n-p---mg-
Κυδαθηναιεύς	*kudaqhnaieu/s	Κυδαθηναιεύς	*kudaqhnaieu/s	n-s---mn-
Κωμία	*kwmi/a	Κωμίας	*kwmi/as	n-s---mv-
Κωμία	*kwmi/a	Κωμίας	*kwmi/as	n-s---mg-
Κέκροψ	*ke/kroy	Κέκροψ	*ke/kroy	n-s---mn-
Κέκροψ	*ke/kroy	Κέκροψ	*ke/kroy	n-s---mv-
Κόννου	*ko/nnou	Κόννος	*ko/nnos	n-s---mg-
Κόννου	*ko/nnou	κόννος	ko/nnos	n-s---mg-
Κύννης	*ku/nnhs	Κύννα	*ku/nna	n-s---fg-
Λακωνικάς	*lakwnika/s	Λακωνικός	*lakwniko/s	a-p---fa-
Λακωνικάς	*lakwnika/s	Λακωνικός	*lakwniko/s	a-p---fa-
Λαμίας	*lami/as	Λάμια	*la/mia	n-p---fa-
Λαμίας	*lami/as	Λάμια	*la/mia	n-s---fg-
Λαμίας	*lami/as	Λαμίας	*lami/as	n-p---ma-
Λαμίας	*lami/as	Λαμίας	*lami/as	n-s---mn-
Λεωγόρου	*lewgo/rou	Λεώγορος	*lew/goros	n-s---mg-
Λεωγόρου	*lewgo/rou	Λεωγόρας	*lewgo/ras	n-s---mg-
Λυσίστρατος	*lusi/stratos	Λυσίστρατος	*lusi/stratos	n-s---mn-
Λάβης	*la/bhs	Λάβης	*la/bhs	n-s----n-
Λάβης	*la/bhs	λάπτω	la/ptw	v2saip---
Λάβητι	*la/bhti	Λάβης	*la/bhs	n-s----d-
Λάβητι	*la/bhti	λάπτω	la/ptw	v2samp---
Λάβητ’	*la/bht'	Λάβης	*la/bhs	n-p---nn-
Λάβητ’	*la/bht'	Λάβης	*la/bhs	n-p---nv-
Λάβητ’	*la/bht'	Λάβης	*la/bhs	n-p---na-
Λάβητ’	*la/bht'	Λάβης	*la/bhs	n-s---ma-
Λάβητ’	*la/bht'	Λάβης	*la/bhs	n-s---fa-
Λάβητ’	*la/bht'	Λάβης	*la/bhs	n-s----d-
Λάβητ’	*la/bht'	Λάβης	*la/bhs	n-d----n-
Λάβητ’	*la/bht'	Λάβης	*la/bhs	n-d----v-
Λάβητ’	*la/bht'	Λάβης	*la/bhs	n-d----a-
Λάβητ’	*la/bht'	λάπτω	la/ptw	v2samp---
Λάβητ’	*la/bht'	λάπτω	la/ptw	v2pamp---
Λάβητ’	*la/bht'	λάπτω	la/ptw	v2paip---
Λάβητ’	*la/bht'	λαμβάνω	lamba/nw	v2pasa---
Λάβητ’	*la/bht'	λαμβάνω	lamba/nw	v3sase---
Λάμι’	*la/mi'	Λάμια	*la/mia	n-s---fn-
Λάμι’	*la/mi'	Λάμια	*la/mia	n-s---fv-
Λάμι’	*la/mi'	Λάμια	*la/mia	n-p---fn-
Λάμι’	*la/mi'	Λάμια	*la/mia	n-p---fv-
Λάμι’	*la/mi'	Λαμίας	*lami/as	n-s---mv-
Λάμι’	*la/mi'	Λαμίας	*lami/as	n-s---mn-
Λάμι’	*la/mi'	Λαμίας	*lami/as	n-p---mn-
Λάμι’	*la/mi'	Λαμίας	*lami/as	n-p---mv-
Λάμι’	*la/mi'	λάμια	la/mia	n-p---nn-
Λάμι’	*la/mi'	λάμια	la/mia	n-p---nv-
Λάμι’	*la/mi'	λάμια	la/mia	n-p---na-
Λάχητι	*la/xhti	Λάχης	*la/xhs	n-s---md-
Λύκε	*lu/ke	Λύκος	*lu/kos	n-s---mv-
Λύκε	*lu/ke	λύκος	lu/kos	n-s---mv-
Λύκου	*lu/kou	Λύκης	*lu/khs	n-s---mg-
Λύκου	*lu/kou	Λύκος	*lu/kos	n-s---mg-
Λύκου	*lu/kou	λύκος	lu/kos	n-s---mg-
Λύκου	*lu/kou	λυκόω	luko/w	v2spma---
Λύκου	*lu/kou	λυκόω	luko/w	v3siia---
Λύκων	*lu/kwn	Λύκος	*lu/kos	n-p---mg-
Λύκων	*lu/kwn	Λύκων	*lu/kwn	n-s---mn-
Λύκων	*lu/kwn	Λύκων	*lu/kwn	n-s---mv-
Λύκων	*lu/kwn	Λύκων	*lu/kwn	n-s---mn-
Λύκων	*lu/kwn	Λύκων	*lu/kwn	n-s---mv-
Λύκων	*lu/kwn	λύκος	lu/kos	n-p---mg-
Λύκων	*lu/kwn	λυκόω	luko/w	v3piia---
Λύκων	*lu/kwn	λυκόω	luko/w	v1siia---
Μαραθῶνι	*maraqw=ni	Μαραθών	*maraqw/n	n-s---md-
Μεγαρόθεν	*megaro/qen	Μεγαρόθεν	*megaro/qen	d--------
Μορύχου	*moru/xou	Μόρυχος	*mo/ruxos	n-s---mg-
Μουσῶν	*mousw=n	Μοῦσα	*mou=sa	n-p---fg-
Μουσῶν	*mousw=n	Μοῦσαι	*mou=sai	n-p---fg-
Μουσῶν	*mousw=n	Μοῦσαι	*mou=sai	n-p---fg-
Μουσῶν	*mousw=n	μουσόομαι	mouso/omai	v-sppamv-
Μουσῶν	*mousw=n	μουσόομαι	mouso/omai	v-sppann-
Μουσῶν	*mousw=n	μουσόομαι	mouso/omai	v-sppanv-
Μουσῶν	*mousw=n	μουσόομαι	mouso/omai	v-sppana-
Μουσῶν	*mousw=n	μουσόομαι	mouso/omai	v-sppamn-
Μουσῶν	*mousw=n	μουσόομαι	mouso/omai	v--pna---
Μουσῶν	*mousw=n	μουσόω	mouso/w	v-sppamv-
Μουσῶν	*mousw=n	μουσόω	mouso/w	v-sppann-
Μουσῶν	*mousw=n	μουσόω	mouso/w	v-sppanv-
Μουσῶν	*mousw=n	μουσόω	mouso/w	v-sppana-
Μουσῶν	*mousw=n	μουσόω	mouso/w	v-sppamn-
Μουσῶν	*mousw=n	μουσόω	mouso/w	v--pna---
Μούσας	*mou/sas	Μοῦσα	*mou=sa	n-p---fa-
Μούσας	*mou/sas	Μοῦσα	*mou=sa	n-s---fg-
Μούσας	*mou/sas	Μοῦσαι	*mou=sai	n-p---fa-
Μούσας	*mou/sas	Μοῦσαι	*mou=sai	n-s---fg-
Μούσας	*mou/sas	Μοῦσαι	*mou=sai	n-p---fa-
Μούσας	*mou/sas	Μοῦσαι	*mou=sai	n-s---fg-
Μυρτίας	*murti/as	Μυρτίη	*murti/h	n-s---fg-
Μυρτίας	*murti/as	μυρτία	murti/a	n-p---fa-
Μυρτίας	*murti/as	μυρτία	murti/a	n-s---fg-
Μήδων	*mh/dwn	Μήδων	*mh/dwn	n-s---mn-
Μήδων	*mh/dwn	Μήδων	*mh/dwn	n-s---mv-
Μήδων	*mh/dwn	Μῆδος	*mh=dos	n-p---mg-
Μήδων	*mh/dwn	Μῆδος	*mh=dos	n-p---mg-
Μίδα	*mi/da	Μίδας	*mi/das	n-d---mn-
Μίδα	*mi/da	Μίδας	*mi/das	n-d---mv-
Μίδα	*mi/da	Μίδας	*mi/das	n-d---ma-
Μίδα	*mi/da	Μίδας	*mi/das	n-s---mg-
Μόρυχος	*mo/ruxos	Μόρυχος	*mo/ruxos	n-s---mn-
Μῆδός	*mh=do/s	Μῆδος	*mh=dos	n-s---mn-
Νικόστρατος	*niko/stratos	Νικόστρατος	*niko/stratos	n-s---mn-
Νικόστρατ’	*niko/strat'	Νικόστρατος	*niko/stratos	n-s---mv-
Νιόβης	*nio/bhs	Νιόβη	*nio/bh	n-s---fg-
Νάξος	*na/cos	Νάξος	*na/cos	n-s---fn-
Νάξος	*na/cos	ναξος	nacos	a-s---mn-
Ξανθία	*canqi/a	Ξανθίας	*canqi/as	n-s---mv-
Ξανθία	*canqi/a	Ξανθίας	*canqi/as	n-s---mv-
Ξανθία	*canqi/a	Ξανθίας	*canqi/as	n-s---mg-
Ξανθία	*canqi/a	Ξανθίας	*canqi/as	n-s---mn-
Ξανθία	*canqi/a	Ξανθίης	*canqi/hs	n-d---mn-
Ξανθία	*canqi/a	Ξανθίης	*canqi/hs	n-d---mv-
Ξανθία	*canqi/a	Ξανθίης	*canqi/hs	n-d---ma-
Ξανθία	*canqi/a	Ξανθίης	*canqi/hs	n-s---mv-
Ξανθία	*canqi/a	Ξανθίης	*canqi/hs	n-s---mv-
Ξανθία	*canqi/a	Ξανθίης	*canqi/hs	n-s---mg-
Ξανθία	*canqi/a	Ξανθίης	*canqi/hs	n-s---mn-
Οἴαγρος	*oi)/agros	Οἴαγρος	*oi)/agros	n-s---mn-
Οὖτις	*ou)=tis	Οὖτις	*ou)=tis	n-s---mn-
Οὗτος	*ou(=tos	οὗτος	ou(=tos	n-s---mn-
Οὗτος	*ou(=tos	οὗτος	ou(=tos	n-s---mv-
Παιάν	*paia/n	Παιάν	*paia/n	n-s---mn-
Παιάν	*paia/n	Παιάν	*paia/n	n-s---mv-
Παιάν	*paia/n	Παιάν	*paia/n	n-s---mn-
Παιάν	*paia/n	Παιάν	*paia/n	n-s---mv-
Πενέσταισι	*pene/staisi	πενέστης	pene/sths	n-p---md-
Περσίδ’	*persi/d'	Περσίς	*persi/s	n-s---fa-
Περσίδ’	*persi/d'	Περσίς	*persi/s	n-s---fd-
Περσίδ’	*persi/d'	Περσίς	*persi/s	n-d---fn-
Περσίδ’	*persi/d'	Περσίς	*persi/s	n-d---fv-
Περσίδ’	*persi/d'	Περσίς	*persi/s	n-d---fa-
Πιττάλου	*pitta/lou	Πίτταλος	*pi/ttalos	n-s---mg-
Ποσειδῶ	*poseidw=	Ποσειδῶν	*poseidw=n	n-s---ma-
Προνάπους	*prona/pous	Προνάπους	*prona/pous	n-s---mn-
Προνάπους	*prona/pous	Προνάπους	*prona/pous	n-s---mv-
Προξενίδην	*proceni/dhn	Προξενίδης	*proceni/dhs	n-s---ma-
Πυριλάμπους	*purila/mpous	Πυριλάμπης	*purila/mphs	n-s---mg-
Πάρον	*pa/ron	Πάρος	*pa/ros	n-s---fa-
Πόντου	*po/ntou	Πόντος	*po/ntos	n-s---mg-
Πόντου	*po/ntou	πόντος	po/ntos	n-s---mg-
Πόντου	*po/ntou	ποντίζω	ponti/zw	v2spma---
Πόντου	*po/ntou	ποντίζω	ponti/zw	v3siia---
Πόντου	*po/ntou	ποντόω	ponto/w	v2spma---
Πόντου	*po/ntou	ποντόω	ponto/w	v3siia---
Πόσειδον	*po/seidon	Ποσειδῶν	*poseidw=n	n-s---mv-
Πύθι’	*pu/qi'	Πύθια	*pu/qia	n-p---nn-
Πύθι’	*pu/qi'	Πύθια	*pu/qia	n-p---nv-
Πύθι’	*pu/qi'	Πύθια	*pu/qia	n-p---na-
Πύθι’	*pu/qi'	Πύθιον	*pu/qion	n-p---nn-
Πύθι’	*pu/qi'	Πύθιον	*pu/qion	n-p---nv-
Πύθι’	*pu/qi'	Πύθιον	*pu/qion	n-p---na-
Πύθι’	*pu/qi'	Πύθιος	*pu/qios	a-p---nn-
Πύθι’	*pu/qi'	Πύθιος	*pu/qios	a-p---nv-
Πύθι’	*pu/qi'	Πύθιος	*pu/qios	a-p---na-
Πύθι’	*pu/qi'	Πύθιος	*pu/qios	a-s---mv-
Πύθι’	*pu/qi'	Πύθιος	*pu/qios	a-p---fn-
Πύθι’	*pu/qi'	Πύθιος	*pu/qios	a-p---fv-
Πύθι’	*pu/qi'	πύθω	pu/qw	v2spmp---
Πύθι’	*pu/qi'	πύθω	pu/qw	v2siip---
Πύθι’	*pu/qi'	πυνθάνομαι	punqa/nomai	v2samm---
Πύθι’	*pu/qi'	πυνθάνομαι	punqa/nomai	v2saim---
Σαβαζίου	*sabazi/ou	Σαβάζιος	*saba/zios	n-s---mg-
Σαβάζιον	*saba/zion	Σαβάζιος	*saba/zios	n-s---ma-
Σαρδοῦς	*sardou=s	Σαρδώ	*sardw/	n-s---fg-
Σαρδοῦς	*sardou=s	Σαρδώ	*sardw/	n-p---fn-
Σαρδοῦς	*sardou=s	Σαρδώ	*sardw/	n-p---fv-
Σελλαρτίου	*sellarti/ou	Σελλάρτιος	*sella/rtios	n-s---mg-
Σθενέλῳ	*sqene/lw|	Σθένελος	*sqe/nelos	n-s---md-
Σικελικήν	*sikelikh/n	Σικελικός	*sikeliko/s	a-s---fa-
Σικελικόν	*sikeliko/n	Σικελικός	*sikeliko/s	a-s---ma-
Σικελικόν	*sikeliko/n	Σικελικός	*sikeliko/s	a-s---nn-
Σικελικόν	*sikeliko/n	Σικελικός	*sikeliko/s	a-s---nv-
Σικελικόν	*sikeliko/n	Σικελικός	*sikeliko/s	a-s---na-
Σιμωνίδης	*simwni/dhs	Σιμωνίδης	*simwni/dhs	n-s---mn-
Σκαμβωνίδης	*skambwni/dhs	Σκαμβωνίδης	*skambwni/dhs	n-s---mn-
Σκιώνην	*skiw/nhn	Σκιώνη	*skiw/nh	n-s---fa-
Σμικυθίων	*smikuqi/wn	Σμικυθίων	*smikuqi/wn	n-s---mn-
Σμικυθίων	*smikuqi/wn	Σμικυθίων	*smikuqi/wn	n-s---mv-
Στρυμόδωρε	*strumo/dwre	Στρυμόδωρος	*strumo/dwros	n-s---mv-
Συβαριτικόν	*subaritiko/n	Συβαριτικός	*subaritiko/s	a-s---ma-
Συβαριτικόν	*subaritiko/n	Συβαριτικός	*subaritiko/s	a-s---nn-
Συβαριτικόν	*subaritiko/n	Συβαριτικός	*subaritiko/s	a-s---nv-
Συβαριτικόν	*subaritiko/n	Συβαριτικός	*subaritiko/s	a-s---na-
Συβαρίτης	*subari/ths	Συβαρίτης	*subari/ths	n-s---mn-
Συβάρει	*suba/rei	Σύβαρις	*su/baris	n-d---fn-
Συβάρει	*suba/rei	Σύβαρις	*su/baris	n-d---fv-
Συβάρει	*suba/rei	Σύβαρις	*su/baris	n-d---fa-
Συβάρει	*suba/rei	Σύβαρις	*su/baris	n-s---fd-
Συβάρει	*suba/rei	Σύβαρις	*su/baris	n-s---fd-
Σωστράτης	*swstra/ths	Σωστράτη	*swstra/th	n-s---fg-
Σωστράτης	*swstra/ths	Σωστράτης	*swstra/ths	n-s---mn-
Σωσία	*swsi/a	Σωσίας	*swsi/as	n-d---mn-
Σωσία	*swsi/a	Σωσίας	*swsi/as	n-d---mv-
Σωσία	*swsi/a	Σωσίας	*swsi/as	n-d---ma-
Σωσία	*swsi/a	Σωσίας	*swsi/as	n-s---mv-
Σωσία	*swsi/a	Σωσίας	*swsi/as	n-s---mg-
Σωσίας	*swsi/as	Σωσίας	*swsi/as	n-p---ma-
Σωσίας	*swsi/as	Σωσίας	*swsi/as	n-s---mn-
Σάμῳ	*sa/mw|	Σάμος	*sa/mos	n-s---fd-
Σάρδεις	*sa/rdeis	Σάρδεις	*sa/rdeis	n-p---fn-
Σάρδεις	*sa/rdeis	Σάρδεις	*sa/rdeis	n-p---fv-
Σάρδεις	*sa/rdeis	Σάρδεις	*sa/rdeis	n-p---fn-
Σάρδεις	*sa/rdeis	Σάρδεις	*sa/rdeis	n-p---fa-
Σέλλου	*se/llou	Σέλλος	*se/llos	n-s---mg-
Τεισιάδη	*teisia/dh	Τεισιάδης	*teisia/dhs	n-s---mv-
Φερέδειπνε	*fere/deipne	Φερέδειπνος	*fere/deipnos	n-s---mv-
Φιλοκλέους	*filokle/ous	Φιλοκλῆς	*filoklh=s	n-s---mg-
Φιλοκλέων	*filokle/wn	Φιλοκλέων	*filokle/wn	n-s---mn-
Φιλοκλέων	*filokle/wn	Φιλοκλέων	*filokle/wn	n-s---mv-
Φιλοκλέωνος	*filokle/wnos	Φιλοκλέων	*filokle/wn	n-s---mg-
Φιλοκτήμονος	*filokth/monos	Φιλοκτήμων	*filokth/mwn	n-s---mg-
Φιλοκτήμονος	*filokth/monos	φιλοκτήμων	filokth/mwn	n-s---mg-
Φιλόξενος	*filo/cenos	Φιλόξενος	*filo/cenos	n-s---mn-
Φιλόξενος	*filo/cenos	φιλόξενος	filo/cenos	n-s---mn-
Φιλόξενος	*filo/cenos	φιλόξενος	filo/cenos	n-s---fn-
Φλυεύς	*flueu/s	Φλυεύς	*flueu/s	n-s---mn-
Φοῖβ’	*foi=b'	Φοίβη	*foi/bh	n-p---fn-
Φοῖβ’	*foi=b'	Φοίβη	*foi/bh	n-p---fv-
Φοῖβ’	*foi=b'	Φοῖβος	*foi=bos	n-s---mv-
Φοῖβ’	*foi=b'	φοίβη	foi/bh	n-p---fn-
Φοῖβ’	*foi=b'	φοίβη	foi/bh	n-p---fv-
Φοῖβ’	*foi=b'	φοῖβος	foi=bos	a-p---nn-
Φοῖβ’	*foi=b'	φοῖβος	foi=bos	a-p---nv-
Φοῖβ’	*foi=b'	φοῖβος	foi=bos	a-p---na-
Φοῖβ’	*foi=b'	φοῖβος	foi=bos	a-s---mv-
Φοῖβ’	*foi=b'	φοῖβος	foi=bos	a-p---fn-
Φοῖβ’	*foi=b'	φοῖβος	foi=bos	a-p---fv-
Φρυνίχειον	*fruni/xeion	Φρυνίχειος	*fruni/xeios	a-s---ma-
Φρυνίχειον	*fruni/xeion	Φρυνίχειος	*fruni/xeios	a-s---nn-
Φρυνίχειον	*fruni/xeion	Φρυνίχειος	*fruni/xeios	a-s---nv-
