Αἰακοῦ	*ai)akou=	Αἰακός	*ai)ako/s	n-s---mg-
Βάκχη	*ba/kxh	Βακχάω	*bakxa/w	v2spma---
Βάκχη	*ba/kxh	Βακχάω	*bakxa/w	v3siia---
Γαλάνεια	*gala/neia	γαλήνη	galh/nh	n-s---fn-
Γαλάνεια	*gala/neia	γαλήνη	galh/nh	n-s---fv-
Γοργῶπις	*gorgw=pis	γοργῶπις	gorgw=pis	n-s---fn-
Γοργῶπις	*gorgw=pis	γοργωπός	gorgwpo/s	n-s---fn-
Γοργῶπις	*gorgw=pis	γοργωπός	gorgwpo/s	n-s---fn-
Δαναΐδαις	*danai+/dais	Δαναίδαι	*danai/dai	n-p---md-
Δαναῶν	*danaw=n	Δαναός	*danao/s	n-p---mg-
Δαναῶν	*danaw=n	Δαναοί	*danaoi/	n-p---mg-
Δαρδανίας	*dardani/as	Δαρδάνιος	*darda/nios	a-p---fa-
Δαρδανίας	*dardani/as	Δαρδάνιος	*darda/nios	a-s---fg-
Δαρδανίας	*dardani/as	Δαρδανία	*dardani/a	n-p---fa-
Δαρδανίας	*dardani/as	Δαρδανία	*dardani/a	n-s---fg-
Δαρδάνου	*darda/nou	Δάρδανος	*da/rdanos	n-s---mg-
Δηοῖ	*dhoi=	Δηώ	*dhw/	n-s----g-
Δηοῖ	*dhoi=	Δηώ	*dhw/	n-s----d-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	n-d---mn-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	n-d---mv-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	n-d---ma-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	n-s---mg-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	n-d---mn-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	n-d---mv-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	n-d---ma-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	n-s---mg-
Διοσκόρω	*diosko/rw	Διοσκόρος	*diosko/ros	n-s---mg-
Διοσκόρων	*diosko/rwn	Διόσκοροι	*dio/skoroi	n-p---mg-
Διοσκόρων	*diosko/rwn	Διόσκοροι	*dio/skoroi	n-p---mg-
Διόθεν	*dio/qen	Διόθεν	*dio/qen	d--------
Διόθεν	*dio/qen	Ζεύς	*zeu/s	d--------
Διός	*dio/s	Ζεύς	*zeu/s	n-s---mg-
Διόσκοροι	*dio/skoroi	Διόσκοροι	*dio/skoroi	n-p---mn-
Διόσκοροι	*dio/skoroi	Διόσκοροι	*dio/skoroi	n-p---mv-
Διόσκοροι	*dio/skoroi	Διόσκοροι	*dio/skoroi	n-p---mn-
Διόσκοροι	*dio/skoroi	Διόσκοροι	*dio/skoroi	n-p---mv-
Διώνης	*diw/nhs	Διώνη	*diw/nh	n-s---fg-
Δίοισιν	*di/oisin	Δίον	*di/on	n-p---nd-
Δίοισιν	*di/oisin	Δίος	*di/os	n-p---md-
Δίοισιν	*di/oisin	Δῖα	*di=a	n-p---nd-
Δίοισιν	*di/oisin	Δῖον	*di=on	n-p---nd-
Δίοισιν	*di/oisin	Δῖος	*di=os	n-p---md-
Δίοισιν	*di/oisin	δέω1	de/w1	v-pppamd-
Δίοισιν	*di/oisin	δέω1	de/w1	v-pppand-
Δίοισιν	*di/oisin	δίω	di/w	v-pppamd-
Δίοισιν	*di/oisin	δίω	di/w	v-pppand-
Δίοισιν	*di/oisin	δίω	di/w	v3ppia---
Δίοισιν	*di/oisin	δῖος	di=os	a-p---md-
Δίοισιν	*di/oisin	δῖος	di=os	a-p---nd-
Δίοισιν	*di/oisin	δῖος	di=os	n-p---md-
Δίοισιν	*di/oisin	δῖος	di=os	n-p---fd-
Δίοισιν	*di/oisin	δῖος	di=os	n-p---nd-
Εὐβοικά	*eu)boika/	Εὐβοικός	*eu)boiko/s	a-p---nn-
Εὐβοικά	*eu)boika/	Εὐβοικός	*eu)boiko/s	a-p---nv-
Εὐβοικά	*eu)boika/	Εὐβοικός	*eu)boiko/s	a-p---na-
Εὐβοικά	*eu)boika/	Εὐβοικός	*eu)boiko/s	a-d---fn-
Εὐβοικά	*eu)boika/	Εὐβοικός	*eu)boiko/s	a-d---fv-
Εὐβοικά	*eu)boika/	Εὐβοικός	*eu)boiko/s	a-d---fa-
Εὐβοικά	*eu)boika/	Εὐβοικός	*eu)boiko/s	a-s---fn-
Εὐβοικά	*eu)boika/	Εὐβοικός	*eu)boiko/s	a-s---fv-
Εὐρώτα	*eu)rw/ta	Εὐρώτας	*eu)rw/tas	n-d---mn-
Εὐρώτα	*eu)rw/ta	Εὐρώτας	*eu)rw/tas	n-d---mv-
Εὐρώτα	*eu)rw/ta	Εὐρώτας	*eu)rw/tas	n-d---ma-
Εὐρώτα	*eu)rw/ta	Εὐρώτας	*eu)rw/tas	n-s---mg-
Εὐρώταν	*eu)rw/tan	Εὐρώτας	*eu)rw/tas	n-s---ma-
Εὔβοιαν	*eu)/boian	Εὔβοια	*eu)/boia	n-s---fa-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	n-s---mn-
Ζεῦ	*zeu=	Ζεύς	*zeu/s	n-s---mv-
Ζεῦ	*zeu=	ζέω	ze/w	v2spme---
Ζεῦ	*zeu=	ζέω	ze/w	v2siie---
Ζηνί	*zhni/	Ζεύς	*zeu/s	n-s---md-
Ζηνός	*zhno/s	Ζεύς	*zeu/s	n-s---mg-
Θεοκλύμενε	*qeoklu/mene	Θεοκλύμενος	*qeoklu/menos	n-s---mv-
Θεοκλύμενον	*qeoklu/menon	Θεοκλύμενος	*qeoklu/menos	n-s---ma-
Θεοκλύμενος	*qeoklu/menos	Θεοκλύμενος	*qeoklu/menos	n-s---mn-
Θεονόη	*qeono/h	Θεονόη	*qeono/h	n-s---fn-
Θεονόη	*qeono/h	Θεονόη	*qeono/h	n-s---fv-
Θεονόην	*qeono/hn	Θεονόη	*qeono/h	n-s---fa-
Θεονόης	*qeono/hs	Θεονόη	*qeono/h	n-s---fg-
Θεστιάς	*qestia/s	Θεστιάς	*qestia/s	n-s---fn-
Θέτιν	*qe/tin	Θέτις	*qe/tis	n-s---fa-
Καλλιστοῖ	*kallistoi=	Καλλιστώ	*kallistw/	n-s---fd-
Καφηρίσιν	*kafhri/sin	Καφηρίς	*kafhri/s	n-p---fd-
Κρήτην	*krh/thn	Κρήτη	*krh/th	n-s---fa-
Κρήτην	*krh/thn	κρήτη	krh/th	n-s---fa-
Κάλχας	*ka/lxas	Κάλχας	*ka/lxas	n-s---mn-
Κάλχας	*ka/lxas	κάλχη	ka/lxh	n-p---fa-
Κάλχας	*ka/lxas	κάλχη	ka/lxh	n-s---fg-
Κύπρι	*ku/pri	Κύπρις	*ku/pris	n-s---fv-
Κύπριδος	*ku/pridos	Κύπρις	*ku/pris	n-s---fg-
Κύπριν	*ku/prin	Κύπρις	*ku/pris	n-s---fa-
Κύπρις	*ku/pris	Κύπρις	*ku/pris	n-s---fn-
Κύπρον	*ku/pron	Κύπρος	*ku/pros	n-s---fa-
Κύπρον	*ku/pron	κύπρος	ku/pros	n-s---fa-
Λακαίνᾳ	*lakai/na|	Λάκαινα	*la/kaina	n-s---fd-
Λακεδαίμονος	*lakedai/monos	Λακεδαίμων	*lakedai/mwn	n-s---fg-
Λευκιππίδας	*leukippi/das	Λευκιππίδες	*leukippi/des	n-p---fa-
Λιβύας	*libu/as	Λιβύη	*libu/h	n-p---fa-
Λιβύας	*libu/as	Λιβύη	*libu/h	n-s---fg-
Λιβύης	*libu/hs	Λιβύη	*libu/h	n-s---fg-
Λήδα	*lh/da	Λήδη	*lh/dh	n-s---fn-
Λήδα	*lh/da	Λήδη	*lh/dh	n-s---fv-
Λήδα	*lh/da	λῆδος	lh=dos	n-p---nn-
Λήδα	*lh/da	λῆδος	lh=dos	n-p---nv-
Λήδα	*lh/da	λῆδος	lh=dos	n-p---na-
Λήδαν	*lh/dan	Λήδη	*lh/dh	n-s---fa-
Λήδας	*lh/das	Λήδη	*lh/dh	n-s---fg-
Λίβυν	*li/bun	Λίβυς	*li/bus	n-s---ma-
Μαιάδος	*maia/dos	Μαιάς	*maia/s	n-s---fg-
Μαιάδος	*maia/dos	μαιάς	maia/s	n-s---fg-
Μενέλαε	*mene/lae	Μενέλαος	*mene/laos	n-s---mv-
Μενέλαε	*mene/lae	Μενέλαος	*mene/laos	n-s---mv-
Μενέλαν	*mene/lan	Μενέλαος	*mene/laos	n-s---ma-
Μενέλαον	*mene/laon	Μενέλαος	*mene/laos	n-s---ma-
Μενέλαον	*mene/laon	Μενέλαος	*mene/laos	n-s---ma-
Μενέλαος	*mene/laos	Μενέλαος	*mene/laos	n-s---mn-
Μενέλαος	*mene/laos	Μενέλαος	*mene/laos	n-s---mn-
Μενέλεω	*mene/lew	Μενέλαος	*mene/laos	n-s---mg-
Μενέλεων	*mene/lewn	Μενέλαος	*mene/laos	n-s---ma-
Μενέλεως	*mene/lews	Μενέλαος	*mene/laos	n-p---ma-
Μενέλεως	*mene/lews	Μενέλαος	*mene/laos	n-s---mn-
Μενέλεώ	*mene/lew/	Μενέλαος	*mene/laos	n-s---mg-
Μενέλεῳ	*mene/lew|	Μενέλαος	*mene/laos	n-p---mn-
Μενέλεῳ	*mene/lew|	Μενέλαος	*mene/laos	n-s---md-
Μενέλεῴ	*mene/lew/|	Μενέλαος	*mene/laos	n-p---mn-
Μενέλεῴ	*mene/lew/|	Μενέλαος	*mene/laos	n-s---md-
Μοῦσαί	*mou=sai/	Μοῦσα	*mou=sa	n-p---fn-
Μοῦσαί	*mou=sai/	Μοῦσα	*mou=sa	n-p---fv-
Μοῦσαί	*mou=sai/	Μοῦσαι	*mou=sai	n-p---fn-
Μοῦσαί	*mou=sai/	Μοῦσαι	*mou=sai	n-p---fv-
Μοῦσαί	*mou=sai/	Μοῦσαι	*mou=sai	n-p---fn-
Μοῦσαί	*mou=sai/	Μοῦσαι	*mou=sai	n-p---fv-
Μάλεα	*ma/lea	Μάλης	*ma/lhs	n-s---ma-
Μέροπος	*me/ropos	Μέροψ	*me/roy	n-s---mg-
Μέροπος	*me/ropos	μέροψ	me/roy	n-s---mg-
Ναυπλίας	*naupli/as	Ναύπλιος	*nau/plios	a-p---fa-
Ναυπλίας	*naupli/as	Ναύπλιος	*nau/plios	a-s---fg-
Ναυπλίας	*naupli/as	Ναυπλία	*naupli/a	n-p---fa-
Ναυπλίας	*naupli/as	Ναυπλία	*naupli/a	n-s---fg-
Ναυπλίας	*naupli/as	Ναυπλιεύς	*nauplieu/s	a-p---fa-
Ναυπλίας	*naupli/as	Ναυπλιεύς	*nauplieu/s	a-s---fg-
Ναυπλίου	*naupli/ou	Ναύπλιος	*nau/plios	a-s---mg-
Ναυπλίου	*naupli/ou	Ναύπλιος	*nau/plios	a-s---ng-
Ναυπλίου	*naupli/ou	Ναυπλιεύς	*nauplieu/s	a-s---mg-
Ναυπλίου	*naupli/ou	Ναυπλιεύς	*nauplieu/s	a-s---ng-
Ναυπλίου	*naupli/ou	ναύπλιος	nau/plios	n-s---mg-
Ναΐς	*nai+/s	Ναίς	*nai/s	n-s---fn-
Νείλου	*nei/lou	Νεῖλος	*nei=los	n-s---mg-
Νείλῳ	*nei/lw|	Νεῖλος	*nei=los	n-s---md-
Νηλέως	*nhle/ws	Νηλεύς	*nhleu/s	n-s---fg-
Νηλέως	*nhle/ws	Νηλεύς	*nhleu/s	n-s---fg-
Νηλέως	*nhle/ws	Νηλεύς	*nhleu/s	n-s---fn-
Νηλέως	*nhle/ws	νηλής	nhlh/s	x--------
Νηρέως	*nhre/ws	Νηρεύς	*nhreu/s	n-s---mg-
Νηρέως	*nhre/ws	Νηρεύς	*nhreu/s	n-s---mg-
Νηρέως	*nhre/ws	Νηρεύς	*nhreu/s	n-s---mn-
Νηρῇδος	*nhrh=|dos	Νηρηίς	*nhrhi/s	n-s---fg-
Νυμφᾶν	*numfa=n	Νύμφαι	*nu/mfai	n-p---fg-
Νυμφᾶν	*numfa=n	νύμφη	nu/mfh	n-p---fg-
Νύμφα	*nu/mfa	Νύμφαι	*nu/mfai	n-d---fn-
Νύμφα	*nu/mfa	Νύμφαι	*nu/mfai	n-d---fv-
Νύμφα	*nu/mfa	Νύμφαι	*nu/mfai	n-d---fa-
Νύμφα	*nu/mfa	Νύμφαι	*nu/mfai	n-s---fn-
Νύμφα	*nu/mfa	Νύμφαι	*nu/mfai	n-s---fv-
Νύμφα	*nu/mfa	Νύμφης	*nu/mfhs	n-s---mv-
Νύμφα	*nu/mfa	Νύμφης	*nu/mfhs	n-s---mg-
Νύμφα	*nu/mfa	Νύμφης	*nu/mfhs	n-s---mn-
Νύμφα	*nu/mfa	νύμφη	nu/mfh	n-d---fn-
Νύμφα	*nu/mfa	νύμφη	nu/mfh	n-d---fv-
Νύμφα	*nu/mfa	νύμφη	nu/mfh	n-d---fa-
Νύμφα	*nu/mfa	νύμφη	nu/mfh	n-s---fn-
Νύμφα	*nu/mfa	νύμφη	nu/mfh	n-s---fv-
Οἰνομάῳ	*oi)noma/w|	Οἰνόμαος	*oi)no/maos	n-s---md-
Παλλάδος	*palla/dos	Παλλάς	*palla/s	n-s---fg-
Πανός	*pano/s	Πάν	*pa/n	n-s---mg-
Πανός	*pano/s	Πᾶν	*pa=n	n-s---mg-
Πανός	*pano/s	πανός	pano/s	n-s---mn-
Πελοπιδῶν	*pelopidw=n	Πελοπίδης	*pelopi/dhs	n-p---mg-
Πελοπίδαι	*pelopi/dai	Πελοπίδης	*pelopi/dhs	n-s---md-
Περσείων	*persei/wn	Περσεῖος	*persei=os	a-p---fg-
Περσείων	*persei/wn	Περσεῖος	*persei=os	a-p---mg-
Περσείων	*persei/wn	Περσεῖος	*persei=os	a-p---ng-
Περσείων	*persei/wn	περισείομαι	perisei/omai	v-sfpamn-
Περσείων	*persei/wn	περισείομαι	perisei/omai	v-sppamn-
Περσέως	*perse/ws	Περσεύς	*perseu/s	n-s---mg-
Περσέως	*perse/ws	Περσεύς	*perseu/s	n-s---mg-
Περσέως	*perse/ws	Περσεύς	*perseu/s	n-s---mn-
Πηλέως	*phle/ws	Πηλεύς	*phleu/s	n-s---mg-
Πηλέως	*phle/ws	Πηλεύς	*phleu/s	n-s---mg-
Πηλέως	*phle/ws	Πηλεύς	*phleu/s	n-s---mn-
Πλειάδας	*pleia/das	Πλειάδες	*pleia/des	n-p---ma-
Πλειάδας	*pleia/das	Πλειάδες	*pleia/des	n-p---fa-
Πλειάδας	*pleia/das	Πλειάς	*pleia/s	n-p---fa-
Πριαμίδαις	*priami/dais	Πριαμίδης	*priami/dhs	n-p---md-
Πριαμίδαισιν	*priami/daisin	Πριαμίδης	*priami/dhs	n-p---md-
Πριαμίδας	*priami/das	Πριαμίδης	*priami/dhs	n-p---ma-
Πριαμίδας	*priami/das	Πριαμίδης	*priami/dhs	n-s---mn-
Πριαμίδας	*priami/das	Πριαμίς	*priami/s	n-p---fa-
Πριαμίδας	*priami/das	Πριαμικός	*priamiko/s	n-p---fa-
Πριαμίδος	*priami/dos	Πριαμίς	*priami/s	n-s---fg-
Πριαμίδος	*priami/dos	Πριαμικός	*priamiko/s	n-s---fg-
Πριαμίδᾳ	*priami/da|	Πριαμίδης	*priami/dhs	n-p---mn-
Πριαμίδᾳ	*priami/da|	Πριαμίδης	*priami/dhs	n-p---mv-
Πριαμίδᾳ	*priami/da|	Πριαμίδης	*priami/dhs	n-s---md-
Πριάμου	*pria/mou	Πρίαμος	*pri/amos	n-s---mg-
Πρωτεύς	*prwteu/s	Πρωτεύς	*prwteu/s	n-s---mn-
Πρωτεύς	*prwteu/s	πρωτεύς	prwteu/s	n-s---mn-
Πρωτεῦ	*prwteu=	Πρωτεύς	*prwteu/s	n-s---mv-
Πρωτεῦ	*prwteu=	πρωτεύς	prwteu/s	n-s---mv-
Πρωτέως	*prwte/ws	Πρωτεύς	*prwteu/s	n-s---mg-
Πρωτέως	*prwte/ws	Πρωτεύς	*prwteu/s	n-s---mg-
Πρωτέως	*prwte/ws	Πρωτεύς	*prwteu/s	n-s---mn-
Πρωτέως	*prwte/ws	πρωτεύς	prwteu/s	n-s---mg-
Πρωτέως	*prwte/ws	πρωτεύς	prwteu/s	n-s---mg-
Πρωτέως	*prwte/ws	πρωτεύς	prwteu/s	n-s---mn-
Πρίαμε	*pri/ame	Πρίαμος	*pri/amos	n-s---mv-
Πάριν	*pa/rin	Πάρις	*pa/ris	n-s---ma-
Πάριν	*pa/rin	πάρειμι2	pa/reimi2	v3piia---
Πάρις	*pa/ris	Πάρις	*pa/ris	n-s---mn-
Πέλοψ	*pe/loy	Πέλοψ	*pe/loy	n-s---mn-
Πέλοψ	*pe/loy	Πέλοψ	*pe/loy	n-s---mv-
Πόντου	*po/ntou	Πόντος	*po/ntos	n-s---mg-
Πόντου	*po/ntou	πόντος	po/ntos	n-s---mg-
Πόντου	*po/ntou	ποντίζω	ponti/zw	v2spma---
Πόντου	*po/ntou	ποντίζω	ponti/zw	v3siia---
Πόντου	*po/ntou	ποντόω	ponto/w	v2spma---
Πόντου	*po/ntou	ποντόω	ponto/w	v3siia---
Πόσειδον	*po/seidon	Ποσειδῶν	*poseidw=n	n-s---mv-
Πῖσαν	*pi=san	Πῖσα	*pi=sa	n-s---fa-
Πῖσαν	*pi=san	πιπίσκω	pipi/skw	v-sapann-
Πῖσαν	*pi=san	πιπίσκω	pipi/skw	v-sapanv-
Πῖσαν	*pi=san	πιπίσκω	pipi/skw	v-sapana-
Πῖσαν	*pi=san	πιπίσκω	pipi/skw	v3paia---
Σαλαμίς	*salami/s	Σαλαμίς	*salami/s	n-s---fn-
Σαλαμίς	*salami/s	Σαλαμίς	*salami/s	n-s---fv-
Σαλαμῖνα	*salami=na	Σαλαμίς	*salami/s	n-s---fa-
Σειρῆνες	*seirh=nes	Σειρήν	*seirh/n	n-p---fn-
Σειρῆνες	*seirh=nes	Σειρήν	*seirh/n	n-p---fv-
Σιδωνιάς	*sidwnia/s	Σιδώνιος	*sidw/nios	n-s---fn-
Σιδωνιάς	*sidwnia/s	Σιδωνιάς	*sidwnia/s	n-s---fn-
Σιδωνίαν	*sidwni/an	Σιδώνιος	*sidw/nios	a-s---fa-
Σιμουντίοις	*simounti/ois	Σιμόεις	*simo/eis	n-p---md-
Σιμουντίοις	*simounti/ois	Σιμόεις	*simo/eis	n-p---fd-
Σιμουντίοις	*simounti/ois	Σιμόεις	*simo/eis	n-p---nd-
Σιμουντίοις	*simounti/ois	Σιμούντιος	*simou/ntios	a-p---md-
Σιμουντίοις	*simounti/ois	Σιμούντιος	*simou/ntios	a-p---nd-
Σκαμανδρίοις	*skamandri/ois	Σκαμάνδριος	*skama/ndrios	n-p---md-
Σκαμανδρίοις	*skamandri/ois	Σκαμάνδριος	*skama/ndrios	n-p---fd-
Σκαμανδρίοις	*skamandri/ois	Σκαμάνδριος	*skama/ndrios	n-p---nd-
Σκαμάνδριον	*skama/ndrion	Σκαμάνδριος	*skama/ndrios	n-s---ma-
Σκαμάνδριον	*skama/ndrion	Σκαμάνδριος	*skama/ndrios	n-s---fa-
Σκαμάνδριον	*skama/ndrion	Σκαμάνδριος	*skama/ndrios	n-s---nn-
Σκαμάνδριον	*skama/ndrion	Σκαμάνδριος	*skama/ndrios	n-s---nv-
Σκαμάνδριον	*skama/ndrion	Σκαμάνδριος	*skama/ndrios	n-s---na-
Σπαρτιᾶτιν	*spartia=tin	σπαρτιᾶτις	spartia=tis	n-s---fa-
Σπάρτη	*spa/rth	Σπάρτη	*spa/rth	n-s---fn-
Σπάρτη	*spa/rth	Σπάρτη	*spa/rth	n-s---fv-
Σπάρτη	*spa/rth	σπάρτη	spa/rth	n-s---fn-
Σπάρτη	*spa/rth	σπάρτη	spa/rth	n-s---fv-
Σπάρτην	*spa/rthn	Σπάρτη	*spa/rth	n-s---fa-
Σπάρτην	*spa/rthn	σπάρτη	spa/rth	n-s---fa-
Σπάρτης	*spa/rths	Σπάρτη	*spa/rth	n-s---fg-
Σπάρτης	*spa/rths	σπάρτη	spa/rth	n-s---fg-
Ταντάλειον	*tanta/leion	Ταντάλειος	*tanta/leios	a-s---ma-
Ταντάλειον	*tanta/leion	Ταντάλειος	*tanta/leios	a-s---nn-
Ταντάλειον	*tanta/leion	Ταντάλειος	*tanta/leios	a-s---nv-
Ταντάλειον	*tanta/leion	Ταντάλειος	*tanta/leios	a-s---na-
Τελαμωνίου	*telamwni/ou	Τελαμών	*telamw/n	a-s---mg-
Τελαμωνίου	*telamwni/ou	Τελαμών	*telamw/n	a-s---ng-
Τελαμών	*telamw/n	Τελαμών	*telamw/n	n-s---mn-
Τελαμών	*telamw/n	Τελαμών	*telamw/n	n-s---mv-
Τελαμών	*telamw/n	τελαμών	telamw/n	n-s---mn-
Τελαμών	*telamw/n	τελαμών	telamw/n	n-s---mv-
Τελαμών	*telamw/n	τελαμών	telamw/n	n-s---fn-
Τελαμών	*telamw/n	τελαμών	telamw/n	n-s---fv-
Τεῦκρος	*teu=kros	Τεῦκρος	*teu=kros	n-s---mn-
Τιτανίδα	*titani/da	Τιτανίς	*titani/s	n-s---fa-
Τροία	*troi/a	Τροία	*troi/a	n-d---fn-
Τροία	*troi/a	Τροία	*troi/a	n-d---fv-
Τροία	*troi/a	Τροία	*troi/a	n-d---fa-
Τροία	*troi/a	Τροία	*troi/a	n-s---fn-
Τροία	*troi/a	Τροία	*troi/a	n-s---fv-
Τροία	*troi/a	Τροία	*troi/a	n-d---fn-
Τροία	*troi/a	Τροία	*troi/a	n-d---fv-
Τροία	*troi/a	Τροία	*troi/a	n-d---fa-
Τροία	*troi/a	Τροία	*troi/a	n-s---fn-
Τροία	*troi/a	Τροία	*troi/a	n-s---fv-
Τροίαν	*troi/an	Τροία	*troi/a	n-s---fa-
Τροίαν	*troi/an	Τροία	*troi/a	n-s---fa-
Τροίας	*troi/as	Τροία	*troi/a	n-p---fa-
Τροίας	*troi/as	Τροία	*troi/a	n-s---fg-
Τροίας	*troi/as	Τροία	*troi/a	n-p---fa-
Τροίας	*troi/as	Τροία	*troi/a	n-s---fg-
Τροίᾳ	*troi/a|	Τροία	*troi/a	n-s---fd-
Τροίᾳ	*troi/a|	Τροία	*troi/a	n-s---fd-
Τρωικόν	*trwiko/n	Τρωικός	*trwiko/s	a-s---ma-
Τρωικόν	*trwiko/n	Τρωικός	*trwiko/s	a-s---nn-
Τρωικόν	*trwiko/n	Τρωικός	*trwiko/s	a-s---nv-
Τρωικόν	*trwiko/n	Τρωικός	*trwiko/s	a-s---na-
Τρῳάδος	*trw|a/dos	Τρῳάς	*trw|a/s	n-s---fg-
Τρῳάδ’	*trw|a/d'	Τρῳάς	*trw|a/s	n-s---fa-
Τρῳάδ’	*trw|a/d'	Τρῳάς	*trw|a/s	n-s---fd-
Τρῳάδ’	*trw|a/d'	Τρῳάς	*trw|a/s	n-d---fn-
Τρῳάδ’	*trw|a/d'	Τρῳάς	*trw|a/s	n-d---fv-
Τρῳάδ’	*trw|a/d'	Τρῳάς	*trw|a/s	n-d---fa-
Τρῳάς	*trw|a/s	Τρωιός	*trwio/s	a-p---fa-
Τρῳάς	*trw|a/s	Τρῳάς	*trw|a/s	n-s---fn-
Τυνδαρίδαι	*tundari/dai	Τυνδαρίδης	*tundari/dhs	n-p---mn-
Τυνδαρίδαι	*tundari/dai	Τυνδαρίδης	*tundari/dhs	n-p---mv-
Τυνδαρίδαι	*tundari/dai	Τυνδαρίδης	*tundari/dhs	n-s---md-
Τυνδαρίς	*tundari/s	Τυνδάρεως	*tunda/rews	n-s---fn-
Τυνδαρίς	*tundari/s	Τυνδαρίς	*tundari/s	n-s---fn-
Τυνδάρειοι	*tunda/reioi	Τυνδάρειος	*tunda/reios	a-p---mn-
Τυνδάρειοι	*tunda/reioi	Τυνδάρειος	*tunda/reios	a-p---mv-
Τυνδάρειον	*tunda/reion	Τυνδάρειος	*tunda/reios	a-s---ma-
Τυνδάρειον	*tunda/reion	Τυνδάρειος	*tunda/reios	a-s---nn-
Τυνδάρειον	*tunda/reion	Τυνδάρειος	*tunda/reios	a-s---nv-
Τυνδάρειον	*tunda/reion	Τυνδάρειος	*tunda/reios	a-s---na-
Τυνδάρεως	*tunda/rews	Τυνδάρεως	*tunda/rews	n-p---ma-
Τυνδάρεως	*tunda/rews	Τυνδάρεως	*tunda/rews	n-s---mn-
Φερσέφασσα	*ferse/fassa	Φερσέφασσα	*ferse/fassa	n-s---fn-
Φερσέφασσα	*ferse/fassa	Φερσέφασσα	*ferse/fassa	n-s---fv-
Φερσέφασσα	*ferse/fassa	Περσεφόνη	*persefo/nh	n-s---fn-
Φερσέφασσα	*ferse/fassa	Περσεφόνη	*persefo/nh	n-s---fv-
Φερσέφασσα	*ferse/fassa	φερσέφασσα	ferse/fassa	n-s---fn-
Φερσέφασσα	*ferse/fassa	φερσέφασσα	ferse/fassa	n-s---fv-
Φοιβείους	*foibei/ous	Φοίβειος	*foi/beios	a-p---ma-
Φοιβείους	*foibei/ous	Φοίβειος	*foi/beios	n-p---ma-
Φοιβείους	*foibei/ous	Φοίβειος	*foi/beios	n-p---fa-
Φοιβείους	*foibei/ous	φοίβειος	foi/beios	a-p---ma-
Φοίνισσα	*foi/nissa	Φοῖνιξ	*foi=nic	n-s---fn-
Φοίνισσα	*foi/nissa	Φοῖνιξ	*foi=nic	n-s---fv-
Φοίνισσα	*foi/nissa	φοῖνιξ	foi=nic	n-s---fn-
