Αἰγίσθου	*ai)gi/sqou	Αἴγισθος	*ai)/gisqos	n-s---mg-
Γᾶ	*ga=	Γαῖα	*gai=a	n-d---fa-
Γᾶ	*ga=	Γαῖα	*gai=a	n-s---fn-
Γᾶ	*ga=	Γαῖα	*gai=a	n-s---fv-
Γᾶ	*ga=	γε	ge	g--------
Γᾶ	*ga=	γῆ	gh=	n-d---fn-
Γᾶ	*ga=	γῆ	gh=	n-d---fv-
Γᾶ	*ga=	γῆ	gh=	n-d---fa-
Γᾶ	*ga=	γῆ	gh=	n-s---fn-
Γᾶ	*ga=	γῆ	gh=	n-s---fv-
Δαρδάνου	*darda/nou	Δάρδανος	*da/rdanos	n-s---mg-
Διονύσου	*dionu/sou	Διόνυσος	*dio/nusos	n-s---mg-
Διονύσου	*dionu/sou	Διονύσος	*dionu/sos	n-s---mg-
Διί	*dii/	Ζεύς	*zeu/s	n-s---md-
Διόθεν	*dio/qen	Διόθεν	*dio/qen	d--------
Διόθεν	*dio/qen	Ζεύς	*zeu/s	d--------
Διός	*dio/s	Ζεύς	*zeu/s	n-s---mg-
Διόσκοροι	*dio/skoroi	Διόσκοροι	*dio/skoroi	n-p---mn-
Διόσκοροι	*dio/skoroi	Διόσκοροι	*dio/skoroi	n-p---mv-
Διόσκοροι	*dio/skoroi	Διόσκοροι	*dio/skoroi	n-p---mn-
Διόσκοροι	*dio/skoroi	Διόσκοροι	*dio/skoroi	n-p---mv-
Δωρικῆς	*dwrikh=s	Δωρικός	*dwriko/s	a-s---fg-
Δωρίδ’	*dwri/d'	Δωρίς	*dwri/s	n-s---fa-
Δωρίδ’	*dwri/d'	Δωρίς	*dwri/s	n-s---fd-
Δωρίδ’	*dwri/d'	Δωρίς	*dwri/s	n-d---fn-
Δωρίδ’	*dwri/d'	Δωρίς	*dwri/s	n-d---fv-
Δωρίδ’	*dwri/d'	Δωρίς	*dwri/s	n-d---fa-
Δίκη	*di/kh	Δίκη	*di/kh	n-s---fn-
Δίκη	*di/kh	Δίκη	*di/kh	n-s---fv-
Δίκη	*di/kh	δίκη	di/kh	n-s---fn-
Δίκη	*di/kh	δίκη	di/kh	n-s---fv-
Δίκην	*di/khn	Δίκη	*di/kh	n-s---fa-
Δίκην	*di/khn	δίκη	di/kh	n-s---fa-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	n-s---mn-
Ζεῦ	*zeu=	Ζεύς	*zeu/s	n-s---mv-
Ζεῦ	*zeu=	ζέω	ze/w	v2spme---
Ζεῦ	*zeu=	ζέω	ze/w	v2siie---
Θεσσαλοί	*qessaloi/	Θεσσαλός	*qessalo/s	a-p---mn-
Θεσσαλοί	*qessaloi/	Θεσσαλός	*qessalo/s	a-p---mv-
Θεσσαλοί	*qessaloi/	Θεσσαλός	*qessalo/s	n-p---mn-
Θεσσαλοί	*qessaloi/	Θεσσαλός	*qessalo/s	n-p---mv-
Θεσσαλοῖς	*qessaloi=s	Θεσσαλός	*qessalo/s	a-p---md-
Θεσσαλοῖς	*qessaloi=s	Θεσσαλός	*qessalo/s	a-p---nd-
Θεσσαλοῖς	*qessaloi=s	Θεσσαλός	*qessalo/s	n-p---md-
Θεσσαλῶν	*qessalw=n	Θεσσαλός	*qessalo/s	a-p---fg-
Θεσσαλῶν	*qessalw=n	Θεσσαλός	*qessalo/s	a-p---mg-
Θεσσαλῶν	*qessalw=n	Θεσσαλός	*qessalo/s	a-p---ng-
Θεσσαλῶν	*qessalw=n	Θεσσαλός	*qessalo/s	n-p---mg-
Θυέστου	*que/stou	Θυέστης	*que/sths	n-s---mg-
Θυέστου	*que/stou	θύεστον	qu/eston	n-s---ng-
Θυέστου	*que/stou	θυέστης	que/sths	n-s---mg-
Θέτιδος	*qe/tidos	Θέτις	*qe/tis	n-s---fg-
Κεκροπίας	*kekropi/as	Κέκροψ	*ke/kroy	a-p---fa-
Κεκροπίας	*kekropi/as	Κέκροψ	*ke/kroy	a-s---fg-
Κεκροπίας	*kekropi/as	Κεκρόπιος	*kekro/pios	a-p---fa-
Κεκροπίας	*kekropi/as	Κεκρόπιος	*kekro/pios	a-s---fg-
Κεκροπίας	*kekropi/as	Κεκροπία	*kekropi/a	n-p---fa-
Κεκροπίας	*kekropi/as	Κεκροπία	*kekropi/a	n-s---fg-
Κλυταιμήστρα	*klutaimh/stra	Κλυταιμνήστρα	*klutaimnh/stra	n-d---fn-
Κλυταιμήστρα	*klutaimh/stra	Κλυταιμνήστρα	*klutaimnh/stra	n-d---fv-
Κλυταιμήστρα	*klutaimh/stra	Κλυταιμνήστρα	*klutaimnh/stra	n-d---fa-
Κλυταιμήστρα	*klutaimh/stra	Κλυταιμνήστρα	*klutaimnh/stra	n-s---fn-
Κλυταιμήστρα	*klutaimh/stra	Κλυταιμνήστρα	*klutaimnh/stra	n-s---fv-
Κλυταιμήστρας	*klutaimh/stras	Κλυταιμνήστρα	*klutaimnh/stra	n-p---fa-
Κλυταιμήστρας	*klutaimh/stras	Κλυταιμνήστρα	*klutaimnh/stra	n-s---fg-
Κλυταιμήστρᾳ	*klutaimh/stra|	Κλυταιμνήστρα	*klutaimnh/stra	n-s---fd-
Κυκλώπειά	*kuklw/peia/	Κυκλώπειος	*kuklw/peios	a-p---nn-
Κυκλώπειά	*kuklw/peia/	Κυκλώπειος	*kuklw/peios	a-p---nv-
Κυκλώπειά	*kuklw/peia/	Κυκλώπειος	*kuklw/peios	a-p---na-
Κυκλώπειά	*kuklw/peia/	Κυκλώπειος	*kuklw/peios	a-p---nn-
Κυκλώπειά	*kuklw/peia/	Κυκλώπειος	*kuklw/peios	a-p---nv-
Κυκλώπειά	*kuklw/peia/	Κυκλώπειος	*kuklw/peios	a-p---na-
Κάστορός	*ka/storo/s	Κάστωρ	*ka/stwr	n-s---mg-
Κάστορός	*ka/storo/s	κάστωρ	ka/stwr	n-s---mg-
Κάστορ’	*ka/stor'	Κάστωρ	*ka/stwr	n-s---ma-
Κάστορ’	*ka/stor'	Κάστωρ	*ka/stwr	n-s---md-
Κάστορ’	*ka/stor'	Κάστωρ	*ka/stwr	n-d---mn-
Κάστορ’	*ka/stor'	Κάστωρ	*ka/stwr	n-d---mv-
Κάστορ’	*ka/stor'	Κάστωρ	*ka/stwr	n-d---ma-
Κάστορ’	*ka/stor'	κάστωρ	ka/stwr	n-s---ma-
Κάστορ’	*ka/stor'	κάστωρ	ka/stwr	n-s---md-
Κάστορ’	*ka/stor'	κάστωρ	ka/stwr	n-d---mn-
Κάστορ’	*ka/stor'	κάστωρ	ka/stwr	n-d---mv-
Κάστορ’	*ka/stor'	κάστωρ	ka/stwr	n-d---ma-
Κάστωρ	*ka/stwr	Κάστωρ	*ka/stwr	n-s---mn-
Κάστωρ	*ka/stwr	κάστωρ	ka/stwr	n-s---mn-
Κύπρις	*ku/pris	Κύπρις	*ku/pris	n-s---fn-
Λοξίας	*loci/as	Λοξίας	*loci/as	n-p---ma-
Λοξίας	*loci/as	Λοξίας	*loci/as	n-s---mn-
Λοξίου	*loci/ou	Λοξίας	*loci/as	n-s---mg-
Λυκαίου	*lukai/ou	Λύκαια	*lu/kaia	n-s---ng-
Λυκαίου	*lukai/ou	Λύκαιον	*lu/kaion	n-s---ng-
Λυκαίου	*lukai/ou	Λυκαῖος	*lukai=os	a-s---mg-
Λυκαίου	*lukai/ou	Λυκαῖος	*lukai=os	a-s---ng-
Λυκαίου	*lukai/ou	Λυκαῖος	*lukai=os	a-s---mg-
Λυκαίου	*lukai/ou	Λυκαῖος	*lukai=os	a-s---ng-
Λυκαίου	*lukai/ou	Λυκαῖος	*lukai=os	n-s---mg-
Μαίας	*mai/as	Μάιος	*ma/ios	a-s---fg-
Μαίας	*mai/as	Μαῖα	*mai=a	n-p---fa-
Μαίας	*mai/as	Μαῖα	*mai=a	n-s---fg-
Μαίας	*mai/as	Μαῖα	*mai=a	n-p---fa-
Μαίας	*mai/as	Μαῖα	*mai=a	n-s---fg-
Μαίας	*mai/as	μαῖα	mai=a	n-p---fa-
Μαίας	*mai/as	μαῖα	mai=a	n-s---fg-
Μενέλαον	*mene/laon	Μενέλαος	*mene/laos	n-s---ma-
Μενέλαον	*mene/laon	Μενέλαος	*mene/laos	n-s---ma-
Μενέλαος	*mene/laos	Μενέλαος	*mene/laos	n-s---mn-
Μενέλαος	*mene/laos	Μενέλαος	*mene/laos	n-s---mn-
Μενέλεως	*mene/lews	Μενέλαος	*mene/laos	n-p---ma-
Μενέλεως	*mene/lews	Μενέλαος	*mene/laos	n-s---mn-
Μουσᾶν	*mousa=n	Μοῦσα	*mou=sa	n-p---fg-
Μουσᾶν	*mousa=n	Μοῦσαι	*mou=sai	n-p---fg-
Μουσᾶν	*mousa=n	Μοῦσαι	*mou=sai	n-p---fg-
Μούσαισι	*mou/saisi	Μοῦσα	*mou=sa	n-p---fd-
Μούσαισι	*mou/saisi	Μοῦσαι	*mou=sai	n-p---fd-
Μούσαισι	*mou/saisi	Μοῦσαι	*mou=sai	n-p---fd-
Μοῖρα	*moi=ra	Μοῖρα	*moi=ra	n-s---fn-
Μοῖρα	*moi=ra	Μοῖρα	*moi=ra	n-s---fv-
Μοῖρα	*moi=ra	μοῖρα	moi=ra	n-s---fn-
Μοῖρα	*moi=ra	μοῖρα	moi=ra	n-s---fv-
Μυκηναίων	*mukhnai/wn	Μυκηναῖος	*mukhnai=os	a-p---fg-
Μυκηναίων	*mukhnai/wn	Μυκηναῖος	*mukhnai=os	a-p---mg-
Μυκηναίων	*mukhnai/wn	Μυκηναῖος	*mukhnai=os	a-p---ng-
Μυκηναῖοι	*mukhnai=oi	Μυκηναῖος	*mukhnai=os	a-p---mn-
Μυκηναῖοι	*mukhnai=oi	Μυκηναῖος	*mukhnai=os	a-p---mv-
Μυκηναῖος	*mukhnai=os	Μυκηναῖος	*mukhnai=os	a-s---mn-
Μυκηνίδες	*mukhni/des	Μυκηναῖος	*mukhnai=os	n-p---fn-
Μυκηνίδες	*mukhni/des	Μυκηναῖος	*mukhnai=os	n-p---fv-
Μυκηνίδες	*mukhni/des	Μυκηνίς	*mukhni/s	n-p---fn-
Μυκηνίδες	*mukhni/des	Μυκηνίς	*mukhni/s	n-p---fv-
Μυκηνῶν	*mukhnw=n	Μυκήνη	*mukh/nh	n-p---fg-
Ναυπλίαν	*naupli/an	Ναύπλιος	*nau/plios	a-s---fa-
Ναυπλίαν	*naupli/an	Ναυπλία	*naupli/a	n-s---fa-
Ναυπλίαν	*naupli/an	Ναυπλιεύς	*nauplieu/s	a-s---fa-
Ναυπλίοισι	*naupli/oisi	Ναύπλιος	*nau/plios	a-p---md-
Ναυπλίοισι	*naupli/oisi	Ναύπλιος	*nau/plios	a-p---nd-
Ναυπλίοισι	*naupli/oisi	Ναυπλιεύς	*nauplieu/s	a-p---md-
Ναυπλίοισι	*naupli/oisi	Ναυπλιεύς	*nauplieu/s	a-p---nd-
Ναυπλίοισι	*naupli/oisi	ναύπλιος	nau/plios	n-p---md-
Νηρῄδων	*nhrh/|dwn	Νηρηίς	*nhrhi/s	n-p---fg-
Νηρῇδες	*nhrh=|des	Νηρηίς	*nhrhi/s	n-p---fn-
Νηρῇδες	*nhrh=|des	Νηρηίς	*nhrhi/s	n-p---fv-
Νυμφαίας	*numfai/as	Νυμφαία	*numfai/a	n-p---fa-
Νυμφαίας	*numfai/as	Νυμφαία	*numfai/a	n-s---fg-
Νυμφαίας	*numfai/as	νυμφαία	numfai/a	n-p---fa-
Νυμφαίας	*numfai/as	νυμφαία	numfai/a	n-s---fg-
Νυμφαίας	*numfai/as	νυμφαῖος	numfai=os	a-p---fa-
Νυμφαίας	*numfai/as	νυμφαῖος	numfai=os	a-s---fg-
Νύμφαις	*nu/mfais	Νύμφαι	*nu/mfai	n-p---fd-
Νύμφαις	*nu/mfais	νύμφη	nu/mfh	n-p---fd-
Παλλάδος	*palla/dos	Παλλάς	*palla/s	n-s---fg-
Πατρῷε	*patrw=|e	πατρῷος	patrw=|os	a-s---mv-
Πατρῷε	*patrw=|e	πατρῷος	patrw=|os	n-s---mv-
Πατρῷε	*patrw=|e	πατρῷος	patrw=|os	n-s---fv-
Περσέα	*perse/a	Περσεύς	*perseu/s	n-s---ma-
Περσέα	*perse/a	περσέα	perse/a	n-d---fn-
Περσέα	*perse/a	περσέα	perse/a	n-d---fv-
Περσέα	*perse/a	περσέα	perse/a	n-d---fa-
Περσέα	*perse/a	περσέα	perse/a	n-s---fn-
Περσέα	*perse/a	περσέα	perse/a	n-s---fv-
Πλειάδες	*pleia/des	Πλειάδες	*pleia/des	n-p---mn-
Πλειάδες	*pleia/des	Πλειάδες	*pleia/des	n-p---mv-
Πλειάδες	*pleia/des	Πλειάδες	*pleia/des	n-p---fn-
Πλειάδες	*pleia/des	Πλειάδες	*pleia/des	n-p---fv-
Πλειάδες	*pleia/des	Πλειάς	*pleia/s	n-p---fn-
Πλειάδες	*pleia/des	Πλειάς	*pleia/s	n-p---fv-
Πολυδεύκης	*poludeu/khs	Πολυδεύκης	*poludeu/khs	n-p---ma-
Πολυδεύκης	*poludeu/khs	Πολυδεύκης	*poludeu/khs	n-p---mn-
Πολυδεύκης	*poludeu/khs	Πολυδεύκης	*poludeu/khs	n-p---mv-
Πολυδεύκης	*poludeu/khs	Πολυδεύκης	*poludeu/khs	n-s---mn-
Πρωτέως	*prwte/ws	Πρωτεύς	*prwteu/s	n-s---mg-
Πρωτέως	*prwte/ws	Πρωτεύς	*prwteu/s	n-s---mg-
Πρωτέως	*prwte/ws	Πρωτεύς	*prwteu/s	n-s---mn-
Πρωτέως	*prwte/ws	πρωτεύς	prwteu/s	n-s---mg-
Πρωτέως	*prwte/ws	πρωτεύς	prwteu/s	n-s---mg-
Πρωτέως	*prwte/ws	πρωτεύς	prwteu/s	n-s---mn-
Πρίαμον	*pri/amon	Πρίαμος	*pri/amos	n-s---ma-
Πυλάδη	*pula/dh	Πυλάδης	*pula/dhs	n-s---mv-
Πυλάδην	*pula/dhn	Πυλάδης	*pula/dhs	n-s---ma-
Πυλάδης	*pula/dhs	Πυλάδης	*pula/dhs	n-s---mn-
Πυλάδῃ	*pula/dh|	Πυλάδης	*pula/dhs	n-s---md-
Πήλιον	*ph/lion	Πήλιον	*ph/lion	n-s---nn-
Πήλιον	*ph/lion	Πήλιον	*ph/lion	n-s---nv-
Πήλιον	*ph/lion	Πήλιον	*ph/lion	n-s---na-
Πᾶνα	*pa=na	Πάν	*pa/n	n-s---ma-
Πᾶνα	*pa=na	Πᾶν	*pa=n	n-s---ma-
Σικελόν	*sikelo/n	Σικελός	*sikelo/s	a-s---ma-
Σικελόν	*sikelo/n	Σικελός	*sikelo/s	a-s---nn-
Σικελόν	*sikelo/n	Σικελός	*sikelo/s	a-s---nv-
Σικελόν	*sikelo/n	Σικελός	*sikelo/s	a-s---na-
Σπαρτιάτιδός	*spartia/tido/s	Σπαρτίατις	*sparti/atis	n-s---fg-
Σπαρτιάτιδός	*spartia/tido/s	σπαρτιᾶτις	spartia=tis	n-s---fg-
Στροφίῳ	*strofi/w|	Στρόφιος	*stro/fios	n-s---md-
Στροφίῳ	*strofi/w|	Στροφίος	*strofi/os	n-s---md-
Στροφίῳ	*strofi/w|	στρόφιον	stro/fion	n-s---nd-
Στροφίῳ	*strofi/w|	στρόφιος	stro/fios	n-s---md-
Σφίγγες	*sfi/gges	Σφίγξ	*sfi/gc	n-p---fn-
Σφίγγες	*sfi/gges	Σφίγξ	*sfi/gc	n-p---fv-
Σφίγγες	*sfi/gges	Σφίγξ	*sfi/gc	n-p---fn-
Σφίγγες	*sfi/gges	Σφίγξ	*sfi/gc	n-p---fv-
Σφίγγες	*sfi/gges	σφίγγω	sfi/ggw	v2spia---
Σφίγγες	*sfi/gges	σφίγγω	sfi/ggw	v2siia---
Τανταλείων	*tantalei/wn	Ταντάλειος	*tanta/leios	a-p---fg-
Τανταλείων	*tantalei/wn	Ταντάλειος	*tanta/leios	a-p---mg-
Τανταλείων	*tantalei/wn	Ταντάλειος	*tanta/leios	a-p---ng-
Ταντάλου	*tanta/lou	Τάνταλος	*ta/ntalos	n-s---mg-
Τροπαῖ’	*tropai='	τροπαία	tropai/a	n-p---fn-
Τροπαῖ’	*tropai='	τροπαία	tropai/a	n-p---fv-
Τροπαῖ’	*tropai='	τροπαῖος	tropai=os	a-p---nn-
Τροπαῖ’	*tropai='	τροπαῖος	tropai=os	a-p---nv-
Τροπαῖ’	*tropai='	τροπαῖος	tropai=os	a-p---na-
Τροπαῖ’	*tropai='	τροπαῖος	tropai=os	a-s---mv-
Τροπαῖ’	*tropai='	τροπαῖος	tropai=os	a-p---fn-
Τροπαῖ’	*tropai='	τροπαῖος	tropai=os	a-p---fv-
Τροίαν	*troi/an	Τροία	*troi/a	n-s---fa-
Τροίαν	*troi/an	Τροία	*troi/a	n-s---fa-
Τροίας	*troi/as	Τροία	*troi/a	n-p---fa-
Τροίας	*troi/as	Τροία	*troi/a	n-s---fg-
Τροίας	*troi/as	Τροία	*troi/a	n-p---fa-
Τροίας	*troi/as	Τροία	*troi/a	n-s---fg-
Τροίᾳ	*troi/a|	Τροία	*troi/a	n-s---fd-
Τροίᾳ	*troi/a|	Τροία	*troi/a	n-s---fd-
Τροΐας	*troi+/as	Τροία	*troi/a	n-p---fa-
Τροΐας	*troi+/as	Τροία	*troi/a	n-s---fg-
Τροΐας	*troi+/as	Τροία	*troi/a	n-p---fa-
Τροΐας	*troi+/as	Τροία	*troi/a	n-s---fg-
Τρωικήν	*trwikh/n	Τρωικός	*trwiko/s	a-s---fa-
Τρωίας	*trwi/as	Τροία	*troi/a	n-p---fa-
Τρωίας	*trwi/as	Τροία	*troi/a	n-s---fg-
Τρωίας	*trwi/as	Τρώιος	*trw/ios	a-p---fa-
Τρωίας	*trwi/as	Τρώιος	*trw/ios	a-s---fg-
Τρωίας	*trwi/as	Τρωιός	*trwio/s	a-p---fa-
Τρωίας	*trwi/as	Τρωιός	*trwio/s	a-s---fg-
Τρώων	*trw/wn	Τρώς	*trw/s	n-p---mg-
Τρῳάδες	*trw|a/des	Τρῳάς	*trw|a/s	n-p---fn-
Τρῳάδες	*trw|a/des	Τρῳάς	*trw|a/s	n-p---fv-
Τρῳάδος	*trw|a/dos	Τρῳάς	*trw|a/s	n-s---fg-
Τρῳάδ’	*trw|a/d'	Τρῳάς	*trw|a/s	n-s---fa-
Τρῳάδ’	*trw|a/d'	Τρῳάς	*trw|a/s	n-s---fd-
Τρῳάδ’	*trw|a/d'	Τρῳάς	*trw|a/s	n-d---fn-
Τρῳάδ’	*trw|a/d'	Τρῳάς	*trw|a/s	n-d---fv-
Τρῳάδ’	*trw|a/d'	Τρῳάς	*trw|a/s	n-d---fa-
Τυνδαρίδα	*tundari/da	Τυνδάρεως	*tunda/rews	n-s---fa-
Τυνδαρίδα	*tundari/da	Τυνδαρίδης	*tundari/dhs	n-d---mn-
Τυνδαρίδα	*tundari/da	Τυνδαρίδης	*tundari/dhs	n-d---mv-
Τυνδαρίδα	*tundari/da	Τυνδαρίδης	*tundari/dhs	n-d---ma-
Τυνδαρίδα	*tundari/da	Τυνδαρίδης	*tundari/dhs	n-s---mv-
Τυνδαρίδα	*tundari/da	Τυνδαρίδης	*tundari/dhs	n-s---mg-
Τυνδαρίδα	*tundari/da	Τυνδαρίδης	*tundari/dhs	n-s---mn-
Τυνδαρίδα	*tundari/da	Τυνδαρίς	*tundari/s	n-s---fa-
Τυνδαρίδαι	*tundari/dai	Τυνδαρίδης	*tundari/dhs	n-p---mn-
Τυνδαρίδαι	*tundari/dai	Τυνδαρίδης	*tundari/dhs	n-p---mv-
Τυνδαρίδαι	*tundari/dai	Τυνδαρίδης	*tundari/dhs	n-s---md-
Τυνδαρίς	*tundari/s	Τυνδάρεως	*tunda/rews	n-s---fn-
Τυνδαρίς	*tundari/s	Τυνδαρίς	*tundari/s	n-s---fn-
Τυνδάρεω	*tunda/rew	Τυνδάρεως	*tunda/rews	n-s---mg-
Τυνδάρεω	*tunda/rew	Τυνδάρης	*tunda/rhs	n-s---mg-
Τυνδάρεως	*tunda/rews	Τυνδάρεως	*tunda/rews	n-p---ma-
Τυνδάρεως	*tunda/rews	Τυνδάρεως	*tunda/rews	n-s---mn-
Τάναον	*ta/naon	Τάναος	*ta/naos	n-s---ma-
Τέκος	*te/kos	τέκος	te/kos	n-s---nn-
Τέκος	*te/kos	τέκος	te/kos	n-s---nv-
Τέκος	*te/kos	τέκος	te/kos	n-s---na-
Φθιάδ’	*fqia/d'	Φθιῶτις	*fqiw=tis	n-s---fa-
Φθιάδ’	*fqia/d'	Φθιῶτις	*fqiw=tis	n-s---fd-
Φθιάδ’	*fqia/d'	Φθιῶτις	*fqiw=tis	n-d---fn-
Φθιάδ’	*fqia/d'	Φθιῶτις	*fqiw=tis	n-d---fv-
Φθιάδ’	*fqia/d'	Φθιῶτις	*fqiw=tis	n-d---fa-
Φθιάδ’	*fqia/d'	φθιάς	fqia/s	n-s---fa-
Φθιάδ’	*fqia/d'	φθιάς	fqia/s	n-s---fd-
Φθιάδ’	*fqia/d'	φθιάς	fqia/s	n-d---fn-
Φθιάδ’	*fqia/d'	φθιάς	fqia/s	n-d---fv-
Φθιάδ’	*fqia/d'	φθιάς	fqia/s	n-d---fa-
Φοίβου	*foi/bou	Φοῖβος	*foi=bos	n-s---mg-
Φοίβου	*foi/bou	φοῖβος	foi=bos	a-s---mg-
Φοίβου	*foi/bou	φοῖβος	foi=bos	a-s---ng-
Φοίβῳ	*foi/bw|	Φοῖβος	*foi=bos	n-s---md-
Φοίβῳ	*foi/bw|	φοῖβος	foi=bos	a-s---md-
Φοίβῳ	*foi/bw|	φοῖβος	foi=bos	a-s---nd-
Φοῖβε	*foi=be	Φοῖβος	*foi=bos	n-s---mv-
Φοῖβε	*foi=be	φοῖβος	foi=bos	a-s---mv-
Φοῖβος	*foi=bos	Φοῖβος	*foi=bos	n-s---mn-
Φοῖβος	*foi=bos	φοῖβος	foi=bos	a-s---mn-
Φοῖβός	*foi=bo/s	Φοῖβος	*foi=bos	n-s---mn-
Φοῖβός	*foi=bo/s	φοῖβος	foi=bos	a-s---mn-
Φοῖβ’	*foi=b'	Φοίβη	*foi/bh	n-p---fn-
Φοῖβ’	*foi=b'	Φοίβη	*foi/bh	n-p---fv-
Φοῖβ’	*foi=b'	Φοῖβος	*foi=bos	n-s---mv-
Φοῖβ’	*foi=b'	φοίβη	foi/bh	n-p---fn-
Φοῖβ’	*foi=b'	φοίβη	foi/bh	n-p---fv-
Φοῖβ’	*foi=b'	φοῖβος	foi=bos	a-p---nn-
Φοῖβ’	*foi=b'	φοῖβος	foi=bos	a-p---nv-
Φοῖβ’	*foi=b'	φοῖβος	foi=bos	a-p---na-
Φοῖβ’	*foi=b'	φοῖβος	foi=bos	a-s---mv-
Φοῖβ’	*foi=b'	φοῖβος	foi=bos	a-p---fn-
Φοῖβ’	*foi=b'	φοῖβος	foi=bos	a-p---fv-
Φρυγίοις	*frugi/ois	Φρύγιος	*fru/gios	a-p---md-
Φρυγίοις	*frugi/ois	Φρύγιος	*fru/gios	a-p---nd-
Φρυγίοις	*frugi/ois	Φρύγιος	*fru/gios	n-p---md-
Φρυγίοις	*frugi/ois	Φρύγιος	*fru/gios	n-p---fd-
Φρυγίοις	*frugi/ois	Φρύγιος	*fru/gios	n-p---nd-
Φρυγίοις	*frugi/ois	φρύγιον	fru/gion	n-p---nd-
Φρυγίοις	*frugi/ois	φρύγιος	fru/gios	a-p---md-
Φρυγίοις	*frugi/ois	φρύγιος	fru/gios	a-p---nd-
Φρυγίοισιν	*frugi/oisin	Φρύγιος	*fru/gios	a-p---md-
Φρυγίοισιν	*frugi/oisin	Φρύγιος	*fru/gios	a-p---nd-
Φρυγίοισιν	*frugi/oisin	Φρύγιος	*fru/gios	n-p---md-
Φρυγίοισιν	*frugi/oisin	Φρύγιος	*fru/gios	n-p---fd-
Φρυγίοισιν	*frugi/oisin	Φρύγιος	*fru/gios	n-p---nd-
Φρυγίοισιν	*frugi/oisin	φρύγιον	fru/gion	n-p---nd-
Φρυγίοισιν	*frugi/oisin	φρύγιος	fru/gios	a-p---md-
Φρυγίοισιν	*frugi/oisin	φρύγιος	fru/gios	a-p---nd-
Φρύγας	*fru/gas	Φρύξ	*fru/c	n-p---ma-
Φρύγας	*fru/gas	Φρύξ	*fru/c	n-p---fa-
Φρύγια	*fru/gia	Φρύγιος	*fru/gios	a-p---nn-
Φρύγια	*fru/gia	Φρύγιος	*fru/gios	a-p---nv-
Φρύγια	*fru/gia	Φρύγιος	*fru/gios	a-p---na-
Φρύγια	*fru/gia	Φρύγιος	*fru/gios	n-p---nn-
Φρύγια	*fru/gia	Φρύγιος	*fru/gios	n-p---nv-
Φρύγια	*fru/gia	Φρύγιος	*fru/gios	n-p---na-
Φρύγια	*fru/gia	φρύγιον	fru/gion	n-p---nn-
Φρύγια	*fru/gia	φρύγιον	fru/gion	n-p---nv-
Φρύγια	*fru/gia	φρύγιον	fru/gion	n-p---na-
Φρύγια	*fru/gia	φρύγιος	fru/gios	a-p---nn-
Φρύγια	*fru/gia	φρύγιος	fru/gios	a-p---nv-
Φρύγια	*fru/gia	φρύγιος	fru/gios	a-p---na-
Φωκέων	*fwke/wn	Φωκεύς	*fwkeu/s	n-p---mg-
Φωκέων	*fwke/wn	Φωκεύς	*fwkeu/s	n-p---mg-
Φωκέων	*fwke/wn	φώκη	fw/kh	n-p---fg-
Φωκέων	*fwke/wn	φωκεύς	fwkeu/s	n-p---mg-
Φωκέων	*fwke/wn	φωκεύς	fwkeu/s	n-p---mg-
Χαίρετ’	*xai/ret'	χαίρω	xai/rw	v2ppma---
