Αἰσχύλον	*ai)sxu/lon	Αἰσχύλος	*ai)sxu/los	n-s---ma-
Θυεστείων	*questei/wn	Θυέστειος	*que/steios	a-p---fg-
Θυεστείων	*questei/wn	Θυέστειος	*que/steios	a-p---mg-
Θυεστείων	*questei/wn	Θυέστειος	*que/steios	a-p---ng-
Θέογνι	*qe/ogni	Θέογνις	*qe/ognis	n-s---mv-
Θέογνις	*qe/ognis	Θέογνις	*qe/ognis	n-s---mn-
Θέωρος	*qe/wros	Θέωρος	*qe/wros	n-s---mn-
Καμαρίνῃ	*kamari/nh|	Καμάρινα	*kama/rina	n-s---fd-
Καμαρίνῃ	*kamari/nh|	Καμαρῖνα	*kamari=na	n-s---fd-
Καταγέλᾳ	*katage/la|	Καταγέλα	*katage/la	n-p---fn-
Καταγέλᾳ	*katage/la|	Καταγέλα	*katage/la	n-p---fv-
Καταγέλᾳ	*katage/la|	Καταγέλα	*katage/la	n-s---fd-
Καϋστρίων	*kau+stri/wn	Κάϋστρος	*ka/u+stros	a-p---fg-
Καϋστρίων	*kau+stri/wn	Κάϋστρος	*ka/u+stros	a-p---mg-
Καϋστρίων	*kau+stri/wn	Κάϋστρος	*ka/u+stros	a-p---ng-
Καϋστρίων	*kau+stri/wn	Καύστριος	*kau/strios	a-p---fg-
Καϋστρίων	*kau+stri/wn	Καύστριος	*kau/strios	a-p---mg-
Καϋστρίων	*kau+stri/wn	Καύστριος	*kau/strios	a-p---ng-
Κελεέ	*kelee/	Κελεός	*keleo/s	n-s---mv-
Κελεέ	*kelee/	κελεός	keleo/s	n-s---mv-
Κελεός	*keleo/s	Κελεός	*keleo/s	n-s---mn-
Κελεός	*keleo/s	κελεός	keleo/s	n-s---mn-
Κηφισοδήμῳ	*khfisodh/mw|	Κηφισόδημος	*khfiso/dhmos	n-s---md-
Κλεινίου	*kleini/ou	Κλείνιος	*klei/nios	n-s---mg-
Κλεινίου	*kleini/ou	Κλεινίας	*kleini/as	n-s---mg-
Κλεισθένης	*kleisqe/nhs	Κλεισθένης	*kleisqe/nhs	n-p---ma-
Κλεισθένης	*kleisqe/nhs	Κλεισθένης	*kleisqe/nhs	n-p---mn-
Κλεισθένης	*kleisqe/nhs	Κλεισθένης	*kleisqe/nhs	n-p---mv-
Κλεισθένης	*kleisqe/nhs	Κλεισθένης	*kleisqe/nhs	n-s---mn-
Κλεωνύμου	*klewnu/mou	Κλεώνυμος	*klew/numos	n-s---mg-
Κλεωνύμου	*klewnu/mou	Κλεωνύμης	*klewnu/mhs	n-s---mg-
Κλεωνύμῳ	*klewnu/mw|	Κλεώνυμος	*klew/numos	n-s---md-
Κλέων	*kle/wn	Κλέων	*kle/wn	n-s---mn-
Κλέων	*kle/wn	Κλέων	*kle/wn	n-s---mv-
Κλέων	*kle/wn	κλέω	kle/w	v-sppamn-
Κλέωνος	*kle/wnos	Κλέων	*kle/wn	n-s---mg-
Κοισύρας	*koisu/ras	Κοισύρη	*koisu/rh	n-p---fa-
Κοισύρας	*koisu/ras	Κοισύρη	*koisu/rh	n-s---fg-
Κραναά	*kranaa/	Κραναή	*kranah/	n-s---fn-
Κραναά	*kranaa/	Κραναή	*kranah/	n-s---fv-
Κραναά	*kranaa/	Κραναή	*kranah/	n-d---fn-
Κραναά	*kranaa/	Κραναή	*kranah/	n-d---fv-
Κραναά	*kranaa/	Κραναή	*kranah/	n-d---fa-
Κραναά	*kranaa/	κραναός	kranao/s	a-p---nn-
Κραναά	*kranaa/	κραναός	kranao/s	a-p---nv-
Κραναά	*kranaa/	κραναός	kranao/s	a-p---na-
Κραναά	*kranaa/	κραναός	kranao/s	a-d---fn-
Κραναά	*kranaa/	κραναός	kranao/s	a-d---fv-
Κραναά	*kranaa/	κραναός	kranao/s	a-d---fa-
Κραναά	*kranaa/	κραναός	kranao/s	a-s---fn-
Κραναά	*kranaa/	κραναός	kranao/s	a-s---fv-
Κρατῖνον	*krati=non	Κρατῖνος	*krati=nos	n-s---ma-
Κρατῖνος	*krati=nos	Κρατῖνος	*krati=nos	n-s---mn-
Κτησιφῶντος	*kthsifw=ntos	Κτησιφῶν	*kthsifw=n	n-s---mg-
Κτησίας	*kthsi/as	Κτήσιας	*kth/sias	n-s---mn-
Κτησίας	*kthsi/as	Κτησίας	*kthsi/as	n-p---ma-
Κτησίας	*kthsi/as	Κτησίας	*kthsi/as	n-s---mn-
Κτησίας	*kthsi/as	κτήσιος	kth/sios	a-p---fa-
Κτησίας	*kthsi/as	κτήσιος	kth/sios	a-s---fg-
Κωπαΐδας	*kwpai+/das	Κωπαίς	*kwpai/s	n-p---fa-
Κωπᾴδων	*kwpa/|dwn	Κωπαίς	*kwpai/s	n-p---fg-
Κωπᾷδ’	*kwpa=|d'	Κωπαίς	*kwpai/s	n-s---fa-
Κωπᾷδ’	*kwpa=|d'	Κωπαίς	*kwpai/s	n-s---fd-
Κωπᾷδ’	*kwpa=|d'	Κωπαίς	*kwpai/s	n-d---fn-
Κωπᾷδ’	*kwpa=|d'	Κωπαίς	*kwpai/s	n-d---fv-
Κωπᾷδ’	*kwpa=|d'	Κωπαίς	*kwpai/s	n-d---fa-
Κύπριδι	*ku/pridi	Κύπρις	*ku/pris	n-s---fd-
Λακεδαιμονίους	*lakedaimoni/ous	Λακεδαιμόνιος	*lakedaimo/nios	a-p---ma-
Λακεδαιμονίων	*lakedaimoni/wn	Λακεδαιμόνιος	*lakedaimo/nios	a-p---fg-
Λακεδαιμονίων	*lakedaimoni/wn	Λακεδαιμόνιος	*lakedaimo/nios	a-p---mg-
Λακεδαιμονίων	*lakedaimoni/wn	Λακεδαιμόνιος	*lakedaimo/nios	a-p---ng-
Λακεδαιμόνιοι	*lakedaimo/nioi	Λακεδαιμόνιος	*lakedaimo/nios	a-p---mn-
Λακεδαιμόνιοι	*lakedaimo/nioi	Λακεδαιμόνιος	*lakedaimo/nios	a-p---mv-
Λακεδαιμόνιον	*lakedaimo/nion	Λακεδαιμόνιος	*lakedaimo/nios	a-s---ma-
Λακεδαιμόνιον	*lakedaimo/nion	Λακεδαιμόνιος	*lakedaimo/nios	a-s---nn-
Λακεδαιμόνιον	*lakedaimo/nion	Λακεδαιμόνιος	*lakedaimo/nios	a-s---nv-
Λακεδαιμόνιον	*lakedaimo/nion	Λακεδαιμόνιος	*lakedaimo/nios	a-s---na-
Λακεδαίμονος	*lakedai/monos	Λακεδαίμων	*lakedai/mwn	n-s---fg-
Λακρατείδῃ	*lakratei/dh|	Λακρατείδης	*lakratei/dhs	n-s---md-
Λαμαχίππιον	*lamaxi/ppion	Λαμαχίππιον	*lamaxi/ppion	n-s---nn-
Λαμαχίππιον	*lamaxi/ppion	Λαμαχίππιον	*lamaxi/ppion	n-s---nv-
Λαμαχίππιον	*lamaxi/ppion	Λαμαχίππιον	*lamaxi/ppion	n-s---na-
Λαμάχου	*lama/xou	Λάμαχος	*la/maxos	n-s---mg-
Λαμάχου	*lama/xou	Λάμαχος	*la/maxos	n-s---fg-
Λαμάχου	*lama/xou	Λάμαχος	*la/maxos	n-s---ng-
Λαμάχων	*lama/xwn	Λάμαχος	*la/maxos	n-p---mg-
Λαμάχων	*lama/xwn	Λάμαχος	*la/maxos	n-p---fg-
Λαμάχων	*lama/xwn	Λάμαχος	*la/maxos	n-p---ng-
Λαμάχῳ	*lama/xw|	Λάμαχος	*la/maxos	n-s---md-
Λαμάχῳ	*lama/xw|	Λάμαχος	*la/maxos	n-s---fd-
Λαμάχῳ	*lama/xw|	Λάμαχος	*la/maxos	n-s---nd-
Λεπρῶν	*leprw=n	λέπρα	le/pra	n-p---fg-
Λεπρῶν	*leprw=n	λεπράω	lepra/w	v-sppamv-
Λεπρῶν	*leprw=n	λεπράω	lepra/w	v-sppann-
Λεπρῶν	*leprw=n	λεπράω	lepra/w	v-sppanv-
Λεπρῶν	*leprw=n	λεπράω	lepra/w	v-sppana-
Λεπρῶν	*leprw=n	λεπράω	lepra/w	v-sppamn-
Λεπρῶν	*leprw=n	λεπράω	lepra/w	v-sppamn-
Λεπρῶν	*leprw=n	λεπρός	lepro/s	a-p---fg-
Λεπρῶν	*leprw=n	λεπρός	lepro/s	a-p---mg-
Λεπρῶν	*leprw=n	λεπρός	lepro/s	a-p---ng-
Ληναίῳ	*lhnai/w|	Λήναιον	*lh/naion	n-s---nd-
Ληναίῳ	*lhnai/w|	Ληναῖον	*lhnai=on	n-s---nd-
Ληναίῳ	*lhnai/w|	ληναῖος	lhnai=os	a-s---md-
Ληναίῳ	*lhnai/w|	ληναῖος	lhnai=os	a-s---nd-
Λυκῖνος	*luki=nos	Λυκῖνος	*luki=nos	n-s---mn-
Λυσίστρατός	*lusi/strato/s	Λυσίστρατος	*lusi/stratos	n-s---mn-
Λάκωνας	*la/kwnas	Λάκων	*la/kwn	n-p---ma-
Λάκωσιν	*la/kwsin	Λάκων	*la/kwn	n-p---md-
Λάκωσιν	*la/kwsin	λάσκω	la/skw	v3pasa---
Λάμαχε	*la/maxe	Λάμαχος	*la/maxos	n-s---mv-
Λάμαχε	*la/maxe	Λάμαχος	*la/maxos	n-s---fv-
Λάμαχοι	*la/maxoi	Λάμαχος	*la/maxos	n-p---mn-
Λάμαχοι	*la/maxoi	Λάμαχος	*la/maxos	n-p---mv-
Λάμαχοι	*la/maxoi	Λάμαχος	*la/maxos	n-p---fn-
Λάμαχοι	*la/maxoi	Λάμαχος	*la/maxos	n-p---fv-
Λάμαχον	*la/maxon	Λάμαχος	*la/maxos	n-s---ma-
Λάμαχον	*la/maxon	Λάμαχος	*la/maxos	n-s---fa-
Λάμαχον	*la/maxon	Λάμαχος	*la/maxos	n-s---nn-
Λάμαχον	*la/maxon	Λάμαχος	*la/maxos	n-s---nv-
Λάμαχον	*la/maxon	Λάμαχος	*la/maxos	n-s---na-
Λάμαχος	*la/maxos	Λάμαχος	*la/maxos	n-s---mn-
Λάμαχος	*la/maxos	Λάμαχος	*la/maxos	n-s---fn-
Λάμαχός	*la/maxo/s	Λάμαχος	*la/maxos	n-s---mn-
Λάμαχός	*la/maxo/s	Λάμαχος	*la/maxos	n-s---fn-
Λάμαχ’	*la/max'	Λάμαχος	*la/maxos	n-p---nn-
Λάμαχ’	*la/max'	Λάμαχος	*la/maxos	n-p---nv-
Λάμαχ’	*la/max'	Λάμαχος	*la/maxos	n-p---na-
Λάμαχ’	*la/max'	Λάμαχος	*la/maxos	n-s---mv-
Λάμαχ’	*la/max'	Λάμαχος	*la/maxos	n-s---fv-
Λήναια	*lh/naia	Λήναια	*lh/naia	n-p---nn-
Λήναια	*lh/naia	Λήναια	*lh/naia	n-p---nv-
Λήναια	*lh/naia	Λήναια	*lh/naia	n-p---na-
Λήναια	*lh/naia	Λήναιον	*lh/naion	n-p---nn-
Λήναια	*lh/naia	Λήναιον	*lh/naion	n-p---nv-
Λήναια	*lh/naia	Λήναιον	*lh/naion	n-p---na-
Μαραθωνομάχαι	*maraqwnoma/xai	Μαραθωνομάχης	*maraqwnoma/xhs	n-p---mn-
Μαραθωνομάχαι	*maraqwnoma/xai	Μαραθωνομάχης	*maraqwnoma/xhs	n-p---mv-
Μαραθωνομάχαι	*maraqwnoma/xai	Μαραθωνομάχης	*maraqwnoma/xhs	n-s---md-
Μαραθῶνι	*maraqw=ni	Μαραθών	*maraqw/n	n-s---md-
Μαριλάδη	*marila/dh	Μαριλάδης	*marila/dhs	n-s---mv-
Μαρψίας	*maryi/as	Μαρψίας	*maryi/as	n-p---ma-
Μαρψίας	*maryi/as	Μαρψίας	*maryi/as	n-s---mn-
Μεγαρεῦσι	*megareu=si	Μεγαρεύς	*megareu/s	n-p---md-
Μεγαρεῦσιν	*megareu=sin	Μεγαρεύς	*megareu/s	n-p---md-
Μεγαρικά	*megarika/	Μεγαρικός	*megariko/s	a-p---nn-
Μεγαρικά	*megarika/	Μεγαρικός	*megariko/s	a-p---nv-
Μεγαρικά	*megarika/	Μεγαρικός	*megariko/s	a-p---na-
Μεγαρικά	*megarika/	Μεγαρικός	*megariko/s	a-d---fn-
Μεγαρικά	*megarika/	Μεγαρικός	*megariko/s	a-d---fv-
Μεγαρικά	*megarika/	Μεγαρικός	*megariko/s	a-d---fa-
Μεγαρικά	*megarika/	Μεγαρικός	*megariko/s	a-s---fn-
Μεγαρικά	*megarika/	Μεγαρικός	*megariko/s	a-s---fv-
Μεγαρικός	*megariko/s	Μεγαρικός	*megariko/s	a-s---mn-
Μεγαροῖ	*megaroi=	Μεγαροῖ	*megaroi=	d--------
Μεγαρέας	*megare/as	Μεγαρεύς	*megareu/s	n-p---ma-
Μεγαρέων	*megare/wn	Μεγαρεύς	*megareu/s	n-p---mg-
Μεγαρέων	*megare/wn	Μεγαρεύς	*megareu/s	n-p---mg-
Μεγαρίκ’	*megari/k'	Μεγαρικός	*megariko/s	a-p---nn-
Μεγαρίκ’	*megari/k'	Μεγαρικός	*megariko/s	a-p---nv-
Μεγαρίκ’	*megari/k'	Μεγαρικός	*megariko/s	a-p---na-
Μεγαρίκ’	*megari/k'	Μεγαρικός	*megariko/s	a-d---fn-
Μεγαρίκ’	*megari/k'	Μεγαρικός	*megariko/s	a-d---fv-
Μεγαρίκ’	*megari/k'	Μεγαρικός	*megariko/s	a-d---fa-
Μεγαρίκ’	*megari/k'	Μεγαρικός	*megariko/s	a-s---fn-
Μεγαρίκ’	*megari/k'	Μεγαρικός	*megariko/s	a-s---fv-
Μεγαρίκ’	*megari/k'	Μεγαρικός	*megariko/s	a-s---mv-
Μεγαρίκ’	*megari/k'	Μεγαρικός	*megariko/s	a-p---fn-
Μεγαρίκ’	*megari/k'	Μεγαρικός	*megariko/s	a-p---fv-
Μεγαρῆς	*megarh=s	Μεγαρεύς	*megareu/s	n-p---mn-
Μεγαρῆς	*megarh=s	Μεγαρεύς	*megareu/s	n-p---mn-
Μεγαρῆς	*megarh=s	Μεγαρεύς	*megareu/s	n-p---mv-
Μορύχῳ	*moru/xw|	Μόρυχος	*mo/ruxos	n-s---md-
Μοῦσα	*mou=sa	Μοῦσα	*mou=sa	n-s---fn-
Μοῦσα	*mou=sa	Μοῦσα	*mou=sa	n-s---fv-
Μοῦσα	*mou=sa	Μοῦσαι	*mou=sai	n-s---fn-
Μοῦσα	*mou=sa	Μοῦσαι	*mou=sai	n-s---fv-
Μοῦσα	*mou=sa	Μοῦσαι	*mou=sai	n-s---fn-
Μοῦσα	*mou=sa	Μοῦσαι	*mou=sai	n-s---fv-
Μυσόν	*muso/n	Μυσός	*muso/s	n-s---ma-
Μυσόν	*muso/n	μυσόν	muso/n	n-s---nn-
Μυσόν	*muso/n	μυσόν	muso/n	n-s---nv-
Μυσόν	*muso/n	μυσόν	muso/n	n-s---na-
Μυσόν	*muso/n	μυσός	muso/s	a-s---ma-
Μυσόν	*muso/n	μυσός	muso/s	a-s---nn-
Μυσόν	*muso/n	μυσός	muso/s	a-s---nv-
Μυσόν	*muso/n	μυσός	muso/s	a-s---na-
Μόσχῳ	*mo/sxw|	Μόσχος	*mo/sxos	n-s---md-
Μόσχῳ	*mo/sxw|	μόσχοσ1	mo/sxos1	n-s---md-
Μόσχῳ	*mo/sxw|	μόσχοσ2	mo/sxos2	n-s---md-
Μύσιον	*mu/sion	Μύσιος	*mu/sios	a-s---ma-
Μύσιον	*mu/sion	Μύσιος	*mu/sios	a-s---nn-
Μύσιον	*mu/sion	Μύσιος	*mu/sios	a-s---nv-
Μύσιον	*mu/sion	Μύσιος	*mu/sios	a-s---na-
Νίκαρχος	*ni/karxos	Νίκαρχος	*ni/karxos	n-s---mn-
Ξανθία	*canqi/a	Ξανθίας	*canqi/as	n-s---mv-
Ξανθία	*canqi/a	Ξανθίας	*canqi/as	n-s---mv-
Ξανθία	*canqi/a	Ξανθίας	*canqi/as	n-s---mg-
Ξανθία	*canqi/a	Ξανθίας	*canqi/as	n-s---mn-
Ξανθία	*canqi/a	Ξανθίης	*canqi/hs	n-d---mn-
Ξανθία	*canqi/a	Ξανθίης	*canqi/hs	n-d---mv-
Ξανθία	*canqi/a	Ξανθίης	*canqi/hs	n-d---ma-
Ξανθία	*canqi/a	Ξανθίης	*canqi/hs	n-s---mv-
Ξανθία	*canqi/a	Ξανθίης	*canqi/hs	n-s---mv-
Ξανθία	*canqi/a	Ξανθίης	*canqi/hs	n-s---mg-
Ξανθία	*canqi/a	Ξανθίης	*canqi/hs	n-s---mn-
Ξανθίας	*canqi/as	Ξανθίας	*canqi/as	n-s---mn-
Ξανθίας	*canqi/as	Ξανθίης	*canqi/hs	n-p---ma-
Ξανθίας	*canqi/as	Ξανθίης	*canqi/hs	n-s---mn-
Οἰνεύς	*oi)neu/s	Οἰνεύς	*oi)neu/s	n-s---mn-
Οἰνέως	*oi)ne/ws	Οἰνεύς	*oi)neu/s	n-s---mg-
Οἰνέως	*oi)ne/ws	Οἰνεύς	*oi)neu/s	n-s---mg-
Οἰνέως	*oi)ne/ws	Οἰνεύς	*oi)neu/s	n-s---mn-
