Αἴας	*ai)/as	Αἴας	*ai)/as	urn:cite2:hmt:lsj.chicago_md:n2112	n-s---mn-
Γᾶ	*ga=	γῆ	gh=	urn:cite2:hmt:lsj.chicago_md:n22100	n-s---fn-
Γᾶ	*ga=	γῆ	gh=	urn:cite2:hmt:lsj.chicago_md:n22100	n-s---fv-
Δαναοῖς	*danaoi=s	Δαναοί	*danaoi/	urn:cite2:hmt:lsj.chicago_md:n23415	n-p---md-
Δαρδάνου	*darda/nou	Δάρδανος	*da/rdanos	urn:cite2:hmt:lsj.chicago_md:n23464	n-s---mg-
Διός	*dio/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mg-
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	urn:cite2:hmt:lsj.chicago_md:n43509	n-p---fa-
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	urn:cite2:hmt:lsj.chicago_md:n43509	n-s---fg-
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	urn:cite2:hmt:lsj.chicago_md:n43509	n-p---fa-
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	urn:cite2:hmt:lsj.chicago_md:n43509	n-s---fg-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mn-
Ζεῦ	*zeu=	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mv-
Ζεῦ	*zeu=	ζέω	ze/w	urn:cite2:hmt:lsj.chicago_md:n46204	v2spme---
Ζεῦ	*zeu=	ζέω	ze/w	urn:cite2:hmt:lsj.chicago_md:n46204	v2siie---
Ζηνός	*zhno/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mg-
Ζῆνα	*zh=na	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---ma-
Ζῆνα	*zh=na	ζῆνος	zh=nos	urn:cite2:hmt:lsj.chicago_md:n46242	a-p---nn-
Ζῆνα	*zh=na	ζῆνος	zh=nos	urn:cite2:hmt:lsj.chicago_md:n46242	a-p---nv-
Ζῆνα	*zh=na	ζῆνος	zh=nos	urn:cite2:hmt:lsj.chicago_md:n46242	a-p---na-
Θησέως	*qhse/ws	Θησεύς	*qhseu/s	urn:cite2:hmt:lsj.chicago_md:n48835	n-s---mg-
Θησέως	*qhse/ws	Θησεύς	*qhseu/s	urn:cite2:hmt:lsj.chicago_md:n48835	n-s---mg-
Θησέως	*qhse/ws	Θησεύς	*qhseu/s	urn:cite2:hmt:lsj.chicago_md:n48835	n-s---mn-
Θάνατε	*qa/nate	Θάνατος	*qa/natos	urn:cite2:hmt:lsj.chicago_md:n47876	n-s---mv-
Θάνατε	*qa/nate	θάνατος	qa/natos	urn:cite2:hmt:lsj.chicago_md:n47876	n-s---mv-
Κεφαλλήν	*kefallh/n	Κεφαλλήν	*kefallh/n	urn:cite2:hmt:lsj.chicago_md:n57006	n-s---mn-
Κεφαλλήν	*kefallh/n	Κεφαλλήν	*kefallh/n	urn:cite2:hmt:lsj.chicago_md:n57006	n-s---mv-
Κεφαλλήνων	*kefallh/nwn	Κεφαλλήν	*kefallh/n	urn:cite2:hmt:lsj.chicago_md:n57006	n-p---mg-
Κρόνου	*kro/nou	Κρόνος	*kro/nos	urn:cite2:hmt:lsj.chicago_md:n60131	n-s---mg-
Κρόνου	*kro/nou	Κρόνος	*kro/nos	urn:cite2:hmt:lsj.chicago_md:n60132	n-s---mg-
Κρόνου	*kro/nou	κρόνος	kro/nos	urn:cite2:hmt:lsj.chicago_md:n60131	n-s---mg-
Κρόνου	*kro/nou	κρόνος	kro/nos	urn:cite2:hmt:lsj.chicago_md:n60132	n-s---mg-
Λαερτίου	*laerti/ou	Λαέρτης	*lae/rths	urn:cite2:hmt:lsj.chicago_md:n61577	n-s---mg-
Λαερτίῳ	*laerti/w|	Λαέρτης	*lae/rths	urn:cite2:hmt:lsj.chicago_md:n61577	n-s---md-
Λαρτίου	*larti/ou	Λαέρτης	*lae/rths	urn:cite2:hmt:lsj.chicago_md:n61577	n-s---mg-
Λαρτίου	*larti/ou	λάρτιος	la/rtios	urn:cite2:hmt:lsj.chicago_md:n61982	a-s---mg-
Λαρτίου	*larti/ou	λάρτιος	la/rtios	urn:cite2:hmt:lsj.chicago_md:n61983	a-s---mg-
Λαρτίου	*larti/ou	λάρτιος	la/rtios	urn:cite2:hmt:lsj.chicago_md:n61982	a-s---ng-
Λαρτίου	*larti/ou	λάρτιος	la/rtios	urn:cite2:hmt:lsj.chicago_md:n61983	a-s---ng-
Λαέρτου	*lae/rtou	Λαέρτης	*lae/rths	urn:cite2:hmt:lsj.chicago_md:n61577	n-s---mg-
Λήμνου	*lh/mnou	Λῆμνος	*lh=mnos	urn:cite2:hmt:lsj.chicago_md:n62915	n-s---fg-
Λύκιόν	*lu/kio/n	Λύκιος	*lu/kios	urn:cite2:hmt:lsj.chicago_md:n64093	a-s---ma-
Λύκιόν	*lu/kio/n	Λύκιος	*lu/kios	urn:cite2:hmt:lsj.chicago_md:n64094	a-s---ma-
Λύκιόν	*lu/kio/n	Λύκιος	*lu/kios	urn:cite2:hmt:lsj.chicago_md:n64093	a-s---nn-
Λύκιόν	*lu/kio/n	Λύκιος	*lu/kios	urn:cite2:hmt:lsj.chicago_md:n64094	a-s---nn-
Λύκιόν	*lu/kio/n	Λύκιος	*lu/kios	urn:cite2:hmt:lsj.chicago_md:n64093	a-s---nv-
Λύκιόν	*lu/kio/n	Λύκιος	*lu/kios	urn:cite2:hmt:lsj.chicago_md:n64094	a-s---nv-
Λύκιόν	*lu/kio/n	Λύκιος	*lu/kios	urn:cite2:hmt:lsj.chicago_md:n64093	a-s---na-
Λύκιόν	*lu/kio/n	Λύκιος	*lu/kios	urn:cite2:hmt:lsj.chicago_md:n64094	a-s---na-
Λύκιόν	*lu/kio/n	λύκιον	lu/kion	urn:cite2:hmt:lsj.chicago_md:n64092	n-s---nn-
Λύκιόν	*lu/kio/n	λύκιον	lu/kion	urn:cite2:hmt:lsj.chicago_md:n64092	n-s---nv-
Λύκιόν	*lu/kio/n	λύκιον	lu/kion	urn:cite2:hmt:lsj.chicago_md:n64092	n-s---na-
Λῆμνον	*lh=mnon	Λῆμνος	*lh=mnos	urn:cite2:hmt:lsj.chicago_md:n62915	n-s---fa-
Μενέλαε	*mene/lae	Μενέλαος	*mene/laos	urn:cite2:hmt:lsj.chicago_md:n66270	n-s---mv-
Μενέλαε	*mene/lae	Μενέλαος	*mene/laos	urn:cite2:hmt:lsj.chicago_md:n66270	n-s---mv-
Μηλιᾶ	*mhlia=	Μηλιεύς	*mhlieu/s	urn:cite2:hmt:lsj.chicago_md:n67382	n-s---ma-
Μοῖρα	*moi=ra	Μοῖρα	*moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-s---fn-
Μοῖρα	*moi=ra	Μοῖρα	*moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-s---fv-
Μοῖρα	*moi=ra	μοῖρα	moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-s---fn-
Μοῖρα	*moi=ra	μοῖρα	moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-s---fv-
Μυκῆναι	*mukh=nai	Μυκήνη	*mukh/nh	urn:cite2:hmt:lsj.chicago_md:n69086	n-p---fn-
Μυκῆναι	*mukh=nai	Μυκήνη	*mukh/nh	urn:cite2:hmt:lsj.chicago_md:n69086	n-p---fv-
Νεοπτόλεμε	*neopto/leme	Νεοπτόλεμος	*neopto/lemos	urn:cite2:hmt:lsj.chicago_md:n70351	n-s---mv-
Νεοπτόλεμος	*neopto/lemos	Νεοπτόλεμος	*neopto/lemos	urn:cite2:hmt:lsj.chicago_md:n70351	n-s---mn-
Νέστωρ	*ne/stwr	Νέστωρ	*ne/stwr	urn:cite2:hmt:lsj.chicago_md:n70471	n-s---mn-
Νίκη	*ni/kh	Νίκη	*ni/kh	urn:cite2:hmt:lsj.chicago_md:n70840	n-s---fn-
Νίκη	*ni/kh	Νίκη	*ni/kh	urn:cite2:hmt:lsj.chicago_md:n111343	n-s---fn-
Νίκη	*ni/kh	Νίκη	*ni/kh	urn:cite2:hmt:lsj.chicago_md:n70840	n-s---fv-
Νίκη	*ni/kh	Νίκη	*ni/kh	urn:cite2:hmt:lsj.chicago_md:n111343	n-s---fv-
Νίκη	*ni/kh	νίκη	ni/kh	urn:cite2:hmt:lsj.chicago_md:n70840	n-s---fn-
Νίκη	*ni/kh	νίκη	ni/kh	urn:cite2:hmt:lsj.chicago_md:n111343	n-s---fn-
Νίκη	*ni/kh	νίκη	ni/kh	urn:cite2:hmt:lsj.chicago_md:n70840	n-s---fv-
Νίκη	*ni/kh	νίκη	ni/kh	urn:cite2:hmt:lsj.chicago_md:n111343	n-s---fv-
Νίκη	*ni/kh	νῖκος	ni=kos	urn:cite2:hmt:lsj.chicago_md:n70859	n-p---nn-
Νίκη	*ni/kh	νῖκος	ni=kos	urn:cite2:hmt:lsj.chicago_md:n70859	n-p---nv-
Νίκη	*ni/kh	νῖκος	ni=kos	urn:cite2:hmt:lsj.chicago_md:n70859	n-p---na-
Νίκη	*ni/kh	νῖκος	ni=kos	urn:cite2:hmt:lsj.chicago_md:n70859	n-d---nn-
Νίκη	*ni/kh	νῖκος	ni=kos	urn:cite2:hmt:lsj.chicago_md:n70859	n-d---nv-
Νίκη	*ni/kh	νῖκος	ni=kos	urn:cite2:hmt:lsj.chicago_md:n70859	n-d---na-
Νίκη	*ni/kh	νικάω	nika/w	urn:cite2:hmt:lsj.chicago_md:n70839	v2spma---
Νίκη	*ni/kh	νικάω	nika/w	urn:cite2:hmt:lsj.chicago_md:n70839	v2spma---
Νίκη	*ni/kh	νικάω	nika/w	urn:cite2:hmt:lsj.chicago_md:n70839	v3siia---
Οἴτας	*oi)/tas	Οἴτη	*oi)/th	urn:cite2:hmt:lsj.chicago_md:n72700	n-p---fa-
Οἴτας	*oi)/tas	Οἴτη	*oi)/th	urn:cite2:hmt:lsj.chicago_md:n72700	n-s---fg-
Οἴτην	*oi)/thn	Οἴτη	*oi)/th	urn:cite2:hmt:lsj.chicago_md:n72700	n-s---fa-
Οἴτης	*oi)/ths	Οἴτη	*oi)/th	urn:cite2:hmt:lsj.chicago_md:n72700	n-s---fg-
Οὑδυσσεύς	*ou(dusseu/s	Οὑδυσσεύς	*ou(dusseu/s	urn:cite2:hmt:lsj.chicago_md:n75791	n-s---mn-
Πηλέως	*phle/ws	Πηλεύς	*phleu/s	urn:cite2:hmt:lsj.chicago_md:n82928	n-s---mg-
Πηλέως	*phle/ws	Πηλεύς	*phleu/s	urn:cite2:hmt:lsj.chicago_md:n82928	n-s---mg-
Πηλέως	*phle/ws	Πηλεύς	*phleu/s	urn:cite2:hmt:lsj.chicago_md:n82928	n-s---mn-
Πολιάς	*polia/s	Πολιάς	*polia/s	urn:cite2:hmt:lsj.chicago_md:n84458	n-s---fn-
Πολιάς	*polia/s	Πολιάς	*polia/s	urn:cite2:hmt:lsj.chicago_md:n84459	n-s---fn-
Πολιάς	*polia/s	πολιά	polia/	urn:cite2:hmt:lsj.chicago_md:n84448	n-p---fa-
Πολιάς	*polia/s	πολιάς	polia/s	urn:cite2:hmt:lsj.chicago_md:n84458	n-s---fn-
Πολιάς	*polia/s	πολιάς	polia/s	urn:cite2:hmt:lsj.chicago_md:n84459	n-s---fn-
Πολιάς	*polia/s	πολιός	polio/s	urn:cite2:hmt:lsj.chicago_md:n84481	a-p---fa-
Πριάμου	*pria/mou	Πρίαμος	*pri/amos	urn:cite2:hmt:lsj.chicago_md:n86354	n-s---mg-
Πάριν	*pa/rin	πάρειμι2	pa/reimi	urn:cite2:hmt:lsj.chicago_md:n79223	v3piia---
Πάριν	*pa/rin	πάρειμι2	pa/reimi	urn:cite2:hmt:lsj.chicago_md:n79224	v3piia---
Πάτροκλος	*pa/troklos	Πάτροκλος	*pa/troklos	urn:cite2:hmt:lsj.chicago_md:n80057	n-s---mn-
Σισύφου	*sisu/fou	Σίσυφος	*si/sufos	urn:cite2:hmt:lsj.chicago_md:n94316	n-s---mg-
Σκύρου	*sku/rou	Σκῦρος	*sku=ros	urn:cite2:hmt:lsj.chicago_md:n95342	n-s---fg-
Σκύρου	*sku/rou	Σκῦρος	*sku=ros	urn:cite2:hmt:lsj.chicago_md:n95345	n-s---fg-
Σκύρου	*sku/rou	σκύρον	sku/ron	urn:cite2:hmt:lsj.chicago_md:n95340	n-s---ng-
Σκύρου	*sku/rou	σκῦρος	sku=ros	urn:cite2:hmt:lsj.chicago_md:n95342	n-s---mg-
Σκύρου	*sku/rou	σκῦρος	sku=ros	urn:cite2:hmt:lsj.chicago_md:n95345	n-s---mg-
Σκύρῳ	*sku/rw|	Σκῦρος	*sku=ros	urn:cite2:hmt:lsj.chicago_md:n95342	n-s---fd-
Σκύρῳ	*sku/rw|	Σκῦρος	*sku=ros	urn:cite2:hmt:lsj.chicago_md:n95345	n-s---fd-
Σκύρῳ	*sku/rw|	σκύρον	sku/ron	urn:cite2:hmt:lsj.chicago_md:n95340	n-s---nd-
Σκύρῳ	*sku/rw|	σκῦρος	sku=ros	urn:cite2:hmt:lsj.chicago_md:n95342	n-s---md-
Σκύρῳ	*sku/rw|	σκῦρος	sku=ros	urn:cite2:hmt:lsj.chicago_md:n95345	n-s---md-
Σκῦρον	*sku=ron	Σκῦρος	*sku=ros	urn:cite2:hmt:lsj.chicago_md:n95342	n-s---fa-
Σκῦρον	*sku=ron	Σκῦρος	*sku=ros	urn:cite2:hmt:lsj.chicago_md:n95345	n-s---fa-
Σκῦρον	*sku=ron	σκῦρος	sku=ros	urn:cite2:hmt:lsj.chicago_md:n95342	n-s---ma-
Σκῦρον	*sku=ron	σκῦρος	sku=ros	urn:cite2:hmt:lsj.chicago_md:n95345	n-s---ma-
Σκῦρος	*sku=ros	Σκῦρος	*sku=ros	urn:cite2:hmt:lsj.chicago_md:n95342	n-s---fn-
Σκῦρος	*sku=ros	Σκῦρος	*sku=ros	urn:cite2:hmt:lsj.chicago_md:n95345	n-s---fn-
Σκῦρος	*sku=ros	σκῦρος	sku=ros	urn:cite2:hmt:lsj.chicago_md:n95342	n-s---mn-
Σκῦρος	*sku=ros	σκῦρος	sku=ros	urn:cite2:hmt:lsj.chicago_md:n95345	n-s---mn-
Σπάρτη	*spa/rth	Σπάρτη	*spa/rth	urn:cite2:hmt:lsj.chicago_md:n95769	n-s---fn-
Σπάρτη	*spa/rth	Σπάρτη	*spa/rth	urn:cite2:hmt:lsj.chicago_md:n95770	n-s---fn-
Σπάρτη	*spa/rth	Σπάρτη	*spa/rth	urn:cite2:hmt:lsj.chicago_md:n95769	n-s---fv-
Σπάρτη	*spa/rth	Σπάρτη	*spa/rth	urn:cite2:hmt:lsj.chicago_md:n95770	n-s---fv-
Σπάρτη	*spa/rth	σπάρτη	spa/rth	urn:cite2:hmt:lsj.chicago_md:n95769	n-s---fn-
Σπάρτη	*spa/rth	σπάρτη	spa/rth	urn:cite2:hmt:lsj.chicago_md:n95770	n-s---fn-
Σπάρτη	*spa/rth	σπάρτη	spa/rth	urn:cite2:hmt:lsj.chicago_md:n95769	n-s---fv-
Σπάρτη	*spa/rth	σπάρτη	spa/rth	urn:cite2:hmt:lsj.chicago_md:n95770	n-s---fv-
Τραχινίαν	*traxini/an	Τραχίς	*traxi/s	urn:cite2:hmt:lsj.chicago_md:n104627	a-s---fa-
Τροίαν	*troi/an	Τροία	*troi/a	urn:cite2:hmt:lsj.chicago_md:n105483	n-s---fa-
Τροίαν	*troi/an	Τροία	*troi/a	urn:cite2:hmt:lsj.chicago_md:n105484	n-s---fa-
Τροίαν	*troi/an	Τροία	*troi/a	urn:cite2:hmt:lsj.chicago_md:n105483	n-s---fa-
Τροίαν	*troi/an	Τροία	*troi/a	urn:cite2:hmt:lsj.chicago_md:n105484	n-s---fa-
Τροίας	*troi/as	Τροία	*troi/a	urn:cite2:hmt:lsj.chicago_md:n105483	n-p---fa-
Τροίας	*troi/as	Τροία	*troi/a	urn:cite2:hmt:lsj.chicago_md:n105484	n-p---fa-
Τροίας	*troi/as	Τροία	*troi/a	urn:cite2:hmt:lsj.chicago_md:n105483	n-s---fg-
Τροίας	*troi/as	Τροία	*troi/a	urn:cite2:hmt:lsj.chicago_md:n105484	n-s---fg-
Τροίας	*troi/as	Τροία	*troi/a	urn:cite2:hmt:lsj.chicago_md:n105483	n-p---fa-
Τροίας	*troi/as	Τροία	*troi/a	urn:cite2:hmt:lsj.chicago_md:n105484	n-p---fa-
Τροίας	*troi/as	Τροία	*troi/a	urn:cite2:hmt:lsj.chicago_md:n105483	n-s---fg-
Τροίας	*troi/as	Τροία	*troi/a	urn:cite2:hmt:lsj.chicago_md:n105484	n-s---fg-
Τροίᾳ	*troi/a|	Τροία	*troi/a	urn:cite2:hmt:lsj.chicago_md:n105483	n-s---fd-
Τροίᾳ	*troi/a|	Τροία	*troi/a	urn:cite2:hmt:lsj.chicago_md:n105484	n-s---fd-
Τροίᾳ	*troi/a|	Τροία	*troi/a	urn:cite2:hmt:lsj.chicago_md:n105483	n-s---fd-
Τροίᾳ	*troi/a|	Τροία	*troi/a	urn:cite2:hmt:lsj.chicago_md:n105484	n-s---fd-
Τρωικόν	*trwiko/n	Τρωικός	*trwiko/s	urn:cite2:hmt:lsj.chicago_md:n105795	a-s---ma-
Τρωικόν	*trwiko/n	Τρωικός	*trwiko/s	urn:cite2:hmt:lsj.chicago_md:n105795	a-s---ma-
Τρωικόν	*trwiko/n	Τρωικός	*trwiko/s	urn:cite2:hmt:lsj.chicago_md:n105795	a-s---nn-
Τρωικόν	*trwiko/n	Τρωικός	*trwiko/s	urn:cite2:hmt:lsj.chicago_md:n105795	a-s---nn-
Τρωικόν	*trwiko/n	Τρωικός	*trwiko/s	urn:cite2:hmt:lsj.chicago_md:n105795	a-s---nv-
Τρωικόν	*trwiko/n	Τρωικός	*trwiko/s	urn:cite2:hmt:lsj.chicago_md:n105795	a-s---nv-
Τρωικόν	*trwiko/n	Τρωικός	*trwiko/s	urn:cite2:hmt:lsj.chicago_md:n105795	a-s---na-
Τρωικόν	*trwiko/n	Τρωικός	*trwiko/s	urn:cite2:hmt:lsj.chicago_md:n105795	a-s---na-
Τρωσίν	*trwsi/n	Τρώς	*trw/s	urn:cite2:hmt:lsj.chicago_md:n105816	n-p---md-
Τρῳάδα	*trw|a/da	Τρῳάς	*trw|a/s	urn:cite2:hmt:lsj.chicago_md:n105774	n-s---fa-
Τυδέως	*tude/ws	Τυδεύς	*tudeu/s	urn:cite2:hmt:lsj.chicago_md:n105831	n-s---mg-
Τυδέως	*tude/ws	Τυδεύς	*tudeu/s	urn:cite2:hmt:lsj.chicago_md:n105831	n-s---mg-
Τυδέως	*tude/ws	Τυδεύς	*tudeu/s	urn:cite2:hmt:lsj.chicago_md:n105831	n-s---mn-
Φοίβου	*foi/bou	Φοῖβος	*foi=bos	urn:cite2:hmt:lsj.chicago_md:n111928	n-s---mg-
Φοίβου	*foi/bou	φοῖβος	foi=bos	urn:cite2:hmt:lsj.chicago_md:n111928	a-s---mg-
Φοίβου	*foi/bou	φοῖβος	foi=bos	urn:cite2:hmt:lsj.chicago_md:n111928	a-s---ng-
Φοῖνιξ	*foi=nic	Φοῖνιξ	*foi=nic	urn:cite2:hmt:lsj.chicago_md:n112002	n-s---mn-
Φοῖνιξ	*foi=nic	Φοῖνιξ	*foi=nic	urn:cite2:hmt:lsj.chicago_md:n112002	n-s---mv-
Φοῖνιξ	*foi=nic	φοῖνιξ	foi=nic	urn:cite2:hmt:lsj.chicago_md:n112002	n-s---mn-
Φοῖνιξ	*foi=nic	φοῖνιξ	foi=nic	urn:cite2:hmt:lsj.chicago_md:n112002	n-s---mv-
Φοῖνίξ	*foi=ni/c	Φοῖνιξ	*foi=nic	urn:cite2:hmt:lsj.chicago_md:n112002	n-s---mn-
Φοῖνίξ	*foi=ni/c	Φοῖνιξ	*foi=nic	urn:cite2:hmt:lsj.chicago_md:n112002	n-s---mv-
Φοῖνίξ	*foi=ni/c	φοῖνιξ	foi=nic	urn:cite2:hmt:lsj.chicago_md:n112002	n-s---mn-
Φοῖνίξ	*foi=ni/c	φοῖνιξ	foi=nic	urn:cite2:hmt:lsj.chicago_md:n112002	n-s---mv-
Χαλκώδοντος	*xalkw/dontos	Χαλκώδων	*xalkw/dwn	urn:cite2:hmt:lsj.chicago_md:n113203	n-s---mg-
Χαλκώδοντος	*xalkw/dontos	χαλκώδων	xalkw/dwn	urn:cite2:hmt:lsj.chicago_md:n113203	n-s---mg-
αἰαῖ	ai)ai=	αἰαῖ	ai)ai=	urn:cite2:hmt:lsj.chicago_md:n2105	x--------
αἰεί	ai)ei/	ἀεί	a)ei/	urn:cite2:hmt:lsj.chicago_md:n1564	d--------
αἰνεῖν	ai)nei=n	αἰνέω	ai)ne/w	urn:cite2:hmt:lsj.chicago_md:n2515	v--pna---
αἰνέσας	ai)ne/sas	αἰνέω	ai)ne/w	urn:cite2:hmt:lsj.chicago_md:n2515	v-sapamn-
αἰνέσας	ai)ne/sas	αἰνέω	ai)ne/w	urn:cite2:hmt:lsj.chicago_md:n2515	v-sapamv-
αἰνῶ	ai)nw=	αἰνέω	ai)ne/w	urn:cite2:hmt:lsj.chicago_md:n2515	v1spsa---
αἰνῶ	ai)nw=	αἰνέω	ai)ne/w	urn:cite2:hmt:lsj.chicago_md:n2515	v1spia---
αἰνῶ	ai)nw=	αἰνός	ai)no/s	urn:cite2:hmt:lsj.chicago_md:n2565	a-s---mg-
αἰνῶ	ai)nw=	αἰνός	ai)no/s	urn:cite2:hmt:lsj.chicago_md:n2565	a-s---ng-
αἰπεινόν	ai)peino/n	αἰπεινός	ai)peino/s	urn:cite2:hmt:lsj.chicago_md:n2622	a-s---ma-
αἰπεινόν	ai)peino/n	αἰπεινός	ai)peino/s	urn:cite2:hmt:lsj.chicago_md:n2622	a-s---nn-
αἰπεινόν	ai)peino/n	αἰπεινός	ai)peino/s	urn:cite2:hmt:lsj.chicago_md:n2622	a-s---nv-
αἰπεινόν	ai)peino/n	αἰπεινός	ai)peino/s	urn:cite2:hmt:lsj.chicago_md:n2622	a-s---na-
αἰσθήσεται	ai)sqh/setai	αἰσθάνομαι	ai)sqa/nomai	urn:cite2:hmt:lsj.chicago_md:n2665	v3sfim---
αἰσχραῖς	ai)sxrai=s	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-p---fd-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-p---nn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-p---nv-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-p---na-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-d---fn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-d---fv-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-d---fa-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-s---fn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-s---fv-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	n-p---nn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	n-p---nv-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	n-p---na-
αἰσχράν	ai)sxra/n	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-s---fa-
αἰσχράς	ai)sxra/s	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-p---fa-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-s---ma-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-s---nn-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-s---nv-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-s---na-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	n-s---ma-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	n-s---fa-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	n-s---nn-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	n-s---nv-
