Αἴας	*ai)/as	Αἴας	*ai)/as	n-s---mn-
πλάθει	pla/qei	πλῆθος	plh=qos	n-d---nv-
πλάθει	pla/qei	πλῆθος	plh=qos	n-d---na-
πλάθει	pla/qei	πλῆθος	plh=qos	n-s---nd-
πλάθει	pla/qei	πλῆθος	plh=qos	n-s---nd-
πλάκα	pla/ka	πλάξ	pla/c	n-s---fa-
πλάνοις	pla/nois	πλάνος	pla/nos	n-p---md-
πλάνοις	pla/nois	πλάνος	pla/nos	n-p---fd-
πλάνοις	pla/nois	πλάνος	pla/nos	n-p---nd-
πλάτῃ	pla/th|	πλάτη	pla/th	n-s---fd-
πλάτῃ	pla/th|	πλάτης	pla/ths	n-s---md-
πλέα	ple/a	πλέος	ple/os	n-p---nn-
πλέα	ple/a	πλέος	ple/os	n-p---nv-
πλέα	ple/a	πλέος	ple/os	n-p---na-
πλέα	ple/a	πλέος	ple/os	n-d---fn-
πλέα	ple/a	πλέος	ple/os	n-d---fv-
πλέα	ple/a	πλέος	ple/os	n-d---fa-
πλέα	ple/a	πλέος	ple/os	n-s---fn-
πλέα	ple/a	πλέος	ple/os	n-s---fv-
πλέα	ple/a	πλέως	ple/ws	a-d---fn-
πλέα	ple/a	πλέως	ple/ws	a-d---fv-
πλέα	ple/a	πλέως	ple/ws	a-d---fa-
πλέα	ple/a	πλέως	ple/ws	a-s---fn-
πλέα	ple/a	πλέως	ple/ws	a-s---fv-
πλέα	ple/a	πλέως	ple/ws	a-p---nn-
πλέα	ple/a	πλέως	ple/ws	a-p---nv-
πλέα	ple/a	πλέως	ple/ws	a-p---na-
πλέα	ple/a	πλέως	ple/ws	n-p---nn-
πλέα	ple/a	πλέως	ple/ws	n-p---nv-
πλέα	ple/a	πλέως	ple/ws	n-p---na-
πλέον	ple/on	πλέος	ple/os	n-s---ma-
πλέον	ple/on	πλέος	ple/os	n-s---nn-
πλέον	ple/on	πλέος	ple/os	n-s---nv-
πλέον	ple/on	πλέος	ple/os	n-s---na-
πλέον	ple/on	πλέω	ple/w	v-sppamv-
πλέον	ple/on	πλέω	ple/w	v-sppann-
πλέον	ple/on	πλέω	ple/w	v-sppanv-
πλέον	ple/on	πλέω	ple/w	v-sppana-
πλέον	ple/on	πλέω	ple/w	v3piia---
πλέον	ple/on	πλέω	ple/w	v1siia---
πλέον	ple/on	πλέως	ple/ws	a-s---ma-
πλέον	ple/on	πλέως	ple/ws	a-s---nn-
πλέον	ple/on	πλέως	ple/ws	a-s---nv-
πλέον	ple/on	πλέως	ple/ws	a-s---na-
πλέον	ple/on	πλείων	plei/wn	a-s---mv-
πλέον	ple/on	πλείων	plei/wn	a-s---fv-
πλέον	ple/on	πλείων	plei/wn	a-s---nn-
πλέον	ple/on	πλείων	plei/wn	a-s---nv-
πλέον	ple/on	πλείων	plei/wn	a-s---na-
πλέοντες	ple/ontes	πλέω	ple/w	v-pppamn-
πλέοντες	ple/ontes	πλέω	ple/w	v-pppamv-
πλέοντί	ple/onti/	πλέω	ple/w	v-sppamd-
πλέοντί	ple/onti/	πλέω	ple/w	v-sppand-
πλέοντί	ple/onti/	πλέω	ple/w	v3ppia---
πλέουσιν	ple/ousin	πλέω	ple/w	v-pppamd-
πλέουσιν	ple/ousin	πλέω	ple/w	v-pppand-
πλέουσιν	ple/ousin	πλέω	ple/w	v3ppia---
πλέω	ple/w	πλέος	ple/os	n-d---mn-
πλέω	ple/w	πλέος	ple/os	n-d---mv-
πλέω	ple/w	πλέος	ple/os	n-d---ma-
πλέω	ple/w	πλέος	ple/os	n-d---nn-
πλέω	ple/w	πλέος	ple/os	n-d---nv-
πλέω	ple/w	πλέος	ple/os	n-d---na-
πλέω	ple/w	πλέος	ple/os	n-s---mg-
πλέω	ple/w	πλέος	ple/os	n-s---ng-
πλέω	ple/w	πλέω	ple/w	v1spsa---
πλέω	ple/w	πλέω	ple/w	v1spia---
πλέω	ple/w	πλέως	ple/ws	a-d---mn-
πλέω	ple/w	πλέως	ple/ws	a-d---mv-
πλέω	ple/w	πλέως	ple/ws	a-d---ma-
πλέω	ple/w	πλέως	ple/ws	a-d---nn-
πλέω	ple/w	πλέως	ple/ws	a-d---nv-
πλέω	ple/w	πλέως	ple/ws	a-d---na-
πλέω	ple/w	πλέως	ple/ws	a-s---mg-
πλέω	ple/w	πλέως	ple/ws	a-s---ng-
πλέω	ple/w	πλέως	ple/ws	n-d---mn-
πλέω	ple/w	πλέως	ple/ws	n-d---mv-
πλέω	ple/w	πλέως	ple/ws	n-d---ma-
πλέω	ple/w	πλέως	ple/ws	n-d---nn-
πλέω	ple/w	πλέως	ple/ws	n-d---nv-
πλέω	ple/w	πλέως	ple/ws	n-d---na-
πλέω	ple/w	πλέως	ple/ws	n-s---mg-
πλέω	ple/w	πλέως	ple/ws	n-s---ng-
πλέω	ple/w	πλείων	plei/wn	a-p---na-
πλέω	ple/w	πλείων	plei/wn	a-p---nn-
πλέω	ple/w	πλείων	plei/wn	a-s---ma-
πλέω	ple/w	πλείων	plei/wn	a-s---fa-
πλέωμεν	ple/wmen	πλέω	ple/w	v1ppsa---
πλέων	ple/wn	πλέος	ple/os	n-p---mg-
πλέων	ple/wn	πλέος	ple/os	n-p---ng-
πλέων	ple/wn	πλέω	ple/w	v-sppamn-
πλέων	ple/wn	πλέως	ple/ws	a-p---fg-
πλέων	ple/wn	πλέως	ple/ws	a-p---mg-
πλέων	ple/wn	πλέως	ple/ws	a-p---ng-
πλέων	ple/wn	πλέως	ple/ws	n-p---mg-
πλέων	ple/wn	πλέως	ple/ws	n-p---ng-
πλέων	ple/wn	πλέως	ple/ws	n-s---ma-
πλέων	ple/wn	πλέως	ple/ws	n-s---nn-
πλέων	ple/wn	πλέως	ple/ws	n-s---nv-
πλέων	ple/wn	πλέως	ple/ws	n-s---na-
πλέων	ple/wn	πλείων	plei/wn	a-s---mn-
πλέων	ple/wn	πλείων	plei/wn	a-s---fn-
πλέως	ple/ws	πλέος	ple/os	n-p---ma-
πλέως	ple/ws	πλέως	ple/ws	x--------
πλέως	ple/ws	πλέως	ple/ws	a-p---ma-
πλέως	ple/ws	πλέως	ple/ws	n-p---mn-
πλέως	ple/ws	πλέως	ple/ws	n-s---mn-
πλέως	ple/ws	πλέως	ple/ws	n-s---mv-
πλήθει	plh/qei	πλήθω	plh/qw	v2spie---
πλήθει	plh/qei	πλήθω	plh/qw	v3spia---
πλήθει	plh/qei	πλῆθος	plh=qos	n-d---nn-
πλήθει	plh/qei	πλῆθος	plh=qos	n-d---nv-
πλήθει	plh/qei	πλῆθος	plh=qos	n-d---na-
πλήθει	plh/qei	πλῆθος	plh=qos	n-s---nd-
πλήθει	plh/qei	πλῆθος	plh=qos	n-s---nd-
πλήν	plh/n	πλήν	plh/n	r--------
πνεύματος	pneu/matos	πνεῦμα	pneu=ma	n-s---ng-
πνεῦμα	pneu=ma	πνεῦμα	pneu=ma	n-s---nn-
πνεῦμα	pneu=ma	πνεῦμα	pneu=ma	n-s---nv-
πνεῦμα	pneu=ma	πνεῦμα	pneu=ma	n-s---na-
πνεῦμ’	pneu=m'	πνεῦμα	pneu=ma	n-s---nn-
πνεῦμ’	pneu=m'	πνεῦμα	pneu=ma	n-s---nv-
πνεῦμ’	pneu=m'	πνεῦμα	pneu=ma	n-s---na-
πνοή	pnoh/	πνοή	pnoh/	n-s---fn-
πνοή	pnoh/	πνοή	pnoh/	n-s---fv-
ποδί	podi/	ποδίς	podi/s	n-s---fv-
ποδί	podi/	πούς	pou/s	n-s---md-
ποδός	podo/s	πούς	pou/s	n-s---mg-
ποεῖ	poei=	ποιέω	poie/w	v2spie---
ποεῖ	poei=	ποιέω	poie/w	v3spia---
ποεῖν	poei=n	ποιέω	poie/w	v--pna---
ποεῖσθαι	poei=sqai	ποιέω	poie/w	v--pne---
ποθεινόν	poqeino/n	ποθεινός	poqeino/s	a-s---ma-
ποθεινόν	poqeino/n	ποθεινός	poqeino/s	a-s---nn-
ποθεινόν	poqeino/n	ποθεινός	poqeino/s	a-s---nv-
ποθεινόν	poqeino/n	ποθεινός	poqeino/s	a-s---na-
ποθεινόν	poqeino/n	ποθεινός	poqeino/s	n-s---ma-
ποθεινόν	poqeino/n	ποθεινός	poqeino/s	n-s---fa-
ποθεινόν	poqeino/n	ποθεινός	poqeino/s	n-s---nn-
ποθεινόν	poqeino/n	ποθεινός	poqeino/s	n-s---nv-
ποθεινόν	poqeino/n	ποθεινός	poqeino/s	n-s---na-
ποθεν	poqen	ποθεν	poqen	g--------
ποθεῖ	poqei=	ποθέω	poqe/w	v2spie---
ποθεῖ	poqei=	ποθέω	poqe/w	v3spia---
ποθέν	poqe/n	πίνω	pi/nw	v-sappnn-
ποθέν	poqe/n	πίνω	pi/nw	v-sappnv-
ποθέν	poqe/n	πίνω	pi/nw	v-sappna-
ποθέν	poqe/n	ποθεν	poqen	g--------
ποιεῖς	poiei=s	ποιέω	poie/w	v2spia---
ποικιλοστόλῳ	poikilosto/lw|	ποικιλόστολος	poikilo/stolos	n-s---md-
ποικιλοστόλῳ	poikilosto/lw|	ποικιλόστολος	poikilo/stolos	n-s---fd-
ποικιλοστόλῳ	poikilosto/lw|	ποικιλόστολος	poikilo/stolos	n-s---nd-
ποικίλως	poiki/lws	ποικίλος	poiki/los	x--------
ποικίλως	poiki/lws	ποικίλος	poiki/los	a-p---ma-
ποικίλως	poiki/lws	ποικιλόω	poikilo/w	v2siia---
ποιμήν	poimh/n	ποιμήν	poimh/n	n-s---mn-
ποιμήν	poimh/n	ποιμήν	poimh/n	n-s---mv-
ποιούμενοι	poiou/menoi	ποιέω	poie/w	v-pppemn-
ποιούμενοι	poiou/menoi	ποιέω	poie/w	v-pppemv-
ποιούμενοι	poiou/menoi	ποιόω	poio/w	v-pppemn-
ποιούμενοι	poiou/menoi	ποιόω	poio/w	v-pppemv-
ποιούμενος	poiou/menos	ποιέω	poie/w	v-sppemn-
ποιούμενος	poiou/menos	ποιόω	poio/w	v-sppemn-
ποιοῦ	poiou=	ποιέω	poie/w	v2spme---
ποιοῦ	poiou=	ποιός	poio/s	a-s---mg-
ποιοῦ	poiou=	ποιός	poio/s	a-s---ng-
ποιοῦ	poiou=	ποιόω	poio/w	v2spme---
ποιοῦ	poiou=	ποιόω	poio/w	v2siie---
πολιᾶς	polia=s	πολιά	polia/	n-s---fg-
πολιᾶς	polia=s	πολιάζω	polia/zw	v2sfia---
πολιᾶς	polia=s	πολιός	polio/s	a-s---fg-
πολλοῖς	polloi=s	πολύς	polu/s	a-p---md-
πολλοῖς	polloi=s	πολύς	polu/s	a-p---nd-
πολλοῦ	pollou=	πολύς	polu/s	a-s---mg-
πολλοῦ	pollou=	πολύς	polu/s	a-s---ng-
πολλά	polla/	πολύς	polu/s	a-d---fn-
πολλά	polla/	πολύς	polu/s	a-d---fv-
πολλά	polla/	πολύς	polu/s	a-d---fa-
πολλά	polla/	πολύς	polu/s	a-s---fn-
πολλά	polla/	πολύς	polu/s	a-s---fv-
πολλά	polla/	πολύς	polu/s	a-p---nn-
πολλά	polla/	πολύς	polu/s	a-p---nv-
πολλά	polla/	πολύς	polu/s	a-p---na-
πολλάκι	polla/ki	πολλάκις	polla/kis	d--------
πολλάκις	polla/kis	πολλάκις	polla/kis	d--------
πολλή	pollh/	πολύς	polu/s	a-s---fn-
πολλή	pollh/	πολύς	polu/s	a-s---fv-
πολλήν	pollh/n	πολύς	polu/s	a-s---fa-
πολλῶν	pollw=n	πολύς	polu/s	a-p---fg-
πολλῶν	pollw=n	πολύς	polu/s	a-p---mg-
πολλῶν	pollw=n	πολύς	polu/s	a-p---ng-
πολλῷ	pollw=|	πολύς	polu/s	a-s---md-
πολλῷ	pollw=|	πολύς	polu/s	a-s---nd-
πολυμηχάνου	polumhxa/nou	πολυμήχανος	polumh/xanos	n-s---mg-
πολυμηχάνου	polumhxa/nou	πολυμήχανος	polumh/xanos	n-s---fg-
πολυμηχάνου	polumhxa/nou	πολυμήχανος	polumh/xanos	n-s---ng-
πολέμιον	pole/mion	πολέμιος	pole/mios	a-s---ma-
πολέμιον	pole/mion	πολέμιος	pole/mios	a-s---nn-
πολέμιον	pole/mion	πολέμιος	pole/mios	a-s---nv-
πολέμιον	pole/mion	πολέμιος	pole/mios	a-s---na-
πολέμιον	pole/mion	πολέμιος	pole/mios	n-s---ma-
πολέμιον	pole/mion	πολέμιος	pole/mios	n-s---fa-
πολέμιον	pole/mion	πολέμιος	pole/mios	n-s---nn-
πολέμιον	pole/mion	πολέμιος	pole/mios	n-s---nv-
πολέμιον	pole/mion	πολέμιος	pole/mios	n-s---na-
πολέμιον	pole/mion	πολεμέω	poleme/w	v3piia---
πολέμιον	pole/mion	πολεμέω	poleme/w	v1siia---
πολύ	polu/	πολύς	polu/s	n-s---nn-
πολύ	polu/	πολύς	polu/s	n-s---nv-
πολύ	polu/	πολύς	polu/s	n-s---na-
πολύν	polu/n	πολύς	polu/s	n-s---ma-
πολύπον’	polu/pon'	πολύπονος	polu/ponos	n-p---nn-
πολύπον’	polu/pon'	πολύπονος	polu/ponos	n-p---nv-
πολύπον’	polu/pon'	πολύπονος	polu/ponos	n-p---na-
πολύπον’	polu/pon'	πολύπονος	polu/ponos	n-s---mv-
πολύπον’	polu/pon'	πολύπονος	polu/ponos	n-s---fv-
πολύστονον	polu/stonon	πολύστονος	polu/stonos	n-s---ma-
πολύστονον	polu/stonon	πολύστονος	polu/stonos	n-s---fa-
πολύστονον	polu/stonon	πολύστονος	polu/stonos	n-s---nn-
πολύστονον	polu/stonon	πολύστονος	polu/stonos	n-s---nv-
πολύστονον	polu/stonon	πολύστονος	polu/stonos	n-s---na-
πομπόν	pompo/n	πομπός	pompo/s	n-s---ma-
πονεῖ	ponei=	πονέομαι	pone/omai	v2spie---
πονεῖ	ponei=	πονέω	pone/w	v2spie---
πονεῖ	ponei=	πονέω	pone/w	v3spia---
πονεῖν	ponei=n	πονέω	pone/w	v--pna---
πονηρόν	ponhro/n	πονηρός	ponhro/s	a-s---ma-
πονηρόν	ponhro/n	πονηρός	ponhro/s	a-s---nn-
πονηρόν	ponhro/n	πονηρός	ponhro/s	a-s---nv-
πονηρόν	ponhro/n	πονηρός	ponhro/s	a-s---na-
ποντοπόρῳ	pontopo/rw|	ποντόπορος	ponto/poros	n-s---md-
ποντοπόρῳ	pontopo/rw|	ποντόπορος	ponto/poros	n-s---fd-
ποντοπόρῳ	pontopo/rw|	ποντόπορος	ponto/poros	n-s---nd-
ποντοπόρῳ	pontopo/rw|	ποντοπόρος	pontopo/ros	n-s---md-
ποντοπόρῳ	pontopo/rw|	ποντοπόρος	pontopo/ros	n-s---fd-
ποντοπόρῳ	pontopo/rw|	ποντοπόρος	pontopo/ros	n-s---nd-
ποντίας	ponti/as	πόντιος	po/ntios	a-p---fa-
ποντίας	ponti/as	πόντιος	po/ntios	a-s---fg-
πονήσας	ponh/sas	πονέω	pone/w	v-sapamn-
πονήσας	ponh/sas	πονέω	pone/w	v-sapamv-
πορευτέα	poreute/a	πορευτέος	poreute/os	n-p---nn-
πορευτέα	poreute/a	πορευτέος	poreute/os	n-p---nv-
πορευτέα	poreute/a	πορευτέος	poreute/os	n-p---na-
πορευτέα	poreute/a	πορευτέος	poreute/os	n-d---fn-
πορευτέα	poreute/a	πορευτέος	poreute/os	n-d---fv-
πορευτέα	poreute/a	πορευτέος	poreute/os	n-d---fa-
πορευτέα	poreute/a	πορευτέος	poreute/os	n-s---fn-
πορευτέα	poreute/a	πορευτέος	poreute/os	n-s---fv-
πορεύσαιμ’	poreu/saim'	πορεύω	poreu/w	v1saoa---
πορθῆσαι	porqh=sai	πορθέω	porqe/w	v--ana---
πορθῆτε	porqh=te	πορθέω	porqe/w	v2ppma---
πορθῆτε	porqh=te	πορθέω	porqe/w	v2ppsa---
πορθῆτε	porqh=te	πορθέω	porqe/w	v2ppia---
πορθῆτε	porqh=te	πορθέω	porqe/w	v2piia---
πορθῶσι	porqw=si	πορθέω	porqe/w	v3ppsa---
πορσύνεται	porsu/netai	πορσύνω	porsu/nw	v3spie---
πορσύνεται	porsu/netai	πορσύνω	porsu/nw	v3sasm---
ποτε	pote	ποτέ	pote/	g--------
ποτέ	pote/	ποτέ	pote/	g--------
ποτέ	pote/	ποτός	poto/s	a-s---mv-
ποτόν	poto/n	ποτόν	poto/n	n-s---nn-
ποτόν	poto/n	ποτόν	poto/n	n-s---nv-
ποτόν	poto/n	ποτόν	poto/n	n-s---na-
ποτόν	poto/n	ποτός	poto/s	a-s---ma-
ποτόν	poto/n	ποτός	poto/s	a-s---nn-
ποτόν	poto/n	ποτός	poto/s	a-s---nv-
ποτόν	poto/n	ποτός	poto/s	a-s---na-
ποτόν	poto/n	πρόσειμι1	pro/seimi1	v-sppamv-
ποτόν	poto/n	πρόσειμι1	pro/seimi1	v-sppann-
ποτόν	poto/n	πρόσειμι1	pro/seimi1	v-sppanv-
ποτόν	poto/n	πρόσειμι1	pro/seimi1	v-sppana-
που	pou	πού	pou/	d--------
ποήσω	poh/sw	ποιέω	poie/w	v1sasa---
ποήσω	poh/sw	ποιέω	poie/w	v1sfia---
ποήσω	poh/sw	ποιέω	poie/w	v2saim---
ποίαν	poi/an	πόα	po/a	n-s---fa-
ποίαν	poi/an	ποῖος	poi=os	a-s---fa-
ποίας	poi/as	πόα	po/a	n-p---fa-
ποίας	poi/as	πόα	po/a	n-s---fg-
ποίας	poi/as	ποῖος	poi=os	a-p---fa-
ποίας	poi/as	ποῖος	poi=os	a-s---fg-
ποίου	poi/ou	ποῖος	poi=os	a-s---mg-
ποίου	poi/ou	ποῖος	poi=os	a-s---ng-
ποίου	poi/ou	ποιόω	poio/w	v2spma---
ποίου	poi/ou	ποιόω	poio/w	v3siia---
ποίω	poi/w	ποῖος	poi=os	a-d---mn-
ποίω	poi/w	ποῖος	poi=os	a-d---mv-
ποίω	poi/w	ποῖος	poi=os	a-d---ma-
ποίω	poi/w	ποῖος	poi=os	a-d---nn-
ποίω	poi/w	ποῖος	poi=os	a-d---nv-
ποίω	poi/w	ποῖος	poi=os	a-d---na-
ποίω	poi/w	ποῖος	poi=os	a-s---mg-
ποίω	poi/w	ποῖος	poi=os	a-s---ng-
ποίω	poi/w	ποιέω	poie/w	v1spsa---
ποίω	poi/w	ποιέω	poie/w	v1spia---
ποίω	poi/w	ποιόω	poio/w	v2spma---
ποίω	poi/w	ποιόω	poio/w	v3siia---
πού	pou/	πού	pou/	d--------
πούς	pou/s	πούς	pou/s	n-s---mn-
ποῖ	poi=	ποι	poi	d--------
ποῖ	poi=	ποῖ	poi=	d--------
ποῖον	poi=on	ποῖος	poi=os	a-s---ma-
ποῖον	poi=on	ποῖος	poi=os	a-s---nn-
ποῖον	poi=on	ποῖος	poi=os	a-s---nv-
ποῖον	poi=on	ποῖος	poi=os	a-s---na-
ποῖ’	poi='	πόα	po/a	n-p---fn-
ποῖ’	poi='	πόα	po/a	n-p---fv-
ποῖ’	poi='	ποῖος	poi=os	a-p---nn-
ποῖ’	poi='	ποῖος	poi=os	a-p---nv-
ποῖ’	poi='	ποῖος	poi=os	a-p---na-
ποῖ’	poi='	ποῖος	poi=os	a-s---mv-
ποῖ’	poi='	ποῖος	poi=os	a-p---fn-
ποῖ’	poi='	ποῖος	poi=os	a-p---fv-
ποῦ	pou=	πού	pou/	d--------
ποῦ	pou=	ποῦ	pou=	x--------
πραΰνειν	prau+/nein	πραύνω	prau/nw	v--pna---
προβλῆτες	problh=tes	προβλής	problh/s	n-p---mn-
προβλῆτες	problh=tes	προβλής	problh/s	n-p---mv-
προβλῆτες	problh=tes	προβλής	problh/s	n-p---fn-
προβλῆτες	problh=tes	προβλής	problh/s	n-p---fv-
προβολῆς	probolh=s	προβολεύς	proboleu/s	n-p---mn-
προβολῆς	probolh=s	προβολεύς	proboleu/s	n-p---mn-
προβολῆς	probolh=s	προβολεύς	proboleu/s	n-p---mv-
προβολῆς	probolh=s	προβολή	probolh/	n-s---fg-
προβοᾷ	proboa=|	προβοάω	proboa/w	v2spse---
προβοᾷ	proboa=|	προβοάω	proboa/w	v2spie---
προβοᾷ	proboa=|	προβοάω	proboa/w	v3spsa---
προβοᾷ	proboa=|	προβοάω	proboa/w	v3spia---
προβοᾷ	proboa=|	προβοάω	proboa/w	v2spse---
προβοᾷ	proboa=|	προβοάω	proboa/w	v2spie---
προβοᾷ	proboa=|	προβοάω	proboa/w	v3spsa---
προβοᾷ	proboa=|	προβοάω	proboa/w	v3spia---
προδούς	prodou/s	προδίδωμι	prodi/dwmi	v-sapamn-
προδούς	prodou/s	προδίδωμι	prodi/dwmi	v-sapamv-
προδούς	prodou/s	προδίδωμι	prodi/dwmi	v-sapamn-
προδούς	prodou/s	προδίδωμι	prodi/dwmi	v-sapamv-
προδέδομαι	prode/domai	προδίδωμι	prodi/dwmi	v1srie---
προδότης	prodo/ths	προδότης	prodo/ths	n-s---mn-
προδῷς	prodw=|s	προδίδωμι	prodi/dwmi	v2sasa---
προδῷς	prodw=|s	προδίδωμι	prodi/dwmi	v2sasa---
προθέντες	proqe/ntes	προτίθημι	proti/qhmi	v-papamn-
προθέντες	proqe/ntes	προτίθημι	proti/qhmi	v-papamv-
προλεύσσειν	proleu/ssein	προλεύσσω	proleu/ssw	v--pna---
προλεύσσειν	proleu/ssein	προλεύσσω	proleu/ssw	v--pna---
προλιπών	prolipw/n	προλείπω	prolei/pw	v-sapamn-
προμηθίας	promhqi/as	προμήθεια	promh/qeia	n-p---fa-
προμηθίας	promhqi/as	προμήθεια	promh/qeia	n-s---fg-
προνοίας	pronoi/as	πρόνοια	pro/noia	n-p---fa-
προνοίας	pronoi/as	πρόνοια	pro/noia	n-s---fg-
προνοίας	pronoi/as	πρόνοια	pro/noia	n-p---fa-
προνοίας	pronoi/as	πρόνοια	pro/noia	n-s---fg-
προπέμποντας	prope/mpontas	προπέμπω	prope/mpw	v-pppama-
προπέμψατε	prope/myate	προπέμπω	prope/mpw	v2pama---
προπέμψατε	prope/myate	προπέμπω	prope/mpw	v2paia---
προσβαίη	prosbai/h	προσβαίνω	prosbai/nw	v3saoa---
προσδιαφθερῶ	prosdiafqerw=	προσδιαφθείρω	prosdiafqei/rw	v1sfia---
προσδοκῶ	prosdokw=	προσδοκάω	prosdoka/w	v2spme---
προσδοκῶ	prosdokw=	προσδοκάω	prosdoka/w	v1spsa---
προσδοκῶ	prosdokw=	προσδοκάω	prosdoka/w	v1spia---
προσδοκῶ	prosdokw=	προσδοκάω	prosdoka/w	v1spsa---
προσδοκῶ	prosdokw=	προσδοκάω	prosdoka/w	v1spia---
προσδοκῶ	prosdokw=	προσδοκάω	prosdoka/w	v2spme---
προσδοκῶ	prosdokw=	προσδοκάω	prosdoka/w	v1spsa---
προσδοκῶ	prosdokw=	προσδοκάω	prosdoka/w	v1spia---
προσδοκῶ	prosdokw=	προσδοκάω	prosdoka/w	v1spsa---
προσδοκῶ	prosdokw=	προσδοκάω	prosdoka/w	v1spia---
προσδοκῶ	prosdokw=	προσδοκάω	prosdoka/w	v2siie---
προσδοκῶ	prosdokw=	προσδοκάω	prosdoka/w	v2siie---
προσδοκῶ	prosdokw=	προσδοκέω	prosdoke/w	v1spsa---
προσδοκῶ	prosdokw=	προσδοκέω	prosdoke/w	v1spia---
προσδοκῶ	prosdokw=	προσδοκέω	prosdoke/w	v1spsa---
προσδοκῶ	prosdokw=	προσδοκέω	prosdoke/w	v1spia---
προσεικότα	proseiko/ta	προσέοικα	prose/oika	v-prpann-
προσεικότα	proseiko/ta	προσέοικα	prose/oika	v-prpanv-
προσεικότα	proseiko/ta	προσέοικα	prose/oika	v-prpana-
προσεικότα	proseiko/ta	προσέοικα	prose/oika	v-srpama-
προσεικότα	proseiko/ta	προσίημι	prosi/hmi	v-prpann-
προσεικότα	proseiko/ta	προσίημι	prosi/hmi	v-prpanv-
προσεικότα	proseiko/ta	προσίημι	prosi/hmi	v-prpana-
προσεικότα	proseiko/ta	προσίημι	prosi/hmi	v-srpama-
προσελθών	proselqw/n	προσέρχομαι	prose/rxomai	v-sapamn-
προσενώμα	prosenw/ma	προσνωμάω	prosnwma/w	v3siia---
προσθείς	prosqei/s	προστίθημι	prosti/qhmi	v-sapamn-
προσθείς	prosqei/s	προστίθημι	prosti/qhmi	v-sapamv-
προσθιγεῖν	prosqigei=n	προσθιγγάνω	prosqigga/nw	v--ana---
προσθίγῃς	prosqi/gh|s	προσθιγγάνω	prosqigga/nw	v2sasa---
προσιδεῖν	prosidei=n	προσεῖδον	prosei=don	v--ana---
προσκύσαι	prosku/sai	προσκυνέω	proskune/w	v--ana---
προσκύσαι	prosku/sai	προσκυνέω	proskune/w	v3saoa---
προσκύσαντε	prosku/sante	προσκυνέω	proskune/w	v-dapamn-
προσκύσαντε	prosku/sante	προσκυνέω	proskune/w	v-dapamv-
προσκύσαντε	prosku/sante	προσκυνέω	proskune/w	v-dapama-
προσκύσαντε	prosku/sante	προσκυνέω	proskune/w	v-dapann-
προσκύσαντε	prosku/sante	προσκυνέω	proskune/w	v-dapanv-
προσκύσαντε	prosku/sante	προσκυνέω	proskune/w	v-dapana-
προσκύσας	prosku/sas	προσκυνέω	proskune/w	v-sapamn-
προσκύσας	prosku/sas	προσκυνέω	proskune/w	v-sapamv-
προσμῖξαι	prosmi=cai	προσμείγνυμι	prosmei/gnumi	v--ana---
προσπεσών	prospesw/n	προσπίτνω	prospi/tnw	v-sapamn-
προσπίτνω	prospi/tnw	προσπίτνω	prospi/tnw	v1spsa---
προσπίτνω	prospi/tnw	προσπίτνω	prospi/tnw	v1spia---
προσταχθέν	prostaxqe/n	προσστάζω	prossta/zw	v-sappnn-
προσταχθέν	prostaxqe/n	προσστάζω	prossta/zw	v-sappnv-
προσταχθέν	prostaxqe/n	προσστάζω	prossta/zw	v-sappna-
προσταχθέν	prostaxqe/n	προστάσσω	prosta/ssw	v-sappnn-
προσταχθέν	prostaxqe/n	προστάσσω	prosta/ssw	v-sappnv-
προσταχθέν	prostaxqe/n	προστάσσω	prosta/ssw	v-sappna-
προσταχθέν	prostaxqe/n	προστάσσω	prosta/ssw	v-sappnn-
προσταχθέν	prostaxqe/n	προστάσσω	prosta/ssw	v-sappnv-
προσταχθέν	prostaxqe/n	προστάσσω	prosta/ssw	v-sappna-
προστρόπαιον	prostro/paion	προστρόπαιος	prostro/paios	n-s---ma-
προστρόπαιον	prostro/paion	προστρόπαιος	prostro/paios	n-s---fa-
προστρόπαιον	prostro/paion	προστρόπαιος	prostro/paios	n-s---nn-
προστρόπαιον	prostro/paion	προστρόπαιος	prostro/paios	n-s---nv-
προστρόπαιον	prostro/paion	προστρόπαιος	prostro/paios	n-s---na-
προστυχόντι	prostuxo/nti	προστυγχάνω	prostugxa/nw	v-sapamd-
προστυχόντι	prostuxo/nti	προστυγχάνω	prostugxa/nw	v-sapand-
προσφθεγκτός	prosfqegkto/s	προσφθεγκτός	prosfqegkto/s	n-s---mn-
προσφθεγκτός	prosfqegkto/s	προσφθεγκτός	prosfqegkto/s	n-s---fn-
προσφιλεστάτης	prosfilesta/ths	προσφιλής	prosfilh/s	a-s---fgs
προσφιλές	prosfile/s	προσφιλής	prosfilh/s	n-s---mv-
προσφιλές	prosfile/s	προσφιλής	prosfilh/s	n-s---fv-
προσφιλές	prosfile/s	προσφιλής	prosfilh/s	n-s---nn-
προσφιλές	prosfile/s	προσφιλής	prosfilh/s	n-s---nv-
προσφιλές	prosfile/s	προσφιλής	prosfilh/s	n-s---na-
προσφιλής	prosfilh/s	προσφιλής	prosfilh/s	n-s---mn-
προσφιλής	prosfilh/s	προσφιλής	prosfilh/s	n-s---fn-
προσφιλῆ	prosfilh=	προσφιλής	prosfilh/s	n-p---nn-
