Αἰσχύνης	*ai)sxu/nhs	αἰσχύνη	ai)sxu/nh	n-s---fg-
Καδμείων	*kadmei/wn	Καδμεῖος	*kadmei=os	a-p---ng-
Καδμείων	*kadmei/wn	Καδμεῖος	*kadmei=os	a-p---fg-
Καδμείων	*kadmei/wn	Καδμεῖος	*kadmei=os	a-p---mg-
Καδμείων	*kadmei/wn	Καδμεῖος	*kadmei=os	a-p---ng-
Καδμείων	*kadmei/wn	Καδμεῖος	*kadmei=os	n-s---mn-
Καδμείων	*kadmei/wn	Καδμεῖος	*kadmei=os	n-s---mv-
Καδμείων	*kadmei/wn	Καδμεῖος	*kadmei=os	n-s---fn-
Καδμείων	*kadmei/wn	Καδμεῖος	*kadmei=os	n-s---fv-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-p---nn-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-p---nv-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-p---na-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-d---mn-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-d---mv-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-d---ma-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-d---fn-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-d---fv-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-d---fa-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-d---nn-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-d---nv-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-d---na-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-s---ma-
Καδμογενῆ	*kadmogenh=	Καδμογενής	*kadmogenh/s	n-s---fa-
Καπανεύς	*kapaneu/s	Καπανεύς	*kapaneu/s	n-s---mn-
Κρέοντος	*kre/ontos	Κρέων	*kre/wn	n-s---mg-
Κρέοντος	*kre/ontos	κρέων	kre/wn	n-s---mg-
Κρέοντος	*kre/ontos	κρείων	krei/wn	n-s---mg-
Κωκυτοῦ	*kwkutou=	Κωκυτός	*kwkuto/s	n-s---mg-
Κωκυτοῦ	*kwkutou=	Κωκυτός	*kwkuto/s	n-s---mg-
Κάδμου	*ka/dmou	Κάδμος	*ka/dmos	n-s---mg-
Κύπρις	*ku/pris	Κύπρις	*ku/pris	n-s---fn-
Κῆρες	*kh=res	Κήρ	*kh/r	n-p---fn-
Κῆρες	*kh=res	Κήρ	*kh/r	n-p---fv-
Κῆρες	*kh=res	κήρ	kh/r	n-p---fn-
Κῆρες	*kh=res	κήρ	kh/r	n-p---fv-
Λαΐου	*lai+/ou	Λάϊος	*la/i+os	n-s---mg-
Λαΐου	*lai+/ou	Λαΐης	*lai/+hs	n-s---mg-
Λαΐου	*lai+/ou	Λαΐος	*lai/+os	n-s---mg-
Λαΐου	*lai+/ou	λήιον	lh/ion	n-s---ng-
Λοξίου	*loci/ou	Λοξίας	*loci/as	n-s---mg-
Λάιος	*la/ios	Λάϊος	*la/i+os	n-s---mn-
Λάιος	*la/ios	Λαΐος	*lai/+os	n-s---mn-
Λύκειος	*lu/keios	Λύκειος	*lu/keios	n-s---mn-
Λύκειος	*lu/keios	Λύκειος	*lu/keios	n-s---fn-
Λύκειος	*lu/keios	λύκειος	lu/keios	n-s---mn-
Λύκειος	*lu/keios	λύκειος	lu/keios	n-s---fn-
Λύκει’	*lu/kei'	Λύκειον	*lu/keion	n-p---nn-
Λύκει’	*lu/kei'	Λύκειον	*lu/keion	n-p---nv-
Λύκει’	*lu/kei'	Λύκειον	*lu/keion	n-p---na-
Λύκει’	*lu/kei'	Λύκειος	*lu/keios	n-p---nn-
Λύκει’	*lu/kei'	Λύκειος	*lu/keios	n-p---nv-
Λύκει’	*lu/kei'	Λύκειος	*lu/keios	n-p---na-
Λύκει’	*lu/kei'	Λύκειος	*lu/keios	n-s---mv-
Λύκει’	*lu/kei'	Λύκειος	*lu/keios	n-s---fv-
Λύκει’	*lu/kei'	Λυκείη	*lukei/h	n-p---fn-
Λύκει’	*lu/kei'	Λυκείη	*lukei/h	n-p---fv-
Λύκει’	*lu/kei'	λύκειον	lu/keion	n-p---nn-
Λύκει’	*lu/kei'	λύκειον	lu/keion	n-p---nv-
Λύκει’	*lu/kei'	λύκειον	lu/keion	n-p---na-
Λύκει’	*lu/kei'	λύκειος	lu/keios	n-p---nn-
Λύκει’	*lu/kei'	λύκειος	lu/keios	n-p---nv-
Λύκει’	*lu/kei'	λύκειος	lu/keios	n-p---na-
Λύκει’	*lu/kei'	λύκειος	lu/keios	n-s---mv-
Λύκει’	*lu/kei'	λύκειος	lu/keios	n-s---fv-
Λύκει’	*lu/kei'	λυκεία	lukei/a	n-p---fn-
Λύκει’	*lu/kei'	λυκεία	lukei/a	n-p---fv-
Μεγαρεύς	*megareu/s	Μεγαρεύς	*megareu/s	n-s---mn-
Μελάνιππος	*mela/nippos	Μελάνιππος	*mela/nippos	n-s---mn-
Μελάνιππος	*mela/nippos	μελάνιππος	mela/nippos	n-s---mn-
Μελάνιππος	*mela/nippos	μελάνιππος	mela/nippos	n-s---fn-
Μοῖρα	*moi=ra	Μοῖρα	*moi=ra	n-s---fn-
Μοῖρα	*moi=ra	Μοῖρα	*moi=ra	n-s---fv-
Μοῖρα	*moi=ra	μοῖρα	moi=ra	n-s---fn-
Μοῖρα	*moi=ra	μοῖρα	moi=ra	n-s---fv-
Νηίστῃσι	*nhi/sth|si	νήιστος	nh/istos	a-p---fd-
Οἰδιπόδα	*oi)dipo/da	Οἰδίπους	*oi)di/pous	n-s---mg-
Οἰδιπόδα	*oi)dipo/da	Οἰδίπους	*oi)di/pous	n-d---mn-
Οἰδιπόδα	*oi)dipo/da	Οἰδίπους	*oi)di/pous	n-d---mv-
Οἰδιπόδα	*oi)dipo/da	Οἰδίπους	*oi)di/pous	n-d---ma-
Οἰδιπόδα	*oi)dipo/da	Οἰδίπους	*oi)di/pous	n-s---mv-
Οἰδιπόδα	*oi)dipo/da	Οἰδίπους	*oi)di/pous	n-s---mn-
Οἰδιπόδαν	*oi)dipo/dan	Οἰδίπους	*oi)di/pous	n-s---ma-
Οἰδιπόδαν	*oi)dipo/dan	Οἰδίπους	*oi)di/pous	n-s---ma-
Οἰδίπου	*oi)di/pou	Οἰδίπους	*oi)di/pous	n-s---nn-
Οἰδίπου	*oi)di/pou	Οἰδίπους	*oi)di/pous	n-s---nv-
Οἰδίπου	*oi)di/pou	Οἰδίπους	*oi)di/pous	n-s---na-
Οἰδίπουν	*oi)di/poun	Οἰδίπους	*oi)di/pous	n-s---ma-
Οἰδίπουν	*oi)di/poun	Οἰδίπους	*oi)di/pous	n-s---fa-
Οἰκλέους	*oi)kle/ous	Οἰκλέης	*oi)kle/hs	n-s---mg-
Οἴνοπος	*oi)/nopos	Οἴνοψ	*oi)/noy	n-s---mg-
Οἴνοπος	*oi)/nopos	οἶνοψ	oi)=noy	n-s---mg-
Παλλάς	*palla/s	Παλλάς	*palla/s	n-s---fn-
Παρθενοπαῖος	*parqenopai=os	Παρθενοπαῖος	*parqenopai=os	n-s---mn-
Πολυνείκει	*polunei/kei	Πολυνείκης	*polunei/khs	n-d---mn-
Πολυνείκει	*polunei/kei	Πολυνείκης	*polunei/khs	n-d---mv-
Πολυνείκει	*polunei/kei	Πολυνείκης	*polunei/khs	n-d---ma-
Πολυνείκει	*polunei/kei	Πολυνείκης	*polunei/khs	n-s---md-
Πολυνείκει	*polunei/kei	Πολυνείκης	*polunei/khs	n-s---md-
Πολυνείκη	*polunei/kh	Πολυνείκης	*polunei/khs	n-d---mn-
Πολυνείκη	*polunei/kh	Πολυνείκης	*polunei/khs	n-d---mv-
Πολυνείκη	*polunei/kh	Πολυνείκης	*polunei/khs	n-d---ma-
Πολυνείκη	*polunei/kh	Πολυνείκης	*polunei/khs	n-s---ma-
Πολυνείκους	*polunei/kous	Πολυνείκης	*polunei/khs	n-s---mg-
Πολυφόντου	*polufo/ntou	Πολυφόντης	*polufo/nths	n-s---mg-
Ποσειδάων	*poseida/wn	Ποσειδῶν	*poseidw=n	n-s---mn-
Ποσειδάων	*poseida/wn	Ποσειδῶν	*poseidw=n	n-s---mv-
Προιτίσιν	*proiti/sin	Προιτίδες	*proiti/des	n-p---fd-
Προιτίσιν	*proiti/sin	προιτίδες	proiti/des	n-p---fd-
Προίτου	*proi/tou	Προῖτος	*proi=tos	n-s---mg-
Πυθικοῖς	*puqikoi=s	Πυθικός	*puqiko/s	a-p---md-
Πυθικοῖς	*puqikoi=s	Πυθικός	*puqiko/s	a-p---nd-
Σκυθᾶν	*skuqa=n	Σκύθης	*sku/qhs	n-p---mg-
Σκύθῃ	*sku/qh|	Σκύθης	*sku/qhs	n-s---md-
Σφίγγ’	*sfi/gg'	Σφίγξ	*sfi/gc	n-s---fa-
Σφίγγ’	*sfi/gg'	Σφίγξ	*sfi/gc	n-s---fa-
Σφίγγ’	*sfi/gg'	Σφίγξ	*sfi/gc	n-d---fn-
Σφίγγ’	*sfi/gg'	Σφίγξ	*sfi/gc	n-d---fv-
Σφίγγ’	*sfi/gg'	Σφίγξ	*sfi/gc	n-d---fa-
Σφίγγ’	*sfi/gg'	Σφίγξ	*sfi/gc	n-d---fn-
Σφίγγ’	*sfi/gg'	Σφίγξ	*sfi/gc	n-d---fv-
Σφίγγ’	*sfi/gg'	Σφίγξ	*sfi/gc	n-d---fa-
Σφίγγ’	*sfi/gg'	σφίγγω	sfi/ggw	v2spma---
Σφίγγ’	*sfi/gg'	σφίγγω	sfi/ggw	v3siia---
Τηθύος	*thqu/os	Τηθύς	*thqu/s	n-s---fg-
Τυδεύς	*tudeu/s	Τυδεύς	*tudeu/s	n-s---mn-
Τυδεῖ	*tudei=	Τυδεύς	*tudeu/s	n-s---md-
Τυδέως	*tude/ws	Τυδεύς	*tudeu/s	n-s---mg-
Τυδέως	*tude/ws	Τυδεύς	*tudeu/s	n-s---mg-
Τυδέως	*tude/ws	Τυδεύς	*tudeu/s	n-s---mn-
Τυφῶ	*tufw=	Τυφωεύς	*tufweu/s	n-s---md-
Τυφῶ	*tufw=	τύφω	tu/fw	v1sasp---
Τυφῶ	*tufw=	τύπτω	tu/ptw	v1sasp---
Τυφῶ	*tufw=	τυφόω	tufo/w	v1spsa---
Τυφῶ	*tufw=	τυφόω	tufo/w	v1spia---
Τυφῶ	*tufw=	τυφώς	tufw/s	n-s---md-
Τυφῶν’	*tufw=n'	Τυφῶν	*tufw=n	n-s---ma-
Τυφῶν’	*tufw=n'	Τυφῶν	*tufw=n	n-s---md-
Φοίβῳ	*foi/bw|	Φοῖβος	*foi=bos	n-s---md-
Φοίβῳ	*foi/bw|	φοῖβος	foi=bos	a-s---md-
Φοίβῳ	*foi/bw|	φοῖβος	foi=bos	a-s---nd-
Φόβον	*fo/bon	Φόβος	*fo/bos	n-s---ma-
Φόβον	*fo/bon	φόβος	fo/bos	n-s---ma-
Φόβος	*fo/bos	Φόβος	*fo/bos	n-s---mn-
Φόβος	*fo/bos	φόβος	fo/bos	n-s---mn-
Χάλυβος	*xa/lubos	Χάλυβος	*xa/lubos	n-s---mn-
Χάλυβος	*xa/lubos	Χάλυβος	*xa/lubos	n-s---fn-
Χάλυβος	*xa/lubos	Χάλυψ	*xa/luy	n-s---mg-
Χάλυβος	*xa/lubos	χάλυβος	xa/lubos	n-s---mn-
αἰ	ai)	εἰ	ei)	c--------
αἰαῖ	ai)ai=	αἰαῖ	ai)ai=	x--------
αἰθερία	ai)qeri/a	αἰθέριος	ai)qe/rios	a-d---fn-
αἰθερία	ai)qeri/a	αἰθέριος	ai)qe/rios	a-d---fv-
αἰθερία	ai)qeri/a	αἰθέριος	ai)qe/rios	a-d---fa-
αἰθερία	ai)qeri/a	αἰθέριος	ai)qe/rios	a-s---fn-
αἰθερία	ai)qeri/a	αἰθέριος	ai)qe/rios	a-s---fv-
αἰθήρ	ai)qh/r	αἰθήρ	ai)qh/r	n-s---mn-
αἰνομόροις	ai)nomo/rois	αἰνόμορος	ai)no/moros	n-p---md-
αἰνομόροις	ai)nomo/rois	αἰνόμορος	ai)no/moros	n-p---fd-
αἰνομόροις	ai)nomo/rois	αἰνόμορος	ai)no/moros	n-p---nd-
αἰσχρῶν	ai)sxrw=n	αἰσχρός	ai)sxro/s	a-p---fg-
αἰσχρῶν	ai)sxrw=n	αἰσχρός	ai)sxro/s	a-p---mg-
αἰσχρῶν	ai)sxrw=n	αἰσχρός	ai)sxro/s	a-p---ng-
αἰσχρῶν	ai)sxrw=n	αἰσχρός	ai)sxro/s	n-p---mg-
αἰσχρῶν	ai)sxrw=n	αἰσχρός	ai)sxro/s	n-p---fg-
αἰσχρῶν	ai)sxrw=n	αἰσχρός	ai)sxro/s	n-p---ng-
αἰσχύνης	ai)sxu/nhs	αἰσχύνη	ai)sxu/nh	n-s---fg-
αἰσχύνομαι	ai)sxu/nomai	αἰσχύνω	ai)sxu/nw	v1sasm---
αἰσχύνομαι	ai)sxu/nomai	αἰσχύνω	ai)sxu/nw	v1spie---
αἰτουμένῳ	ai)toume/nw|	αἰτέω	ai)te/w	v-sppemd-
αἰτουμένῳ	ai)toume/nw|	αἰτέω	ai)te/w	v-sppend-
αἰτία	ai)ti/a	αἴτιος	ai)/tios	a-d---fn-
αἰτία	ai)ti/a	αἴτιος	ai)/tios	a-d---fv-
αἰτία	ai)ti/a	αἴτιος	ai)/tios	a-d---fa-
αἰτία	ai)ti/a	αἴτιος	ai)/tios	a-s---fn-
αἰτία	ai)ti/a	αἴτιος	ai)/tios	a-s---fv-
αἰτία	ai)ti/a	αἰτία	ai)ti/a	n-d---fn-
αἰτία	ai)ti/a	αἰτία	ai)ti/a	n-d---fv-
αἰτία	ai)ti/a	αἰτία	ai)ti/a	n-d---fa-
αἰτία	ai)ti/a	αἰτία	ai)ti/a	n-s---fn-
αἰτία	ai)ti/a	αἰτία	ai)ti/a	n-s---fv-
αἰχμάλωτον	ai)xma/lwton	αἰχμάλωτος	ai)xma/lwtos	n-s---ma-
αἰχμάλωτον	ai)xma/lwton	αἰχμάλωτος	ai)xma/lwtos	n-s---fa-
αἰχμάλωτον	ai)xma/lwton	αἰχμάλωτος	ai)xma/lwtos	n-s---nn-
αἰχμάλωτον	ai)xma/lwton	αἰχμάλωτος	ai)xma/lwtos	n-s---nv-
αἰχμάλωτον	ai)xma/lwton	αἰχμάλωτος	ai)xma/lwtos	n-s---na-
αἰχμήν	ai)xmh/n	αἰχμή	ai)xmh/	n-s---fa-
αἰχμᾷ	ai)xma=|	αἰχμάζω	ai)xma/zw	v2sfim---
αἰχμᾷ	ai)xma=|	αἰχμάζω	ai)xma/zw	v3sfia---
αἰχμᾷ	ai)xma=|	αἰχμή	ai)xmh/	n-s---fd-
αἰχμῆς	ai)xmh=s	αἰχμάζω	ai)xma/zw	v2sfia---
αἰχμῆς	ai)xmh=s	αἰχμή	ai)xmh/	n-s---fg-
αἰέν	ai)e/n	ἀεί	a)ei/	d--------
αἰόλην	ai)o/lhn	αἰόλος	ai)o/los	a-s---fa-
αἰῶνα	ai)w=na	αἰών	ai)w/n	n-s---ma-
αἱματοσταγεῖς	ai(matostagei=s	αἱματοσταγής	ai(matostagh/s	n-p---ma-
αἱματοσταγεῖς	ai(matostagei=s	αἱματοσταγής	ai(matostagh/s	n-p---fa-
αἱματοσταγεῖς	ai(matostagei=s	αἱματοσταγής	ai(matostagh/s	n-p---mn-
αἱματοσταγεῖς	ai(matostagei=s	αἱματοσταγής	ai(matostagh/s	n-p---mv-
αἱματοσταγεῖς	ai(matostagei=s	αἱματοσταγής	ai(matostagh/s	n-p---fn-
αἱματοσταγεῖς	ai(matostagei=s	αἱματοσταγής	ai(matostagh/s	n-p---fv-
αἱματόεσσαι	ai(mato/essai	αἱματόεις	ai(mato/eis	n-p---fn-
αἱματόεσσαι	ai(mato/essai	αἱματόεις	ai(mato/eis	n-p---fv-
αἱματόεσσαν	ai(mato/essan	αἱματόεις	ai(mato/eis	n-s---fa-
αἱμάσσοντας	ai(ma/ssontas	αἱμάσσω	ai(ma/ssw	v-pppama-
αἱροῦμαι	ai(rou=mai	αἱρέω	ai(re/w	v1spie---
αἴθων	ai)/qwn	αἴθω	ai)/qw	v-sppamn-
αἴθων	ai)/qwn	αἴθων	ai)/qwn	n-s---mn-
αἴθων	ai)/qwn	αἴθων	ai)/qwn	n-s---fn-
αἴθων	ai)/qwn	αἴθων	ai)/qwn	n-s----n-
αἴθων	ai)/qwn	αἴθων	ai)/qwn	n-s----v-
αἴθων	ai)/qwn	αἶθος	ai)=qos	n-p---mg-
αἴθων	ai)/qwn	αἰθος	ai)qos	n-p---mg-
αἵδε	ai(/de	ὅδε	o(/de	n-p---fn-
αἵδ’	ai(/d'	ὅδε	o(/de	n-p---fn-
αἵματος	ai(/matos	αἷμα	ai(=ma	n-s---ng-
αἵτ’	ai(/t'	ὅστε	o(/ste	p-p---fn-
αἶαν	ai)=an	αἶα	ai)=a	n-s---fa-
αἷμα	ai(=ma	αἷμα	ai(=ma	n-s---nn-
αἷμα	ai(=ma	αἷμα	ai(=ma	n-s---nv-
αἷμα	ai(=ma	αἷμα	ai(=ma	n-s---na-
αἷμά	ai(=ma/	αἷμα	ai(=ma	n-s---nn-
αἷμά	ai(=ma/	αἷμα	ai(=ma	n-s---nv-
αἷμά	ai(=ma/	αἷμα	ai(=ma	n-s---na-
αἷς	ai(=s	ὅς	o(/s	p-p---fd-
αὐδωμένῳ	au)dwme/nw|	αὐδάομαι	au)da/omai	v-sppemd-
αὐδωμένῳ	au)dwme/nw|	αὐδάομαι	au)da/omai	v-sppend-
αὐδωμένῳ	au)dwme/nw|	αὐδάω	au)da/w	v-sppemd-
αὐδωμένῳ	au)dwme/nw|	αὐδάω	au)da/w	v-sppend-
αὐδωμένῳ	au)dwme/nw|	αὐδάζομαι	au)da/zomai	v-sfpmmd-
αὐδωμένῳ	au)dwme/nw|	αὐδάζομαι	au)da/zomai	v-sfpmnd-
αὐδᾷ	au)da=|	αὐδάομαι	au)da/omai	v2spse---
αὐδᾷ	au)da=|	αὐδάομαι	au)da/omai	v2spie---
αὐδᾷ	au)da=|	αὐδάω	au)da/w	v2spse---
αὐδᾷ	au)da=|	αὐδάω	au)da/w	v2spie---
αὐδᾷ	au)da=|	αὐδάω	au)da/w	v3spsa---
αὐδᾷ	au)da=|	αὐδάω	au)da/w	v3spia---
αὐδᾷ	au)da=|	αὐδάζομαι	au)da/zomai	v2sfim---
αὐδᾷ	au)da=|	αὐδάζομαι	au)da/zomai	v3sfia---
αὐδᾷ	au)da=|	αὐδή	au)dh/	n-s---fd-
αὐδῶ	au)dw=	αὐδάομαι	au)da/omai	v2siie---
αὐδῶ	au)dw=	αὐδάομαι	au)da/omai	v2spme---
αὐδῶ	au)dw=	αὐδάομαι	au)da/omai	v2siie---
αὐδῶ	au)dw=	αὐδάω	au)da/w	v2siie---
αὐδῶ	au)dw=	αὐδάω	au)da/w	v2spme---
αὐδῶ	au)dw=	αὐδάω	au)da/w	v1spsa---
αὐδῶ	au)dw=	αὐδάω	au)da/w	v1spia---
αὐδῶ	au)dw=	αὐδάω	au)da/w	v1spsa---
αὐδῶ	au)dw=	αὐδάω	au)da/w	v1spia---
αὐδῶ	au)dw=	αὐδάω	au)da/w	v2siie---
αὐδῶ	au)dw=	αὐδάζομαι	au)da/zomai	v1sfia---
αὐτοδάικτοι	au)toda/iktoi	αὐτοδάικτος	au)toda/iktos	n-p---mn-
αὐτοδάικτοι	au)toda/iktoi	αὐτοδάικτος	au)toda/iktos	n-p---mv-
αὐτοδάικτοι	au)toda/iktoi	αὐτοδάικτος	au)toda/iktos	n-p---fn-
αὐτοδάικτοι	au)toda/iktoi	αὐτοδάικτος	au)toda/iktos	n-p---fv-
αὐτοκτόνος	au)tokto/nos	αὐτοκτόνος	au)tokto/nos	n-s---mn-
αὐτοκτόνος	au)tokto/nos	αὐτοκτόνος	au)tokto/nos	n-s---fn-
αὐτοκτόνων	au)tokto/nwn	αὐτοκτόνος	au)tokto/nos	n-p---mg-
αὐτοκτόνων	au)tokto/nwn	αὐτοκτόνος	au)tokto/nos	n-p---fg-
αὐτοκτόνων	au)tokto/nwn	αὐτοκτόνος	au)tokto/nos	n-p---ng-
αὐτοκτόνως	au)tokto/nws	αὐτοκτόνος	au)tokto/nos	x--------
αὐτοκτόνως	au)tokto/nws	αὐτοκτόνος	au)tokto/nos	n-p---ma-
αὐτοκτόνως	au)tokto/nws	αὐτοκτόνος	au)tokto/nos	n-p---fa-
αὐτοπήμων	au)toph/mwn	αὐτοπήμων	au)toph/mwn	n-s---mn-
αὐτοπήμων	au)toph/mwn	αὐτοπήμων	au)toph/mwn	n-s---fn-
αὐτοφόνα	au)tofo/na	αὐτοφόνος	au)tofo/nos	n-p---nn-
αὐτοφόνα	au)tofo/na	αὐτοφόνος	au)tofo/nos	n-p---nv-
αὐτοφόνα	au)tofo/na	αὐτοφόνος	au)tofo/nos	n-p---na-
αὐτοί	au)toi/	αὐτός	au)to/s	n-p---mn-
αὐτοί	au)toi/	αὐτός	au)to/s	n-p---mv-
αὐτοῖς	au)toi=s	αὐτός	au)to/s	n-p---nd-
αὐτοῖς	au)toi=s	αὐτός	au)to/s	n-p---md-
αὐτοῦ	au)tou=	αὐτός	au)to/s	n-s---ng-
αὐτοῦ	au)tou=	αὐτός	au)to/s	n-s---mg-
αὐτοῦ	au)tou=	αὐτοῦ	au)tou=	d--------
αὐτάδελφον	au)ta/delfon	αὐτάδελφος	au)ta/delfos	n-s---ma-
αὐτάδελφον	au)ta/delfon	αὐτάδελφος	au)ta/delfos	n-s---fa-
