frequency	form
1	εἰδήσεις
1	καλύπτρην
1	καλλισφύρου
1	ἀρίστη
1	ἄμμορος
1	κοῦραι
1	Ῥείην
1	ἀσπασίως
1	ἀνέρος
1	σέλαος
1	ἀμβροσίης
1	ποίησα
1	ἐπιβήσεσθαι
1	μῆτιν
1	τινες
1	Ὠκεανοῦ
1	πύθωμαι
1	λειμῶν’
1	ἔλυντο
1	μήδεται
1	ὀξύ
1	φίλου
1	ἄνωγεν
1	δέξονται
1	πείθετο
1	ἐθέλοιτο
1	ἴδεν
1	ἀγορεύω
1	Ἐρέβευσφι
1	ἀδμής
1	φαεινά
1	θεάν
1	ἕκαστος
1	ὁππότε
1	ηὔδα
1	θυγατρῶν
1	τοιγάρ
1	τρίτατον
1	πυθέσθαι
1	ἐτέτυκτο
1	ἑλοῦσα
1	στεῖχε
1	ἀεξομένοιο
1	γυναῖκας
1	ἤρατο
1	εὐπήκτων
1	εἶδόν
1	ἀγλαόν
1	ἐναίσιμα
1	πάντεσσι
1	ἐλπίς
1	ἀλύξαι
1	θύγατρα
1	φρονέουσα
1	βιαζομένης
1	ἧσται
1	κάδ
1	ἤκουσ’
1	ἥδιστ’
1	περάσαντες
1	ὀλοφυρομένη
1	θεούς
1	ἐκθρέψαιο
1	Ἠλέκτρη
1	ἄιεν
1	ἀγλαόδωρος
1	παῖδες
1	ὄφρ’
1	ἄθυρμα
1	ἔτεκον
1	Κρήτηθεν
1	μελιηδέα
1	ξείνη
1	ἄμυδις
1	ἦγεν
1	ναιετάοις
1	στάν
1	τί
1	ἄνθεα
1	μίσγεται
1	ἔσσυτο
1	δῆμος
1	ἐπέτελλ’
1	ὄχεσφιν
1	ἰχθυόεντα
1	σέλας
1	αἰδοῖαι
1	πᾶσαι
1	θαλάμων
1	οὐρανός
1	Δολίχου
1	θύρας
1	θάνατον
1	εὐστρώτων
1	δαίμονας
1	ἀναστήσουσα
1	ἡμεῖς
1	πατέρος
1	Ἠέλιον
1	τέτμε
1	φεύγου
1	χροός
1	κάλυκας
1	ἀκτίνεσσι
1	ἱμερτόν
1	οἷα
1	μεγάροισιν
1	δάσκιον
1	προγνώμεναι
1	Τύχη
1	Δωσώ
1	λιμοῦ
1	ὑγρήν
1	Μηλόβοσίς
1	εἷλεν
1	ἐόντα
1	αἰνήν
1	ἀφήλικος
1	ὀφρύσιν
1	τέων
1	Εὐμόλπου
1	λέγω
1	ἄεξε
1	πολυπότνια
1	ἀμαλδύνουσα
1	ἐλελίζετο
1	μέγ’
1	χαμαιγενέων
1	τηλυγέτοιο
1	γεράων
1	βασιλῆος
1	ἄριστον
1	παραί
1	ἕ
1	ἐξαύδα
1	μέρος
1	ὤπασα
1	γούνατ’
1	ἀσταχύεσσιν
1	δασμός
1	εἰαρινοῖσι
1	μαιομένη
1	ἔδων
1	μεταναιετάειν
1	πόδεσσιν
1	γηθοσύνας
1	καθύπερθε
1	ἐρυσμόν
1	ᾧ
1	δεινήν
1	ποιήεντα
1	ἷξε
1	εὔαδεν
1	τότ’
1	ἔλλαβεν
1	πλήξατο
1	ἐγρεμάχη
1	οἴχεται
1	φίλ’
1	ἄγεν
1	θαλερήν
1	δρεπόμην
1	πόλιν
1	πολυλλίστῳ
1	ἔχοντες
1	διίξομαι
1	τιμή
1	καταφθινύθουσα
1	ἀεικές
1	ὤπασαν
1	μακρά
1	θάλλῃ
1	ἦρος
1	μερόπων
1	εἰποῦσα
1	τιθῆναι
1	θύγατερ
1	ὀχέων
1	τάων
1	ἀμβροσίῃ
1	πέμψε
1	ἆλτο
1	ἥν
1	ἀπείρονι
1	τίθησιν
1	ἴστω
1	ἐχούσῃ
1	ὁμόσπορος
1	τεῦχον
1	οἷσιν
1	προσηνάγκασσε
1	ἐλαίης
1	Κλεισιδίκη
1	σκιῇ
1	δῶκεν
1	πεῖσαι
1	κοτέσασα
1	ἑήν
1	παλαιγενέων
1	ἔσσομ’
1	διέδραμεν
1	Δημοφόων
1	αἰνυμένην
1	φιλοστεφάνου
1	ἄλφι
1	ὄμμασιν
1	πόσσ’
1	πληξίππῳ
1	Ὑπερίονος
1	μακρόν
1	ἀντίον
1	μείδησεν
1	ἀνελέσθαι
1	νόημα
1	ἐρυθρόν
1	πᾶσαν
1	ἀντίτομον
1	ὀψίγονος
1	τέγεος
1	προσέειπε
1	περιπλομένων
1	ἐννεσίῃσι
1	πουλυβότειραν
1	ἐῴκει
1	κέλευθα
1	ὁδοῖο
1	κούρῃ
1	μέτ’
1	πῶς
1	ἀρούραις
1	ἥμενον
1	Ὑπεριονίδης
1	φορβῇ
1	ἱκόμην
1	ὑπερφιάλους
1	ὕπερθε
1	ὄπισθε
1	χάρμα
1	πέρ
1	εἷλκον
1	εὐήρυτον
1	λάθρα
1	κρύπτει
1	φθῖσαι
1	ἐναλίγκιος
1	ὄρος
1	οἷαί
1	Ἠέλιός
1	ἐτύχθη
1	ὀπάων
1	ἀάσθη
1	πλήσασ’
1	γαῖά
1	ὠρέξατο
1	ἐρεείνετο
1	πλῆσεν
1	αὖθι
1	ἄνθεά
1	παρέσσεται
1	δεξαμένη
1	αἴ
1	χρυσόπτερον
1	λήξειεν
1	θυμήρε’
1	πρόφρονες
1	χρυσαόρου
1	φέγγος
1	μητέρ’
1	ἄνδρες
1	τιμάοχος
1	ἐθέλουσα
1	χάνε
1	Διί
1	μνήσατο
1	ὄπωπεν
1	θυσιῶν
1	ἀλλήλας
1	ἄκουσαν
1	καταπνείουσα
1	κίκλησκον
1	ἀγήρων
1	εἰδώς
1	σόν
1	ἔφυσ’
1	μίξασαν
1	ἐδέχοντο
1	σφίσιν
1	λεῦσσε
1	τόκοιο
1	τοῦτο
1	κυκεῶ
1	γένος
1	ἐξεπεφύκει
1	ἔμμεναι
1	Κρονίδεω
1	θνητοῖσιν
1	τρέφε
1	πάρος
1	μοί
1	υἱόν
1	ἴαυσεν
1	καρήνων
1	αὐγάς
1	Ἀντρῶνά
1	ὁμοίων
1	προσπτύσσετο
1	πότνιαν
1	ὑλοτόμοιο
1	ἀχνυμένην
1	προθαλής
1	ἦγ’
1	ἔδραμον
1	ὁμόφρονα
1	ποίησ’
1	Στυγός
1	ἀμφοτέρων
1	κῶας
1	τοκήων
1	δεδέσθαι
1	ἀπεπαύετο
1	Νύσιον
1	σταθμόν
1	προπάροιθεν
1	χωσαμένη
1	ἀγλαόδωρε
1	οἴνου
1	μίμνεν
1	ᾤχετ’
1	εὐώδεσιν
1	ἀφράδμονες
1	ἀξέμεναι
