Αἴτησόν	*ai)/thso/n	αἰτέω	ai)te/w	urn:cite2:hmt:lsj.chicago_md:n2754	v2sama---
Διέλθωμεν	*die/lqwmen	διέρχομαι	die/rxomai	urn:cite2:hmt:lsj.chicago_md:n26680	v1pasa---
Διέλθωμεν	*die/lqwmen	διέρχομαι	die/rxomai	urn:cite2:hmt:lsj.chicago_md:n26680	v1pasa---
Δυνάμεθα	*duna/meqa	δύναμαι	du/namai	urn:cite2:hmt:lsj.chicago_md:n28566	v1ppie---
Δυνάμεθα	*duna/meqa	δύναμαι	du/namai	urn:cite2:hmt:lsj.chicago_md:n28566	v1piie---
Δός	*do/s	δίδωμι	di/dwmi	urn:cite2:hmt:lsj.chicago_md:n26447	v2sama---
Δότε	*do/te	δίδωμι	di/dwmi	urn:cite2:hmt:lsj.chicago_md:n26447	v2pama---
Δότε	*do/te	δίδωμι	di/dwmi	urn:cite2:hmt:lsj.chicago_md:n26447	v2paia---
Δότε	*do/te	δίδωμι	di/dwmi	urn:cite2:hmt:lsj.chicago_md:n26447	v2paia---
Δώδεκα	*dw/deka	δώδεκα	dw/deka	urn:cite2:hmt:lsj.chicago_md:n29698	m--------
Δῶρον	*dw=ron	δῶρον	dw=ron	urn:cite2:hmt:lsj.chicago_md:n29828	n-s---nn-
Δῶρον	*dw=ron	δῶρον	dw=ron	urn:cite2:hmt:lsj.chicago_md:n29828	n-s---nv-
Δῶρον	*dw=ron	δῶρον	dw=ron	urn:cite2:hmt:lsj.chicago_md:n29828	n-s---na-
Εἰ	*ei)	εἰ	ei)	urn:cite2:hmt:lsj.chicago_md:n30817	c--------
Εἰπόν	*ei)po/n	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v2sama---
Εἰπόν	*ei)po/n	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v-sapamv-
Εἰπόν	*ei)po/n	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v-sapann-
Εἰπόν	*ei)po/n	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v-sapanv-
Εἰπόν	*ei)po/n	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v-sapana-
Εἰς	*ei)s	εἰς	ei)s	urn:cite2:hmt:lsj.chicago_md:n31235	r--------
Εἴ	*ei)/	εἰ	ei)	urn:cite2:hmt:lsj.chicago_md:n30817	c--------
Εἶπεν	*ei)=pen	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v3saia---
Εἶπεν	*ei)=pen	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v3saia---
Εἶπεν	*ei)=pen	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v3saia---
Εἶπεν	*ei)=pen	εἶπον	ei)=pon	urn:cite2:hmt:lsj.chicago_md:n31161	v3saia---
Εἷς	*ei(=s	εἷς	ei(=s	urn:cite2:hmt:lsj.chicago_md:n31236	n-s---mn-
Θαρσεῖτε	*qarsei=te	θαρσέω	qarse/w	urn:cite2:hmt:lsj.chicago_md:n47897	v2ppma---
Θαρσεῖτε	*qarsei=te	θαρσέω	qarse/w	urn:cite2:hmt:lsj.chicago_md:n47897	v2ppoa---
Θαρσεῖτε	*qarsei=te	θαρσέω	qarse/w	urn:cite2:hmt:lsj.chicago_md:n47897	v2ppia---
Θαρσεῖτε	*qarsei=te	θαρσέω	qarse/w	urn:cite2:hmt:lsj.chicago_md:n47897	v2piia---
Θυγάτηρ	*quga/thr	θυγάτηρ	quga/thr	urn:cite2:hmt:lsj.chicago_md:n49266	n-s---fn-
Θωμᾶν	*qwma=n	θαυμάζω	qauma/zw	urn:cite2:hmt:lsj.chicago_md:n47917	v-sfpamv-
Θωμᾶν	*qwma=n	θαυμάζω	qauma/zw	urn:cite2:hmt:lsj.chicago_md:n47917	v-sfpann-
Θωμᾶν	*qwma=n	θαυμάζω	qauma/zw	urn:cite2:hmt:lsj.chicago_md:n47917	v-sfpanv-
Θωμᾶν	*qwma=n	θαυμάζω	qauma/zw	urn:cite2:hmt:lsj.chicago_md:n47917	v-sfpana-
Θωμᾶν	*qwma=n	θαυμάζω	qauma/zw	urn:cite2:hmt:lsj.chicago_md:n47917	v-sfpamn-
Θωμᾶν	*qwma=n	θαυμάζω	qauma/zw	urn:cite2:hmt:lsj.chicago_md:n47917	v--fna---
Θάρσει	*qa/rsei	θάρσος	qa/rsos	urn:cite2:hmt:lsj.chicago_md:n47904	n-d---nn-
Θάρσει	*qa/rsei	θάρσος	qa/rsos	urn:cite2:hmt:lsj.chicago_md:n47904	n-d---nv-
Θάρσει	*qa/rsei	θάρσος	qa/rsos	urn:cite2:hmt:lsj.chicago_md:n47904	n-d---na-
Θάρσει	*qa/rsei	θάρσος	qa/rsos	urn:cite2:hmt:lsj.chicago_md:n47904	n-s---nd-
Θάρσει	*qa/rsei	θάρσος	qa/rsos	urn:cite2:hmt:lsj.chicago_md:n47904	n-s---nd-
Θάρσει	*qa/rsei	θαρσέω	qarse/w	urn:cite2:hmt:lsj.chicago_md:n47897	v2spma---
Θάρσει	*qa/rsei	θαρσέω	qarse/w	urn:cite2:hmt:lsj.chicago_md:n47897	v3siia---
Θέλετε	*qe/lete	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v2ppma---
Θέλετε	*qe/lete	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v2ppia---
Θέλετε	*qe/lete	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v2piia---
Θέλω	*qe/lw	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v1spsa---
Θέλω	*qe/lw	ἐθέλω	e)qe/lw	urn:cite2:hmt:lsj.chicago_md:n30790	v1spia---
Καθεύδετε	*kaqeu/dete	καθεύδω	kaqeu/dw	urn:cite2:hmt:lsj.chicago_md:n51773	v2ppma---
Καθεύδετε	*kaqeu/dete	καθεύδω	kaqeu/dw	urn:cite2:hmt:lsj.chicago_md:n51773	v2ppia---
Καθεύδετε	*kaqeu/dete	καθεύδω	kaqeu/dw	urn:cite2:hmt:lsj.chicago_md:n51773	v2piia---
Καθεύδετε	*kaqeu/dete	καθεύδω	kaqeu/dw	urn:cite2:hmt:lsj.chicago_md:n51773	v2piia---
Καθίσατε	*kaqi/sate	καθίζω	kaqi/zw	urn:cite2:hmt:lsj.chicago_md:n51825	v2pama---
Καθίσατε	*kaqi/sate	καθίζω	kaqi/zw	urn:cite2:hmt:lsj.chicago_md:n51825	v2paia---
Καθίσατε	*kaqi/sate	καθίζω	kaqi/zw	urn:cite2:hmt:lsj.chicago_md:n51825	v2paia---
Καθίσατε	*kaqi/sate	καθίζω	kaqi/zw	urn:cite2:hmt:lsj.chicago_md:n51825	v2paia---
Καθώς	*kaqw/s	καθώς	kaqw/s	urn:cite2:hmt:lsj.chicago_md:n51949	d--------
Καλόν	*kalo/n	καλός	kalo/s	urn:cite2:hmt:lsj.chicago_md:n52840	a-s---ma-
Καλόν	*kalo/n	καλός	kalo/s	urn:cite2:hmt:lsj.chicago_md:n52840	a-s---nn-
Καλόν	*kalo/n	καλός	kalo/s	urn:cite2:hmt:lsj.chicago_md:n52840	a-s---nv-
Καλόν	*kalo/n	καλός	kalo/s	urn:cite2:hmt:lsj.chicago_md:n52840	a-s---na-
Καλῶς	*kalw=s	καλός	kalo/s	urn:cite2:hmt:lsj.chicago_md:n52840	x--------
Κατά	*kata/	κατά	kata/	urn:cite2:hmt:lsj.chicago_md:n53647	r--------
Κατά	*kata/	κατά	kata/	urn:cite2:hmt:lsj.chicago_md:n53648	r--------
Καί	*kai/	καί	kai/	urn:cite2:hmt:lsj.chicago_md:n51951	c--------
Καίσαρι	*kai/sari	Καῖσαρ	*kai=sar	urn:cite2:hmt:lsj.chicago_md:n52048	n-s---md-
Καίσαρος	*kai/saros	Καῖσαρ	*kai=sar	urn:cite2:hmt:lsj.chicago_md:n52048	n-s---mg-
Κρανίου	*krani/ou	κρανίον	krani/on	urn:cite2:hmt:lsj.chicago_md:n59635	n-s---ng-
Κυρίου	*kuri/ou	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	n-s---mg-
Κυρίου	*kuri/ou	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	a-s---mg-
Κυρίου	*kuri/ou	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	a-s---ng-
Κυρίου	*kuri/ou	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	n-s---mg-
Κυρίου	*kuri/ou	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	n-s---fg-
Κυρίου	*kuri/ou	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	n-s---ng-
Κυρίου	*kuri/ou	κυριόω	kurio/w	urn:cite2:hmt:lsj.chicago_md:n61058	v2spma---
Κυρίου	*kuri/ou	κυριόω	kurio/w	urn:cite2:hmt:lsj.chicago_md:n61058	v3siia---
Κύριον	*ku/rion	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	n-s---ma-
Κύριον	*ku/rion	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	a-s---ma-
Κύριον	*ku/rion	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	a-s---nn-
Κύριον	*ku/rion	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	a-s---nv-
Κύριον	*ku/rion	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	a-s---na-
Κύριον	*ku/rion	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	n-s---ma-
Κύριον	*ku/rion	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	n-s---fa-
Κύριον	*ku/rion	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	n-s---nn-
Κύριον	*ku/rion	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	n-s---nv-
Κύριον	*ku/rion	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	n-s---na-
Κύριον	*ku/rion	κυρέω	kure/w	urn:cite2:hmt:lsj.chicago_md:n61030	v3piia---
Κύριον	*ku/rion	κυρέω	kure/w	urn:cite2:hmt:lsj.chicago_md:n61030	v1siia---
Κύριος	*ku/rios	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	n-s---mn-
Κύριος	*ku/rios	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	a-s---mn-
Κύριος	*ku/rios	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	n-s---mn-
Κύριος	*ku/rios	κύριος	ku/rios	urn:cite2:hmt:lsj.chicago_md:n61056	n-s---fn-
Κύριος	*ku/rios	κῦρος	ku=ros	urn:cite2:hmt:lsj.chicago_md:n61071	n-s---ng-
Κύριος	*ku/rios	κῦρος	ku=ros	urn:cite2:hmt:lsj.chicago_md:n61072	n-s---ng-
Λάβετε	*la/bete	λαμβάνω	lamba/nw	urn:cite2:hmt:lsj.chicago_md:n61791	v2pama---
Λάβετε	*la/bete	λαμβάνω	lamba/nw	urn:cite2:hmt:lsj.chicago_md:n61791	v2paia---
Λίθον	*li/qon	λίθος	li/qos	urn:cite2:hmt:lsj.chicago_md:n63212	n-s---ma-
Μετά	*meta/	μετά	meta/	urn:cite2:hmt:lsj.chicago_md:n66572	r--------
Μηδέ	*mhde/	μηδέ	mhde/	urn:cite2:hmt:lsj.chicago_md:n67299	g--------
Μηκέτι	*mhke/ti	μηκέτι	mhke/ti	urn:cite2:hmt:lsj.chicago_md:n67344	d--------
Μή	*mh/	μή	mh/	urn:cite2:hmt:lsj.chicago_md:n67283	c--------
Μήτι	*mh/ti	μήτις	mh/tis	urn:cite2:hmt:lsj.chicago_md:n67552	d--------
Μήτι	*mh/ti	μήτις	mh/tis	urn:cite2:hmt:lsj.chicago_md:n67552	n-s----n-
Μήτι	*mh/ti	μήτις	mh/tis	urn:cite2:hmt:lsj.chicago_md:n67552	n-s----v-
Μήτι	*mh/ti	μήτις	mh/tis	urn:cite2:hmt:lsj.chicago_md:n67552	n-s----a-
Μήτι	*mh/ti	μῆτις	mh=tis	urn:cite2:hmt:lsj.chicago_md:n67551	n-s---fd-
Ναί	*nai/	Ναίς	*nai/s	urn:cite2:hmt:lsj.chicago_md:n69668	n-s---fv-
Ναί	*nai/	Ναίς	*nai/s	urn:cite2:hmt:lsj.chicago_md:n69668	n-s---fv-
Ναί	*nai/	ναί	nai/	urn:cite2:hmt:lsj.chicago_md:n69649	d--------
Ναί	*nai/	ναῦς	nau=s	urn:cite2:hmt:lsj.chicago_md:n69863	n-s---fd-
Ναί	*nai/	ναῦς	nau=s	urn:cite2:hmt:lsj.chicago_md:n69863	n-s---fd-
Οἱ	*oi(	ἕ	e(/	urn:cite2:hmt:lsj.chicago_md:n29856	n-s---md-
Οἱ	*oi(	ἕ	e(/	urn:cite2:hmt:lsj.chicago_md:n29856	n-s---fd-
Οἱ	*oi(	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-p---mn-
Οἱ	*oi(	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-p---mv-
Οἴδατε	*oi)/date	οἶδα	oi)=da	urn:cite2:hmt:lsj.chicago_md:n72202	v2pria---
Οὐ	*ou)	οὐ	ou)	urn:cite2:hmt:lsj.chicago_md:n75730	d--------
Οὐδέ	*ou)de/	οὐδέ	ou)de/	urn:cite2:hmt:lsj.chicago_md:n75764	g--------
Οὐδέ	*ou)de/	οὐδόσ1	ou)do/s	urn:cite2:hmt:lsj.chicago_md:n75787	n-s---mv-
Οὐδέ	*ou)de/	οὐδόσ1	ou)do/s	urn:cite2:hmt:lsj.chicago_md:n75788	n-s---mv-
Οὐδέ	*ou)de/	οὐδόσ2	ou)do/s	urn:cite2:hmt:lsj.chicago_md:n75787	n-s---fv-
Οὐδέ	*ou)de/	οὐδόσ2	ou)do/s	urn:cite2:hmt:lsj.chicago_md:n75788	n-s---fv-
Οὐδέποτε	*ou)de/pote	οὐδέποτε	ou)de/pote	urn:cite2:hmt:lsj.chicago_md:n75774	d--------
Οὐκ	*ou)k	οὐ	ou)	urn:cite2:hmt:lsj.chicago_md:n75730	d--------
Οὐά	*ou)a/	οὐά	ou)a/	urn:cite2:hmt:lsj.chicago_md:n75733	x--------
Οὔπω	*ou)/pw	οὔπω	ou)/pw	urn:cite2:hmt:lsj.chicago_md:n75907	d--------
Οὔτε	*ou)/te	οὔτε	ou)/te	urn:cite2:hmt:lsj.chicago_md:n76050	d--------
Οὕτως	*ou(/tws	οὕτως	ou(/tws	urn:cite2:hmt:lsj.chicago_md:n76063	d--------
Οὗτος	*ou(=tos	οὗτος	ou(=tos	urn:cite2:hmt:lsj.chicago_md:n76062	n-s---mn-
Οὗτος	*ou(=tos	οὗτος	ou(=tos	urn:cite2:hmt:lsj.chicago_md:n76062	n-s---mv-
Οὗτός	*ou(=to/s	οὗτος	ou(=tos	urn:cite2:hmt:lsj.chicago_md:n76062	n-s---mn-
Οὗτός	*ou(=to/s	οὗτος	ou(=tos	urn:cite2:hmt:lsj.chicago_md:n76062	n-s---mv-
Παρά	*para/	παρά	para/	urn:cite2:hmt:lsj.chicago_md:n77763	r--------
Παρά	*para/	πηρός	phro/s	urn:cite2:hmt:lsj.chicago_md:n83010	a-p---nn-
Παρά	*para/	πηρός	phro/s	urn:cite2:hmt:lsj.chicago_md:n83010	a-p---nv-
Παρά	*para/	πηρός	phro/s	urn:cite2:hmt:lsj.chicago_md:n83010	a-p---na-
Παρά	*para/	πηρός	phro/s	urn:cite2:hmt:lsj.chicago_md:n83010	a-d---fn-
Παρά	*para/	πηρός	phro/s	urn:cite2:hmt:lsj.chicago_md:n83010	a-d---fv-
Παρά	*para/	πηρός	phro/s	urn:cite2:hmt:lsj.chicago_md:n83010	a-d---fa-
Παρά	*para/	πηρός	phro/s	urn:cite2:hmt:lsj.chicago_md:n83010	a-s---fn-
Παρά	*para/	πηρός	phro/s	urn:cite2:hmt:lsj.chicago_md:n83010	a-s---fv-
Πατάξω	*pata/cw	πατάσσω	pata/ssw	urn:cite2:hmt:lsj.chicago_md:n79998	v1sasa---
Πατάξω	*pata/cw	πατάσσω	pata/ssw	urn:cite2:hmt:lsj.chicago_md:n79998	v1sfia---
Πατάξω	*pata/cw	πατάσσω	pata/ssw	urn:cite2:hmt:lsj.chicago_md:n79998	v2saim---
Πεπλήρωται	*peplh/rwtai	πληρόω	plhro/w	urn:cite2:hmt:lsj.chicago_md:n83834	v3srie---
Περί	*peri/	περί	peri/	urn:cite2:hmt:lsj.chicago_md:n81017	r--------
Περίλυπός	*peri/lupo/s	περίλυπος	peri/lupos	urn:cite2:hmt:lsj.chicago_md:n81670	n-s---mn-
Περίλυπός	*peri/lupo/s	περίλυπος	peri/lupos	urn:cite2:hmt:lsj.chicago_md:n81670	n-s---fn-
Πιστεύω	*pisteu/w	πιστεύω	pisteu/w	urn:cite2:hmt:lsj.chicago_md:n83310	v1spsa---
Πιστεύω	*pisteu/w	πιστεύω	pisteu/w	urn:cite2:hmt:lsj.chicago_md:n83310	v1spia---
Πνεῦμα	*pneu=ma	πνεῦμα	pneu=ma	urn:cite2:hmt:lsj.chicago_md:n84034	n-s---nn-
Πνεῦμα	*pneu=ma	πνεῦμα	pneu=ma	urn:cite2:hmt:lsj.chicago_md:n84034	n-s---nv-
Πνεῦμα	*pneu=ma	πνεῦμα	pneu=ma	urn:cite2:hmt:lsj.chicago_md:n84034	n-s---na-
Πορευθέντες	*poreuqe/ntes	πορεύω	poreu/w	urn:cite2:hmt:lsj.chicago_md:n85734	v-pappmn-
Πορευθέντες	*poreuqe/ntes	πορεύω	poreu/w	urn:cite2:hmt:lsj.chicago_md:n85734	v-pappmv-
Ποία	*poi/a	πόα	po/a	urn:cite2:hmt:lsj.chicago_md:n84094	n-d---fn-
Ποία	*poi/a	πόα	po/a	urn:cite2:hmt:lsj.chicago_md:n84094	n-d---fv-
Ποία	*poi/a	πόα	po/a	urn:cite2:hmt:lsj.chicago_md:n84094	n-d---fa-
Ποία	*poi/a	πόα	po/a	urn:cite2:hmt:lsj.chicago_md:n84094	n-s---fn-
Ποία	*poi/a	πόα	po/a	urn:cite2:hmt:lsj.chicago_md:n84094	n-s---fv-
Ποία	*poi/a	ποῖος	poi=os	urn:cite2:hmt:lsj.chicago_md:n84363	a-d---fn-
Ποία	*poi/a	ποῖος	poi=os	urn:cite2:hmt:lsj.chicago_md:n84363	a-d---fv-
Ποία	*poi/a	ποῖος	poi=os	urn:cite2:hmt:lsj.chicago_md:n84363	a-d---fa-
Ποία	*poi/a	ποῖος	poi=os	urn:cite2:hmt:lsj.chicago_md:n84363	a-s---fn-
Ποία	*poi/a	ποῖος	poi=os	urn:cite2:hmt:lsj.chicago_md:n84363	a-s---fv-
Ποῦ	*pou=	πού	pou/	urn:cite2:hmt:lsj.chicago_md:n86087	d--------
Ποῦ	*pou=	πού	pou/	urn:cite2:hmt:lsj.chicago_md:n86088	d--------
Ποῦ	*pou=	ποῦ	pou=	urn:cite2:hmt:lsj.chicago_md:n86087	x--------
Προφήτευσον	*profh/teuson	προφητεύω	profhteu/w	urn:cite2:hmt:lsj.chicago_md:n90678	v2sama---
Προφήτευσον	*profh/teuson	προφητεύω	profhteu/w	urn:cite2:hmt:lsj.chicago_md:n90678	v2sama---
Προάγει	*proa/gei	προάγω	proa/gw	urn:cite2:hmt:lsj.chicago_md:n86429	v2spie---
Προάγει	*proa/gei	προάγω	proa/gw	urn:cite2:hmt:lsj.chicago_md:n86429	v3spia---
Πρίν	*pri/n	πρίν	pri/n	urn:cite2:hmt:lsj.chicago_md:n86371	d--------
Πρός	*pro/s	πρός	pro/s	urn:cite2:hmt:lsj.chicago_md:n88443	r--------
Πρώτη	*prw/th	πρότερος	pro/teros	urn:cite2:hmt:lsj.chicago_md:n90504	a-s---fn-
Πρώτη	*prw/th	πρότερος	pro/teros	urn:cite2:hmt:lsj.chicago_md:n90504	a-s---fv-
Πρώτη	*prw/th	πρῶτος	prw=tos	urn:cite2:hmt:lsj.chicago_md:n91038	a-s---fn-
Πρώτη	*prw/th	πρῶτος	prw=tos	urn:cite2:hmt:lsj.chicago_md:n91038	a-s---fv-
Πάντες	*pa/ntes	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79904	n-p---mn-
Πάντες	*pa/ntes	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79905	n-p---mn-
Πάντες	*pa/ntes	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79906	n-p---mn-
Πάντες	*pa/ntes	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79904	n-p---mv-
Πάντες	*pa/ntes	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79905	n-p---mv-
Πάντες	*pa/ntes	πᾶς	pa=s	urn:cite2:hmt:lsj.chicago_md:n79906	n-p---mv-
Πέμψον	*pe/myon	πέμπω	pe/mpw	urn:cite2:hmt:lsj.chicago_md:n80557	v2sama---
Πέμψον	*pe/myon	πέμπω	pe/mpw	urn:cite2:hmt:lsj.chicago_md:n80557	v-sfpamv-
Πέμψον	*pe/myon	πέμπω	pe/mpw	urn:cite2:hmt:lsj.chicago_md:n80557	v-sfpann-
Πέμψον	*pe/myon	πέμπω	pe/mpw	urn:cite2:hmt:lsj.chicago_md:n80557	v-sfpanv-
Πέμψον	*pe/myon	πέμπω	pe/mpw	urn:cite2:hmt:lsj.chicago_md:n80557	v-sfpana-
Πέντε	*pe/nte	πέντε	pe/nte	urn:cite2:hmt:lsj.chicago_md:n80761	m--------
Πέτρον	*pe/tron	Πέτρος	*pe/tros	urn:cite2:hmt:lsj.chicago_md:n82800	n-s---ma-
Πέτρον	*pe/tron	Πέτρων	*pe/trwn	urn:cite2:hmt:lsj.chicago_md:n82809	n-s---mv-
Πέτρον	*pe/tron	πέτρος	pe/tros	urn:cite2:hmt:lsj.chicago_md:n82800	n-s---ma-
Πέτρος	*pe/tros	Πέτρος	*pe/tros	urn:cite2:hmt:lsj.chicago_md:n82800	n-s---mn-
Πέτρος	*pe/tros	πέτρος	pe/tros	urn:cite2:hmt:lsj.chicago_md:n82800	n-s---mn-
Πέτρου	*pe/trou	Πέτρος	*pe/tros	urn:cite2:hmt:lsj.chicago_md:n82800	n-s---mg-
Πέτρου	*pe/trou	πέτρος	pe/tros	urn:cite2:hmt:lsj.chicago_md:n82800	n-s---mg-
Πέτρου	*pe/trou	πετρόω	petro/w	urn:cite2:hmt:lsj.chicago_md:n82805	v2spma---
Πέτρου	*pe/trou	πετρόω	petro/w	urn:cite2:hmt:lsj.chicago_md:n82805	v3siia---
Πέτρῳ	*pe/trw|	Πέτρος	*pe/tros	urn:cite2:hmt:lsj.chicago_md:n82800	n-s---md-
Πέτρῳ	*pe/trw|	πέτρος	pe/tros	urn:cite2:hmt:lsj.chicago_md:n82800	n-s---md-
Πόθεν	*po/qen	πίνω	pi/nw	urn:cite2:hmt:lsj.chicago_md:n83231	v3paip---
Πόθεν	*po/qen	πόθεν	po/qen	urn:cite2:hmt:lsj.chicago_md:n84202	d--------
Πόθεν	*po/qen	ποθεν	poqen	urn:cite2:hmt:lsj.chicago_md:n84202	g--------
Πόσος	*po/sos	πόσος	po/sos	urn:cite2:hmt:lsj.chicago_md:n85912	a-s---mn-
Πόσους	*po/sous	πόσος	po/sos	urn:cite2:hmt:lsj.chicago_md:n85912	a-p---ma-
Πόσους	*po/sous	ποσόω	poso/w	urn:cite2:hmt:lsj.chicago_md:n85914	v2siia---
Πῶς	*pw=s	πῶς	pw=s	urn:cite2:hmt:lsj.chicago_md:n92010	x--------
Πῶς	*pw=s	πῶσ2	pw=s	urn:cite2:hmt:lsj.chicago_md:n92010	d--------
Πῶς	*pw=s	πως	pws	urn:cite2:hmt:lsj.chicago_md:n92011	g--------
Σαδδουκαῖοι	*saddoukai=oi	Σαδδουκαῖοι	*saddoukai=oi	urn:cite2:hmt:lsj.chicago_md:n93039	n-p---mn-
Σαδδουκαῖοι	*saddoukai=oi	Σαδδουκαῖοι	*saddoukai=oi	urn:cite2:hmt:lsj.chicago_md:n93039	n-p---mv-
Σαλώμη	*salw/mh	Σαλώμη	*salw/mh	urn:cite2:hmt:lsj.chicago_md:n93178	n-s---fn-
Σαλώμη	*salw/mh	Σαλώμη	*salw/mh	urn:cite2:hmt:lsj.chicago_md:n93178	n-s---fv-
