Θεσμοφορίοις	*qesmofori/ois	θεσμοφόριον	qesmofo/rion	n-p---nd-
γνώσεσθε	gnw/sesqe	γιγνώσκω	gignw/skw	v2pfim---
γραφάς	grafa/s	γραφή	grafh/	n-p---fa-
γραφάς	grafa/s	γραφής	grafh/s	n-p---ma-
γραφάς	grafa/s	γραφής	grafh/s	n-s---mn-
γυμνόν	gumno/n	γυμνός	gumno/s	a-s---ma-
γυμνόν	gumno/n	γυμνός	gumno/s	a-s---nn-
γυμνόν	gumno/n	γυμνός	gumno/s	a-s---nv-
γυμνόν	gumno/n	γυμνός	gumno/s	a-s---na-
γυναικωνῖτιν	gunaikwni=tin	γυναικωνῖτις	gunaikwni=tis	n-s---fa-
γυναικί	gunaiki/	γυνή	gunh/	n-s---fd-
γυναικός	gunaiko/s	γυνή	gunh/	n-s---fg-
γυναιξί	gunaici/	γυνή	gunh/	n-p---fd-
γυναῖκα	gunai=ka	γυνή	gunh/	n-s---fa-
γυναῖκας	gunai=kas	γυνή	gunh/	n-p---fa-
γυναῖκες	gunai=kes	γυνή	gunh/	n-p---fn-
γυναῖκες	gunai=kes	γυνή	gunh/	n-p---fv-
γυνή	gunh/	γυνή	gunh/	n-s---fn-
γάρ	ga/r	γάρ	ga/r	g--------
γένωμαι	ge/nwmai	γίγνομαι	gi/gnomai	v1sasm---
γίγνεσθαι	gi/gnesqai	γίγνομαι	gi/gnomai	v--pne---
γίγνεται	gi/gnetai	γίγνομαι	gi/gnomai	v3spie---
γόνατά	go/nata/	γόνυ	go/nu	n-p---na-
γόνατά	go/nata/	γόνυ	go/nu	n-p---nn-
γῆμαι	gh=mai	γαμέω	game/w	v2samm---
γῆμαι	gh=mai	γαμέω	game/w	v--ana---
δεδιέναι	dedie/nai	δείδω	dei/dw	v--rna---
δεδιώς	dediw/s	δείδω	dei/dw	v-srpamn-
δεδιώς	dediw/s	δείδω	dei/dw	v-srpamv-
δεδυκότος	deduko/tos	δύω2	du/w2	v-srpamg-
δεδυκότος	deduko/tos	δύω2	du/w2	v-srpang-
δεινοτάτην	deinota/thn	δεινός	deino/s	a-s---fas
δεινή	deinh/	δεινός	deino/s	a-s---fn-
δεινή	deinh/	δεινός	deino/s	a-s---fv-
δεινότεροι	deino/teroi	δεινός	deino/s	a-p---mn-
δεινότεροι	deino/teroi	δεινός	deino/s	a-p---mv-
δειπνεῖν	deipnei=n	δειπνέω	deipne/w	v--pna---
δεῖ	dei=	δέομαι	de/omai	v2spie---
δεῖ	dei=	δέω1	de/w1	v2spie---
δεῖ	dei=	δέω1	de/w1	v2spma---
δεῖ	dei=	δέω1	de/w1	v3spia---
δεῖ	dei=	δέω1	de/w1	v3siia---
δεῖ	dei=	δέω2	de/w2	v2spie---
δεῖ	dei=	δέω2	de/w2	v2spma---
δεῖ	dei=	δέω2	de/w2	v3spia---
δεῖ	dei=	δέω2	de/w2	v3siia---
δεῖ	dei=	δεῖ	dei=	v3siia---
δεῖν	dei=n	δέω1	de/w1	v--pna---
δεῖν	dei=n	δέω2	de/w2	v--pna---
δεῖν	dei=n	δεῖ	dei=	v-spp-nn-
δεῖν	dei=n	δεῖ	dei=	v-spp-nv-
δεῖν	dei=n	δεῖ	dei=	v-spp-na-
δεῖν	dei=n	δεῖ	dei=	v--pna---
δεῖνα	dei=na	δεῖνα	dei=na	n-s---mn-
δεῖνα	dei=na	δεῖνα	dei=na	n-s---ma-
δεῖνα	dei=na	δεῖνα	dei=na	n-s---fn-
δεῖνα	dei=na	δεῖνα	dei=na	n-s---fa-
δεῖνα	dei=na	δεῖνα	dei=na	n-s---nn-
δεῖνα	dei=na	δεῖνα	dei=na	n-s---na-
δεῖνα	dei=na	δεῖνα	dei=na	n-s---mn-
δεῖνα	dei=na	δεῖνα	dei=na	n-s---fn-
δεῖνα	dei=na	δεῖνα	dei=na	n-s---nn-
δεῖνα	dei=na	δεῖνα	dei=na	n-s---ma-
δεῖνα	dei=na	δεῖνα	dei=na	n-s---fa-
δεῖνα	dei=na	δεῖνα	dei=na	n-p---nn-
δεῖνα	dei=na	δεῖνα	dei=na	n-p---nv-
δεῖνα	dei=na	δεῖνα	dei=na	n-p---na-
δεῖπνον	dei=pnon	δεῖπνον	dei=pnon	n-s---nn-
δεῖπνον	dei=pnon	δεῖπνον	dei=pnon	n-s---nv-
δεῖπνον	dei=pnon	δεῖπνον	dei=pnon	n-s---na-
δεῖπνον	dei=pnon	δεῖπνος	dei=pnos	n-s---ma-
δημοκρατίᾳ	dhmokrati/a|	δημοκρατία	dhmokrati/a	n-p---fn-
δημοκρατίᾳ	dhmokrati/a|	δημοκρατία	dhmokrati/a	n-p---fv-
δημοκρατίᾳ	dhmokrati/a|	δημοκρατία	dhmokrati/a	n-s---fd-
διαγενομένου	diagenome/nou	διαγίγνομαι	diagi/gnomai	v-sapmmg-
διαγενομένου	diagenome/nou	διαγίγνομαι	diagi/gnomai	v-sapmng-
διακείμενος	diakei/menos	διάκειμαι	dia/keimai	v-srpemn-
διακείμενος	diakei/menos	διάκειμαι	dia/keimai	v-sppemn-
διακεῖσθαι	diakei=sqai	διάκειμαι	dia/keimai	v--pne---
διακεῖσθαι	diakei=sqai	διακέομαι	diake/omai	v--pne---
διακονοῦσαν	diakonou=san	διακονέω	diakone/w	v-sppafa-
διαπεπραγμένων	diapepragme/nwn	διαπράσσω	diapra/ssw	v-prpefg-
διαπεπραγμένων	diapepragme/nwn	διαπράσσω	diapra/ssw	v-prpemg-
διαπεπραγμένων	diapepragme/nwn	διαπράσσω	diapra/ssw	v-prpeng-
διαπραξαίμην	diapracai/mhn	διαπράσσω	diapra/ssw	v1saom---
διαπραξαίμην	diapracai/mhn	διαπράσσω	diapra/ssw	v1saom---
διαπραξαίμην	diapracai/mhn	διαπράσσω	diapra/ssw	v1saom---
διαπραττομένους	diaprattome/nous	διαπράσσω	diapra/ssw	v-pppema-
διαπραττομένους	diaprattome/nous	διαπράσσω	diapra/ssw	v-pppema-
διαρρήδην	diarrh/dhn	διαρρήδην	diarrh/dhn	d--------
διαφθείραντα	diafqei/ranta	διαφθείρω	diafqei/rw	v-papann-
διαφθείραντα	diafqei/ranta	διαφθείρω	diafqei/rw	v-papanv-
διαφθείραντα	diafqei/ranta	διαφθείρω	diafqei/rw	v-papana-
διαφθείραντα	diafqei/ranta	διαφθείρω	diafqei/rw	v-sapama-
διαφθείρειν	diafqei/rein	διαφθείρω	diafqei/rw	v--pna---
διαφθείρεται	diafqei/retai	διαφθείρω	diafqei/rw	v3sasm---
διαφθείρεται	diafqei/retai	διαφθείρω	diafqei/rw	v3spie---
διαφορά	diafora/	διαφορά	diafora/	n-d---fn-
διαφορά	diafora/	διαφορά	diafora/	n-d---fv-
διαφορά	diafora/	διαφορά	diafora/	n-d---fa-
διαφορά	diafora/	διαφορά	diafora/	n-s---fn-
διαφορά	diafora/	διαφορά	diafora/	n-s---fv-
διαφυγεῖν	diafugei=n	διαφεύγω	diafeu/gw	v--ana---
διδῷ	didw=|	δίδωμι	di/dwmi	v3spsa---
διεγένοντο	diege/nonto	διαγίγνομαι	diagi/gnomai	v3paim---
διεκείμην	diekei/mhn	διάκειμαι	dia/keimai	v1siie---
διηγήσασθαι	dihgh/sasqai	διηγέομαι	dihge/omai	v--ane---
διηγήσασθαι	dihgh/sasqai	διηγέομαι	dihge/omai	v--anm---
διηγήσατο	dihgh/sato	διηγέομαι	dihge/omai	v3saim---
διηγήσατο	dihgh/sato	διηγέομαι	dihge/omai	v3saim---
διηγήσατο	dihgh/sato	διηγέομαι	dihge/omai	v3saie---
διηγήσατο	dihgh/sato	διηγέομαι	dihge/omai	v3saim---
δικαιοτάτην	dikaiota/thn	δίκαιος	di/kaios	a-s---fas
δικαιοτάτην	dikaiota/thn	δίκαιος	di/kaios	a-s---fas
δικαιότερον	dikaio/teron	δίκαιος	di/kaios	x--------
δικαιότερον	dikaio/teron	δίκαιος	di/kaios	a-s---ma-
δικαιότερον	dikaio/teron	δίκαιος	di/kaios	a-s---nn-
δικαιότερον	dikaio/teron	δίκαιος	di/kaios	a-s---nv-
δικαιότερον	dikaio/teron	δίκαιος	di/kaios	a-s---na-
δικαιότερον	dikaio/teron	δίκαιος	di/kaios	x--------
δικαιότερον	dikaio/teron	δίκαιος	di/kaios	n-s---ma-
δικαιότερον	dikaio/teron	δίκαιος	di/kaios	n-s---nn-
δικαιότερον	dikaio/teron	δίκαιος	di/kaios	n-s---nv-
δικαιότερον	dikaio/teron	δίκαιος	di/kaios	n-s---na-
δικαστηρίῳ	dikasthri/w|	δικαστήριον	dikasth/rion	n-s---nd-
δικαστάς	dikasta/s	δικαστής	dikasth/s	n-p---ma-
δικαστάς	dikasta/s	δικαστής	dikasth/s	n-s---mn-
δικάζειν	dika/zein	δικάζω	dika/zw	v--pna---
διοικοῦσα	dioikou=sa	διοικέω	dioike/w	v-sppafn-
διοικοῦσα	dioikou=sa	διοικέω	dioike/w	v-sppafv-
διοικοῦσα	dioikou=sa	διοικέω	dioike/w	v-sppafn-
διοικοῦσα	dioikou=sa	διοικέω	dioike/w	v-sppafv-
διπλοῦν	diplou=n	διπλόος	diplo/os	a-s---ma-
διπλοῦν	diplou=n	διπλόος	diplo/os	a-s---nn-
διπλοῦν	diplou=n	διπλόος	diplo/os	a-s---nv-
διπλοῦν	diplou=n	διπλόος	diplo/os	a-s---na-
διπλοῦν	diplou=n	διπλόω	diplo/w	v-sppamv-
διπλοῦν	diplou=n	διπλόω	diplo/w	v-sppann-
διπλοῦν	diplou=n	διπλόω	diplo/w	v-sppanv-
διπλοῦν	diplou=n	διπλόω	diplo/w	v-sppana-
διπλοῦν	diplou=n	διπλόω	diplo/w	v--pna---
διπλῆν	diplh=n	διπλόος	diplo/os	a-s---fa-
διά	dia/	διά	dia/	r--------
διάνοιαν	dia/noian	διάνοια	dia/noia	n-s---fa-
διέφθαρκεν	die/fqarken	διαφθείρω	diafqei/rw	v3plia---
διέφθαρκεν	die/fqarken	διαφθείρω	diafqei/rw	v3sria---
διέφθειρε	die/fqeire	διαφθείρω	diafqei/rw	v3saia---
διέφθειρε	die/fqeire	διαφθείρω	diafqei/rw	v3siia---
διῃτώμην	dih|tw/mhn	διά-διαιτάω	dia/-diaita/w	v1siie---
δοκῶ	dokw=	δοκάζω	doka/zw	v1sfia---
δοκῶ	dokw=	δοκέω	doke/w	v1spsa---
δοκῶ	dokw=	δοκέω	doke/w	v1spia---
δοκῶ	dokw=	δοκόν	doko/n	n-s---ng-
δοκῶ	dokw=	δοκός	doko/s	n-s---mg-
δοκῶ	dokw=	δοκός	doko/s	n-s---fg-
δοκῶ	dokw=	δοκόω	doko/w	v1spsa---
δοκῶ	dokw=	δοκόω	doko/w	v1spia---
δοκῶ	dokw=	δοκώ	dokw/	n-d---fn-
δοκῶ	dokw=	δοκώ	dokw/	n-d---fv-
δοκῶ	dokw=	δοκώ	dokw/	n-d---fa-
δοκῶ	dokw=	δοκώ	dokw/	n-s---fa-
δοῦναι	dou=nai	δίδωμι	di/dwmi	v--ana---
δυναμένους	duname/nous	δύναμαι	du/namai	v-pppema-
δυνηθῶ	dunhqw=	δύναμαι	du/namai	v1sasp---
δυοῖν	duoi=n	δύο	du/o	m-d---mg-
δυοῖν	duoi=n	δύο	du/o	m-d---md-
δυοῖν	duoi=n	δύο	du/o	m-d---fg-
δυοῖν	duoi=n	δύο	du/o	m-d---fd-
δυοῖν	duoi=n	δύο	du/o	m-d---ng-
δυοῖν	duoi=n	δύο	du/o	m-d---nd-
δυσμάς	dusma/s	δυσμή	dusmh/	n-p---fa-
δωματίου	dwmati/ou	δωμάτιον	dwma/tion	n-s---ng-
δωματίῳ	dwmati/w|	δωμάτιον	dwma/tion	n-s---nd-
δάμαρτι	da/marti	δάμαρ	da/mar	n-s---fd-
δέ	de/	δέ	de/	g--------
δέοι	de/oi	δέω1	de/w1	v3spoa---
δέοι	de/oi	δέω2	de/w2	v3spoa---
δέοι	de/oi	δεῖ	dei=	v3spoa---
δέομαι	de/omai	δέομαι	de/omai	v1spie---
δέομαι	de/omai	δέω1	de/w1	v1spie---
δέομαι	de/omai	δέω2	de/w2	v1spie---
δήσας	dh/sas	δέω1	de/w1	v-sapamn-
δήσας	dh/sas	δέω1	de/w1	v-sapamv-
δήσας	dh/sas	δέω2	de/w2	v-sapamn-
δήσας	dh/sas	δέω2	de/w2	v-sapamv-
δίκαια	di/kaia	δίκαιος	di/kaios	a-p---nn-
δίκαια	di/kaia	δίκαιος	di/kaios	a-p---nv-
δίκαια	di/kaia	δίκαιος	di/kaios	a-p---na-
δίκαια	di/kaia	δίκαιος	di/kaios	n-p---nn-
δίκαια	di/kaia	δίκαιος	di/kaios	n-p---nv-
δίκαια	di/kaia	δίκαιος	di/kaios	n-p---na-
δίκαιον	di/kaion	δίκαιος	di/kaios	a-s---ma-
δίκαιον	di/kaion	δίκαιος	di/kaios	a-s---nn-
δίκαιον	di/kaion	δίκαιος	di/kaios	a-s---nv-
δίκαιον	di/kaion	δίκαιος	di/kaios	a-s---na-
δίκαιον	di/kaion	δίκαιος	di/kaios	n-s---ma-
δίκαιον	di/kaion	δίκαιος	di/kaios	n-s---fa-
δίκαιον	di/kaion	δίκαιος	di/kaios	n-s---nn-
δίκαιον	di/kaion	δίκαιος	di/kaios	n-s---nv-
δίκαιον	di/kaion	δίκαιος	di/kaios	n-s---na-
δίκας	di/kas	δίκη	di/kh	n-p---fa-
δίκας	di/kas	δίκη	di/kh	n-s---fg-
δίκην	di/khn	δίκη	di/kh	n-s---fa-
δᾷδας	da=|das	δαίσ1	dai/s1	n-p---fa-
δῆλον	dh=lon	δῆλος	dh=los	a-s---ma-
δῆλον	dh=lon	δῆλος	dh=los	a-s---nn-
δῆλον	dh=lon	δῆλος	dh=los	a-s---nv-
δῆλον	dh=lon	δῆλος	dh=los	a-s---na-
δῆλον	dh=lon	δῆλος	dh=los	n-s---ma-
δῆλον	dh=lon	δῆλος	dh=los	n-s---fa-
δῆλον	dh=lon	δῆλος	dh=los	n-s---nn-
δῆλον	dh=lon	δῆλος	dh=los	n-s---nv-
δῆλον	dh=lon	δῆλος	dh=los	n-s---na-
εἰ	ei)	εἰ	ei)	c--------
εἰδέναι	ei)de/nai	οἶδα	oi)=da	v--rna---
εἰδότας	ei)do/tas	οἶδα	oi)=da	v-prpama-
εἰδώς	ei)dw/s	εἰδοί	ei)doi/	n-p---ma-
εἰδώς	ei)dw/s	οἶδα	oi)=da	v-srpamn-
εἰδώς	ei)dw/s	οἶδα	oi)=da	v-srpamv-
εἰκός	ei)ko/s	ἔοικα	e)/oika	v-srpann-
εἰκός	ei)ko/s	ἔοικα	e)/oika	v-srpanv-
εἰκός	ei)ko/s	ἔοικα	e)/oika	v-srpana-
εἰκός	ei)ko/s	εἰκός	ei)ko/s	v-srpann-
εἰκός	ei)ko/s	εἰκός	ei)ko/s	v-srpanv-
εἰκός	ei)ko/s	εἰκός	ei)ko/s	v-srpana-
εἰπεῖν	ei)pei=n	εἶπον	ei)=pon	v--ana---
εἰποῦσα	ei)pou=sa	εἶπον	ei)=pon	v-sapafn-
εἰποῦσα	ei)pou=sa	εἶπον	ei)=pon	v-sapafv-
εἰπών	ei)pw/n	εἶπον	ei)=pon	v-sapamn-
εἰρημένων	ei)rhme/nwn	ἐρῶ	e)rw=	v-prpefg-
εἰρημένων	ei)rhme/nwn	ἐρῶ	e)rw=	v-prpemg-
εἰρημένων	ei)rhme/nwn	ἐρῶ	e)rw=	v-prpeng-
εἰς	ei)s	εἰς	ei)s	r--------
εἰσαγαγεῖν	ei)sagagei=n	εἰσάγω	ei)sa/gw	v--ana---
εἰσαγγείλειε	ei)saggei/leie	εἰσαγγέλλω	ei)sagge/llw	v3saoa---
εἰσαρπασθείς	ei)sarpasqei/s	εἰσαρπάζω	ei)sarpa/zw	v-sappmn-
εἰσαρπασθείς	ei)sarpasqei/s	εἰσαρπάζω	ei)sarpa/zw	v-sappmv-
εἰσεληλυθότος	ei)selhluqo/tos	εἰσέρχομαι	ei)se/rxomai	v-srpamg-
εἰσεληλυθότος	ei)selhluqo/tos	εἰσέρχομαι	ei)se/rxomai	v-srpang-
εἰσελθεῖν	ei)selqei=n	εἰσέρχομαι	ei)se/rxomai	v--ana---
εἰσελθόντας	ei)selqo/ntas	εἰσέρχομαι	ei)se/rxomai	v-papama-
εἰσερχόμεθα	ei)serxo/meqa	εἰσέρχομαι	ei)se/rxomai	v1ppie---
εἰσερχόμεθα	ei)serxo/meqa	εἰσέρχομαι	ei)se/rxomai	v1piie---
εἰσιέναι	ei)sie/nai	εἴσειμι	ei)/seimi	v--pna---
εἰσιέναι	ei)sie/nai	εἰσίημι	ei)si/hmi	v--pna---
εἰσιόντες	ei)sio/ntes	εἴσειμι	ei)/seimi	v-pppamn-
εἰσιόντες	ei)sio/ntes	εἴσειμι	ei)/seimi	v-pppamv-
εἰσιών	ei)siw/n	εἴσειμι	ei)/seimi	v-sppamn-
εἰσέρχεται	ei)se/rxetai	εἰσέρχομαι	ei)se/rxomai	v3spie---
εἰσί	ei)si/	εἰμί	ei)mi/	v3ppia---
εἰσόδους	ei)so/dous	εἴσοδος	ei)/sodos	n-p---fa-
εἰσῄα	ei)sh/|a	εἴσειμι	ei)/seimi	v1siia---
εἰσῄει	ei)sh/|ei	εἴσειμι	ei)/seimi	v3siia---
εἴ	ei)/	εἰ	ei)	c--------
εἴδομεν	ei)/domen	εἶδον	ei)=don	v1paia---
εἴδομεν	ei)/domen	οἶδα	oi)=da	v1prsa---
εἴη	ei)/h	ἐάω	e)a/w	v3siia---
εἴη	ei)/h	ἐάω	e)a/w	v2spma---
εἴη	ei)/h	ἐάω	e)a/w	v3siia---
εἴη	ei)/h	ἐάω	e)a/w	v3siia---
εἴη	ei)/h	εἰμί	ei)mi/	v3spoa---
εἴην	ei)/hn	εἰμί	ei)mi/	v1spoa---
εἴητε	ei)/hte	εἰμί	ei)mi/	v2ppoa---
εἴπερ	ei)/per	εἴπερ	ei)/per	c--------
εἴρηται	ei)/rhtai	ἔρομαι	e)/romai	v3spse---
εἴρηται	ei)/rhtai	ἐρῶ	e)rw=	v3srie---
εἴρηται	ei)/rhtai	εἴρω	ei)/rw	v3sasm---
εἴρηται	ei)/rhtai	εἴρω	ei)/rw	v3spse---
εἴρηται	ei)/rhtai	εἴρω2	ei)/rw2	v3spsm---
εἴρητο	ei)/rhto	ἐρῶ	e)rw=	v3slie---
εἴσονται	ei)/sontai	εἶμι	ei)=mi	v3pfim---
εἴσονται	ei)/sontai	οἶδα	oi)=da	v3pfim---
εἵλου	ei(/lou	αἱρέω	ai(re/w	v2saim---
εἶναι	ei)=nai	εἰμί	ei)mi/	v--pna---
εἶπον	ei)=pon	εἶπον	ei)=pon	v2sama---
εἶπον	ei)=pon	εἶπον	ei)=pon	v3paia---
εἶπον	ei)=pon	εἶπον	ei)=pon	v1saia---
εἶπον	ei)=pon	εἶπον	ei)=pon	v3paia---
