Αὐλίδι	*au)li/di	Αὐλίς	*au)li/s	n-s---fd-
πολεμίων	polemi/wn	πολέμιος	pole/mios	n-p---ng-
πολεμίων	polemi/wn	πολεμέω	poleme/w	v-sppamn-
πολλαί	pollai/	πολύς	polu/s	a-p---fn-
πολλαί	pollai/	πολύς	polu/s	a-p---fv-
πολλοί	polloi/	πολύς	polu/s	a-p---mn-
πολλοί	polloi/	πολύς	polu/s	a-p---mv-
πολλούς	pollou/s	πολύς	polu/s	a-p---ma-
πολλοῖσι	polloi=si	πολύς	polu/s	a-p---md-
πολλοῖσι	polloi=si	πολύς	polu/s	a-p---nd-
πολλά	polla/	πολύς	polu/s	a-d---fn-
πολλά	polla/	πολύς	polu/s	a-d---fv-
πολλά	polla/	πολύς	polu/s	a-d---fa-
πολλά	polla/	πολύς	polu/s	a-s---fn-
πολλά	polla/	πολύς	polu/s	a-s---fv-
πολλά	polla/	πολύς	polu/s	a-p---nn-
πολλά	polla/	πολύς	polu/s	a-p---nv-
πολλά	polla/	πολύς	polu/s	a-p---na-
πολλή	pollh/	πολύς	polu/s	a-s---fn-
πολλή	pollh/	πολύς	polu/s	a-s---fv-
πολλῶν	pollw=n	πολύς	polu/s	a-p---fg-
πολλῶν	pollw=n	πολύς	polu/s	a-p---mg-
πολλῶν	pollw=n	πολύς	polu/s	a-p---ng-
πολλῷ	pollw=|	πολύς	polu/s	a-s---md-
πολλῷ	pollw=|	πολύς	polu/s	a-s---nd-
πολυκώπῳ	polukw/pw|	πολύκωπος	polu/kwpos	n-s---md-
πολυκώπῳ	polukw/pw|	πολύκωπος	polu/kwpos	n-s---fd-
πολυκώπῳ	polukw/pw|	πολύκωπος	polu/kwpos	n-s---nd-
πολυποίκιλα	polupoi/kila	πολυποίκιλος	polupoi/kilos	n-p---nn-
πολυποίκιλα	polupoi/kila	πολυποίκιλος	polupoi/kilos	n-p---nv-
πολυποίκιλα	polupoi/kila	πολυποίκιλος	polupoi/kilos	n-p---na-
πολυπτύχῳ	poluptu/xw|	πολύπτυχος	polu/ptuxos	n-s---md-
πολυπτύχῳ	poluptu/xw|	πολύπτυχος	polu/ptuxos	n-s---fd-
πολυπτύχῳ	poluptu/xw|	πολύπτυχος	polu/ptuxos	n-s---nd-
πολυάνορι	polua/nori	πολυάνωρ	polua/nwr	n-s---md-
πολυάνορι	polua/nori	πολυάνωρ	polua/nwr	n-s---fd-
πολυόρνιθον	poluo/rniqon	πολυόρνιθος	poluo/rniqos	n-s---ma-
πολυόρνιθον	poluo/rniqon	πολυόρνιθος	poluo/rniqos	n-s---fa-
πολυόρνιθον	poluo/rniqon	πολυόρνιθος	poluo/rniqos	n-s---nn-
πολυόρνιθον	poluo/rniqon	πολυόρνιθος	poluo/rniqos	n-s---nv-
πολυόρνιθον	poluo/rniqon	πολυόρνιθος	poluo/rniqos	n-s---na-
πολέσιν	pole/sin	πολύς	polu/s	n-p---m--
πολέσιν	pole/sin	πολύς	polu/s	n-p---n--
πολίταις	poli/tais	πολίτης	poli/ths	n-p---md-
πολίτης	poli/ths	πολίτης	poli/ths	n-s---mn-
πολύθυροι	polu/quroi	πολύθυρος	polu/quros	n-p---mn-
πολύθυροι	polu/quroi	πολύθυρος	polu/quros	n-p---mv-
πολύθυροι	polu/quroi	πολύθυρος	polu/quros	n-p---fn-
πολύθυροι	polu/quroi	πολύθυρος	polu/quros	n-p---fv-
πολύν	polu/n	πολύς	polu/s	n-s---ma-
πολύς	polu/s	πολύς	polu/s	n-s---mn-
