Αὐλίδι	*au)li/di	Αὐλίς	*au)li/s	urn:cite2:hmt:lsj.chicago_md:n17435	n-s---fd-
Δυστυχής	*dustuxh/s	δυστυχής	dustuxh/s	urn:cite2:hmt:lsj.chicago_md:n29561	n-s---mn-
Δυστυχής	*dustuxh/s	δυστυχής	dustuxh/s	urn:cite2:hmt:lsj.chicago_md:n29561	n-s---fn-
Δία	*di/a	Δίον	*di/on	urn:cite2:hmt:lsj.chicago_md:n27197	n-p---nn-
Δία	*di/a	Δίον	*di/on	urn:cite2:hmt:lsj.chicago_md:n27198	n-p---nn-
Δία	*di/a	Δίον	*di/on	urn:cite2:hmt:lsj.chicago_md:n27197	n-p---nv-
Δία	*di/a	Δίον	*di/on	urn:cite2:hmt:lsj.chicago_md:n27198	n-p---nv-
Δία	*di/a	Δίον	*di/on	urn:cite2:hmt:lsj.chicago_md:n27197	n-p---na-
Δία	*di/a	Δίον	*di/on	urn:cite2:hmt:lsj.chicago_md:n27198	n-p---na-
Δία	*di/a	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---ma-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27293	a-d---fn-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27294	a-d---fn-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27293	a-d---fv-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27294	a-d---fv-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27293	a-d---fa-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27294	a-d---fa-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27293	a-s---fn-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27294	a-s---fn-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27293	a-s---fv-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27294	a-s---fv-
Δίκτυνν’	*di/ktunn'	Δίκτυννα	*di/ktunna	urn:cite2:hmt:lsj.chicago_md:n27016	n-s---fn-
Δίκτυνν’	*di/ktunn'	Δίκτυννα	*di/ktunna	urn:cite2:hmt:lsj.chicago_md:n27016	n-s---fv-
Εὐρώπαν	*eu)rw/pan	Εὐρώπη	*eu)rw/ph	urn:cite2:hmt:lsj.chicago_md:n45073	n-s---fa-
Εὐρώπας	*eu)rw/pas	Εὐρώπη	*eu)rw/ph	urn:cite2:hmt:lsj.chicago_md:n45073	n-p---fa-
Εὐρώπας	*eu)rw/pas	Εὐρώπη	*eu)rw/ph	urn:cite2:hmt:lsj.chicago_md:n45073	n-s---fg-
Εὐρώταν	*eu)rw/tan	Εὐρώτας	*eu)rw/tas	urn:cite2:hmt:lsj.chicago_md:n45082	n-s---ma-
Εὔριπος	*eu)/ripos	Εὔριπος	*eu)/ripos	urn:cite2:hmt:lsj.chicago_md:n44961	n-s---mn-
Εὔριπος	*eu)/ripos	εὔριπος	eu)/ripos	urn:cite2:hmt:lsj.chicago_md:n44961	n-s---mn-
Ζεφύρου	*zefu/rou	Ζέφυρος	*ze/furos	urn:cite2:hmt:lsj.chicago_md:n46203	n-s---mg-
Ζεφύρου	*zefu/rou	Ζέφυρος	*ze/furos	urn:cite2:hmt:lsj.chicago_md:n46203	n-s---mg-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mn-
Θυέστου	*que/stou	Θυέστης	*que/sths	urn:cite2:hmt:lsj.chicago_md:n49289	n-s---mg-
Θυέστου	*que/stou	θύεστον	qu/eston	urn:cite2:hmt:lsj.chicago_md:n49290	n-s---ng-
Θυέστου	*que/stou	θυέστης	que/sths	urn:cite2:hmt:lsj.chicago_md:n49289	n-s---mg-
Θέμιν	*qe/min	Θέμις	*qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-s---fa-
Θέμιν	*qe/min	Θέμις	*qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-s---fa-
Θέμιν	*qe/min	Θέμις	*qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-s---fa-
Θέμιν	*qe/min	θέμις	qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-s---fa-
Θέμιν	*qe/min	θέμις	qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-s---fa-
Θέμιν	*qe/min	θέμις	qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-s---fa-
Θέτιδος	*qe/tidos	Θέτις	*qe/tis	urn:cite2:hmt:lsj.chicago_md:n48561	n-s---fg-
Θόας	*qo/as	Θόας	*qo/as	urn:cite2:hmt:lsj.chicago_md:n48917	n-s---mn-
Κασταλίας	*kastali/as	Κασταλία	*kastali/a	urn:cite2:hmt:lsj.chicago_md:n53625	n-p---fa-
Κασταλίας	*kastali/as	Κασταλία	*kastali/a	urn:cite2:hmt:lsj.chicago_md:n53625	n-s---fg-
Κυκλωπίς	*kuklwpi/s	Κυκλώπιος	*kuklw/pios	urn:cite2:hmt:lsj.chicago_md:n60665	n-s---fn-
Κάλχαντ’	*ka/lxant'	Κάλχας	*ka/lxas	urn:cite2:hmt:lsj.chicago_md:n52900	n-s---ma-
Κάλχαντ’	*ka/lxant'	Κάλχας	*ka/lxas	urn:cite2:hmt:lsj.chicago_md:n52900	n-s---md-
Κάλχαντ’	*ka/lxant'	Κάλχας	*ka/lxas	urn:cite2:hmt:lsj.chicago_md:n52900	n-d---mn-
Κάλχαντ’	*ka/lxant'	Κάλχας	*ka/lxas	urn:cite2:hmt:lsj.chicago_md:n52900	n-d---mv-
Κάλχαντ’	*ka/lxant'	Κάλχας	*ka/lxas	urn:cite2:hmt:lsj.chicago_md:n52900	n-d---ma-
Κάλχας	*ka/lxas	Κάλχας	*ka/lxas	urn:cite2:hmt:lsj.chicago_md:n52900	n-s---mn-
Κάλχας	*ka/lxas	κάλχη	ka/lxh	urn:cite2:hmt:lsj.chicago_md:n52901	n-p---fa-
Κάλχας	*ka/lxas	κάλχη	ka/lxh	urn:cite2:hmt:lsj.chicago_md:n52901	n-s---fg-
Κόμισαί	*ko/misai/	κομίζω	komi/zw	urn:cite2:hmt:lsj.chicago_md:n58790	v2samm---
Κύνθιον	*ku/nqion	Κύνθος	*ku/nqos	urn:cite2:hmt:lsj.chicago_md:n60858	n-s---ma-
Κύνθιον	*ku/nqion	Κύνθος	*ku/nqos	urn:cite2:hmt:lsj.chicago_md:n60858	n-s---fa-
Κύνθιον	*ku/nqion	Κύνθος	*ku/nqos	urn:cite2:hmt:lsj.chicago_md:n60858	n-s---nn-
Κύνθιον	*ku/nqion	Κύνθος	*ku/nqos	urn:cite2:hmt:lsj.chicago_md:n60858	n-s---nv-
Κύνθιον	*ku/nqion	Κύνθος	*ku/nqos	urn:cite2:hmt:lsj.chicago_md:n60858	n-s---na-
Λατοῦς	*latou=s	Λητώ	*lhtw/	urn:cite2:hmt:lsj.chicago_md:n63003	n-p---fn-
Λατοῦς	*latou=s	Λητώ	*lhtw/	urn:cite2:hmt:lsj.chicago_md:n63003	n-p---fv-
Λατοῦς	*latou=s	Λητώ	*lhtw/	urn:cite2:hmt:lsj.chicago_md:n63003	n-s---fg-
Λατοῦς	*latou=s	Λητώ	*lhtw/	urn:cite2:hmt:lsj.chicago_md:n63003	n-p---fv-
Λαέρτου	*lae/rtou	Λαέρτης	*lae/rths	urn:cite2:hmt:lsj.chicago_md:n61577	n-s---mg-
Λευκοθέας	*leukoqe/as	Λευκοθέα	*leukoqe/a	urn:cite2:hmt:lsj.chicago_md:n62668	n-s---fg-
Λητοῦς	*lhtou=s	Λητώ	*lhtw/	urn:cite2:hmt:lsj.chicago_md:n63003	n-p---fn-
Λητοῦς	*lhtou=s	Λητώ	*lhtw/	urn:cite2:hmt:lsj.chicago_md:n63003	n-p---fv-
Λητοῦς	*lhtou=s	Λητώ	*lhtw/	urn:cite2:hmt:lsj.chicago_md:n63003	n-s---fg-
Λητώ	*lhtw/	Λητώ	*lhtw/	urn:cite2:hmt:lsj.chicago_md:n63003	n-s---fn-
Λοξίας	*loci/as	Λοξίας	*loci/as	urn:cite2:hmt:lsj.chicago_md:n63862	n-p---ma-
Λοξίας	*loci/as	Λοξίας	*loci/as	urn:cite2:hmt:lsj.chicago_md:n63862	n-s---mn-
Λοξίου	*loci/ou	Λοξίας	*loci/as	urn:cite2:hmt:lsj.chicago_md:n63862	n-s---mg-
Λοξίᾳ	*loci/a|	Λοξίας	*loci/as	urn:cite2:hmt:lsj.chicago_md:n63862	n-p---mn-
Λοξίᾳ	*loci/a|	Λοξίας	*loci/as	urn:cite2:hmt:lsj.chicago_md:n63862	n-p---mv-
Λοξίᾳ	*loci/a|	Λοξίας	*loci/as	urn:cite2:hmt:lsj.chicago_md:n63862	n-s---md-
Λάκαινα	*la/kaina	Λάκαινα	*la/kaina	urn:cite2:hmt:lsj.chicago_md:n61697	n-s---fn-
Λάκαινα	*la/kaina	Λάκαινα	*la/kaina	urn:cite2:hmt:lsj.chicago_md:n61697	n-s---fv-
Μενέλαος	*mene/laos	Μενέλαος	*mene/laos	urn:cite2:hmt:lsj.chicago_md:n66270	n-s---mn-
Μενέλαος	*mene/laos	Μενέλαος	*mene/laos	urn:cite2:hmt:lsj.chicago_md:n66270	n-s---mn-
Μενέλεω	*mene/lew	Μενέλαος	*mene/laos	urn:cite2:hmt:lsj.chicago_md:n66270	n-s---mg-
Μενέλεών	*mene/lew/n	Μενέλαος	*mene/laos	urn:cite2:hmt:lsj.chicago_md:n66270	n-s---ma-
Μενέλεῳ	*mene/lew|	Μενέλαος	*mene/laos	urn:cite2:hmt:lsj.chicago_md:n66270	n-p---mn-
Μενέλεῳ	*mene/lew|	Μενέλαος	*mene/laos	urn:cite2:hmt:lsj.chicago_md:n66270	n-s---md-
Μούσας	*mou/sas	Μοῦσα	*mou=sa	urn:cite2:hmt:lsj.chicago_md:n68876	n-p---fa-
Μούσας	*mou/sas	Μοῦσα	*mou=sa	urn:cite2:hmt:lsj.chicago_md:n68876	n-s---fg-
Μοῖραι	*moi=rai	Μοῖρα	*moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-p---fn-
Μοῖραι	*moi=rai	Μοῖρα	*moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-p---fv-
Μοῖραι	*moi=rai	μοῖρα	moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-p---fn-
Μοῖραι	*moi=rai	μοῖρα	moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-p---fv-
Μοῖραι	*moi=rai	μοῖρα	moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-p---fn-
Μοῖραι	*moi=rai	μοῖρα	moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-p---fv-
Μυκηνῶν	*mukhnw=n	Μυκήνη	*mukh/nh	urn:cite2:hmt:lsj.chicago_md:n69086	n-p---fg-
Μυκήνα	*mukh/na	Μυκήνη	*mukh/nh	urn:cite2:hmt:lsj.chicago_md:n69086	n-d---fn-
Μυκήνα	*mukh/na	Μυκήνη	*mukh/nh	urn:cite2:hmt:lsj.chicago_md:n69086	n-d---fv-
Μυκήνα	*mukh/na	Μυκήνη	*mukh/nh	urn:cite2:hmt:lsj.chicago_md:n69086	n-d---fa-
Μυκήνα	*mukh/na	Μυκήνη	*mukh/nh	urn:cite2:hmt:lsj.chicago_md:n69086	n-s---fn-
Μυκήνα	*mukh/na	Μυκήνη	*mukh/nh	urn:cite2:hmt:lsj.chicago_md:n69086	n-s---fv-
Μυκήναις	*mukh/nais	Μυκήνη	*mukh/nh	urn:cite2:hmt:lsj.chicago_md:n69086	n-p---fd-
Μυκήνας	*mukh/nas	Μυκήνη	*mukh/nh	urn:cite2:hmt:lsj.chicago_md:n69086	n-p---fa-
Μυκήνας	*mukh/nas	Μυκήνη	*mukh/nh	urn:cite2:hmt:lsj.chicago_md:n69086	n-s---fg-
Ναυπλία	*naupli/a	Ναύπλιος	*nau/plios	urn:cite2:hmt:lsj.chicago_md:n69855	a-d---fn-
Ναυπλία	*naupli/a	Ναύπλιος	*nau/plios	urn:cite2:hmt:lsj.chicago_md:n69855	a-d---fv-
Ναυπλία	*naupli/a	Ναύπλιος	*nau/plios	urn:cite2:hmt:lsj.chicago_md:n69855	a-d---fa-
Ναυπλία	*naupli/a	Ναύπλιος	*nau/plios	urn:cite2:hmt:lsj.chicago_md:n69855	a-s---fn-
Ναυπλία	*naupli/a	Ναύπλιος	*nau/plios	urn:cite2:hmt:lsj.chicago_md:n69855	a-s---fv-
Ναυπλία	*naupli/a	Ναυπλία	*naupli/a	urn:cite2:hmt:lsj.chicago_md:n69854	n-d---fn-
Ναυπλία	*naupli/a	Ναυπλία	*naupli/a	urn:cite2:hmt:lsj.chicago_md:n69854	n-d---fv-
Ναυπλία	*naupli/a	Ναυπλία	*naupli/a	urn:cite2:hmt:lsj.chicago_md:n69854	n-d---fa-
Ναυπλία	*naupli/a	Ναυπλία	*naupli/a	urn:cite2:hmt:lsj.chicago_md:n69854	n-s---fn-
Ναυπλία	*naupli/a	Ναυπλία	*naupli/a	urn:cite2:hmt:lsj.chicago_md:n69854	n-s---fv-
Νηρέως	*nhre/ws	Νηρεύς	*nhreu/s	urn:cite2:hmt:lsj.chicago_md:n70729	n-s---mg-
Νηρέως	*nhre/ws	Νηρεύς	*nhreu/s	urn:cite2:hmt:lsj.chicago_md:n70729	n-s---mg-
Νηρέως	*nhre/ws	Νηρεύς	*nhreu/s	urn:cite2:hmt:lsj.chicago_md:n70729	n-s---mn-
Νηρῄδων	*nhrh/|dwn	Νηρηίς	*nhrhi/s	urn:cite2:hmt:lsj.chicago_md:n70731	n-p---fg-
Νηρῄδων	*nhrh/|dwn	Νηρηίς	*nhrhi/s	urn:cite2:hmt:lsj.chicago_md:n70731	n-p---fg-
Νηρῇδος	*nhrh=|dos	Νηρηίς	*nhrhi/s	urn:cite2:hmt:lsj.chicago_md:n70731	n-s---fg-
Νηρῇδος	*nhrh=|dos	Νηρηίς	*nhrhi/s	urn:cite2:hmt:lsj.chicago_md:n70731	n-s---fg-
Νίκη	*ni/kh	Νίκη	*ni/kh	urn:cite2:hmt:lsj.chicago_md:n70840	n-s---fn-
Νίκη	*ni/kh	Νίκη	*ni/kh	urn:cite2:hmt:lsj.chicago_md:n111343	n-s---fn-
Νίκη	*ni/kh	Νίκη	*ni/kh	urn:cite2:hmt:lsj.chicago_md:n70840	n-s---fv-
Νίκη	*ni/kh	Νίκη	*ni/kh	urn:cite2:hmt:lsj.chicago_md:n111343	n-s---fv-
Νίκη	*ni/kh	νίκη	ni/kh	urn:cite2:hmt:lsj.chicago_md:n70840	n-s---fn-
Νίκη	*ni/kh	νίκη	ni/kh	urn:cite2:hmt:lsj.chicago_md:n111343	n-s---fn-
Νίκη	*ni/kh	νίκη	ni/kh	urn:cite2:hmt:lsj.chicago_md:n70840	n-s---fv-
Νίκη	*ni/kh	νίκη	ni/kh	urn:cite2:hmt:lsj.chicago_md:n111343	n-s---fv-
Νίκη	*ni/kh	νῖκος	ni=kos	urn:cite2:hmt:lsj.chicago_md:n70859	n-p---nn-
Νίκη	*ni/kh	νῖκος	ni=kos	urn:cite2:hmt:lsj.chicago_md:n70859	n-p---nv-
Νίκη	*ni/kh	νῖκος	ni=kos	urn:cite2:hmt:lsj.chicago_md:n70859	n-p---na-
Νίκη	*ni/kh	νῖκος	ni=kos	urn:cite2:hmt:lsj.chicago_md:n70859	n-d---nn-
Νίκη	*ni/kh	νῖκος	ni=kos	urn:cite2:hmt:lsj.chicago_md:n70859	n-d---nv-
Νίκη	*ni/kh	νῖκος	ni=kos	urn:cite2:hmt:lsj.chicago_md:n70859	n-d---na-
Νίκη	*ni/kh	νικάω	nika/w	urn:cite2:hmt:lsj.chicago_md:n70839	v2spma---
Νίκη	*ni/kh	νικάω	nika/w	urn:cite2:hmt:lsj.chicago_md:n70839	v2spma---
Νίκη	*ni/kh	νικάω	nika/w	urn:cite2:hmt:lsj.chicago_md:n70839	v3siia---
Οὐχ	*ou)x	οὐ	ou)	urn:cite2:hmt:lsj.chicago_md:n75730	d--------
Παλαῖμον	*palai=mon	Παλαίμων	*palai/mwn	urn:cite2:hmt:lsj.chicago_md:n76751	n-s---mv-
Παλλάδος	*palla/dos	Παλλάς	*palla/s	urn:cite2:hmt:lsj.chicago_md:n77017	n-s---fg-
Παλλάδος	*palla/dos	Παλλάς	*palla/s	urn:cite2:hmt:lsj.chicago_md:n77018	n-s---fg-
Παλλάς	*palla/s	Παλλάς	*palla/s	urn:cite2:hmt:lsj.chicago_md:n77017	n-s---fn-
Παλλάς	*palla/s	Παλλάς	*palla/s	urn:cite2:hmt:lsj.chicago_md:n77018	n-s---fn-
Πανός	*pano/s	Πάν	*pa/n	urn:cite2:hmt:lsj.chicago_md:n77168	n-s---mg-
Πανός	*pano/s	Πάν	*pa/n	urn:cite2:hmt:lsj.chicago_md:n77169	n-s---mg-
Πανός	*pano/s	Πᾶν	*pa=n	urn:cite2:hmt:lsj.chicago_md:n77168	n-s---mg-
Πανός	*pano/s	Πᾶν	*pa=n	urn:cite2:hmt:lsj.chicago_md:n77169	n-s---mg-
Πανός	*pano/s	πανός	pano/s	urn:cite2:hmt:lsj.chicago_md:n77514	n-s---mn-
Πανός	*pano/s	πανός	pano/s	urn:cite2:hmt:lsj.chicago_md:n77515	n-s---mn-
Πηλέως	*phle/ws	Πηλεύς	*phleu/s	urn:cite2:hmt:lsj.chicago_md:n82928	n-s---mg-
Πηλέως	*phle/ws	Πηλεύς	*phleu/s	urn:cite2:hmt:lsj.chicago_md:n82928	n-s---mg-
Πηλέως	*phle/ws	Πηλεύς	*phleu/s	urn:cite2:hmt:lsj.chicago_md:n82928	n-s---mn-
Ποσειδῶν	*poseidw=n	Ποσειδῶν	*poseidw=n	urn:cite2:hmt:lsj.chicago_md:n85893	n-s---mn-
Πυθίων	*puqi/wn	Πύθια	*pu/qia	urn:cite2:hmt:lsj.chicago_md:n91362	n-p---ng-
Πυθίων	*puqi/wn	Πύθια	*pu/qia	urn:cite2:hmt:lsj.chicago_md:n91363	n-p---ng-
Πυθίων	*puqi/wn	Πύθιον	*pu/qion	urn:cite2:hmt:lsj.chicago_md:n91369	n-p---ng-
Πυθίων	*puqi/wn	Πύθιος	*pu/qios	urn:cite2:hmt:lsj.chicago_md:n91372	a-p---fg-
Πυθίων	*puqi/wn	Πύθιος	*pu/qios	urn:cite2:hmt:lsj.chicago_md:n91372	a-p---mg-
Πυθίων	*puqi/wn	Πύθιος	*pu/qios	urn:cite2:hmt:lsj.chicago_md:n91372	a-p---ng-
Πυθῶνος	*puqw=nos	Πυθών	*puqw/n	urn:cite2:hmt:lsj.chicago_md:n91395	n-s---fg-
Πυθῶνος	*puqw=nos	Πυθών	*puqw/n	urn:cite2:hmt:lsj.chicago_md:n91396	n-s---fg-
Πέλοπος	*pe/lopos	Πέλοψ	*pe/loy	urn:cite2:hmt:lsj.chicago_md:n80508	n-s---mg-
Πέλοπός	*pe/lopo/s	Πέλοψ	*pe/loy	urn:cite2:hmt:lsj.chicago_md:n80508	n-s---mg-
Πέλοψ	*pe/loy	Πέλοψ	*pe/loy	urn:cite2:hmt:lsj.chicago_md:n80508	n-s---mn-
Πέλοψ	*pe/loy	Πέλοψ	*pe/loy	urn:cite2:hmt:lsj.chicago_md:n80508	n-s---mv-
Πῖσαν	*pi=san	Πῖσα	*pi=sa	urn:cite2:hmt:lsj.chicago_md:n83256	n-s---fa-
Πῖσαν	*pi=san	Πῖσα	*pi=sa	urn:cite2:hmt:lsj.chicago_md:n83257	n-s---fa-
Πῖσαν	*pi=san	πιπίσκω	pipi/skw	urn:cite2:hmt:lsj.chicago_md:n83246	v-sapann-
Πῖσαν	*pi=san	πιπίσκω	pipi/skw	urn:cite2:hmt:lsj.chicago_md:n83246	v-sapanv-
Πῖσαν	*pi=san	πιπίσκω	pipi/skw	urn:cite2:hmt:lsj.chicago_md:n83246	v-sapana-
Πῖσαν	*pi=san	πιπίσκω	pipi/skw	urn:cite2:hmt:lsj.chicago_md:n83246	v3paia---
Σπάρτῃ	*spa/rth|	Σπάρτη	*spa/rth	urn:cite2:hmt:lsj.chicago_md:n95769	n-s---fd-
Σπάρτῃ	*spa/rth|	Σπάρτη	*spa/rth	urn:cite2:hmt:lsj.chicago_md:n95770	n-s---fd-
Σπάρτῃ	*spa/rth|	σπάρτη	spa/rth	urn:cite2:hmt:lsj.chicago_md:n95769	n-s---fd-
Σπάρτῃ	*spa/rth|	σπάρτη	spa/rth	urn:cite2:hmt:lsj.chicago_md:n95770	n-s---fd-
Στροφίῳ	*strofi/w|	Στρόφιος	*stro/fios	urn:cite2:hmt:lsj.chicago_md:n97305	n-s---md-
Στροφίῳ	*strofi/w|	Στροφίος	*strofi/os	urn:cite2:hmt:lsj.chicago_md:n97305	n-s---md-
Στροφίῳ	*strofi/w|	στρόφιον	stro/fion	urn:cite2:hmt:lsj.chicago_md:n97304	n-s---nd-
Στροφίῳ	*strofi/w|	στρόφιος	stro/fios	urn:cite2:hmt:lsj.chicago_md:n97305	n-s---md-
Στρόφιος	*stro/fios	Στρόφιος	*stro/fios	urn:cite2:hmt:lsj.chicago_md:n97305	n-s---mn-
Στρόφιος	*stro/fios	στρόφιος	stro/fios	urn:cite2:hmt:lsj.chicago_md:n97305	n-s---mn-
Στρόφιος	*stro/fios	στρόφις	stro/fis	urn:cite2:hmt:lsj.chicago_md:n97307	n-s---mg-
Συμπληγάδα	*sumplhga/da	συμπληγάς	sumplhga/s	urn:cite2:hmt:lsj.chicago_md:n98728	n-s---fa-
Συμπληγάδας	*sumplhga/das	συμπληγάς	sumplhga/s	urn:cite2:hmt:lsj.chicago_md:n98728	n-p---fa-
Συμπληγάδων	*sumplhga/dwn	συμπληγάς	sumplhga/s	urn:cite2:hmt:lsj.chicago_md:n98728	n-p---fg-
Τανταλιδᾶν	*tantalida=n	Τανταλίδης	*tantali/dhs	urn:cite2:hmt:lsj.chicago_md:n102320	n-p---mg-
Τανταλιδᾶν	*tantalida=n	τανταλίδης	tantali/dhs	urn:cite2:hmt:lsj.chicago_md:n102320	n-p---mg-
Ταντάλειον	*tanta/leion	Ταντάλειος	*tanta/leios	urn:cite2:hmt:lsj.chicago_md:n102316	a-s---ma-
Ταντάλειον	*tanta/leion	Ταντάλειος	*tanta/leios	urn:cite2:hmt:lsj.chicago_md:n102316	a-s---nn-
Ταντάλειον	*tanta/leion	Ταντάλειος	*tanta/leios	urn:cite2:hmt:lsj.chicago_md:n102316	a-s---nv-
Ταντάλειον	*tanta/leion	Ταντάλειος	*tanta/leios	urn:cite2:hmt:lsj.chicago_md:n102316	a-s---na-
Ταντάλειος	*tanta/leios	Ταντάλειος	*tanta/leios	urn:cite2:hmt:lsj.chicago_md:n102316	a-s---mn-
Ταντάλου	*tanta/lou	Τάνταλος	*ta/ntalos	urn:cite2:hmt:lsj.chicago_md:n102319	n-s---mg-
Ταυρικῆς	*taurikh=s	Ταυρικός	*tauriko/s	urn:cite2:hmt:lsj.chicago_md:n102543	a-s---fg-
Ταυρικῆς	*taurikh=s	ταυρικός	tauriko/s	urn:cite2:hmt:lsj.chicago_md:n102543	a-s---fg-
Ταυροπόλον	*tauropo/lon	ταυροπόλος	tauropo/los	urn:cite2:hmt:lsj.chicago_md:n102585	n-s---fa-
Ταύρων	*tau/rwn	Ταῦρος	*tau=ros	urn:cite2:hmt:lsj.chicago_md:n102589	n-p---mg-
Ταύρων	*tau/rwn	ταῦρος	tau=ros	urn:cite2:hmt:lsj.chicago_md:n102589	n-p---mg-
Ταύρων	*tau/rwn	ταυράω	taura/w	urn:cite2:hmt:lsj.chicago_md:n102528	v3piia---
Ταύρων	*tau/rwn	ταυράω	taura/w	urn:cite2:hmt:lsj.chicago_md:n102528	v1siia---
Τιτάνων	*tita/nwn	Τίτανος	*ti/tanos	urn:cite2:hmt:lsj.chicago_md:n104070	n-p---fg-
Τιτάνων	*tita/nwn	Τιτάν	*tita/n	urn:cite2:hmt:lsj.chicago_md:n104056	n-p---mg-
Τιτάνων	*tita/nwn	τίτανος	ti/tanos	urn:cite2:hmt:lsj.chicago_md:n104070	n-p---fg-
Τροίαν	*troi/an	Τροία	*troi/a	urn:cite2:hmt:lsj.chicago_md:n105483	n-s---fa-
Τροίαν	*troi/an	Τροία	*troi/a	urn:cite2:hmt:lsj.chicago_md:n105484	n-s---fa-
Τροίαν	*troi/an	Τροία	*troi/a	urn:cite2:hmt:lsj.chicago_md:n105483	n-s---fa-
