’	'	ἒ	e)\	x--------
Αἰγινήτεω	*ai)ginh/tew	Αἰγινήτης	*ai)ginh/ths	n-s---mg-
Αἰγινήτην	*ai)ginh/thn	Αἰγινήτης	*ai)ginh/ths	n-s---ma-
Αἰγινήτης	*ai)ginh/ths	Αἰγινήτης	*ai)ginh/ths	n-s---mn-
Αἰγινήτῃσι	*ai)ginh/th|si	Αἰγινήτης	*ai)ginh/ths	n-p---md-
Αἰγινῆτα	*ai)ginh=ta	Αἰγινήτης	*ai)ginh/ths	n-s---mv-
Αἰγινῆτα	*ai)ginh=ta	Αἰγινήτης	*ai)ginh/ths	n-s---mn-
Αἰγινῆται	*ai)ginh=tai	Αἰγινήτης	*ai)ginh/ths	n-p---mn-
Αἰγινῆται	*ai)ginh=tai	Αἰγινήτης	*ai)ginh/ths	n-p---mv-
Αἰγινῆταί	*ai)ginh=tai/	Αἰγινήτης	*ai)ginh/ths	n-p---mn-
Αἰγινῆταί	*ai)ginh=tai/	Αἰγινήτης	*ai)ginh/ths	n-p---mv-
Αἰγιρόεσσα	*ai)giro/essa	Αἰγιρόεσσα	*ai)giro/essa	n-s---fn-
Αἰγιρόεσσα	*ai)giro/essa	Αἰγιρόεσσα	*ai)giro/essa	n-s---fv-
Αἰγλῶν	*ai)glw=n	Αἴγλη	*ai)/glh	n-p---fg-
Αἰγλῶν	*ai)glw=n	αἴγλη	ai)/glh	n-p---fg-
Αἰγλῶν	*ai)glw=n	αἰγλάζω	ai)gla/zw	v-sfpamv-
Αἰγλῶν	*ai)glw=n	αἰγλάζω	ai)gla/zw	v-sfpann-
Αἰγλῶν	*ai)glw=n	αἰγλάζω	ai)gla/zw	v-sfpanv-
Αἰγλῶν	*ai)glw=n	αἰγλάζω	ai)gla/zw	v-sfpana-
Αἰγλῶν	*ai)glw=n	αἰγλάζω	ai)gla/zw	v-sfpamn-
Αἰγυπτιέων	*ai)guptie/wn	Αἰγύπτιος	*ai)gu/ptios	a-p---mg-
Αἰγυπτιέων	*ai)guptie/wn	Αἰγύπτιος	*ai)gu/ptios	a-p---fg-
Αἰγυπτιέων	*ai)guptie/wn	αἰγυπτία	ai)gupti/a	n-p---fg-
Αἰγυπτίη	*ai)gupti/h	Αἰγύπτιος	*ai)gu/ptios	a-s---fn-
Αἰγυπτίη	*ai)gupti/h	Αἰγύπτιος	*ai)gu/ptios	a-s---fv-
Αἰγυπτίη	*ai)gupti/h	αἰγυπτία	ai)gupti/a	n-s---fn-
Αἰγυπτίη	*ai)gupti/h	αἰγυπτία	ai)gupti/a	n-s---fv-
Αἰγυπτίης	*ai)gupti/hs	Αἰγύπτιος	*ai)gu/ptios	a-s---fg-
Αἰγυπτίης	*ai)gupti/hs	αἰγυπτία	ai)gupti/a	n-s---fg-
Αἰγυπτίοισι	*ai)gupti/oisi	Αἰγύπτιος	*ai)gu/ptios	a-p---md-
Αἰγυπτίοισι	*ai)gupti/oisi	Αἰγύπτιος	*ai)gu/ptios	a-p---nd-
Αἰγυπτίοισί	*ai)gupti/oisi/	Αἰγύπτιος	*ai)gu/ptios	a-p---md-
Αἰγυπτίοισί	*ai)gupti/oisi/	Αἰγύπτιος	*ai)gu/ptios	a-p---nd-
Αἰγυπτίου	*ai)gupti/ou	Αἰγύπτιος	*ai)gu/ptios	a-s---mg-
Αἰγυπτίου	*ai)gupti/ou	Αἰγύπτιος	*ai)gu/ptios	a-s---ng-
Αἰγυπτίου	*ai)gupti/ou	Αἰγυπτιόω	*ai)guptio/w	v3siia---
Αἰγυπτίου	*ai)gupti/ou	Αἰγυπτιόω	*ai)guptio/w	v2spma---
Αἰγυπτίους	*ai)gupti/ous	Αἰγύπτιος	*ai)gu/ptios	a-p---ma-
Αἰγυπτίους	*ai)gupti/ous	Αἰγυπτιόω	*ai)guptio/w	v2siia---
Αἰγυπτίων	*ai)gupti/wn	Αἰγύπτιος	*ai)gu/ptios	a-p---fg-
Αἰγυπτίων	*ai)gupti/wn	Αἰγύπτιος	*ai)gu/ptios	a-p---mg-
Αἰγυπτίων	*ai)gupti/wn	Αἰγύπτιος	*ai)gu/ptios	a-p---ng-
Αἰγυπτίων	*ai)gupti/wn	Αἰγυπτιόω	*ai)guptio/w	v3piia---
Αἰγυπτίων	*ai)gupti/wn	Αἰγυπτιόω	*ai)guptio/w	v1siia---
Αἰγυπτίῃσι	*ai)gupti/h|si	Αἰγύπτιος	*ai)gu/ptios	a-p---fd-
Αἰγυπτίῃσι	*ai)gupti/h|si	αἰγυπτία	ai)gupti/a	n-p---fd-
Αἰγυπτίῳ	*ai)gupti/w|	Αἰγύπτιος	*ai)gu/ptios	a-s---md-
Αἰγυπτίῳ	*ai)gupti/w|	Αἰγύπτιος	*ai)gu/ptios	a-s---nd-
Αἰγάλεως	*ai)ga/lews	Αἰγάλευς	*ai)ga/leus	n-s---mg-
Αἰγέος	*ai)ge/os	Αἰγεύς	*ai)geu/s	n-s---mg-
Αἰγέος	*ai)ge/os	Αἰγίς	*ai)gi/s	n-s---fg-
Αἰγίλια	*ai)gi/lia	Αἰγιλία	*ai)gili/a	n-s---fn-
Αἰγίλια	*ai)gi/lia	Αἰγιλία	*ai)gili/a	n-s---fv-
Αἰγίνης	*ai)gi/nhs	Αἴγινα	*ai)/gina	n-s---fg-
Αἰγίνης	*ai)gi/nhs	αἰγίνη	ai)gi/nh	n-s---fg-
Αἰγίνῃ	*ai)gi/nh|	Αἴγινα	*ai)/gina	n-s---fd-
Αἰγίνῃ	*ai)gi/nh|	αἰγίνη	ai)gi/nh	n-s---fd-
Αἰγός	*ai)go/s	Αἴξ	*ai)/c	n-s---mg-
Αἰγός	*ai)go/s	αἴξ	ai)/c	n-s---mg-
Αἰγός	*ai)go/s	αἴξ	ai)/c	n-s---fg-
Αἰγύπτιαι	*ai)gu/ptiai	Αἰγύπτιος	*ai)gu/ptios	a-p---fn-
Αἰγύπτιαι	*ai)gu/ptiai	Αἰγύπτιος	*ai)gu/ptios	a-p---fv-
Αἰγύπτιαι	*ai)gu/ptiai	αἰγυπτία	ai)gupti/a	n-p---fn-
Αἰγύπτιαι	*ai)gu/ptiai	αἰγυπτία	ai)gupti/a	n-p---fv-
Αἰγύπτιοι	*ai)gu/ptioi	Αἰγύπτιος	*ai)gu/ptios	a-p---mn-
Αἰγύπτιοι	*ai)gu/ptioi	Αἰγύπτιος	*ai)gu/ptios	a-p---mv-
Αἰγύπτιον	*ai)gu/ption	Αἰγύπτιος	*ai)gu/ptios	a-s---ma-
Αἰγύπτιον	*ai)gu/ption	Αἰγύπτιος	*ai)gu/ptios	a-s---nn-
Αἰγύπτιον	*ai)gu/ption	Αἰγύπτιος	*ai)gu/ptios	a-s---nv-
Αἰγύπτιον	*ai)gu/ption	Αἰγύπτιος	*ai)gu/ptios	a-s---na-
Αἰγύπτιος	*ai)gu/ptios	Αἰγύπτιος	*ai)gu/ptios	a-s---mn-
Αἰγύπτιοί	*ai)gu/ptioi/	Αἰγύπτιος	*ai)gu/ptios	a-p---mn-
Αἰγύπτιοί	*ai)gu/ptioi/	Αἰγύπτιος	*ai)gu/ptios	a-p---mv-
Αἰγύπτιά	*ai)gu/ptia/	Αἰγύπτιος	*ai)gu/ptios	a-p---nn-
Αἰγύπτιά	*ai)gu/ptia/	Αἰγύπτιος	*ai)gu/ptios	a-p---nv-
Αἰγύπτιά	*ai)gu/ptia/	Αἰγύπτιος	*ai)gu/ptios	a-p---na-
Αἰγύπτου	*ai)gu/ptou	Αἴγυπτος	*ai)/guptos	n-s---fg-
Αἰγύπτου	*ai)gu/ptou	Αἴγυπτος	*ai)/guptos	n-s---mg-
Αἰγύπτῳ	*ai)gu/ptw|	Αἴγυπτος	*ai)/guptos	n-s---fd-
Αἰγύπτῳ	*ai)gu/ptw|	Αἴγυπτος	*ai)/guptos	n-s---md-
Αἰγῆς	*ai)gh=s	Αἰγεύς	*ai)geu/s	n-p---mn-
Αἰγῆς	*ai)gh=s	Αἰγεύς	*ai)geu/s	n-p---mn-
Αἰγῆς	*ai)gh=s	Αἰγεύς	*ai)geu/s	n-p---mv-
Αἰγῆς	*ai)gh=s	Αἰγίς	*ai)gi/s	n-p---fn-
Αἰγῆς	*ai)gh=s	Αἰγίς	*ai)gi/s	n-p---fv-
Αἰετός	*ai)eto/s	ἀετός	a)eto/s	n-s---mn-
Αἰθιοπίδα	*ai)qiopi/da	Αἰθίοψ	*ai)qi/oy	n-s---fa-
Αἰθιοπίδα	*ai)qiopi/da	Αἰθιοπίς	*ai)qiopi/s	n-s---fa-
Αἰθιοπίη	*ai)qiopi/h	Αἰθιόπιος	*ai)qio/pios	a-s---fn-
Αἰθιοπίη	*ai)qiopi/h	Αἰθιόπιος	*ai)qio/pios	a-s---fv-
Αἰθιοπίη	*ai)qiopi/h	Αἰθιοπία	*ai)qiopi/a	n-s---fn-
Αἰθιοπίη	*ai)qiopi/h	Αἰθιοπία	*ai)qiopi/a	n-s---fv-
Αἰθιοπίην	*ai)qiopi/hn	Αἰθιόπιος	*ai)qio/pios	a-s---fa-
Αἰθιοπίην	*ai)qiopi/hn	Αἰθιοπία	*ai)qiopi/a	n-s---fa-
Αἰθιοπίης	*ai)qiopi/hs	Αἰθιόπιος	*ai)qio/pios	a-s---fg-
Αἰθιοπίης	*ai)qiopi/hs	Αἰθιοπία	*ai)qiopi/a	n-s---fg-
Αἰθιοπίῃ	*ai)qiopi/h|	Αἰθιόπιος	*ai)qio/pios	a-s---fd-
Αἰθιοπίῃ	*ai)qiopi/h|	Αἰθιοπία	*ai)qiopi/a	n-s---fd-
Αἰθιόπων	*ai)qio/pwn	Αἰθίοψ	*ai)qi/oy	n-p---mg-
Αἰθίοπα	*ai)qi/opa	Αἰθίοψ	*ai)qi/oy	n-s---ma-
Αἰθίοπας	*ai)qi/opas	Αἰθίοψ	*ai)qi/oy	n-p---ma-
Αἰθίοπες	*ai)qi/opes	Αἰθίοψ	*ai)qi/oy	n-p---mn-
Αἰθίοπες	*ai)qi/opes	Αἰθίοψ	*ai)qi/oy	n-p---mv-
Αἰθίοπος	*ai)qi/opos	Αἰθίοψ	*ai)qi/oy	n-s---mg-
Αἰθίοπάς	*ai)qi/opa/s	Αἰθίοψ	*ai)qi/oy	n-p---ma-
Αἰθίοψ	*ai)qi/oy	Αἰθίοψ	*ai)qi/oy	n-s---mn-
Αἰθίοψ	*ai)qi/oy	Αἰθίοψ	*ai)qi/oy	n-s---mv-
Αἰθίοψι	*ai)qi/oyi	Αἰθίοψ	*ai)qi/oy	n-p---md-
Αἰνείης	*ai)nei/hs	Αἰνείας	*ai)nei/as	n-s---mn-
Αἰνησιδήμου	*ai)nhsidh/mou	Αἰνησίδημος	*ai)nhsi/dhmos	n-s---mg-
Αἰνέσας	*ai)ne/sas	αἰνέω	ai)ne/w	v-sapamn-
Αἰνέσας	*ai)ne/sas	αἰνέω	ai)ne/w	v-sapamv-
Αἰνέω	*ai)ne/w	Αἰνείας	*ai)nei/as	n-s---mg-
Αἰνέω	*ai)ne/w	αἰνέω	ai)ne/w	v1spsa---
Αἰνέω	*ai)ne/w	αἰνέω	ai)ne/w	v1spia---
Αἰολεῦσι	*ai)oleu=si	Αἰολεύς	*ai)oleu/s	n-p---md-
Αἰολεῦσι	*ai)oleu=si	αἰολέω	ai)ole/w	v-pppamd-
Αἰολεῦσι	*ai)oleu=si	αἰολέω	ai)ole/w	v-pppand-
Αἰολεῦσι	*ai)oleu=si	αἰολέω	ai)ole/w	v3ppia---
Αἰολέας	*ai)ole/as	Αἰολεύς	*ai)oleu/s	n-p---ma-
Αἰολέες	*ai)ole/es	Αἰολεύς	*ai)oleu/s	n-p---mn-
Αἰολέες	*ai)ole/es	Αἰολεύς	*ai)oleu/s	n-p---mv-
Αἰολέων	*ai)ole/wn	Αἰολεύς	*ai)oleu/s	n-p---mg-
Αἰολέων	*ai)ole/wn	Αἰολεύς	*ai)oleu/s	n-p---mg-
Αἰολέων	*ai)ole/wn	αἰόλος	ai)o/los	a-p---mg-
Αἰολέων	*ai)ole/wn	αἰόλος	ai)o/los	a-p---fg-
Αἰολέων	*ai)ole/wn	αἰολέω	ai)ole/w	v-sppamn-
Αἰολίδα	*ai)oli/da	Αἰολεύς	*ai)oleu/s	n-s---fa-
Αἰολίδα	*ai)oli/da	Αἰολίδης	*ai)oli/dhs	n-s---mv-
Αἰολίδα	*ai)oli/da	Αἰολίδης	*ai)oli/dhs	n-s---mg-
Αἰολίδα	*ai)oli/da	Αἰολίδης	*ai)oli/dhs	n-s---mn-
Αἰολίδα	*ai)oli/da	Αἰολίς	*ai)oli/s	n-s---fa-
Αἰολίδες	*ai)oli/des	Αἰολεύς	*ai)oleu/s	n-p---fn-
Αἰολίδες	*ai)oli/des	Αἰολεύς	*ai)oleu/s	n-p---fv-
Αἰολίδες	*ai)oli/des	Αἰολίς	*ai)oli/s	n-p---fn-
Αἰολίδες	*ai)oli/des	Αἰολίς	*ai)oli/s	n-p---fv-
Αἰολίδος	*ai)oli/dos	Αἰολεύς	*ai)oleu/s	n-s---fg-
Αἰολίδος	*ai)oli/dos	Αἰολίς	*ai)oli/s	n-s---fg-
Αἰσανίου	*ai)sani/ou	Αἰσάνιος	*ai)sa/nios	n-s---mg-
Αἰσχραίου	*ai)sxrai/ou	Αἴσχραιος	*ai)/sxraios	n-s---mg-
Αἰσχριωνίης	*ai)sxriwni/hs	Αἰσχριώνιος	*ai)sxriw/nios	a-s---fg-
Αἰσχίνης	*ai)sxi/nhs	Αἰσχίνης	*ai)sxi/nhs	n-s---mn-
Αἰσχίνῃ	*ai)sxi/nh|	Αἰσχίνης	*ai)sxi/nhs	n-s---md-
Αἰσχύλος	*ai)sxu/los	Αἰσχύλος	*ai)sxu/los	n-s---mn-
Αἰσώπου	*ai)sw/pou	Αἴσωπος	*ai)/swpos	n-s---mg-
Αἰτωλοί	*ai)twloi/	Αἰτωλός	*ai)twlo/s	a-p---mn-
Αἰτωλοί	*ai)twloi/	Αἰτωλός	*ai)twlo/s	a-p---mv-
Αἰτωλοί	*ai)twloi/	Αἰτωλοί	*ai)twloi/	n-p---mn-
Αἰτωλοί	*ai)twloi/	Αἰτωλοί	*ai)twloi/	n-p---mv-
Αἰτωλίδος	*ai)twli/dos	Αἰτωλίς	*ai)twli/s	n-s---fg-
Αἰτωλός	*ai)twlo/s	Αἰτωλός	*ai)twlo/s	a-s---mn-
Αἰτωλῶν	*ai)twlw=n	Αἰτωλός	*ai)twlo/s	a-p---fg-
Αἰτωλῶν	*ai)twlw=n	Αἰτωλός	*ai)twlo/s	a-p---mg-
Αἰτωλῶν	*ai)twlw=n	Αἰτωλός	*ai)twlo/s	a-p---ng-
Αἰτωλῶν	*ai)twlw=n	Αἰτωλοί	*ai)twloi/	n-p---mg-
Αἰτήσας	*ai)th/sas	αἰτέω	ai)te/w	v-sapamn-
Αἰτήσας	*ai)th/sas	αἰτέω	ai)te/w	v-sapamv-
Αἰτίαι	*ai)ti/ai	αἴτιος	ai)/tios	a-s---fd-
Αἰτίαι	*ai)ti/ai	αἰτία	ai)ti/a	n-p---fn-
Αἰτίαι	*ai)ti/ai	αἰτία	ai)ti/a	n-p---fv-
Αἰτίαι	*ai)ti/ai	αἰτία	ai)ti/a	n-s---fd-
Αἰτίη	*ai)ti/h	αἴτιος	ai)/tios	a-s---fn-
Αἰτίη	*ai)ti/h	αἴτιος	ai)/tios	a-s---fv-
Αἰτίη	*ai)ti/h	αἰτία	ai)ti/a	n-s---fn-
Αἰτίη	*ai)ti/h	αἰτία	ai)ti/a	n-s---fv-
Αἰάκεα	*ai)a/kea	Αἰάκης	*ai)a/khs	n-s---ma-
Αἰάκεος	*ai)a/keos	Αἰάκης	*ai)a/khs	n-s---mg-
Αἰάκεϊ	*ai)a/kei+	Αἰάκης	*ai)a/khs	n-d---mn-
Αἰάκεϊ	*ai)a/kei+	Αἰάκης	*ai)a/khs	n-d---mv-
Αἰάκεϊ	*ai)a/kei+	Αἰάκης	*ai)a/khs	n-d---ma-
Αἰάκεϊ	*ai)a/kei+	Αἰάκης	*ai)a/khs	n-s---md-
Αἰάκεϊ	*ai)a/kei+	Αἰάκης	*ai)a/khs	n-s---md-
Αἰάκης	*ai)a/khs	Αἰάκης	*ai)a/khs	n-p---ma-
Αἰάκης	*ai)a/khs	Αἰάκης	*ai)a/khs	n-p---mn-
Αἰάκης	*ai)a/khs	Αἰάκης	*ai)a/khs	n-p---mv-
Αἰάκης	*ai)a/khs	Αἰάκης	*ai)a/khs	n-s---mn-
Αἰόλου	*ai)o/lou	Αἴολος	*ai)/olos	n-s---mg-
Αἰόλου	*ai)o/lou	αἰόλος	ai)o/los	a-s---mg-
Αἰόλου	*ai)o/lou	αἰόλος	ai)o/los	a-s---ng-
Αἱ	*ai(	ὁ	o(	l-p---fn-
Αἱ	*ai(	ὁ	o(	l-p---fv-
Αἴ	*ai)/	αἴ	ai)/	x--------
Αἴ	*ai)/	εἰ	ei)	c--------
Αἴαντι	*ai)/anti	Αἴας	*ai)/as	n-s---md-
Αἴαντος	*ai)/antos	Αἴας	*ai)/as	n-s---mg-
Αἴαντά	*ai)/anta/	Αἴας	*ai)/as	n-s---ma-
Αἴγειρα	*ai)/geira	Αἴγειρα	*ai)/geira	n-s---fn-
Αἴγειρα	*ai)/geira	Αἴγειρα	*ai)/geira	n-s---fv-
Αἴγινα	*ai)/gina	Αἴγινα	*ai)/gina	n-s---fn-
Αἴγινα	*ai)/gina	Αἴγινα	*ai)/gina	n-s---fv-
Αἴγιναν	*ai)/ginan	Αἴγινα	*ai)/gina	n-s---fa-
Αἴγιον	*ai)/gion	Αἴγιον	*ai)/gion	n-s---nn-
Αἴγιον	*ai)/gion	Αἴγιον	*ai)/gion	n-s---nv-
Αἴγιον	*ai)/gion	Αἴγιον	*ai)/gion	n-s---na-
Αἴγιον	*ai)/gion	Αἴγιος	*ai)/gios	n-s---ma-
Αἴγυπτον	*ai)/gupton	Αἴγυπτος	*ai)/guptos	n-s---fa-
Αἴγυπτον	*ai)/gupton	Αἴγυπτος	*ai)/guptos	n-s---ma-
Αἴγυπτος	*ai)/guptos	Αἴγυπτος	*ai)/guptos	n-s---fn-
Αἴγυπτος	*ai)/guptos	Αἴγυπτος	*ai)/guptos	n-s---mn-
Αἴγυπτόν	*ai)/gupto/n	Αἴγυπτος	*ai)/guptos	n-s---fa-
Αἴγυπτόν	*ai)/gupto/n	Αἴγυπτος	*ai)/guptos	n-s---ma-
Αἴγυπτός	*ai)/gupto/s	Αἴγυπτος	*ai)/guptos	n-s---fn-
Αἴγυπτός	*ai)/gupto/s	Αἴγυπτος	*ai)/guptos	n-s---mn-
Αἴης	*ai)/hs	Αἶα	*ai)=a	n-s---fg-
Αἴης	*ai)/hs	αἶα	ai)=a	n-s---fg-
Αἴνεια	*ai)/neia	Αἰνείας	*ai)nei/as	n-s---mv-
Αἴνεια	*ai)/neia	Αἰνείας	*ai)nei/as	n-s---mn-
Αἴνεια	*ai)/neia	Αἰνειάδες	*ai)neia/des	n-s---fv-
Αἴνῳ	*ai)/nw|	Αἶνος	*ai)=nos	n-s---md-
Αἴνῳ	*ai)/nw|	Αῖ̓νος	*ai=)nos	n-s---md-
Αἴνῳ	*ai)/nw|	αἶνος	ai)=nos	n-s---md-
Αἴσχιστον	*ai)/sxiston	αἰσχρός	ai)sxro/s	a-s---ma-
Αἴσχιστον	*ai)/sxiston	αἰσχρός	ai)sxro/s	a-s---nn-
Αἴσχιστον	*ai)/sxiston	αἰσχρός	ai)sxro/s	a-s---nv-
Αἴσχιστον	*ai)/sxiston	αἰσχρός	ai)sxro/s	a-s---na-
Αἴσωπος	*ai)/swpos	Αἴσωπος	*ai)/swpos	n-s---mn-
Αἴτεον	*ai)/teon	αἰτέω	ai)te/w	v3piia---
Αἴτεον	*ai)/teon	αἰτέω	ai)te/w	v1siia---
Αἴτιοι	*ai)/tioi	αἴτιος	ai)/tios	a-p---mn-
Αἴτιοι	*ai)/tioi	αἴτιος	ai)/tios	a-p---mv-
Αἴτιοι	*ai)/tioi	αἴτιος	ai)/tios	n-p---mn-
Αἴτιοι	*ai)/tioi	αἴτιος	ai)/tios	n-p---mv-
Αἴτιοι	*ai)/tioi	αἴτιος	ai)/tios	n-p---fn-
Αἴτιοι	*ai)/tioi	αἴτιος	ai)/tios	n-p---fv-
Αἴτιον	*ai)/tion	αἴτιος	ai)/tios	a-s---ma-
Αἴτιον	*ai)/tion	αἴτιος	ai)/tios	a-s---nn-
Αἴτιον	*ai)/tion	αἴτιος	ai)/tios	a-s---nv-
Αἴτιον	*ai)/tion	αἴτιος	ai)/tios	a-s---na-
Αἴτιον	*ai)/tion	αἴτιος	ai)/tios	n-s---ma-
Αἴτιον	*ai)/tion	αἴτιος	ai)/tios	n-s---fa-
Αἴτιον	*ai)/tion	αἴτιος	ai)/tios	n-s---nn-
Αἴτιον	*ai)/tion	αἴτιος	ai)/tios	n-s---nv-
Αἴτιον	*ai)/tion	αἴτιος	ai)/tios	n-s---na-
Αἴτιον	*ai)/tion	αἰτέω	ai)te/w	v3piia---
Αἴτιον	*ai)/tion	αἰτέω	ai)te/w	v1siia---
Αἴτιος	*ai)/tios	αἴτιος	ai)/tios	a-s---mn-
Αἴτιος	*ai)/tios	αἴτιος	ai)/tios	n-s---mn-
Αἴτιος	*ai)/tios	αἴτιος	ai)/tios	n-s---fn-
Αἵ	*ai(/	ὁ	o(	l-p---fn-
Αἵ	*ai(/	ὁ	o(	l-p---fv-
Αἵ	*ai(/	ὅς	o(/s	p-p---fn-
Αἵδε	*ai(/de	ὅδε	o(/de	n-p---fn-
Αἵμου	*ai(/mou	Αἷμος	*ai(=mos	n-s---mg-
Αἵμου	*ai(/mou	Αῖ̔μος	*ai=(mos	n-s---mg-
Αἵρεον	*ai(/reon	αἱρέω	ai(re/w	v3piia---
Αἵρεον	*ai(/reon	αἱρέω	ai(re/w	v1siia---
Αἶαν	*ai)=an	Αἴας	*ai)/as	n-s---mv-
Αἶαν	*ai)=an	Αἶα	*ai)=a	n-s---fa-
Αἶαν	*ai)=an	αἶα	ai)=a	n-s---fa-
Αἶνόν	*ai)=no/n	Αἶνος	*ai)=nos	n-s---ma-
Αἶνόν	*ai)=no/n	Αῖ̓νος	*ai=)nos	n-s---ma-
Αἶνόν	*ai)=no/n	αἶνος	ai)=nos	n-s---ma-
Αἶάν	*ai)=a/n	Αἴας	*ai)/as	n-s---mv-
Αἶάν	*ai)=a/n	Αἶα	*ai)=a	n-s---fa-
Αἶάν	*ai)=a/n	αἶα	ai)=a	n-s---fa-
Αἷμον	*ai(=mon	Αἵμων	*ai(/mwn	n-s---mv-
Αἷμον	*ai(=mon	Αἷμος	*ai(=mos	n-s---ma-
Αἷμον	*ai(=mon	Αῖ̔μος	*ai=(mos	n-s---ma-
Αἷμον	*ai(=mon	αἵμων	ai(/mwn	n-s---mv-
Αὐξηθέντων	*au)chqe/ntwn	αὐξάνω	au)ca/nw	v-pappmg-
Αὐξηθέντων	*au)chqe/ntwn	αὐξάνω	au)ca/nw	v-pappng-
Αὐξησίης	*au)chsi/hs	Αὐξησία	*au)chsi/a	n-s---fg-
Αὐξησίης	*au)chsi/hs	αὐξησία	au)chsi/a	n-s---fg-
Αὐσχισέων	*au)sxise/wn	Αὐσχίσαι	*au)sxi/sai	n-p---mg-
Αὐσχίσαι	*au)sxi/sai	Αὐσχίσαι	*au)sxi/sai	n-p---mn-
Αὐσχίσαι	*au)sxi/sai	Αὐσχίσαι	*au)sxi/sai	n-p---mv-
Αὐσέες	*au)se/es	Αὐσέας	*au)se/as	n-s---mv-
Αὐσέων	*au)se/wn	Αὔσα	*au)/sa	n-p---fg-
Αὐτεσίωνος	*au)tesi/wnos	Αὐτεσίων	*au)tesi/wn	n-s---mg-
Αὐτοδίκου	*au)todi/kou	Αὐτόδικος	*au)to/dikos	n-s---mg-
