form	token_urn	expanded_form
Αἰσχύλε λέξον, μηδʼ αὐθάδως σεμνυνόμενος χαλέπαινε.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1020.1.text	
Βακχεῖʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:357.1.text.token.6	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:3.1.text.token.3	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:28.1.text.token.11	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:70.1.text.token.3	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:128.1.text.token.3	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:159.1.text.token.3	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:174.1.text.token.2	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:192.1.text.token.3	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:306.2.text.token.2	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:493.2.text.token.3	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:501.1.text.token.2	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:559.1.text.token.2	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:645.2.text.token.3	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:650.2.text.token.3	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:663.1.text.token.3	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:749.2.text.token.3	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:753.1.text.token.2	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:779.1.text.token.2	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:781.2.text.token.2	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:788.1.text.token.2	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:795.2.text.token.2	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:914.1.text.token.3	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:937.1.text.token.4	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:947.2.text.token.6	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1043.1.text.token.4	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1045.1.text.token.2	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1053.1.text.token.2	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1089.1.text.token.2	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1158.1.text.token.3	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1183.1.text.token.3	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1188.1.text.token.3	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1198.1.text.token.5	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1237.1.text.token.3	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1460.1.text.token.3	
Δίʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1481.1.text.token.3	
Διόνυσʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1479.1.text.token.4	
Θηραμένης; σοφός γʼ ἀνὴρ καὶ δεινὸς ἐς τὰ πάντα,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:968.1.text	
Κλέωνʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:577.1.text.token.5	
Μουσαῖος δʼ ἐξακέσεις τε νόσων καὶ χρησμούς, Ἡσίοδος δὲ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1033.1.text	
Μοῦσʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1306.1.text.token.5	
Μοῦσʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1308.1.text.token.4	
Μοῦσα χορῶν ἱερῶν· ἐπίβηθι καὶ ἔλθʼ ἐπὶ τέρψιν ἀοιδᾶς ἐμᾶς,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:675.1.text	
Μύρμηκί θʼ ὁμοῦ καὶ Νικομάχῳ,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1506.1.text	
Πατρόκλων, Τεύκρων θυμολεόντων, ἵνʼ ἐπαίροιμʼ ἄνδρα πολίτην	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1041.1.text	
Πλαθάνη Πλαθάνη δεῦρʼ ἔλθʼ, ὁ πανοῦργος οὑτοσί,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:549.1.text	
Πλούτωνʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:436.1.text.token.1	
Πλούτωνʼ ὅπου ʼνθάδʼ οἰκεῖ;	urn:cts:greekLit:tlg0019.tlg009.fu.sp:436.1.text	
Πυθῶνʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:659.1.text.token.5	
Φερρέφατθʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:671.1.text.token.2	
Φθιῶτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1264.1.text.token.1	
Φθιῶτʼ Ἀχιλλεῦ, τί ποτʼ ἀνδροδάικτον ἀκούων	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1264.1.text	
Φοῖβʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:754.1.text.token.2	
αἱ φύσεις τʼ ἄλλως κράτισται,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1115.1.text	
αἴροιʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:441.1.text.token.1	
αἴροιʼ ἂν αὖθις ὦ παῖ.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:441.1.text	
αἴσχιστον ἔργον προσβλέπεις μʼ εἰργασμένος;	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1474.1.text	
αἵ θʼ ὑπωρόφιοι κατὰ γωνίας	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1313.1.text	
αὐτίκʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:238.1.text.token.2	
αὐτοῦ μὲν οὖν, ἵνα σοὶ κατʼ ὀφθαλμοὺς λέγῃ.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:626.1.text	
αὐτὸς βαδίζω καὶ πονῶ, τοῦτον δʼ ὀχῶ,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:23.1.text	
αὐτὸς τὰ παιδίʼ ἡ γυνὴ Κηφισοφῶν	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1408.1.text	
αὔθʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1242.1.text.token.6	
αὔθʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1299.1.text.token.2	
αὔτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:488.1.text.token.5	
αὔτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:498.1.text.token.4	
αὔτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:532.1.text.token.5	
αὔτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:843.1.text.token.5	
αὔτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:952.1.text.token.3	
αὔτʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1025.1.text.token.3	
αὕτη ʼστὶν ἣν ἔφραζε, καὶ πλοῖόν γʼ ὁρῶ.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:182.1.text	
αὕτη κροτοῦσα; δεῦρο Μοῦσʼ Εὐριπίδου,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1306.1.text	
αὕτη ποθʼ ἡ Μοῦσʼ οὐκ ἐλεσβίαζεν, οὔ.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1308.1.text	
αὖθις αἴρεσθαί σʼ ἀνάγκη	urn:cts:greekLit:tlg0019.tlg009.fu.sp:595b.1.text	
βέλτιστόν ἐσθʼ, ἕως ἂν εἰδῶμεν σαφῶς.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:322.1.text	
βαδιστέον τἄρʼ ἐστὶν ἐπὶ τονδὶ πάλιν.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:656.1.text	
βασάνιζʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:625.1.text.token.7	
βιβλίον τʼ ἔχων ἕκαστος μανθάνει τὰ δεξιά·	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1114.1.text	
βλάπτουσʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1049.1.text.token.3	
βλέποντʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:602.1.text.token.2	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:5.2.text.token.2	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:11.1.text.token.7	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:25.2.text.token.5	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:28.1.text.token.4	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:29.1.text.token.6	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:43.1.text.token.3	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:63.1.text.token.6	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:70.1.text.token.6	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:78.1.text.token.3	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:80.1.text.token.4	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:104.1.text.token.4	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:182.1.text.token.8	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:183.1.text.token.5	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:189.2.text.token.5	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:198.2.text.token.8	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:222.1.text.token.3	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:228.1.text.token.2	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:236.1.text.token.4	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:258.1.text.token.4	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:264.1.text.token.4	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:276.1.text.token.8	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:283.1.text.token.3	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:300.2.text.token.2	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:488.1.text.token.4	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:491.1.text.token.2	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:564.1.text.token.4	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:574.1.text.token.3	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:637.1.text.token.6	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:655.1.text.token.3	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:718.1.text.token.2	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:781.2.text.token.4	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:794.1.text.token.4	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:812.1.text.token.6	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:845.1.text.token.4	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:914.2.text.token.4	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:934.1.text.token.5	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:955.1.text.token.4	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:960.1.text.token.3	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:968.1.text.token.4	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1024.1.text.token.8	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1045.2.text.token.2	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1067.1.text.token.5	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1072.1.text.token.7	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1074.1.text.token.7	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1118.1.text.token.4	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1130.1.text.token.5	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1131.1.text.token.5	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1134.2.text.token.3	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1135.1.text.token.5	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1149.1.text.token.2	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1158.1.text.token.5	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1160.1.text.token.4	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1223.1.text.token.5	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1229.2.text.token.3	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1237.1.text.token.5	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1249.1.text.token.4	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1281.1.text.token.3	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1370.1.text.token.2	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1393.1.text.token.7	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1395.1.text.token.4	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1430.1.text.token.2	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1433.1.text.token.7	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1451.1.text.token.2	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1457.1.text.token.4	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1462.1.text.token.4	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1466.1.text.token.4	
γʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1482.1.text.token.2	
γάμους δʼ ἀνοσίους ἐσφέρων ἐς τὴν τέχνην.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:850.1.text	
γέλοιον ἂν φαίνοιτο· νοῦν δʼ ἔχει τίνα;	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1439.1.text	
γλῶσσʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:827.1.text.token.1	
γλῶσσʼ ἀνελισσομένη φθονεροὺς κινοῦσα χαλινοὺς	urn:cts:greekLit:tlg0019.tlg009.fu.sp:827.1.text	
γλῶττʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1471.1.text.token.2	
γλῶτταν δʼ ἐπιορκήσασαν ἰδίᾳ τῆς φρενός.	urn:cts:greekLit:tlg0019.tlg009.fu.sp:102.1.text	
γρυπαιέτους χαλκηλάτους καὶ ῥήμαθʼ ἱππόκρημνα,	urn:cts:greekLit:tlg0019.tlg009.fu.sp:929.1.text	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:23.1.text.token.7	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:30.1.text.token.5	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:31.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:72.1.text.token.8	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:73.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:82.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:82.1.text.token.7	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:87.2.text.token.3	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:102.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:107.2.text.token.3	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:115.2.text.token.3	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:198.2.text.token.6	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:224.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:231.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:254.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:275.2.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:290.1.text.token.7	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:290.1.text.token.11	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:296.3.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:302.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:330.1.text.token.5	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:370.1.text.token.6	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:377.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:417.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:426.1.text.token.3	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:490.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:492.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:497.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:526.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:546.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:567.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:570.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:603.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:620.1.text.token.4	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:648.1.text.token.5	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:672.1.text.token.5	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:683.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:706.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:774.1.text.token.8	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:782.1.text.token.3	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:791.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:818.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:822.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:850.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:852.1.text.token.4	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:857.1.text.token.5	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:859.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:870.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:899.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:903.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:905.1.text.token.8	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:915.1.text.token.7	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:916.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:920.1.text.token.9	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:927.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:936.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:989.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1007.1.text.token.11	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1029.1.text.token.3	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1033.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1052.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1055.1.text.token.7	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1076.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1087.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1102.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1131.1.text.token.2	
δʼ	urn:cts:greekLit:tlg0019.tlg009.fu.sp:1151.1.text.token.6	
