’	e)\	- no urn found -	ἒ
Αἰγινῆταί	*ai)ginh/ths	- no urn found -	Αἰγινήτης
Αἰγιρόεσσα	*ai)giro/essa	- no urn found -	Αἰγιρόεσσα
Αἰγιρόεσσα	*ai)giro/essa	- no urn found -	Αἰγιρόεσσα
Αἰγλῶν	*ai)/glh	- no urn found -	Αἴγλη
Αἰγυπτιέων	ai)gupti/a	- no urn found -	αἰγυπτία
Αἰγυπτίη	ai)gupti/a	- no urn found -	αἰγυπτία
Αἰγυπτίη	ai)gupti/a	- no urn found -	αἰγυπτία
Αἰγυπτίης	ai)gupti/a	- no urn found -	αἰγυπτία
Αἰγυπτίῃσι	ai)gupti/a	- no urn found -	αἰγυπτία
Αἰγάλεως	*ai)ga/leus	- no urn found -	Αἰγάλευς
Αἰγέος	*ai)geu/s	- no urn found -	Αἰγεύς
Αἰγέος	*ai)gi/s	- no urn found -	Αἰγίς
Αἰγίλια	*ai)gili/a	- no urn found -	Αἰγιλία
Αἰγίλια	*ai)gili/a	- no urn found -	Αἰγιλία
Αἰγός	*ai)/c	- no urn found -	Αἴξ
Αἰγύπτιαι	ai)gupti/a	- no urn found -	αἰγυπτία
Αἰγύπτιαι	ai)gupti/a	- no urn found -	αἰγυπτία
Αἰγῆς	*ai)geu/s	- no urn found -	Αἰγεύς
Αἰγῆς	*ai)geu/s	- no urn found -	Αἰγεύς
Αἰγῆς	*ai)geu/s	- no urn found -	Αἰγεύς
Αἰγῆς	*ai)gi/s	- no urn found -	Αἰγίς
Αἰγῆς	*ai)gi/s	- no urn found -	Αἰγίς
Αἰθιοπίδα	*ai)qiopi/s	- no urn found -	Αἰθιοπίς
Αἰθιοπίη	*ai)qio/pios	- no urn found -	Αἰθιόπιος
Αἰθιοπίη	*ai)qio/pios	- no urn found -	Αἰθιόπιος
Αἰθιοπίη	*ai)qiopi/a	- no urn found -	Αἰθιοπία
Αἰθιοπίη	*ai)qiopi/a	- no urn found -	Αἰθιοπία
Αἰθιοπίην	*ai)qio/pios	- no urn found -	Αἰθιόπιος
Αἰθιοπίην	*ai)qiopi/a	- no urn found -	Αἰθιοπία
Αἰθιοπίης	*ai)qio/pios	- no urn found -	Αἰθιόπιος
Αἰθιοπίης	*ai)qiopi/a	- no urn found -	Αἰθιοπία
Αἰθιοπίῃ	*ai)qio/pios	- no urn found -	Αἰθιόπιος
Αἰθιοπίῃ	*ai)qiopi/a	- no urn found -	Αἰθιοπία
Αἰνησιδήμου	*ai)nhsi/dhmos	- no urn found -	Αἰνησίδημος
Αἰολίδα	*ai)oli/dhs	- no urn found -	Αἰολίδης
Αἰολίδα	*ai)oli/dhs	- no urn found -	Αἰολίδης
Αἰολίδα	*ai)oli/dhs	- no urn found -	Αἰολίδης
Αἰολίδα	*ai)oli/s	- no urn found -	Αἰολίς
Αἰολίδες	*ai)oli/s	- no urn found -	Αἰολίς
Αἰολίδες	*ai)oli/s	- no urn found -	Αἰολίς
Αἰολίδος	*ai)oli/s	- no urn found -	Αἰολίς
Αἰσανίου	*ai)sa/nios	- no urn found -	Αἰσάνιος
Αἰσχραίου	*ai)/sxraios	- no urn found -	Αἴσχραιος
Αἰσχριωνίης	*ai)sxriw/nios	- no urn found -	Αἰσχριώνιος
Αἰσχίνης	*ai)sxi/nhs	- no urn found -	Αἰσχίνης
Αἰσχίνῃ	*ai)sxi/nhs	- no urn found -	Αἰσχίνης
Αἰσχύλος	*ai)sxu/los	- no urn found -	Αἰσχύλος
Αἰσώπου	*ai)/swpos	- no urn found -	Αἴσωπος
Αἰτωλοί	*ai)twlo/s	- no urn found -	Αἰτωλός
Αἰτωλοί	*ai)twlo/s	- no urn found -	Αἰτωλός
Αἰτωλοί	*ai)twloi/	- no urn found -	Αἰτωλοί
Αἰτωλοί	*ai)twloi/	- no urn found -	Αἰτωλοί
Αἰτωλίδος	*ai)twli/s	- no urn found -	Αἰτωλίς
Αἰτωλός	*ai)twlo/s	- no urn found -	Αἰτωλός
Αἰτωλῶν	*ai)twlo/s	- no urn found -	Αἰτωλός
Αἰτωλῶν	*ai)twlo/s	- no urn found -	Αἰτωλός
Αἰτωλῶν	*ai)twlo/s	- no urn found -	Αἰτωλός
Αἰτωλῶν	*ai)twloi/	- no urn found -	Αἰτωλοί
Αἰάκεα	*ai)a/khs	- no urn found -	Αἰάκης
Αἰάκεος	*ai)a/khs	- no urn found -	Αἰάκης
Αἰάκεϊ	*ai)a/khs	- no urn found -	Αἰάκης
Αἰάκεϊ	*ai)a/khs	- no urn found -	Αἰάκης
Αἰάκεϊ	*ai)a/khs	- no urn found -	Αἰάκης
Αἰάκεϊ	*ai)a/khs	- no urn found -	Αἰάκης
Αἰάκεϊ	*ai)a/khs	- no urn found -	Αἰάκης
Αἰάκης	*ai)a/khs	- no urn found -	Αἰάκης
Αἰάκης	*ai)a/khs	- no urn found -	Αἰάκης
Αἰάκης	*ai)a/khs	- no urn found -	Αἰάκης
Αἰάκης	*ai)a/khs	- no urn found -	Αἰάκης
Αἰόλου	*ai)/olos	- no urn found -	Αἴολος
Αἴγειρα	*ai)/geira	- no urn found -	Αἴγειρα
Αἴγειρα	*ai)/geira	- no urn found -	Αἴγειρα
Αἴγιον	*ai)/gion	- no urn found -	Αἴγιον
Αἴγιον	*ai)/gion	- no urn found -	Αἴγιον
Αἴγιον	*ai)/gion	- no urn found -	Αἴγιον
Αἴγιον	*ai)/gios	- no urn found -	Αἴγιος
Αἴης	*ai)=a	- no urn found -	Αἶα
Αἴνεια	*ai)neia/des	- no urn found -	Αἰνειάδες
Αἴνῳ	*ai)=nos	- no urn found -	Αἶνος
Αἴνῳ	*ai=)nos	- no urn found -	Αῖ̓νος
Αἴσωπος	*ai)/swpos	- no urn found -	Αἴσωπος
Αἵμου	*ai(=mos	- no urn found -	Αἷμος
Αἵμου	*ai=(mos	- no urn found -	Αῖ̔μος
Αἶαν	*ai)=a	- no urn found -	Αἶα
Αἶνόν	*ai)=nos	- no urn found -	Αἶνος
Αἶνόν	*ai=)nos	- no urn found -	Αῖ̓νος
Αἶάν	*ai)=a	- no urn found -	Αἶα
Αἷμον	*ai(/mwn	- no urn found -	Αἵμων
Αἷμον	*ai(=mos	- no urn found -	Αἷμος
Αἷμον	*ai=(mos	- no urn found -	Αῖ̔μος
Αὐσχισέων	*au)sxi/sai	- no urn found -	Αὐσχίσαι
Αὐσχίσαι	*au)sxi/sai	- no urn found -	Αὐσχίσαι
Αὐσχίσαι	*au)sxi/sai	- no urn found -	Αὐσχίσαι
Αὐσέες	*au)se/as	- no urn found -	Αὐσέας
Αὐσέων	*au)/sa	- no urn found -	Αὔσα
Αὐτεσίωνος	*au)tesi/wn	- no urn found -	Αὐτεσίων
Αὐτοδίκου	*au)to/dikos	- no urn found -	Αὐτόδικος
Αὐτονόου	*au)to/noos	- no urn found -	Αὐτόνοος
Αὐτόνοον	*au)to/noos	- no urn found -	Αὐτόνοος
Αὐχάται	*au)xa/tai	- no urn found -	Αὐχάται
Αὐχάται	*au)xa/tai	- no urn found -	Αὐχάται
Αὔγιλα	*au)/gila	- no urn found -	Αὔγιλα
Αὔγιλα	*au)/gila	- no urn found -	Αὔγιλα
Αὔγιλά	*au)/gila	- no urn found -	Αὔγιλα
Αὔγιλά	*au)/gila	- no urn found -	Αὔγιλα
Αὔρας	*au)/ra	- no urn found -	Αὔρα
Αὔρας	*au)/ras	- no urn found -	Αὔρας
Αὔρας	*au)/ras	- no urn found -	Αὔρας
Βαβυλωνίη	*babulw/nios	- no urn found -	Βαβυλώνιος
Βαβυλωνίη	*babulw/nios	- no urn found -	Βαβυλώνιος
Βαβυλωνίην	*babulw/nios	- no urn found -	Βαβυλώνιος
Βαβυλωνίης	*babulw/nios	- no urn found -	Βαβυλώνιος
Βαβυλωνίοισι	*babulw/nios	- no urn found -	Βαβυλώνιος
Βαβυλωνίοισι	*babulw/nios	- no urn found -	Βαβυλώνιος
Βαβυλωνίου	*babulw/nios	- no urn found -	Βαβυλώνιος
Βαβυλωνίου	*babulw/nios	- no urn found -	Βαβυλώνιος
Βαβυλωνίους	*babulw/nios	- no urn found -	Βαβυλώνιος
Βαβυλωνίων	*babulw/nios	- no urn found -	Βαβυλώνιος
Βαβυλωνίων	*babulw/nios	- no urn found -	Βαβυλώνιος
Βαβυλωνίων	*babulw/nios	- no urn found -	Βαβυλώνιος
Βαβυλωνίῃ	*babulw/nios	- no urn found -	Βαβυλώνιος
Βαβυλώνιοι	*babulw/nios	- no urn found -	Βαβυλώνιος
Βαβυλώνιοι	*babulw/nios	- no urn found -	Βαβυλώνιος
Βαβυλώνιον	*babulw/nios	- no urn found -	Βαβυλώνιος
Βαβυλώνιον	*babulw/nios	- no urn found -	Βαβυλώνιος
Βαβυλώνιον	*babulw/nios	- no urn found -	Βαβυλώνιος
Βαβυλώνιον	*babulw/nios	- no urn found -	Βαβυλώνιος
Βαβυλώνιος	*babulw/nios	- no urn found -	Βαβυλώνιος
Βαγαίου	*bagai=os	- no urn found -	Βαγαῖος
Βαγαῖος	*bagai=os	- no urn found -	Βαγαῖος
Βακτριανῶν	*baktrianh/s	- no urn found -	Βακτριανής
Βακτριανῶν	*baktriano/s	- no urn found -	Βακτριανός
Βακτριανῶν	*baktriano/s	- no urn found -	Βακτριανός
Βακτριανῶν	*baktriano/s	- no urn found -	Βακτριανός
Βακτρίης	*ba/ktrios	- no urn found -	Βάκτριος
Βακτρίοισι	*ba/ktrios	- no urn found -	Βάκτριος
Βακτρίοισι	*ba/ktrios	- no urn found -	Βάκτριος
Βακτρίοισι	*baktri/on	- no urn found -	Βακτρίον
Βακτρίους	*ba/ktrios	- no urn found -	Βάκτριος
Βακτρίων	*ba/ktrios	- no urn found -	Βάκτριος
Βακτρίων	*ba/ktrios	- no urn found -	Βάκτριος
Βακτρίων	*ba/ktrios	- no urn found -	Βάκτριος
Βακτρίων	*baktri/on	- no urn found -	Βακτρίον
Βακτρίῃ	*ba/ktrios	- no urn found -	Βάκτριος
Βακχείῳ	*bakxei/os	- no urn found -	Βακχείος
Βακχείῳ	*bakxei=os	- no urn found -	Βακχεῖος
Βακχείῳ	*bakxei=os	- no urn found -	Βακχεῖος
Βακχείῳ	*bakxei=os	- no urn found -	Βακχεῖος
Βακχιαδέων	*bakxia/dai	- no urn found -	Βακχιάδαι
Βακχιάδαι	*bakxia/dai	- no urn found -	Βακχιάδαι
Βακχιάδαι	*bakxia/dai	- no urn found -	Βακχιάδαι
Βακχιάδῃσι	*bakxia/dai	- no urn found -	Βακχιάδαι
Βαρβάρων	barbaro/w	- no urn found -	βαρβαρόω
Βαρβάρων	barbaro/w	- no urn found -	βαρβαρόω
Βαρκαίης	*barkai=a	- no urn found -	Βαρκαῖα
Βαρκαίης	*barkai=os	- no urn found -	Βαρκαῖος
Βαρκαίοισι	*barkai=oi	- no urn found -	Βαρκαῖοι
Βαρκαίοισι	*barkai=os	- no urn found -	Βαρκαῖος
Βαρκαίοισι	*barkai=os	- no urn found -	Βαρκαῖος
Βαρκαίοισι	*barkai=os	- no urn found -	Βαρκαῖος
Βαρκαίους	*barkai=oi	- no urn found -	Βαρκαῖοι
Βαρκαίους	*barkai=os	- no urn found -	Βαρκαῖος
Βαρκαίους	*barkai=os	- no urn found -	Βαρκαῖος
Βαρκαίων	*barkai=oi	- no urn found -	Βαρκαῖοι
Βαρκαίων	*barkai=os	- no urn found -	Βαρκαῖος
Βαρκαίων	*barkai=os	- no urn found -	Βαρκαῖος
Βαρκαίων	*barkai=os	- no urn found -	Βαρκαῖος
Βαρκαίων	*barkai=os	- no urn found -	Βαρκαῖος
Βαρκαῖοι	*barkai=os	- no urn found -	Βαρκαῖος
Βαρκαῖοι	*barkai=os	- no urn found -	Βαρκαῖος
Βαρκαῖοί	*barkai=os	- no urn found -	Βαρκαῖος
Βαρκαῖοί	*barkai=os	- no urn found -	Βαρκαῖος
Βασιληίδεω	*basilhi/dhs	- no urn found -	Βασιληίδης
Βασιλέα	*basili/s	- no urn found -	Βασιλίς
Βασιλέϊ	*basili/s	- no urn found -	Βασιλίς
Βασσάκης	*bassa/khs	- no urn found -	Βασσάκης
Βασσάκης	*bassa/khs	- no urn found -	Βασσάκης
Βασσάκης	*bassa/khs	- no urn found -	Βασσάκης
Βασσάκης	*bassa/khs	- no urn found -	Βασσάκης
Βαττιάδαι	*battia/dhs	- no urn found -	Βαττιάδης
Βαττιάδαι	*battia/dhs	- no urn found -	Βαττιάδης
Βησσοί	*bhssoi/	- no urn found -	Βησσοί
Βησσοί	*bhssoi/	- no urn found -	Βησσοί
Βιθυνοί	*biqunoi/	- no urn found -	Βιθυνοί
Βιθυνοί	*biqunoi/	- no urn found -	Βιθυνοί
Βισαλτέων	*bisa/lths-pl	- no urn found -	Βισάλτησ-πλ
Βισαλτίη	*bisalti/a	- no urn found -	Βισαλτία
Βισαλτίη	*bisalti/a	- no urn found -	Βισαλτία
Βισαλτίη	*bisalti/h	- no urn found -	Βισαλτίη
Βισαλτίη	*bisalti/h	- no urn found -	Βισαλτίη
Βιστονίδα	*bistoni/s	- no urn found -	Βιστονίς
Βισάλτῃ	*bisa/lths	- no urn found -	Βισάλτης
Βισάνθην	*bisa/nqh	- no urn found -	Βισάνθη
Βοιβηίδα	*boibhi/s	- no urn found -	Βοιβηίς
Βοιωτίας	*boiw/tios	- no urn found -	Βοιώτιος
Βοιωτίας	*boiw/tios	- no urn found -	Βοιώτιος
Βοιωτίας	*boiwti/a	- no urn found -	Βοιωτία
Βοιωτίας	*boiwti/a	- no urn found -	Βοιωτία
Βοιωτίη	*boiw/tios	- no urn found -	Βοιώτιος
Βοιωτίη	*boiw/tios	- no urn found -	Βοιώτιος
Βοιωτίη	*boiwti/a	- no urn found -	Βοιωτία
Βοιωτίη	*boiwti/a	- no urn found -	Βοιωτία
Βοιωτίην	*boiw/tios	- no urn found -	Βοιώτιος
Βοιωτίην	*boiwti/a	- no urn found -	Βοιωτία
Βοιωτίης	*boiw/tios	- no urn found -	Βοιώτιος
Βοιωτίης	*boiwti/a	- no urn found -	Βοιωτία
Βοιωτίῃ	*boiw/tios	- no urn found -	Βοιώτιος
Βοιωτίῃ	*boiwti/a	- no urn found -	Βοιωτία
Βοιωτίῃσι	*boiw/tios	- no urn found -	Βοιώτιος
Βοιωτίῃσι	*boiwti/a	- no urn found -	Βοιωτία
Βορυσθενεϊτέων	*borusqenei/ths	- no urn found -	Βορυσθενείτης
Βορυσθενεϊτέων	*borusqenei/ths	- no urn found -	Βορυσθενείτης
Βορυσθενεΐτας	*borusqenei/ths	- no urn found -	Βορυσθενείτης
Βορυσθενεΐτας	*borusqenei/ths	- no urn found -	Βορυσθενείτης
Βορυσθενεΐτας	*borusqenei/ths	- no urn found -	Βορυσθενείτης
Βορυσθενεΐτας	*borusqenei/ths	- no urn found -	Βορυσθενείτης
Βορυσθενεΐτης	*borusqenei/ths	- no urn found -	Βορυσθενείτης
Βορυσθενεΐτης	*borusqenei/ths	- no urn found -	Βορυσθενείτης
Βορυσθενεῗται	*borusqenei/ths	- no urn found -	Βορυσθενείτης
Βορυσθενεῗται	*borusqenei/ths	- no urn found -	Βορυσθενείτης
Βορέην	*bore/hs	- no urn found -	Βορέης
Βορέης	*bore/hs	- no urn found -	Βορέης
Βορέω	*bore/hs	- no urn found -	Βορέης
Βοττιαιίδα	*bottiaii/s	- no urn found -	Βοττιαιίς
Βοττιαῖοι	*bottiai=os	- no urn found -	Βοττιαῖος
Βοττιαῖοι	*bottiai=os	- no urn found -	Βοττιαῖος
Βουβαστίτης	*boubasti/ths	- no urn found -	Βουβαστίτης
Βουβάρης	*bouba/ras	- no urn found -	Βουβάρας
Βουβάρης	*bouba/ras	- no urn found -	Βουβάρας
Βουβάρης	*bouba/ras	- no urn found -	Βουβάρας
Βουβάρης	*bouba/ras	- no urn found -	Βουβάρας
Βουδίνοισι	*boudi=noi	- no urn found -	Βουδῖνοι
Βουδίνων	*boudi=noi	- no urn found -	Βουδῖνοι
Βουσιρίτης	*bousiri/ths	- no urn found -	Βουσιρίτης
Βουσιρίτης	*bousiri/ths	- no urn found -	Βουσιρίτης
Βουτακίδεω	*boutaki/dhs	- no urn found -	Βουτακίδης
Βουτοῖ	*boutw/	- no urn found -	Βουτώ
Βουτοῦν	*boutw/	- no urn found -	Βουτώ
Βουτοῦς	*boutw/	- no urn found -	Βουτώ
Βουτοῦς	*boutw/	- no urn found -	Βουτώ
Βουτοῦς	*boutw/	- no urn found -	Βουτώ
Βουτώ	*boutw/	- no urn found -	Βουτώ
Βούδιοι	*bou/dioi	- no urn found -	Βούδιοι
Βούδιοι	*bou/dioi	- no urn found -	Βούδιοι
Βούλιος	*bou/lis	- no urn found -	Βούλις
Βούσιριν	*bou/siris	- no urn found -	Βούσιρις
Βοῦλις	*bou/lis	- no urn found -	Βούλις
Βοῦλις	*bou/lis	- no urn found -	Βούλις
Βοῦρα	*bou=ra	- no urn found -	Βοῦρα
Βοῦρα	*bou=ra	- no urn found -	Βοῦρα
Βοῦσαι	*bou=sai	- no urn found -	Βοῦσαι
Βοῦσαι	*bou=sai	- no urn found -	Βοῦσαι
Βραγχίδας	*bra/gxidai	- no urn found -	Βράγχιδαι
Βραγχίδας	*bragxi/dai	- no urn found -	Βραγχίδαι
Βραγχίδῃσι	*bra/gxidai	- no urn found -	Βράγχιδαι
Βραγχίδῃσι	*bragxi/dai	- no urn found -	Βραγχίδαι
Βραυρῶνι	*braurw/n	- no urn found -	Βραυρών
Βραυρῶνος	*braurw/n	- no urn found -	Βραυρών
Βρεντεσίου	*brente/sion	- no urn found -	Βρεντέσιον
Βρίγες	*bri/ghs	- no urn found -	Βρίγης
Βρόγγον	*bro/ggos	- no urn found -	Βρόγγος
Βρόγγος	*bro/ggos	- no urn found -	Βρόγγος
Βρύγοι	*bru/goi	- no urn found -	Βρύγοι
Βρύγοι	*bru/goi	- no urn found -	Βρύγοι
Βρύγους	*bru/goi	- no urn found -	Βρύγοι
Βυβασσίης	*bubassi/h	- no urn found -	Βυβασσίη
Βυζαντίου	*buza/ntios	- no urn found -	Βυζάντιος
Βυζαντίου	*buza/ntios	- no urn found -	Βυζάντιος
Βυζαντίου	*buza/ntios	- no urn found -	Βυζάντιος
Βυζαντίους	*buza/ntios	- no urn found -	Βυζάντιος
Βυζαντίων	*buza/ntios	- no urn found -	Βυζάντιος
Βυζαντίων	*buza/ntios	- no urn found -	Βυζάντιος
Βυζαντίων	*buza/ntios	- no urn found -	Βυζάντιος
Βυζαντίων	*buza/ntios	- no urn found -	Βυζάντιος
Βυζαντίῳ	*buza/ntios	- no urn found -	Βυζάντιος
Βυζαντίῳ	*buza/ntios	- no urn found -	Βυζάντιος
Βυζαντίῳ	*buza/ntios	- no urn found -	Βυζάντιος
Βυζάντιοι	*buza/ntios	- no urn found -	Βυζάντιος
Βυζάντιοι	*buza/ntios	- no urn found -	Βυζάντιος
Βυζάντιον	*buza/ntios	- no urn found -	Βυζάντιος
Βυζάντιον	*buza/ntios	- no urn found -	Βυζάντιος
Βυζάντιον	*buza/ntios	- no urn found -	Βυζάντιος
Βυζάντιον	*buza/ntios	- no urn found -	Βυζάντιος
Βυζάντιον	*buza/ntios	- no urn found -	Βυζάντιος
Βυζάντιον	*buza/ntios	- no urn found -	Βυζάντιος
Βυζάντιον	*buza/ntios	- no urn found -	Βυζάντιος
Βυζάντιος	*buza/ntios	- no urn found -	Βυζάντιος
Βυζάντιόν	*buza/ntios	- no urn found -	Βυζάντιος
Βυζάντιόν	*buza/ntios	- no urn found -	Βυζάντιος
Βυζάντιόν	*buza/ntios	- no urn found -	Βυζάντιος
Βυζάντιόν	*buza/ntios	- no urn found -	Βυζάντιος
Βυζάντιόν	*buza/ntios	- no urn found -	Βυζάντιος
Βυζάντιόν	*buza/ntios	- no urn found -	Βυζάντιος
Βυζάντιόν	*buza/ntios	- no urn found -	Βυζάντιος
Βάδρην	*ba/dras	- no urn found -	Βάδρας
Βάδρης	*ba/dras	- no urn found -	Βάδρας
Βάδρης	*ba/dras	- no urn found -	Βάδρας
Βάδρης	*ba/dras	- no urn found -	Βάδρας
Βάδρης	*ba/dras	- no urn found -	Βάδρας
Βάκτριοι	*ba/ktrios	- no urn found -	Βάκτριος
Βάκτριοι	*ba/ktrios	- no urn found -	Βάκτριος
Βάκτριον	*ba/ktrios	- no urn found -	Βάκτριος
Βάκτριον	*ba/ktrios	- no urn found -	Βάκτριος
Βάκτριον	*ba/ktrios	- no urn found -	Βάκτριος
Βάκτριον	*ba/ktrios	- no urn found -	Βάκτριος
Βάκτριον	*baktri/on	- no urn found -	Βακτρίον
Βάκτριον	*baktri/on	- no urn found -	Βακτρίον
Βάκτριον	*baktri/on	- no urn found -	Βακτρίον
Βάρκη	*ba/rkh	- no urn found -	Βάρκη
Βάρκη	*ba/rkh	- no urn found -	Βάρκη
Βάρκην	*ba/rkh	- no urn found -	Βάρκη
Βάρκης	*ba/rka	- no urn found -	Βάρκα
Βάρκης	*ba/rkh	- no urn found -	Βάρκη
Βάρκῃ	*ba/rka	- no urn found -	Βάρκα
Βάρκῃ	*ba/rkh	- no urn found -	Βάρκη
Βάττ’	*ba/ttos	- no urn found -	Βάττος
Βάττον	*ba/ttos	- no urn found -	Βάττος
Βάττος	*ba/ttos	- no urn found -	Βάττος
Βάττου	*ba/ttos	- no urn found -	Βάττος
Βάττους	*ba/ttos	- no urn found -	Βάττος
Βάττῳ	*ba/ttos	- no urn found -	Βάττος
Βέρμιον	*be/rmios	- no urn found -	Βέρμιος
Βήλου	*bh=los	- no urn found -	Βῆλος
Βίαντα	*bi/as	- no urn found -	Βίας
Βίαντι	*bi/as	- no urn found -	Βίας
Βίαντος	*bi/as	- no urn found -	Βίας
Βίστονες	*bi/stones	- no urn found -	Βίστονες
Βίστονες	*bi/stones	- no urn found -	Βίστονες
Βίτωνα	*bi/twn	- no urn found -	Βίτων
Βίτωνι	*bi/twn	- no urn found -	Βίτων
Βόγην	*bo/ghs	- no urn found -	Βόγης
Βόγης	*bo/ghs	- no urn found -	Βόγης
Βόγης	*bo/ghs	- no urn found -	Βόγης
Βόγης	*bo/ghs	- no urn found -	Βόγης
Βόγης	*bo/ghs	- no urn found -	Βόγης
Βῶλος	*bw=los	- no urn found -	Βῶλος
Γαληψόν	*galhyo/s	- no urn found -	Γαληψός
Γαληψόν	*galhyo/s	- no urn found -	Γαληψός
Γαραμάντων	*gara/mantes	- no urn found -	Γαράμαντες
Γαργαφίην	*garga/fios	- no urn found -	Γαργάφιος
Γαργαφίης	*garga/fios	- no urn found -	Γαργάφιος
Γαράμαντες	*gara/mantes	- no urn found -	Γαράμαντες
Γαράμαντες	*gara/mantes	- no urn found -	Γαράμαντες
Γαράμαντες	*garama/nths	- no urn found -	Γαραμάντης
Γαράμαντές	*gara/mantes	- no urn found -	Γαράμαντες
Γαράμαντές	*gara/mantes	- no urn found -	Γαράμαντες
Γαράμαντές	*garama/nths	- no urn found -	Γαραμάντης
Γαυάνης	*gaua/nhs	- no urn found -	Γαυάνης
Γαίσωνά	*gai/swn	- no urn found -	Γαίσων
Γελωνοί	*gelwno/s	- no urn found -	Γελωνός
Γελωνοί	*gelwno/s	- no urn found -	Γελωνός
Γελωνόν	*gelwno/s	- no urn found -	Γελωνός
Γελωνός	*gelwno/s	- no urn found -	Γελωνός
Γελωνῶν	*gelwno/s	- no urn found -	Γελωνός
Γελέοντος	*gele/wn	- no urn found -	Γελέων
Γελῴου	*gelw=|os	- no urn found -	Γελῷος
Γελῴου	*gelw=|os	- no urn found -	Γελῷος
Γελῴων	*gelw=|os	- no urn found -	Γελῷος
Γελῴων	*gelw=|os	- no urn found -	Γελῷος
Γελῴων	*gelw=|os	- no urn found -	Γελῷος
Γεραιστόν	*geraisto/s	- no urn found -	Γεραιστός
Γεραιστῷ	*geraisto/s	- no urn found -	Γεραιστός
Γερμάνιοι	*germa/nioi	- no urn found -	Γερμάνιοι
Γερμάνιοι	*germa/nioi	- no urn found -	Γερμάνιοι
Γετέων	*ge/tai	- no urn found -	Γέται
Γεφυραῖοι	*gefurai=os	- no urn found -	Γεφυραῖος
Γεφυραῖοι	*gefurai=os	- no urn found -	Γεφυραῖος
Γιλιγαμέων	*giliga/mai	- no urn found -	Γιλιγάμαι
Γιλιγάμαι	*giliga/mai	- no urn found -	Γιλιγάμαι
Γιλιγάμαι	*giliga/mai	- no urn found -	Γιλιγάμαι
Γλαύκου	*glau/kos	- no urn found -	Γλαύκος
Γλαύκου	*glau=kos	- no urn found -	Γλαῦκος
Γλαύκωνος	*glau/kwn	- no urn found -	Γλαύκων
Γλίσαντος	*gli/sas	- no urn found -	Γλίσας
Γνούρου	*gnou=ros	- no urn found -	Γνοῦρος
Γοιτόσυρος	*goito/suros	- no urn found -	Γοιτόσυρος
Γορδίεω	*gordi/as	- no urn found -	Γορδίας
Γρίννῳ	*gri/nnos	- no urn found -	Γρίννος
Γρύνεια	*gru/neia	- no urn found -	Γρύνεια
Γρύνεια	*gru/neia	- no urn found -	Γρύνεια
Γυγαίη	*gugai/h	- no urn found -	Γυγαίη
Γυγαίη	*gugai/h	- no urn found -	Γυγαίη
Γυγαίην	*gugai/h	- no urn found -	Γυγαίη
