Αἰγύπτιος	*ai)gu/ptios	Αἰγύπτιος	*ai)gu/ptios	a-s---mn-
ταὐτά	tau)ta/	ταὐτός	tau)to/s	a-d---fv-
ταὐτά	tau)ta/	ταὐτός	tau)to/s	a-d---fa-
ταὐτά	tau)ta/	ταὐτός	tau)to/s	a-s---fn-
ταὐτά	tau)ta/	ταὐτός	tau)to/s	a-s---fv-
ταὐτόν	tau)to/n	ταὐτός	tau)to/s	a-s---ma-
ταὐτόν	tau)to/n	ταὐτός	tau)to/s	a-s---nn-
ταὐτόν	tau)to/n	ταὐτός	tau)to/s	a-s---nv-
ταὐτόν	tau)to/n	ταὐτός	tau)to/s	a-s---na-
ταὐτῷ	tau)tw=|	ταὐτάζω	tau)ta/zw	v3sfoa---
ταὐτῷ	tau)tw=|	ταὐτός	tau)to/s	a-s---md-
ταὐτῷ	tau)tw=|	ταὐτός	tau)to/s	a-s---nd-
ταύτην	tau/thn	οὗτος	ou(=tos	n-s---fa-
ταύτης	tau/ths	οὗτος	ou(=tos	n-s---fg-
ταύτῃ	tau/th|	οὗτος	ou(=tos	n-s---fd-
ταύτῃ	tau/th|	ταύτῃ	tau/th|	d--------
ταῖς	tai=s	ὁ	o(	l-p---fd-
ταῖσι	tai=si	ὁ	o(	l-p---fd-
ταῖσιν	tai=sin	ὁ	o(	l-p---fd-
ταῦθ’	tau=q'	οὗτος	ou(=tos	n-p---nn-
ταῦθ’	tau=q'	οὗτος	ou(=tos	n-p---nv-
ταῦθ’	tau=q'	οὗτος	ou(=tos	n-p---na-
ταῦτα	tau=ta	οὗτος	ou(=tos	n-p---nn-
ταῦτα	tau=ta	οὗτος	ou(=tos	n-p---nv-
ταῦτα	tau=ta	οὗτος	ou(=tos	n-p---na-
ταῦτά	tau=ta/	οὗτος	ou(=tos	n-p---nn-
ταῦτά	tau=ta/	οὗτος	ou(=tos	n-p---nv-
ταῦτά	tau=ta/	οὗτος	ou(=tos	n-p---na-
τε	te	τε	te	g--------
τεαῖς	teai=s	τεός	teo/s	a-p---fd-
τεθνεώς	teqnew/s	θνήσκω	qnh/skw	v-srpamn-
τεθνεώς	teqnew/s	θνήσκω	qnh/skw	v-srpamv-
τεθνηκότων	teqnhko/twn	θνήσκω	qnh/skw	v-prpamg-
τεθνηκότων	teqnhko/twn	θνήσκω	qnh/skw	v-prpang-
τεθύσθαι	tequ/sqai	θύω1	qu/w1	v--rne---
τεισαίμεθ’	teisai/meq'	τίνω	ti/nw	v1paom---
τειχίζουσι	teixi/zousi	τειχίζω	teixi/zw	v-pppamd-
τειχίζουσι	teixi/zousi	τειχίζω	teixi/zw	v-pppand-
τειχίζουσι	teixi/zousi	τειχίζω	teixi/zw	v3ppia---
τεκμήρια	tekmh/ria	τεκμήριον	tekmh/rion	n-p---nn-
τεκμήρια	tekmh/ria	τεκμήριον	tekmh/rion	n-p---nv-
τεκμήρια	tekmh/ria	τεκμήριον	tekmh/rion	n-p---na-
τεμών	temw/n	τέμνω	te/mnw	v-sapamn-
τενθείαν	tenqei/an	τενθεία	tenqei/a	n-s---fa-
τεταξόμεθ’	tetaco/meq'	τάσσω	ta/ssw	v1ptie---
τετράγωνος	tetra/gwnos	τετράγωνος	tetra/gwnos	n-s---mn-
τετράγωνος	tetra/gwnos	τετράγωνος	tetra/gwnos	n-s---fn-
τείν	tei/n	σύ	su/	p-s----d-
τείν	tei/n	τοι	toi	g--------
τείχη	tei/xh	τεῖχος	tei=xos	n-p---nn-
τείχη	tei/xh	τεῖχος	tei=xos	n-p---nv-
τείχη	tei/xh	τεῖχος	tei=xos	n-p---na-
τείχη	tei/xh	τεῖχος	tei=xos	n-d---nn-
τείχη	tei/xh	τεῖχος	tei=xos	n-d---nv-
τείχη	tei/xh	τεῖχος	tei=xos	n-d---na-
τείχη	tei/xh	τειχέω	teixe/w	v2spma---
τείχη	tei/xh	τειχέω	teixe/w	v3siia---
τείχους	tei/xous	τεῖχος	tei=xos	n-s---ng-
τεᾷ	tea=|	τεός	teo/s	a-s---fd-
τεῖχος	tei=xos	τεῖχος	tei=xos	n-s---nn-
τεῖχος	tei=xos	τεῖχος	tei=xos	n-s---nv-
τεῖχος	tei=xos	τεῖχος	tei=xos	n-s---na-
τηλαυγές	thlauge/s	τηλαυγής	thlaugh/s	n-s---mv-
τηλαυγές	thlauge/s	τηλαυγής	thlaugh/s	n-s---fv-
τηλαυγές	thlauge/s	τηλαυγής	thlaugh/s	n-s---nn-
τηλαυγές	thlauge/s	τηλαυγής	thlaugh/s	n-s---nv-
τηλαυγές	thlauge/s	τηλαυγής	thlaugh/s	n-s---na-
τηλαυγής	thlaugh/s	τηλαυγής	thlaugh/s	n-s---mn-
τηλαυγής	thlaugh/s	τηλαυγής	thlaugh/s	n-s---fn-
τηλικουτονί	thlikoutoni/	τηλικοῦτος	thlikou=tos	n-s---ma-
τηλικουτονί	thlikoutoni/	τηλικοῦτος	thlikou=tos	n-s---nn-
τηλικουτονί	thlikoutoni/	τηλικοῦτος	thlikou=tos	n-s---nv-
τηλικουτονί	thlikoutoni/	τηλικοῦτος	thlikou=tos	n-s---na-
τηνδεδί	thndedi/	ὅδε	o(/de	n-s---ma-
τηνδεδί	thndedi/	ὅδε	o(/de	n-s---fa-
τηνικαῦτα	thnikau=ta	τηνικαῦτα	thnikau=ta	d--------
τηρῶν	thrw=n	τηρέω	thre/w	v-sppamn-
τηρῶν	thrw=n	τηρός	thro/s	n-p---mg-
τι	ti	τις	tis	p-s---nn-
τι	ti	τις	tis	p-s---nv-
τι	ti	τις	tis	p-s---na-
τιμάς	tima/s	τιμή	timh/	n-p---fa-
τιμήν	timh/n	τιμή	timh/	n-s---fa-
τιμώμενοι	timw/menoi	τιμάω	tima/w	v-pppemn-
τιμώμενοι	timw/menoi	τιμάω	tima/w	v-pppemv-
τιμώμενοι	timw/menoi	τιμόω	timo/w	v-pppemn-
τιμώμενοι	timw/menoi	τιμόω	timo/w	v-pppemv-
τιμῶσιν	timw=sin	τιμάω	tima/w	v-pppamd-
τιμῶσιν	timw=sin	τιμάω	tima/w	v-pppand-
τιμῶσιν	timw=sin	τιμάω	tima/w	v3ppsa---
τιμῶσιν	timw=sin	τιμάω	tima/w	v3ppia---
τιμῶσιν	timw=sin	τιμάω	tima/w	v3ppsa---
τιμῶσιν	timw=sin	τιμέω	time/w	v3ppsa---
τιμῶσιν	timw=sin	τιμόω	timo/w	v2spse---
τιμῶσιν	timw=sin	τιμόω	timo/w	v3ppsa---
τιμῶσιν	timw=sin	τιμόω	timo/w	v3spsa---
τιμῶσί	timw=si/	τιμάω	tima/w	v-pppamd-
τιμῶσί	timw=si/	τιμάω	tima/w	v-pppand-
τιμῶσί	timw=si/	τιμάω	tima/w	v3ppsa---
τιμῶσί	timw=si/	τιμάω	tima/w	v3ppia---
τιμῶσί	timw=si/	τιμάω	tima/w	v3ppsa---
τιμῶσί	timw=si/	τιμέω	time/w	v3ppsa---
τιμῶσί	timw=si/	τιμόω	timo/w	v2spse---
τιμῶσί	timw=si/	τιμόω	timo/w	v3ppsa---
τιμῶσί	timw=si/	τιμόω	timo/w	v3spsa---
τινα	tina	τις	tis	p-s---ma-
τινα	tina	τις	tis	p-s---fa-
τινα	tina	τις	tis	p-p---nn-
τινα	tina	τις	tis	p-p---nv-
τινα	tina	τις	tis	p-p---na-
τινες	tines	τις	tis	p-p---mn-
τινες	tines	τις	tis	p-p---mv-
τινες	tines	τις	tis	p-p---fn-
τινες	tines	τις	tis	p-p---fv-
τινά	tina/	τις	tis	p-s---ma-
τινά	tina/	τις	tis	p-s---fa-
τινά	tina/	τις	tis	p-p---nn-
τινά	tina/	τις	tis	p-p---nv-
τινά	tina/	τις	tis	p-p---na-
τινάς	tina/s	τις	tis	p-p---ma-
τινάς	tina/s	τις	tis	p-p---fa-
τινός	tino/s	τις	tis	p-s----g-
τιοτίγξ	tioti/gc	τιοτίγξ	tioti/gc	x--------
τις	tis	τις	tis	p-s---mn-
τις	tis	τις	tis	p-s---fn-
τιό	tio/	τιό	tio/	x--------
τοδί	todi/	ὅδε	o(/de	n-s---mg-
τοδί	todi/	ὅδε	o(/de	n-s---ng-
τοι	toi	σύ	su/	p-s----d-
τοι	toi	τοι	toi	g--------
τοιαδί	toiadi/	τοιόσδε	toio/sde	n-p---mn-
τοιαυτί	toiauti/	τοιοῦτος	toiou=tos	n-p---nn-
τοιαυτί	toiauti/	τοιοῦτος	toiou=tos	n-p---nv-
τοιαυτί	toiauti/	τοιοῦτος	toiou=tos	n-p---na-
τοιαύτην	toiau/thn	τοιοῦτος	toiou=tos	n-s---fa-
τοιαῦτα	toiau=ta	τοιοῦτος	toiou=tos	n-p---nn-
τοιαῦτα	toiau=ta	τοιοῦτος	toiou=tos	n-p---nv-
τοιαῦτα	toiau=ta	τοιοῦτος	toiou=tos	n-p---na-
τοιούτων	toiou/twn	τοιοῦτος	toiou=tos	n-p---mg-
τοιούτων	toiou/twn	τοιοῦτος	toiou=tos	n-p---ng-
τοιοῦτον	toiou=ton	τοιοῦτος	toiou=tos	n-s---ma-
τοισδί	toisdi/	ὅδε	o(/de	n-p---md-
τοισδί	toisdi/	ὅδε	o(/de	n-p---nd-
τοιάδε	toia/de	τοιόσδε	toio/sde	n-p---na-
τοιάδε	toia/de	τοιόσδε	toio/sde	n-p---nn-
τοιάδε	toia/de	τοιόσδε	toio/sde	n-d---fa-
τοιάδε	toia/de	τοιόσδε	toio/sde	n-d---fn-
τοιάδε	toia/de	τοιόσδε	toio/sde	n-d---fv-
τοιάδε	toia/de	τοιόσδε	toio/sde	n-s---fn-
τοιῷδ’	toiw=|d'	τοιόσδε	toio/sde	n-s---md-
τοιῷδ’	toiw=|d'	τοιόσδε	toio/sde	n-s---nd-
τονδί	tondi/	ὅδε	o(/de	n-s---ma-
τορνευτολυρασπιδοπηγοί	torneutoluraspidophgoi/	τορνευτολυρασπιδοπηγός	torneutoluraspidophgo/s	n-p---mn-
τορνευτολυρασπιδοπηγοί	torneutoluraspidophgoi/	τορνευτολυρασπιδοπηγός	torneutoluraspidophgo/s	n-p---mv-
τοροτοροτοροτορολιλιλίξ	torotorotorotorolilili/c	τοροτοροτοροτορολιλιλίξ	torotorotorotorolilili/c	x--------
τοροτοροτοροτοροτίξ	torotorotorotoroti/c	τοροτοροτοροτοροτίξ	torotorotorotoroti/c	x--------
τοροτίξ	toroti/c	τοροτίξ	toroti/c	x--------
τορύνην	toru/nhn	τορύνη	toru/nh	n-s---fa-
τορύνην	toru/nhn	τορύνω	toru/nw	v--pna---
τορύνην	toru/nhn	τορυνάω	toruna/w	v3piia---
τορύνην	toru/nhn	τορυνάω	toruna/w	v1siia---
τορύνης	toru/nhs	τορύνη	toru/nh	n-s---fg-
τορύνης	toru/nhs	τορυνάω	toruna/w	v2spia---
τορύνης	toru/nhs	τορυνάω	toruna/w	v2siia---
τοσουτονί	tosoutoni/	τοσοῦτος	tosou=tos	n-s---ma-
τοτοβρίξ	totobri/c	τοτοβρίξ	totobri/c	x--------
τοτοτοτοτοτοτοτοτοτίγξ	totototototototototi/gc	τοτοτοτοτοτοτοτοτοτίγξ	totototototototototi/gc	x--------
τοτέ	tote/	τοτέ	tote/	d--------
τουδί	toudi/	ὅδε	o(/de	n-s---mg-
τουδί	toudi/	ὅδε	o(/de	n-s---ng-
τουτογί	toutogi/	οὗτος	ou(=tos	n-s---nn-
τουτογί	toutogi/	οὗτος	ou(=tos	n-s---nv-
τουτογί	toutogi/	οὗτος	ou(=tos	n-s---na-
τουτονί	toutoni/	οὗτος	ou(=tos	n-s---ma-
τουτωί	toutwi/	οὗτος	ou(=tos	n-d---nn-
τουτωί	toutwi/	οὗτος	ou(=tos	n-d---nv-
τουτωί	toutwi/	οὗτος	ou(=tos	n-d---na-
τουτί	touti/	οὗτος	ou(=tos	n-s---nn-
τουτί	touti/	οὗτος	ou(=tos	n-s---nv-
τουτί	touti/	οὗτος	ou(=tos	n-s---na-
τουτῳί	toutw|i/	οὗτος	ou(=tos	n-s---md-
τοὐβολοῦ	tou)bolou=	ἀντιβολέω	a)ntibole/w	v2siie---
τοὐβολοῦ	tou)bolou=	βολέω	bole/w	v2siie---
τοὐβολοῦ	tou)bolou=	ὀβολός	o)bolo/s	n-s---mg-
τοὐκ	tou)k	ἐκ	e)k	r--------
τοὐκ	tou)k	οὐ	ou)	d--------
τοὐλυμπίου	tou)lumpi/ou	Ὀλυμπίας	*)olumpi/as	n-s---mg-
τοὐπιορκοῦντος	tou)piorkou=ntos	ἐπιορκέω	e)piorke/w	v-sppamg-
τοὐπιορκοῦντος	tou)piorkou=ntos	ἐπιορκέω	e)piorke/w	v-sppang-
τοὐπιορκοῦντος	tou)piorkou=ntos	ἐπιορκέω	e)piorke/w	v-sppamg-
τοὐπιορκοῦντος	tou)piorkou=ntos	ἐπιορκέω	e)piorke/w	v-sppang-
τοὐπιστάτου	tou)pista/tou	ἐπίστατον	e)pi/staton	n-s---ng-
τοὐπιστάτου	tou)pista/tou	ἐπιστάτης	e)pista/ths	n-s---mg-
τοὐπιστάτου	tou)pista/tou	ὀπίστατος	o)pi/statos	a-s---mg-
τοὐπιστάτου	tou)pista/tou	ὀπίστατος	o)pi/statos	a-s---ng-
τοὐπιτριβείης	tou)pitribei/hs	ἐπιτρίβω	e)pitri/bw	v2saop---
τοὐρνιθίου	tou)rniqi/ou	ὀρνίθιον	o)rni/qion	n-s---ng-
τοὐρνιθίου	tou)rniqi/ou	ὀρνιθίας	o)rniqi/as	n-s---mg-
τοὐρνίθιον	tou)rni/qion	ὀρνίθιον	o)rni/qion	n-s---nn-
τοὐρνίθιον	tou)rni/qion	ὀρνίθιον	o)rni/qion	n-s---nv-
τοὐρνίθιον	tou)rni/qion	ὀρνίθιον	o)rni/qion	n-s---na-
τοὔνομα	tou)/noma	ὄνομα	o)/noma	n-s---nn-
τοὔνομα	tou)/noma	ὄνομα	o)/noma	n-s---nv-
τοὔνομα	tou)/noma	ὄνομα	o)/noma	n-s---na-
τοὔνομα	tou)/noma	ὄνομα	o)/noma	n-s---nn-
τοὔνομα	tou)/noma	ὄνομα	o)/noma	n-s---nv-
τοὔνομα	tou)/noma	ὄνομα	o)/noma	n-s---na-
τοὔνομ’	tou)/nom'	ὄνομα	o)/noma	n-s---nn-
τοὔνομ’	tou)/nom'	ὄνομα	o)/noma	n-s---nv-
τοὔνομ’	tou)/nom'	ὄνομα	o)/noma	n-s---na-
τοὔνομ’	tou)/nom'	ὄνομα	o)/noma	n-s---nn-
τοὔνομ’	tou)/nom'	ὄνομα	o)/noma	n-s---nv-
τοὔνομ’	tou)/nom'	ὄνομα	o)/noma	n-s---na-
τοὔνομ’	tou)/nom'	ὄνομαι	o)/nomai	v1spie---
τοὔπος	tou)/pos	ἔπος	e)/pos	n-s---nn-
τοὔπος	tou)/pos	ἔπος	e)/pos	n-s---nv-
τοὔπος	tou)/pos	ἔπος	e)/pos	n-s---na-
τοὔργον	tou)/rgon	ἔργνυμι	e)/rgnumi	v-sppamv-
τοὔργον	tou)/rgon	ἔργνυμι	e)/rgnumi	v-sppann-
τοὔργον	tou)/rgon	ἔργνυμι	e)/rgnumi	v-sppanv-
τοὔργον	tou)/rgon	ἔργνυμι	e)/rgnumi	v-sppana-
τοὔργον	tou)/rgon	ἔργον	e)/rgon	n-s---nn-
τοὔργον	tou)/rgon	ἔργον	e)/rgon	n-s---nv-
τοὔργον	tou)/rgon	ἔργον	e)/rgon	n-s---na-
τοί	toi/	ὁ	o(	l-p---mn-
τοί	toi/	σύ	su/	p-s----d-
τοί	toi/	σύ	su/	p-s----d-
τοί	toi/	τοι	toi	g--------
τοίνυν	toi/nun	τοίνυν	toi/nun	g--------
τούς	tou/s	ὁ	o(	l-p---ma-
τούσδε	tou/sde	ὅδε	o(/de	n-p---ma-
τούσδ’	tou/sd'	ὅδε	o(/de	n-p---ma-
τούτοις	tou/tois	οὗτος	ou(=tos	n-p---md-
τούτοις	tou/tois	οὗτος	ou(=tos	n-p---nd-
τούτοισι	tou/toisi	οὗτος	ou(=tos	n-p---md-
τούτοισι	tou/toisi	οὗτος	ou(=tos	n-p---nd-
τούτοισιν	tou/toisin	οὗτος	ou(=tos	n-p---md-
τούτοισιν	tou/toisin	οὗτος	ou(=tos	n-p---nd-
τούτου	tou/tou	οὗτος	ou(=tos	n-s---mg-
τούτου	tou/tou	οὗτος	ou(=tos	n-s---ng-
τούτους	tou/tous	οὗτος	ou(=tos	n-p---ma-
τούτων	tou/twn	οὗτος	ou(=tos	n-p---mg-
τούτων	tou/twn	οὗτος	ou(=tos	n-p---fg-
τούτων	tou/twn	οὗτος	ou(=tos	n-p---ng-
τούτῳ	tou/tw|	οὗτος	ou(=tos	n-s---md-
τούτῳ	tou/tw|	οὗτος	ou(=tos	n-s---nd-
τοῖν	toi=n	ὁ	o(	l-d---fg-
τοῖν	toi=n	ὁ	o(	l-d---fd-
τοῖν	toi=n	ὁ	o(	l-d---mg-
τοῖν	toi=n	ὁ	o(	l-d---md-
τοῖν	toi=n	ὁ	o(	l-d---ng-
τοῖν	toi=n	ὁ	o(	l-d---nd-
τοῖς	toi=s	ὁ	o(	l-p---md-
τοῖς	toi=s	ὁ	o(	l-p---nd-
τοῖσδε	toi=sde	ὅδε	o(/de	n-p---md-
τοῖσδε	toi=sde	ὅδε	o(/de	n-p---nd-
τοῖσι	toi=si	ὁ	o(	l-p---md-
τοῖσι	toi=si	ὁ	o(	l-p---nd-
τοῖσι	toi=si	τίς	ti/s	n-p----d-
τοῖσιν	toi=sin	ὁ	o(	l-p---md-
τοῖσιν	toi=sin	ὁ	o(	l-p---nd-
τοῖσιν	toi=sin	τίς	ti/s	n-p----d-
τοῦ	tou=	ὁ	o(	l-s---mg-
τοῦ	tou=	ὁ	o(	l-s---ng-
τοῦ	tou=	τίς	ti/s	n-s----g-
τοῦ	tou=	τις	tis	p-s----g-
τοῦτο	tou=to	οὗτος	ou(=tos	n-s---nn-
τοῦτο	tou=to	οὗτος	ou(=tos	n-s---nv-
τοῦτο	tou=to	οὗτος	ou(=tos	n-s---na-
τοῦτον	tou=ton	οὗτος	ou(=tos	n-s---ma-
τοῦτό	tou=to/	οὗτος	ou(=tos	n-s---nn-
τοῦτό	tou=to/	οὗτος	ou(=tos	n-s---nv-
τοῦτό	tou=to/	οὗτος	ou(=tos	n-s---na-
τραγῳδοῖς	tragw|doi=s	τραγῳδέω	tragw|de/w	v2spoa---
τραγῳδοῖς	tragw|doi=s	τραγῳδός	tragw|do/s	n-p---md-
τραγῳδίαισιν	tragw|di/aisin	τραγῳδία	tragw|di/a	n-p---fd-
τραγῳδίᾳ	tragw|di/a|	τραγῳδία	tragw|di/a	n-p---fn-
τραγῳδίᾳ	tragw|di/a|	τραγῳδία	tragw|di/a	n-p---fv-
τραγῳδίᾳ	tragw|di/a|	τραγῳδία	tragw|di/a	n-s---fd-
τραγῳδῶν	tragw|dw=n	τραγῳδέω	tragw|de/w	v-sppamn-
τραγῳδῶν	tragw|dw=n	τραγῳδός	tragw|do/s	n-p---mg-
τρεῖς	trei=s	τρέω	tre/w	v2spia---
τρεῖς	trei=s	τρέω	tre/w	v2siia---
τρεῖς	trei=s	τρεῖς	trei=s	m-p---mn-
τρεῖς	trei=s	τρεῖς	trei=s	m-p---mv-
τρεῖς	trei=s	τρεῖς	trei=s	m-p---ma-
τρεῖς	trei=s	τρεῖς	trei=s	m-p---fn-
τρεῖς	trei=s	τρεῖς	trei=s	m-p---fv-
τρεῖς	trei=s	τρεῖς	trei=s	m-p---fa-
τριακόσι’	triako/si'	τριακόσιοι	triako/sioi	a-p---nn-
τριακόσι’	triako/si'	τριακόσιοι	triako/sioi	a-p---nv-
τριακόσι’	triako/si'	τριακόσιοι	triako/sioi	a-p---na-
τριακόσι’	triako/si'	τριακόσιοι	triako/sioi	a-p---fn-
τριακόσι’	triako/si'	τριακόσιοι	triako/sioi	a-p---fv-
τριβήν	tribh/n	τριβή	tribh/	n-s---fa-
τριλοφίας	trilofi/as	τριλοφία	trilofi/a	n-p---fa-
τριλοφίας	trilofi/as	τριλοφία	trilofi/a	n-s---fg-
τριοτό	trioto/	τριοτό	trioto/	x--------
τρισμακάριον	trismaka/rion	τρίσμακαρ	tri/smakar	a-s---ma-
τρισμακάριον	trismaka/rion	τρίσμακαρ	tri/smakar	a-s---nn-
τρισμακάριον	trismaka/rion	τρίσμακαρ	tri/smakar	a-s---nv-
τρισμακάριον	trismaka/rion	τρίσμακαρ	tri/smakar	a-s---na-
τρισμακάριον	trismaka/rion	τρισμακάριος	trismaka/rios	a-s---ma-
τρισμακάριον	trismaka/rion	τρισμακάριος	trismaka/rios	a-s---nn-
τρισμακάριον	trismaka/rion	τρισμακάριος	trismaka/rios	a-s---nv-
τρισμακάριον	trismaka/rion	τρισμακάριος	trismaka/rios	a-s---na-
τρισμακάρι’	trismaka/ri'	τρίσμακαρ	tri/smakar	a-p---nn-
τρισμακάρι’	trismaka/ri'	τρίσμακαρ	tri/smakar	a-p---nv-
τρισμακάρι’	trismaka/ri'	τρίσμακαρ	tri/smakar	a-p---na-
τρισμακάρι’	trismaka/ri'	τρίσμακαρ	tri/smakar	a-s---mv-
τρισμακάρι’	trismaka/ri'	τρίσμακαρ	tri/smakar	a-p---fn-
τρισμακάρι’	trismaka/ri'	τρίσμακαρ	tri/smakar	a-p---fv-
τρισμακάρι’	trismaka/ri'	τρισμακάριος	trismaka/rios	a-p---nn-
τρισμακάρι’	trismaka/ri'	τρισμακάριος	trismaka/rios	a-p---nv-
τρισμακάρι’	trismaka/ri'	τρισμακάριος	trismaka/rios	a-p---na-
τρισμακάρι’	trismaka/ri'	τρισμακάριος	trismaka/rios	a-s---mv-
τρισμακάρι’	trismaka/ri'	τρισμακάριος	trismaka/rios	a-p---fn-
τρισμακάρι’	trismaka/ri'	τρισμακάριος	trismaka/rios	a-p---fv-
τρισμυρίους	trismuri/ous	τρισμύριοι	trismu/rioi	a-p---ma-
τρισμύριαι	trismu/riai	τρισμύριοι	trismu/rioi	a-p---fn-
τρισμύριαι	trismu/riai	τρισμύριοι	trismu/rioi	a-p---fv-
τριωβόλου	triwbo/lou	τριώβολον	triw/bolon	n-s---ng-
τριέμβολον	trie/mbolon	τριέμβολος	trie/mbolos	n-s---ma-
τριέμβολον	trie/mbolon	τριέμβολος	trie/mbolos	n-s---fa-
τριέμβολον	trie/mbolon	τριέμβολος	trie/mbolos	n-s---nn-
τριέμβολον	trie/mbolon	τριέμβολος	trie/mbolos	n-s---nv-
τριέμβολον	trie/mbolon	τριέμβολος	trie/mbolos	n-s---na-
τριήρεις	trih/reis	τριήρης	trih/rhs	n-p---fn-
τριήρεις	trih/reis	τριήρης	trih/rhs	n-p---fv-
τριήρεις	trih/reis	τριήρης	trih/rhs	n-p---fn-
τριόρχης	trio/rxhs	τριόρχης	trio/rxhs	n-s---mn-
τριώβολα	triw/bola	τριώβολον	triw/bolon	n-p---nn-
τριώβολα	triw/bola	τριώβολον	triw/bolon	n-p---nv-
τριώβολα	triw/bola	τριώβολον	triw/bolon	n-p---na-
τρομεράν	tromera/n	τρομερός	tromero/s	a-s---fa-
τροχίλε	troxi/le	τροχίλος	troxi/los	n-s---mv-
τροχίλος	troxi/los	τροχίλος	troxi/los	n-s---mn-
τρυβλίω	trubli/w	τρύβλιον	tru/blion	n-d---nn-
τρυβλίω	trubli/w	τρύβλιον	tru/blion	n-d---nv-
τρυβλίω	trubli/w	τρύβλιον	tru/blion	n-d---na-
τρυβλίω	trubli/w	τρύβλιον	tru/blion	n-s---ng-
τρυγών	trugw/n	τρυγών	trugw/n	n-s---fn-
τρυγών	trugw/n	τρυγών	trugw/n	n-s---fv-
τρυγῶσι	trugw=si	τρυγάω	truga/w	v-pppamd-
τρυγῶσι	trugw=si	τρυγάω	truga/w	v-pppand-
τρυγῶσι	trugw=si	τρυγάω	truga/w	v3ppsa---
τρυγῶσι	trugw=si	τρυγάω	truga/w	v3ppia---
τρυγῶσι	trugw=si	τρυγάω	truga/w	v3ppsa---
τρυγῶσι	trugw=si	τρυγέω	truge/w	v3ppsa---
τρυγῶσι	trugw=si	τρυγόω	trugo/w	v2spse---
τρυγῶσι	trugw=si	τρυγόω	trugo/w	v3ppsa---
τρυγῶσι	trugw=si	τρυγόω	trugo/w	v3spsa---
τράγον	tra/gon	τράγος	tra/gos	n-s---ma-
τράγον	tra/gon	τράγω	tra/gw	v-sppamv-
τράγον	tra/gon	τράγω	tra/gw	v-sppann-
τράγον	tra/gon	τράγω	tra/gw	v-sppanv-
τράγον	tra/gon	τράγω	tra/gw	v-sppana-
τράγον	tra/gon	τράγω	tra/gw	v3piia---
τράγον	tra/gon	τράγω	tra/gw	v1siia---
τράγον	tra/gon	τρώγω	trw/gw	v3paia---
τράγον	tra/gon	τρώγω	trw/gw	v1saia---
τράγου	tra/gou	τράγος	tra/gos	n-s---mg-
τράγου	tra/gou	τράγω	tra/gw	v2spme---
τράγου	tra/gou	τράγω	tra/gw	v2siie---
τράγου	tra/gou	τρώγω	trw/gw	v2saim---
τράχηλον	tra/xhlon	τράχηλος	tra/xhlos	n-s---ma-
τρέπεσθε	tre/pesqe	τρέπω	tre/pw	v2ppme---
τρέπεσθε	tre/pesqe	τρέπω	tre/pw	v2ppie---
τρέπεσθε	tre/pesqe	τρέπω	tre/pw	v2piie---
τρέφε	tre/fe	τρέφω	tre/fw	v2spma---
τρέφε	tre/fe	τρέφω	tre/fw	v3siia---
τρέφει	tre/fei	τρέφος	tre/fos	n-d---nn-
τρέφει	tre/fei	τρέφος	tre/fos	n-d---nv-
τρέφει	tre/fei	τρέφος	tre/fos	n-d---na-
τρέφει	tre/fei	τρέφος	tre/fos	n-s---nd-
τρέφει	tre/fei	τρέφος	tre/fos	n-s---nd-
τρέφει	tre/fei	τρέφω	tre/fw	v2spie---
τρέφει	tre/fei	τρέφω	tre/fw	v3spia---
τρέφειν	tre/fein	τρέφω	tre/fw	v--pna---
τρέφων	tre/fwn	τρέφω	tre/fw	v-sppamn-
τρέχει	tre/xei	τρέχω	tre/xw	v2spie---
τρέχει	tre/xei	τρέχω	tre/xw	v3spia---
τρέχουσι	tre/xousi	τρέχω	tre/xw	v-pppamd-
τρέχουσι	tre/xousi	τρέχω	tre/xw	v-pppand-
τρέχουσι	tre/xousi	τρέχω	tre/xw	v3ppia---
τρέχω	tre/xw	τρέχω	tre/xw	v1spsa---
τρέχω	tre/xw	τρέχω	tre/xw	v1spia---
τρέψαι	tre/yai	τρέπω	tre/pw	v2samm---
τρέψαι	tre/yai	τρέπω	tre/pw	v--ana---
τρέψαι	tre/yai	τρέπω	tre/pw	v3saoa---
τρήρωνι	trh/rwni	τρήρων	trh/rwn	n-s---md-
τρήρωνι	trh/rwni	τρήρων	trh/rwn	n-s---fd-
τρίορχος	tri/orxos	τρίορχος	tri/orxos	n-s---mn-
τρίψαντες	tri/yantes	τρίβω	tri/bw	v-papamn-
τρίψαντες	tri/yantes	τρίβω	tri/bw	v-papamv-
τρίψειν	tri/yein	τρίβω	tri/bw	v--fna---
τρόπον	tro/pon	τρόπος	tro/pos	n-s---ma-
τρόπος	tro/pos	τρόπος	tro/pos	n-s---mn-
τρόπου	tro/pou	τρόπος	tro/pos	n-s---mg-
τρόπου	tro/pou	τροπόω	tropo/w	v2spma---
τρόπου	tro/pou	τροπόω	tropo/w	v3siia---
τρόπων	tro/pwn	τρόπος	tro/pos	n-p---mg-
τρόπων	tro/pwn	τροπόω	tropo/w	v3piia---
τρόπων	tro/pwn	τροπόω	tropo/w	v1siia---
τρόπῳ	tro/pw|	τρόπος	tro/pos	n-s---md-
τρύβλιον	tru/blion	τρύβλιον	tru/blion	n-s---nn-
