Αἰγύπτιος	*ai)gu/ptios	Αἰγύπτιος	*ai)gu/ptios	urn:cite2:hmt:lsj.chicago_md:n2219	a-s---mn-
Δηλίῳ	*dhli/w|	Δήλιος	*dh/lios	urn:cite2:hmt:lsj.chicago_md:n24334	n-s---fd-
Δηλίῳ	*dhli/w|	Δήλιος	*dh/lios	urn:cite2:hmt:lsj.chicago_md:n24334	n-s---nd-
Δηλίῳ	*dhli/w|	Δήλιος	*dh/lios	urn:cite2:hmt:lsj.chicago_md:n24334	n-s---md-
Δημήτηρ	*dhmh/thr	Δημήτηρ	*dhmh/thr	urn:cite2:hmt:lsj.chicago_md:n24373	n-s---fn-
Διί	*dii/	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---md-
Διόνυσον	*dio/nuson	Διόνυσος	*dio/nusos	urn:cite2:hmt:lsj.chicago_md:n27219	n-s---ma-
Διός	*dio/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mg-
Δωδώνη	*dwdw/nh	Δωδώνη	*dwdw/nh	urn:cite2:hmt:lsj.chicago_md:n29768	n-s---fn-
Δωδώνη	*dwdw/nh	Δωδώνη	*dwdw/nh	urn:cite2:hmt:lsj.chicago_md:n29768	n-s---fv-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	urn:cite2:hmt:lsj.chicago_md:n24373	n-s---fa-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	urn:cite2:hmt:lsj.chicago_md:n24373	n-s---fn-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	urn:cite2:hmt:lsj.chicago_md:n24373	n-s---fv-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	urn:cite2:hmt:lsj.chicago_md:n24373	n-s---fd-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	urn:cite2:hmt:lsj.chicago_md:n24373	n-p---fn-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	urn:cite2:hmt:lsj.chicago_md:n24373	n-p---fv-
Δία	*di/a	Δίον	*di/on	urn:cite2:hmt:lsj.chicago_md:n27197	n-p---nn-
Δία	*di/a	Δίον	*di/on	urn:cite2:hmt:lsj.chicago_md:n27198	n-p---nn-
Δία	*di/a	Δίον	*di/on	urn:cite2:hmt:lsj.chicago_md:n27197	n-p---nv-
Δία	*di/a	Δίον	*di/on	urn:cite2:hmt:lsj.chicago_md:n27198	n-p---nv-
Δία	*di/a	Δίον	*di/on	urn:cite2:hmt:lsj.chicago_md:n27197	n-p---na-
Δία	*di/a	Δίον	*di/on	urn:cite2:hmt:lsj.chicago_md:n27198	n-p---na-
Δία	*di/a	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---ma-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27293	a-d---fn-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27294	a-d---fn-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27293	a-d---fv-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27294	a-d---fv-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27293	a-d---fa-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27294	a-d---fa-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27293	a-s---fn-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27294	a-s---fn-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27293	a-s---fv-
Δία	*di/a	δῖος	di=os	urn:cite2:hmt:lsj.chicago_md:n27294	a-s---fv-
Δίκη	*di/kh	Δίκη	*di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-s---fn-
Δίκη	*di/kh	Δίκη	*di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-s---fv-
Δίκη	*di/kh	δίκη	di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-s---fn-
Δίκη	*di/kh	δίκη	di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-s---fv-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mn-
Ζεῦ	*zeu=	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mv-
Ζεῦ	*zeu=	ζέω	ze/w	urn:cite2:hmt:lsj.chicago_md:n46204	v2spme---
Ζεῦ	*zeu=	ζέω	ze/w	urn:cite2:hmt:lsj.chicago_md:n46204	v2siie---
Ζηνός	*zhno/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mg-
Θαλῆς	*qalh=s	Θαλῆς	*qalh=s	urn:cite2:hmt:lsj.chicago_md:n47796	n-s---mn-
Θαλῆς	*qalh=s	θάλλω	qa/llw	urn:cite2:hmt:lsj.chicago_md:n47808	v2sfia---
Θαλῆς	*qalh=s	θαλέω	qale/w	urn:cite2:hmt:lsj.chicago_md:n47794	v2spia---
Θαλῆς	*qalh=s	θαλέω	qale/w	urn:cite2:hmt:lsj.chicago_md:n47795	v2spia---
Θαλῆς	*qalh=s	θηλέω	qhle/w	urn:cite2:hmt:lsj.chicago_md:n48636	v2spia---
Θεογένει	*qeoge/nei	Θεογένης	*qeoge/nhs	urn:cite2:hmt:lsj.chicago_md:n48151	n-d---mn-
Θεογένει	*qeoge/nei	Θεογένης	*qeoge/nhs	urn:cite2:hmt:lsj.chicago_md:n48151	n-d---mv-
Θεογένει	*qeoge/nei	Θεογένης	*qeoge/nhs	urn:cite2:hmt:lsj.chicago_md:n48151	n-d---ma-
Θεογένει	*qeoge/nei	Θεογένης	*qeoge/nhs	urn:cite2:hmt:lsj.chicago_md:n48151	n-s---md-
Θεογένει	*qeoge/nei	Θεογένης	*qeoge/nhs	urn:cite2:hmt:lsj.chicago_md:n48151	n-s---md-
Θεογένης	*qeoge/nhs	Θεογένης	*qeoge/nhs	urn:cite2:hmt:lsj.chicago_md:n48151	n-p---ma-
Θεογένης	*qeoge/nhs	Θεογένης	*qeoge/nhs	urn:cite2:hmt:lsj.chicago_md:n48151	n-p---mn-
Θεογένης	*qeoge/nhs	Θεογένης	*qeoge/nhs	urn:cite2:hmt:lsj.chicago_md:n48151	n-p---mv-
Θεογένης	*qeoge/nhs	Θεογένης	*qeoge/nhs	urn:cite2:hmt:lsj.chicago_md:n48151	n-s---mn-
Θεογένους	*qeoge/nous	Θεογένης	*qeoge/nhs	urn:cite2:hmt:lsj.chicago_md:n48151	n-s---mg-
Θεσμοφορίοις	*qesmofori/ois	θεσμοφόριον	qesmofo/rion	urn:cite2:hmt:lsj.chicago_md:n48519	n-p---nd-
Θεσμοφορίοις	*qesmofori/ois	θεσμοφόριον	qesmofo/rion	urn:cite2:hmt:lsj.chicago_md:n48520	n-p---nd-
Θεσμοφορίοις	*qesmofori/ois	θεσμοφόριος	qesmofo/rios	urn:cite2:hmt:lsj.chicago_md:n48521	n-p---md-
Καλλίας	*kalli/as	Καλλίας	*kalli/as	urn:cite2:hmt:lsj.chicago_md:n52615	n-p---ma-
Καλλίας	*kalli/as	Καλλίας	*kalli/as	urn:cite2:hmt:lsj.chicago_md:n52615	n-s---mn-
Καλλίας	*kalli/as	καλλίας	kalli/as	urn:cite2:hmt:lsj.chicago_md:n52615	n-p---ma-
Καλλίας	*kalli/as	καλλίας	kalli/as	urn:cite2:hmt:lsj.chicago_md:n52615	n-s---mn-
Καλλίου	*kalli/ou	Κάλλιον	*ka/llion	urn:cite2:hmt:lsj.chicago_md:n52689	n-s---ng-
Καλλίου	*kalli/ou	Κάλλιον	*ka/llion	urn:cite2:hmt:lsj.chicago_md:n52690	n-s---ng-
Καλλίου	*kalli/ou	Καλλίας	*kalli/as	urn:cite2:hmt:lsj.chicago_md:n52615	n-s---mg-
Καλλίου	*kalli/ou	καλλίας	kalli/as	urn:cite2:hmt:lsj.chicago_md:n52615	n-s---mg-
Καλλίου	*kalli/ou	καλλιόω	kallio/w	urn:cite2:hmt:lsj.chicago_md:n52696	v2spma---
Καλλίου	*kalli/ou	καλλιόω	kallio/w	urn:cite2:hmt:lsj.chicago_md:n52696	v3siia---
Καρδίας	*kardi/as	καρδία	kardi/a	urn:cite2:hmt:lsj.chicago_md:n53290	n-p---fa-
Καρδίας	*kardi/as	καρδία	kardi/a	urn:cite2:hmt:lsj.chicago_md:n53290	n-s---fg-
Καρδίας	*kardi/as	καρδιάω	kardia/w	urn:cite2:hmt:lsj.chicago_md:n53297	v2siia---
Κεκροπίδα	*kekropi/da	Κέκροψ	*ke/kroy	urn:cite2:hmt:lsj.chicago_md:n56437	n-d---mn-
Κεκροπίδα	*kekropi/da	Κέκροψ	*ke/kroy	urn:cite2:hmt:lsj.chicago_md:n56437	n-d---mv-
Κεκροπίδα	*kekropi/da	Κέκροψ	*ke/kroy	urn:cite2:hmt:lsj.chicago_md:n56437	n-d---ma-
Κεκροπίδα	*kekropi/da	Κέκροψ	*ke/kroy	urn:cite2:hmt:lsj.chicago_md:n56437	n-s---mv-
Κεκροπίδα	*kekropi/da	Κέκροψ	*ke/kroy	urn:cite2:hmt:lsj.chicago_md:n56437	n-s---mg-
Κεκροπίδα	*kekropi/da	Κέκροψ	*ke/kroy	urn:cite2:hmt:lsj.chicago_md:n56437	n-s---mn-
Κεραμεικός	*kerameiko/s	Κεραμεικός	*kerameiko/s	urn:cite2:hmt:lsj.chicago_md:n56688	n-s---mn-
Κεραμεικός	*kerameiko/s	κεραμεικός	kerameiko/s	urn:cite2:hmt:lsj.chicago_md:n56688	a-s---mn-
Κλεψύδρᾳ	*kleyu/dra|	κλεψύδρα	kleyu/dra	urn:cite2:hmt:lsj.chicago_md:n57833	n-p---fn-
Κλεψύδρᾳ	*kleyu/dra|	κλεψύδρα	kleyu/dra	urn:cite2:hmt:lsj.chicago_md:n57833	n-p---fv-
Κλεψύδρᾳ	*kleyu/dra|	κλεψύδρα	kleyu/dra	urn:cite2:hmt:lsj.chicago_md:n57833	n-s---fd-
Κολαινίς	*kolaini/s	Κολαινίς	*kolaini/s	urn:cite2:hmt:lsj.chicago_md:n58542	n-s---fn-
Κολωνός	*kolwno/s	Κολωνός	*kolwno/s	urn:cite2:hmt:lsj.chicago_md:n58760	n-s---mn-
Κολωνός	*kolwno/s	κολωνός	kolwno/s	urn:cite2:hmt:lsj.chicago_md:n58760	n-s---mn-
Κομπασεύς	*kompaseu/s	Κομπασεύς	*kompaseu/s	urn:cite2:hmt:lsj.chicago_md:n58826	n-s---mn-
Κορινθίων	*korinqi/wn	Κορίνθιος	*kori/nqios	urn:cite2:hmt:lsj.chicago_md:n59117	a-p---fg-
Κορινθίων	*korinqi/wn	Κορίνθιος	*kori/nqios	urn:cite2:hmt:lsj.chicago_md:n59117	a-p---mg-
Κορινθίων	*korinqi/wn	Κορίνθιος	*kori/nqios	urn:cite2:hmt:lsj.chicago_md:n59117	a-p---ng-
Κορίνθου	*kori/nqou	Κόρινθος	*ko/rinqos	urn:cite2:hmt:lsj.chicago_md:n59120	n-s---fg-
Κραναῶν	*kranaw=n	Κραναός	*kranao/s	urn:cite2:hmt:lsj.chicago_md:n59625	n-p---mg-
Κραναῶν	*kranaw=n	κραναός	kranao/s	urn:cite2:hmt:lsj.chicago_md:n59625	a-p---fg-
Κραναῶν	*kranaw=n	κραναός	kranao/s	urn:cite2:hmt:lsj.chicago_md:n59625	a-p---mg-
Κραναῶν	*kranaw=n	κραναός	kranao/s	urn:cite2:hmt:lsj.chicago_md:n59625	a-p---ng-
Κρόνον	*kro/non	Κρόνος	*kro/nos	urn:cite2:hmt:lsj.chicago_md:n60131	n-s---ma-
Κρόνον	*kro/non	Κρόνος	*kro/nos	urn:cite2:hmt:lsj.chicago_md:n60132	n-s---ma-
Κρόνον	*kro/non	κρόνος	kro/nos	urn:cite2:hmt:lsj.chicago_md:n60131	n-s---ma-
Κρόνον	*kro/non	κρόνος	kro/nos	urn:cite2:hmt:lsj.chicago_md:n60132	n-s---ma-
Κρόνου	*kro/nou	Κρόνος	*kro/nos	urn:cite2:hmt:lsj.chicago_md:n60131	n-s---mg-
Κρόνου	*kro/nou	Κρόνος	*kro/nos	urn:cite2:hmt:lsj.chicago_md:n60132	n-s---mg-
Κρόνου	*kro/nou	κρόνος	kro/nos	urn:cite2:hmt:lsj.chicago_md:n60131	n-s---mg-
Κρόνου	*kro/nou	κρόνος	kro/nos	urn:cite2:hmt:lsj.chicago_md:n60132	n-s---mg-
Κυβέλη	*kube/lh	Κυβέλη	*kube/lh	urn:cite2:hmt:lsj.chicago_md:n60485	n-s---fn-
Κυβέλη	*kube/lh	Κυβέλη	*kube/lh	urn:cite2:hmt:lsj.chicago_md:n60486	n-s---fn-
Κυβέλη	*kube/lh	Κυβέλη	*kube/lh	urn:cite2:hmt:lsj.chicago_md:n60485	n-s---fv-
Κυβέλη	*kube/lh	Κυβέλη	*kube/lh	urn:cite2:hmt:lsj.chicago_md:n60486	n-s---fv-
Κυβέλη	*kube/lh	κυβέλη	kube/lh	urn:cite2:hmt:lsj.chicago_md:n60485	n-s---fn-
Κυβέλη	*kube/lh	κυβέλη	kube/lh	urn:cite2:hmt:lsj.chicago_md:n60486	n-s---fn-
Κυβέλη	*kube/lh	κυβέλη	kube/lh	urn:cite2:hmt:lsj.chicago_md:n60485	n-s---fv-
Κυβέλη	*kube/lh	κυβέλη	kube/lh	urn:cite2:hmt:lsj.chicago_md:n60486	n-s---fv-
Κάρ	*ka/r	Κάρ	*ka/r	urn:cite2:hmt:lsj.chicago_md:n53244	n-s---mn-
Κάρ	*ka/r	Κάρ	*ka/r	urn:cite2:hmt:lsj.chicago_md:n53245	n-s---mn-
Κάρ	*ka/r	Κάρ	*ka/r	urn:cite2:hmt:lsj.chicago_md:n53246	n-s---mn-
Κάρ	*ka/r	Κάρ	*ka/r	urn:cite2:hmt:lsj.chicago_md:n53247	n-s---mn-
Κάρ	*ka/r	κάρ	ka/r	urn:cite2:hmt:lsj.chicago_md:n53244	n-s---nv-
Κάρ	*ka/r	κάρ	ka/r	urn:cite2:hmt:lsj.chicago_md:n53245	n-s---nv-
Κάρ	*ka/r	κάρ	ka/r	urn:cite2:hmt:lsj.chicago_md:n53247	n-s---nv-
Κάρ	*ka/r	κάρ	ka/r	urn:cite2:hmt:lsj.chicago_md:n53244	n-s---na-
Κάρ	*ka/r	κάρ	ka/r	urn:cite2:hmt:lsj.chicago_md:n53245	n-s---na-
Κάρ	*ka/r	κάρ	ka/r	urn:cite2:hmt:lsj.chicago_md:n53247	n-s---na-
Κάρ	*ka/r	κάρ	ka/r	urn:cite2:hmt:lsj.chicago_md:n53244	n-s---nn-
Κάρ	*ka/r	κάρ	ka/r	urn:cite2:hmt:lsj.chicago_md:n53245	n-s---nn-
Κάρ	*ka/r	κάρ	ka/r	urn:cite2:hmt:lsj.chicago_md:n53247	n-s---nn-
Κάρ	*ka/r	κατά	kata/	urn:cite2:hmt:lsj.chicago_md:n53647	r--------
Κάρ	*ka/r	κατά	kata/	urn:cite2:hmt:lsj.chicago_md:n53648	r--------
Κᾶρες	*ka=res	Κάρ	*ka/r	urn:cite2:hmt:lsj.chicago_md:n53244	n-p---mn-
Κᾶρες	*ka=res	Κάρ	*ka/r	urn:cite2:hmt:lsj.chicago_md:n53245	n-p---mn-
Κᾶρες	*ka=res	Κάρ	*ka/r	urn:cite2:hmt:lsj.chicago_md:n53246	n-p---mn-
Κᾶρες	*ka=res	Κάρ	*ka/r	urn:cite2:hmt:lsj.chicago_md:n53247	n-p---mn-
Κᾶρες	*ka=res	Κάρ	*ka/r	urn:cite2:hmt:lsj.chicago_md:n53244	n-p---mv-
Κᾶρες	*ka=res	Κάρ	*ka/r	urn:cite2:hmt:lsj.chicago_md:n53245	n-p---mv-
Κᾶρες	*ka=res	Κάρ	*ka/r	urn:cite2:hmt:lsj.chicago_md:n53246	n-p---mv-
Κᾶρες	*ka=res	Κάρ	*ka/r	urn:cite2:hmt:lsj.chicago_md:n53247	n-p---mv-
Κᾶρες	*ka=res	Κάρ	*ka/r	urn:cite2:hmt:lsj.chicago_md:n53244	n-p---mn-
Κᾶρες	*ka=res	Κάρ	*ka/r	urn:cite2:hmt:lsj.chicago_md:n53245	n-p---mn-
Κᾶρες	*ka=res	Κάρ	*ka/r	urn:cite2:hmt:lsj.chicago_md:n53246	n-p---mn-
Κᾶρες	*ka=res	Κάρ	*ka/r	urn:cite2:hmt:lsj.chicago_md:n53247	n-p---mn-
Λακεδαίμονι	*lakedai/moni	Λακεδαίμων	*lakedai/mwn	urn:cite2:hmt:lsj.chicago_md:n61708	n-s---fd-
Λακεδαίμονος	*lakedai/monos	Λακεδαίμων	*lakedai/mwn	urn:cite2:hmt:lsj.chicago_md:n61708	n-s---fg-
Λητοῖ	*lhtoi=	Λητώ	*lhtw/	urn:cite2:hmt:lsj.chicago_md:n63003	n-s---fd-
Λιβύην	*libu/hn	Λιβύη	*libu/h	urn:cite2:hmt:lsj.chicago_md:n63063	n-s---fa-
Λιβύης	*libu/hs	Λιβύη	*libu/h	urn:cite2:hmt:lsj.chicago_md:n63063	n-s---fg-
Λυδόν	*ludo/n	Λυδός	*ludo/s	urn:cite2:hmt:lsj.chicago_md:n64054	n-s---ma-
Λυδόν	*ludo/n	Λυδός	*ludo/s	urn:cite2:hmt:lsj.chicago_md:n64054	a-s---ma-
Λυδόν	*ludo/n	Λυδός	*ludo/s	urn:cite2:hmt:lsj.chicago_md:n64054	a-s---nn-
Λυδόν	*ludo/n	Λυδός	*ludo/s	urn:cite2:hmt:lsj.chicago_md:n64054	a-s---nv-
Λυδόν	*ludo/n	Λυδός	*ludo/s	urn:cite2:hmt:lsj.chicago_md:n64054	a-s---na-
Λάμπων	*la/mpwn	Λάμπος	*la/mpos	urn:cite2:hmt:lsj.chicago_md:n61842	n-p---mg-
Λάμπων	*la/mpwn	λάμπω	la/mpw	urn:cite2:hmt:lsj.chicago_md:n61875	v-sppamn-
Λέπρεον	*le/preon	λεπράω	lepra/w	urn:cite2:hmt:lsj.chicago_md:n62465	v3piia---
Λέπρεον	*le/preon	λεπράω	lepra/w	urn:cite2:hmt:lsj.chicago_md:n62465	v1siia---
Μανᾶς	*mana=s	μανός	mano/s	urn:cite2:hmt:lsj.chicago_md:n64936	a-s---fg-
Μανῆς	*manh=s	μανός	mano/s	urn:cite2:hmt:lsj.chicago_md:n64936	a-s---fg-
Μαραθῶνος	*maraqw=nos	Μαραθών	*maraqw/n	urn:cite2:hmt:lsj.chicago_md:n64985	n-s---mg-
Μειδίας	*meidi/as	μειδιάω	meidia/w	urn:cite2:hmt:lsj.chicago_md:n65697	v2siia---
Μελανθίου	*melanqi/ou	μελάνθιον	mela/nqion	urn:cite2:hmt:lsj.chicago_md:n65864	n-s---ng-
Μενέλαος	*mene/laos	Μενέλαος	*mene/laos	urn:cite2:hmt:lsj.chicago_md:n66270	n-s---mn-
Μενέλαος	*mene/laos	Μενέλαος	*mene/laos	urn:cite2:hmt:lsj.chicago_md:n66270	n-s---mn-
Μηλίῳ	*mhli/w|	Μήλιος	*mh/lios	urn:cite2:hmt:lsj.chicago_md:n67387	a-s---md-
Μηλίῳ	*mhli/w|	Μήλιος	*mh/lios	urn:cite2:hmt:lsj.chicago_md:n67387	a-s---nd-
Μουσάων	*mousa/wn	Μοῦσα	*mou=sa	urn:cite2:hmt:lsj.chicago_md:n68876	n-p---fg-
Μούσαις	*mou/sais	Μοῦσα	*mou=sa	urn:cite2:hmt:lsj.chicago_md:n68876	n-p---fd-
Μούσης	*mou/shs	Μοῦσα	*mou=sa	urn:cite2:hmt:lsj.chicago_md:n68876	n-s---fg-
Μοῖραι	*moi=rai	Μοῖρα	*moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-p---fn-
Μοῖραι	*moi=rai	Μοῖρα	*moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-p---fv-
Μοῖραι	*moi=rai	μοῖρα	moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-p---fn-
Μοῖραι	*moi=rai	μοῖρα	moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-p---fv-
Μοῖραι	*moi=rai	μοῖρα	moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-p---fn-
Μοῖραι	*moi=rai	μοῖρα	moi=ra	urn:cite2:hmt:lsj.chicago_md:n68262	n-p---fv-
Μοῦσα	*mou=sa	Μοῦσα	*mou=sa	urn:cite2:hmt:lsj.chicago_md:n68876	n-s---fn-
Μοῦσα	*mou=sa	Μοῦσα	*mou=sa	urn:cite2:hmt:lsj.chicago_md:n68876	n-s---fv-
Μοῦσαί	*mou=sai/	Μοῦσα	*mou=sa	urn:cite2:hmt:lsj.chicago_md:n68876	n-p---fn-
Μοῦσαί	*mou=sai/	Μοῦσα	*mou=sa	urn:cite2:hmt:lsj.chicago_md:n68876	n-p---fv-
Μήλιον	*mh/lion	Μήλιος	*mh/lios	urn:cite2:hmt:lsj.chicago_md:n67387	a-s---ma-
Μήλιον	*mh/lion	Μήλιος	*mh/lios	urn:cite2:hmt:lsj.chicago_md:n67387	a-s---nn-
Μήλιον	*mh/lion	Μήλιος	*mh/lios	urn:cite2:hmt:lsj.chicago_md:n67387	a-s---nv-
Μήλιον	*mh/lion	Μήλιος	*mh/lios	urn:cite2:hmt:lsj.chicago_md:n67387	a-s---na-
Μῆδος	*mh=dos	Μῆδος	*mh=dos	urn:cite2:hmt:lsj.chicago_md:n67324	n-s---mn-
Μῆδος	*mh=dos	Μῆδος	*mh=dos	urn:cite2:hmt:lsj.chicago_md:n67325	n-s---mn-
Μῆδος	*mh=dos	Μῆδος	*mh=dos	urn:cite2:hmt:lsj.chicago_md:n67326	n-s---mn-
Μῆδός	*mh=do/s	Μῆδος	*mh=dos	urn:cite2:hmt:lsj.chicago_md:n67324	n-s---mn-
Μῆδός	*mh=do/s	Μῆδος	*mh=dos	urn:cite2:hmt:lsj.chicago_md:n67325	n-s---mn-
Μῆδός	*mh=do/s	Μῆδος	*mh=dos	urn:cite2:hmt:lsj.chicago_md:n67326	n-s---mn-
Νεφελοκοκκυγιεύς	*nefelokokkugieu/s	Νεφελοκοκκυγιεύς	*nefelokokkugieu/s	urn:cite2:hmt:lsj.chicago_md:n70540	n-s---mn-
Νεφελοκοκκυγιεύς	*nefelokokkugieu/s	νεφελοκοκκυγιεύς	nefelokokkugieu/s	urn:cite2:hmt:lsj.chicago_md:n70540	n-s---mn-
Νεφελοκοκκυγιεῦσιν	*nefelokokkugieu=sin	Νεφελοκοκκυγιεύς	*nefelokokkugieu/s	urn:cite2:hmt:lsj.chicago_md:n70540	n-p---md-
Νεφελοκοκκυγιεῦσιν	*nefelokokkugieu=sin	νεφελοκοκκυγιεύς	nefelokokkugieu/s	urn:cite2:hmt:lsj.chicago_md:n70540	n-p---md-
Νεφελοκοκκυγιᾶς	*nefelokokkugia=s	Νεφελοκοκκυγιεύς	*nefelokokkugieu/s	urn:cite2:hmt:lsj.chicago_md:n70540	n-p---ma-
Νεφελοκοκκυγιᾶς	*nefelokokkugia=s	νεφελοκοκκυγιεύς	nefelokokkugieu/s	urn:cite2:hmt:lsj.chicago_md:n70540	n-p---ma-
Νεφελοκοκκυγία	*nefelokokkugi/a	Νεφελοκοκκυγία	*nefelokokkugi/a	urn:cite2:hmt:lsj.chicago_md:n70539	n-d---fn-
Νεφελοκοκκυγία	*nefelokokkugi/a	Νεφελοκοκκυγία	*nefelokokkugi/a	urn:cite2:hmt:lsj.chicago_md:n70539	n-d---fv-
Νεφελοκοκκυγία	*nefelokokkugi/a	Νεφελοκοκκυγία	*nefelokokkugi/a	urn:cite2:hmt:lsj.chicago_md:n70539	n-d---fa-
Νεφελοκοκκυγία	*nefelokokkugi/a	Νεφελοκοκκυγία	*nefelokokkugi/a	urn:cite2:hmt:lsj.chicago_md:n70539	n-s---fn-
